date,close,volume,open,high,low
05/15/2026,479.97,"622,375",475.9,484.62,473.8
05/14/2026,482.03,"665,124",486.69,487.79,477.52
05/13/2026,483.79,"803,413",489.82,491.89,480.44
05/12/2026,485.98,"698,392",489.04,489.04,476.21
05/11/2026,490.16,"788,811",489.95,498.32,487.14
05/08/2026,492.58,"499,340",498.32,500.61,490.01
05/07/2026,493.04,"725,261",505.81,505.84,487.9816
05/06/2026,502.34,"796,769",518.56,518.7,501.11
05/05/2026,507.81,"738,009",519.55,523.95,502.41
05/04/2026,516.0,"629,121",509.4,519.09,507.87
05/01/2026,508.43,"694,804",515.33,520.23,506.37
04/30/2026,508.17,"1,620,941",514.0,533.74,498.83
04/29/2026,545.93,"669,275",549.46,554.69,539.325
04/28/2026,544.71,"466,350",548.29,550.56,535.205
04/27/2026,555.34,"575,669",555.53,561.9,542.66
04/24/2026,553.07,"450,658",559.51,561.79,547.37
04/23/2026,557.85,"442,692",552.42,565.4999,552.42
04/22/2026,549.75,"384,162",555.52,557.11,547.62
04/21/2026,549.11,"513,602",546.86,553.829,545.07
04/20/2026,546.23,"403,515",536.02,548.1,534.0
04/17/2026,535.57,"579,221",527.06,541.72,527.06
04/16/2026,521.71,"473,274",525.99,528.6,517.83
04/15/2026,526.94,"563,750",542.27,544.415,522.51
04/14/2026,545.62,"462,296",543.38,548.97,532.79
04/13/2026,539.79,"474,441",535.24,540.63,531.33
04/10/2026,536.01,"431,463",537.17,543.65,535.0
04/09/2026,534.67,"559,082",525.65,536.965,521.46
04/08/2026,527.21,"433,368",522.93,529.74,516.12
04/07/2026,499.31,"620,420",496.06,501.79,491.66
04/06/2026,499.2,"271,429",492.6,499.85,488.85
04/02/2026,494.25,"307,769",486.62,503.39,484.61
04/01/2026,500.38,"421,533",496.56,504.9099,495.78
03/31/2026,490.74,"452,456",478.63,496.465,474.79
03/30/2026,472.07,"406,146",490.73,490.73,468.66
03/27/2026,480.97,"435,360",478.13,488.34,475.05
03/26/2026,481.67,"493,293",496.43,499.605,480.22
03/25/2026,503.2,"577,081",510.91,511.59,502.965
03/24/2026,505.62,"555,832",486.14,507.72,482.935
03/23/2026,489.07,"480,654",490.64,501.32,487.24
03/20/2026,475.74,"1,019,280",483.11,490.15,473.6
03/19/2026,492.65,"822,836",470.31,496.8,467.825
03/18/2026,477.47,"1,076,065",472.39,487.47,468.99
03/17/2026,471.22,"506,089",474.54,485.18,462.0
03/16/2026,472.64,"451,042",475.95,479.99,470.5101
03/13/2026,467.38,"547,866",472.9,474.985,461.885
03/12/2026,468.41,"575,361",472.9,475.02,462.08
03/11/2026,477.97,"440,228",478.0,481.48,473.025
03/10/2026,478.06,"701,163",485.7,494.07,478.05
03/09/2026,487.76,"590,700",462.84,488.07,457.6
03/06/2026,471.54,"667,099",463.7,480.45,460.04
03/05/2026,476.51,"755,548",484.65,489.61,473.94
03/04/2026,490.78,"440,316",491.89,495.06,484.46
03/03/2026,488.49,"577,102",498.97,502.88,487.09
03/02/2026,516.98,"447,152",507.5,522.21,502.95
02/27/2026,511.63,"663,361",517.04,517.04,504.48
