date,close,volume,open,high,low
05/15/2026,198.38,"2,879,512",186.5,201.3,184.9
05/14/2026,183.46,"2,283,891",180.42,187.4,177.04
05/13/2026,179.0,"2,263,428",179.25,180.37,173.25
05/12/2026,179.58,"2,733,750",190.61,193.8,178.8
05/11/2026,191.34,"2,805,922",196.52,206.2052,188.64
05/08/2026,197.34,"6,513,646",185.95,198.09,180.5
05/07/2026,243.72,"2,938,517",243.01,249.99,240.42
05/06/2026,235.16,"1,551,391",240.03,240.4,228.905
05/05/2026,246.08,"1,144,682",251.0,252.0,239.433
05/04/2026,247.43,"1,542,117",235.25,255.0,235.25
05/01/2026,239.89,"1,542,813",235.415,248.05,231.275
04/30/2026,221.76,"902,663",221.0,224.79,215.06
04/29/2026,227.25,"653,434",222.4,228.13,220.78
04/28/2026,225.97,"897,342",229.44,238.0,225.7
04/27/2026,225.07,"913,789",226.05,232.59,221.84
04/24/2026,223.32,"874,526",218.48,224.425,216.0401
04/23/2026,214.69,"1,903,236",214.66,216.85,206.86
04/22/2026,232.75,"1,117,392",230.7,238.71,227.07
04/21/2026,230.46,"1,615,045",230.72,243.62,226.08
04/20/2026,229.88,"1,232,562",221.44,230.0,221.0
04/17/2026,222.49,"1,411,675",229.56,230.32,219.74
04/16/2026,222.98,"1,680,465",228.78,234.03,218.86
04/15/2026,218.62,"2,219,218",212.32,223.185,207.85
04/14/2026,206.44,"1,733,648",209.58,216.12,202.34
04/13/2026,205.28,"1,881,905",193.0,207.38,192.75
04/10/2026,192.26,"3,143,240",204.23,206.12,187.45
04/09/2026,205.04,"3,298,462",216.05,219.52,198.51
04/08/2026,217.98,"2,356,616",238.51,239.0,216.89
04/07/2026,227.61,"1,408,956",241.46,247.39,226.01
04/06/2026,245.14,"616,983",245.45,248.05,239.05
04/02/2026,244.67,"800,889",240.0,248.85,236.0
04/01/2026,242.79,"876,125",244.79,247.43,234.44
03/31/2026,244.1,"876,735",239.69,249.0,237.32
03/30/2026,237.81,"860,085",232.31,242.06,230.9954
03/27/2026,230.79,"1,164,741",239.47,239.47,229.01
03/26/2026,245.07,"898,601",236.99,249.0,235.17
03/25/2026,238.07,"1,510,174",245.73,248.23,232.68
03/24/2026,237.94,"1,896,650",257.15,257.37,235.726
03/23/2026,262.06,"1,003,073",260.09,266.5982,256.99
03/20/2026,258.81,"1,159,849",257.64,262.97,249.14
03/19/2026,262.32,"968,870",263.16,274.0,255.79
03/18/2026,262.11,"1,060,128",260.8,269.44,259.43
03/17/2026,265.55,"951,874",262.75,278.25,262.39
03/16/2026,264.56,"927,882",263.48,267.89,258.89
03/13/2026,264.3,"1,115,361",258.19,268.76,257.18
03/12/2026,257.63,"1,435,780",262.99,275.43,256.42
03/11/2026,259.1,"1,525,514",274.56,279.04,255.33
03/10/2026,269.32,"2,160,948",283.64,284.985,264.09
03/09/2026,286.84,"1,537,350",288.5,295.325,282.495
03/06/2026,296.56,"1,466,714",292.29,296.92,281.28
03/05/2026,291.47,"1,836,976",281.57,297.0,281.24
03/04/2026,278.59,"1,057,465",271.16,281.91,270.19
03/03/2026,275.37,"1,680,588",259.09,279.95,255.0
03/02/2026,263.6,"1,345,525",259.84,267.78,257.46
02/27/2026,264.51,"2,359,665",258.05,264.91,252.0
02/26/2026,268.52,"3,376,517",252.0,270.0766,252.0
02/25/2026,245.7,"1,849,799",231.5,246.04,224.01
02/24/2026,232.6,"1,854,419",219.38,236.83,216.0
02/23/2026,217.36,"2,113,426",225.0,225.0,214.135
02/20/2026,233.5,"2,003,944",237.45,247.7,231.29
02/19/2026,239.37,"1,441,537",248.92,251.99,239.07
02/18/2026,250.14,"1,509,593",246.81,251.02,243.221
02/17/2026,247.31,"2,443,446",251.64,256.65,235.0
02/13/2026,243.85,"4,043,619",235.91,253.5,235.91
