date,close,volume,open,high,low
05/15/2026,260.35,"2,392,850",266.22,268.34,260.0
05/14/2026,272.37,"1,701,259",274.52,274.73,267.0
05/13/2026,273.1,"2,442,679",270.68,276.67,267.6
05/12/2026,269.76,"2,303,798",273.61,274.95,266.837
05/11/2026,273.58,"2,980,136",269.35,275.164,266.03
05/08/2026,270.56,"3,186,756",273.42,275.815,269.21
05/07/2026,272.54,"5,793,951",275.8,280.74,266.055
05/06/2026,256.43,"4,287,809",250.72,258.295,249.64
05/05/2026,242.69,"1,775,989",243.03,245.74,242.01
05/04/2026,239.7,"1,886,367",239.99,242.4041,238.35
05/01/2026,239.51,"2,026,814",243.57,244.6,237.87
04/30/2026,243.04,"2,540,685",236.29,244.06,235.87
04/29/2026,236.52,"2,699,412",241.0,241.7935,234.61
04/28/2026,240.43,"2,728,567",241.76,245.36,237.28
04/27/2026,241.7,"1,863,071",241.93,242.46,238.01
04/24/2026,242.44,"1,452,426",244.43,245.26,239.725
04/23/2026,246.16,"2,462,444",242.345,251.2399,241.7301
04/22/2026,240.88,"3,630,262",250.0,250.22,233.32
04/21/2026,247.72,"2,040,017",254.43,255.2,245.72
04/20/2026,255.62,"1,841,936",255.62,257.1535,252.397
04/17/2026,255.69,"2,276,513",251.33,258.74,251.33
04/16/2026,247.6,"1,868,088",254.37,255.54,246.36
04/15/2026,254.04,"1,685,923",257.12,258.07,252.415
04/14/2026,258.03,"1,632,411",257.28,259.82,255.9
04/13/2026,256.14,"1,975,480",251.43,256.3,249.38
04/10/2026,252.67,"1,187,203",253.36,254.64,249.29
04/09/2026,254.06,"1,889,995",249.26,257.37,249.255
04/08/2026,250.0,"2,106,216",245.92,253.0,245.92
04/07/2026,236.02,"1,311,766",233.26,236.92,232.08
04/06/2026,236.57,"1,499,044",232.4,236.61,231.1501
04/02/2026,232.68,"1,756,700",234.55,237.76,230.9701
04/01/2026,239.04,"2,650,783",234.02,240.383,233.63
03/31/2026,230.46,"3,431,253",227.13,233.22,225.0
03/30/2026,222.99,"2,405,563",230.51,230.89,220.5101
03/27/2026,227.9,"1,656,125",230.23,230.98,227.37
03/26/2026,230.51,"1,604,801",237.5,238.665,229.78
03/25/2026,241.62,"1,602,010",242.0,243.66,240.77
03/24/2026,239.51,"1,937,775",233.65,239.57,231.76
03/23/2026,236.04,"2,227,030",235.01,241.85,232.6
03/20/2026,231.21,"4,337,290",231.38,233.0,227.68
03/19/2026,232.94,"3,028,486",237.87,239.3,230.981
03/18/2026,241.93,"2,521,359",242.28,245.23,240.98
03/17/2026,240.24,"2,330,106",241.65,242.62,234.26
03/16/2026,240.73,"2,982,903",241.23,242.6,238.53
03/13/2026,236.75,"2,637,587",245.26,246.37,232.8201
03/12/2026,243.82,"2,870,691",251.54,251.54,239.6
03/11/2026,251.65,"1,971,147",252.52,253.91,248.03
03/10/2026,253.91,"1,967,231",253.41,257.38,251.68
03/09/2026,254.14,"2,647,425",247.35,254.24,243.62
03/06/2026,250.13,"2,299,034",249.76,253.25,246.35
03/05/2026,252.39,"3,215,920",258.0,259.6375,249.02
03/04/2026,260.09,"1,511,737",260.32,260.76,256.13
03/03/2026,258.84,"2,178,472",259.525,261.04,252.51
03/02/2026,265.11,"2,240,506",263.0,267.31,259.0
02/27/2026,262.53,"3,401,616",258.48,262.63,257.49
02/26/2026,260.31,"1,617,543",259.75,260.94,254.86
02/25/2026,259.64,"1,923,813",259.98,261.83,255.82
02/24/2026,260.95,"1,593,718",256.5,261.69,253.15
02/23/2026,257.04,"2,184,450",256.08,258.5,255.27
02/20/2026,258.1,"3,136,324",252.13,258.83,251.3856
02/19/2026,251.3,"2,435,617",246.77,251.68,245.0
02/18/2026,249.35,"3,187,532",254.03,254.28,247.1
02/17/2026,252.55,"3,357,710",247.19,254.57,246.02
02/13/2026,250.21,"3,423,890",248.83,255.8999,246.7
02/12/2026,244.79,"5,210,503",235.81,256.7,235.79
02/11/2026,230.85,"4,381,030",229.33,233.6,227.0
02/10/2026,224.47,"2,503,985",225.7,227.51,224.04
02/09/2026,225.15,"3,054,208",222.48,226.12,220.38
02/06/2026,223.16,"2,905,702",213.97,223.7,213.97
02/05/2026,209.63,"2,322,986",207.04,212.6258,206.2305
02/04/2026,208.61,"3,692,107",213.04,214.0,204.85
02/03/2026,213.49,"3,488,746",210.87,214.31,210.14
02/02/2026,207.21,"2,359,921",206.81,209.2,204.55
01/30/2026,208.08,"4,293,055",207.78,212.0,207.78
01/29/2026,208.93,"3,236,094",211.76,213.59,208.1375
01/28/2026,210.84,"3,925,780",214.32,215.15,208.3
01/27/2026,215.53,"2,625,898",216.65,218.48,214.24
01/26/2026,215.39,"2,798,924",214.44,218.02,213.94
01/23/2026,214.89,"3,492,863",217.81,219.0,213.8
01/22/2026,217.7,"3,862,669",224.34,226.0,216.115
01/21/2026,225.0,"2,288,699",221.95,226.74,220.51
01/20/2026,220.36,"2,489,482",223.04,226.62,217.85
01/16/2026,224.89,"1,671,876",224.49,225.8,223.0517
01/15/2026,224.26,"2,099,568",222.46,226.87,222.46
01/14/2026,220.25,"2,143,291",219.3,221.76,215.88
01/13/2026,219.64,"2,487,645",221.34,223.61,219.08
01/12/2026,220.15,"2,076,664",218.16,221.435,216.59
01/09/2026,218.27,"2,343,884",212.03,219.39,212.03
01/08/2026,210.02,"3,240,559",215.48,217.0,205.8801
01/07/2026,210.9,"2,128,704",215.44,216.35,210.71
01/06/2026,214.69,"2,451,605",213.59,216.38,211.23
01/05/2026,212.92,"2,737,220",212.11,215.585,209.14
01/02/2026,211.71,"1,673,338",205.49,211.73,204.15
12/31/2025,205.02,"1,211,632",208.04,208.34,204.83
12/30/2025,207.81,"1,043,463",209.29,209.48,207.13
12/29/2025,209.49,"1,760,811",210.5,211.3647,208.88
12/26/2025,211.22,"953,895",211.57,212.52,210.0175
12/24/2025,212.17,"835,706",210.59,212.46,209.74
12/23/2025,209.57,"1,479,280",208.04,210.43,207.9
12/22/2025,208.17,"1,919,534",205.0,209.24,201.42
12/19/2025,203.49,"3,462,452",198.97,203.8,198.5
12/18/2025,198.0,"2,899,899",193.7,200.0625,193.58
12/17/2025,191.19,"2,645,145",195.2,197.91,191.045
12/16/2025,195.18,"3,017,463",194.67,196.22,192.51
12/15/2025,197.24,"2,231,616",198.2,201.21,195.74
12/12/2025,198.31,"2,466,520",198.18,201.66,195.7
12/11/2025,195.89,"1,971,008",191.65,196.245,189.19
12/10/2025,192.39,"2,296,003",191.97,194.37,190.32
12/09/2025,191.36,"2,234,724",193.6,195.05,191.245
12/08/2025,193.64,"2,661,624",191.69,194.69,190.8077
12/05/2025,190.98,"2,754,339",197.0,197.16,188.83
12/04/2025,196.27,"1,976,940",193.95,197.75,193.2
12/03/2025,194.29,"1,851,496",196.65,196.88,192.05
12/02/2025,196.26,"2,551,835",200.66,201.22,194.97
12/01/2025,198.74,"1,832,456",203.0,203.57,198.5
11/28/2025,204.59,"688,614",206.15,207.77,202.6801
11/26/2025,204.63,"1,968,376",204.2,207.44,204.2
11/25/2025,203.68,"3,035,722",201.97,204.4,198.73
11/24/2025,200.12,"3,086,379",197.61,201.17,196.98
11/21/2025,197.28,"2,927,913",197.0,198.65,192.76
11/20/2025,197.92,"2,487,357",206.72,207.85,197.57
11/19/2025,202.06,"2,152,145",201.22,205.35,200.66
11/18/2025,201.22,"2,035,177",200.81,202.36,196.641
11/17/2025,200.28,"1,469,270",203.97,204.7,199.0
11/14/2025,203.29,"1,573,858",200.0,205.0,197.0
11/13/2025,201.3,"3,006,414",205.86,205.86,200.261
11/12/2025,205.07,"2,144,529",208.57,210.3201,204.75
11/11/2025,208.9,"1,435,346",208.27,209.96,204.8
11/10/2025,209.74,"1,414,005",208.83,211.775,206.87
11/07/2025,206.66,"2,282,739",204.69,207.4,201.3242
11/06/2025,205.72,"1,935,802",206.12,208.24,204.67
11/05/2025,206.31,"1,406,553",203.03,207.44,203.03
11/04/2025,205.02,"1,917,769",203.07,205.54,200.59
11/03/2025,206.74,"3,134,555",208.1,210.495,206.54
10/31/2025,205.95,"3,401,920",202.87,209.8,202.87
10/30/2025,201.77,"3,983,113",201.12,211.95,200.0
10/29/2025,203.48,"2,517,363",201.07,205.15,199.6597
10/28/2025,201.04,"2,500,034",203.0,205.29,200.85
10/27/2025,201.84,"1,665,872",201.17,202.84,200.0
10/24/2025,198.51,"2,142,400",201.7,202.4958,198.25
10/23/2025,200.1,"2,300,813",191.61,200.2,191.5041
10/22/2025,191.23,"2,250,958",197.79,200.0,188.86
10/21/2025,197.18,"2,022,624",193.24,197.84,193.08
10/20/2025,192.52,"1,045,121",191.63,193.5025,190.5947
10/17/2025,189.68,"1,523,108",189.84,191.35,187.46
10/16/2025,191.68,"1,352,122",192.98,194.45,190.3794
10/15/2025,192.27,"1,212,905",194.48,196.07,189.03
10/14/2025,193.03,"1,884,482",188.0,194.95,186.875
10/13/2025,189.99,"1,671,661",186.08,190.79,185.83
10/10/2025,184.09,"1,726,251",188.75,190.14,183.83
10/09/2025,188.83,"1,121,394",192.57,192.93,188.59
10/08/2025,191.65,"1,265,787",192.55,193.8306,190.255
10/07/2025,191.46,"1,489,295",190.42,191.515,188.845
10/06/2025,190.48,"1,751,464",188.49,190.98,186.59
10/03/2025,189.25,"1,617,609",191.97,192.0188,186.89
10/02/2025,191.08,"2,133,501",195.12,196.13,190.15
10/01/2025,194.85,"2,267,178",194.16,198.48,193.035
09/30/2025,196.23,"2,384,759",192.39,196.66,191.93
09/29/2025,191.92,"2,485,361",194.69,196.3926,189.92
09/26/2025,193.15,"2,339,698",192.0,194.89,191.13
09/25/2025,189.85,"1,326,907",189.53,190.37,186.73
09/24/2025,190.22,"1,772,359",194.56,194.69,190.09
09/23/2025,193.58,"2,224,919",192.45,194.35,189.72
