date,close,volume,open,high,low
05/15/2026,87.0,"3,907,977",87.07,87.81,85.985
05/14/2026,88.28,"3,728,662",85.37,88.44,85.31
05/13/2026,85.12,"3,143,876",83.88,86.03,83.1
05/12/2026,84.59,"5,247,956",84.22,84.69,82.68
05/11/2026,84.91,"3,101,340",84.28,85.799,83.38
05/08/2026,84.42,"3,595,264",84.58,85.2,83.5
05/07/2026,83.71,"5,150,288",86.87,87.3743,83.53
05/06/2026,87.04,"3,943,119",85.37,87.34,85.37
05/05/2026,83.91,"4,761,690",82.57,84.625,82.46
05/04/2026,81.72,"3,417,194",80.99,82.24,80.455
05/01/2026,80.46,"4,058,794",79.75,81.07,78.92
04/30/2026,79.5,"5,489,017",76.875,80.0,76.5
04/29/2026,77.05,"5,307,126",77.0,77.44,75.68
04/28/2026,77.49,"3,839,195",76.91,77.92,76.34
04/27/2026,77.59,"3,599,320",76.545,78.22,76.445
04/24/2026,76.62,"2,920,137",76.83,76.83,75.32
04/23/2026,75.9,"4,286,732",77.33,78.28,74.62
04/22/2026,78.11,"7,750,801",78.06,79.425,76.7
04/21/2026,79.62,"6,401,933",81.34,82.41,79.21
04/20/2026,81.25,"3,618,529",81.2,81.97,80.805
04/17/2026,81.71,"5,487,857",81.45,82.88,80.87
04/16/2026,79.375,"4,544,113",80.2,80.6931,78.289
04/15/2026,79.69,"5,019,251",78.39,79.805,78.02
04/14/2026,77.1,"5,621,864",75.998,77.245,74.35
04/13/2026,74.55,"4,787,221",70.51,74.73,70.51
04/10/2026,71.21,"3,698,482",72.14,72.275,70.12
04/09/2026,71.93,"4,768,820",71.755,73.09,71.54
04/08/2026,72.31,"5,096,019",72.638,73.48,71.15
04/07/2026,68.11,"3,579,371",68.055,68.3,66.72
04/06/2026,68.62,"2,540,394",68.085,68.85,67.75
04/02/2026,67.74,"3,054,059",66.125,68.88,65.4
04/01/2026,67.91,"5,917,497",68.38,70.0,67.79
03/31/2026,67.07,"4,618,938",64.795,67.37,64.3
03/30/2026,63.69,"4,263,237",64.7,65.25,63.022
03/27/2026,64.2,"3,882,171",65.5,66.15,64.04
03/26/2026,66.2,"3,518,586",68.085,68.8,65.69
03/25/2026,68.68,"5,457,002",67.15,69.82,66.94
03/24/2026,66.12,"7,816,623",66.902,67.62,64.49
03/23/2026,67.84,"7,274,273",67.3,69.315,66.81
03/20/2026,65.47,"8,997,233",67.68,67.92,65.0
03/19/2026,67.69,"5,189,536",67.48,68.2,66.92
03/18/2026,68.45,"4,464,662",68.5,69.4899,68.24
03/17/2026,68.63,"2,742,280",68.91,69.93,68.315
03/16/2026,68.28,"4,185,220",67.25,69.305,67.07
03/13/2026,66.19,"3,384,318",67.24,68.165,65.87
03/12/2026,66.92,"3,988,257",66.81,67.29,65.89
03/11/2026,68.39,"3,179,252",68.225,69.035,67.04
03/10/2026,68.5,"4,928,586",67.68,69.985,66.68
03/09/2026,67.49,"4,969,251",65.34,67.5,63.485
03/06/2026,66.7,"5,378,661",66.3,67.42,65.27
03/05/2026,68.05,"4,682,763",68.47,69.39,66.68
03/04/2026,69.15,"4,587,338",70.6,71.07,68.44
03/03/2026,69.4,"6,824,440",68.97,70.38,67.525
03/02/2026,71.67,"5,363,825",69.222,73.38,68.57
02/27/2026,71.19,"6,182,111",72.66,73.05,69.65
02/26/2026,74.56,"3,705,787",73.675,74.59,72.325
02/25/2026,73.65,"2,898,886",73.11,73.75,72.4
02/24/2026,71.92,"3,447,051",71.05,72.78,70.15
02/23/2026,71.54,"3,814,120",73.935,74.635,70.6517
02/20/2026,74.395,"2,767,002",73.64,74.75,73.16
02/19/2026,73.99,"2,459,499",73.94,74.23,72.8104
02/18/2026,74.9,"4,592,219",73.47,75.49,73.29
02/17/2026,73.29,"5,587,525",73.845,74.15,71.55
02/13/2026,74.75,"4,385,419",73.0,75.26,71.51
02/12/2026,73.06,"6,887,577",76.66,77.67,72.24
02/11/2026,76.35,"3,569,172",77.63,77.85,74.8
02/10/2026,77.2,"5,564,584",77.88,79.18,76.06
02/09/2026,78.42,"3,909,319",74.72,78.62,74.35
02/06/2026,74.59,"4,891,423",71.89,74.86,71.0
02/05/2026,69.49,"8,775,657",71.605,72.33,69.0089
02/04/2026,73.44,"8,126,622",74.95,75.05,71.71
02/03/2026,74.93,"5,481,805",76.52,76.709,73.8
02/02/2026,75.27,"6,897,631",74.69,77.975,73.1
01/30/2026,74.88,"3,412,786",75.045,76.09,74.49
01/29/2026,75.66,"3,984,831",76.44,77.545,73.5301
01/28/2026,75.45,"4,695,702",75.93,76.38,74.7
01/27/2026,75.48,"4,948,766",75.42,76.01,74.5112
01/26/2026,75.35,"6,292,831",77.365,78.8,75.29
01/23/2026,77.58,"8,053,385",76.905,78.56,76.905
01/22/2026,77.21,"5,989,541",77.12,77.768,76.28
01/21/2026,75.8,"10,541,610",72.0,76.97,70.89
01/20/2026,71.51,"9,304,913",72.0,73.03,70.79
01/16/2026,73.36,"4,127,413",74.05,74.0722,72.0601
01/15/2026,73.68,"6,760,350",71.9,75.64,71.9
01/14/2026,71.35,"5,180,461",70.38,71.4,69.33
01/13/2026,70.59,"3,637,595",71.0,71.59,69.965
01/12/2026,70.79,"2,831,605",70.38,71.44,70.1
01/09/2026,70.47,"3,796,852",70.8,71.26,69.98
01/08/2026,70.16,"4,124,133",71.33,71.54,69.54
01/07/2026,71.34,"4,163,222",72.34,72.72,71.24
01/06/2026,72.88,"4,603,824",71.94,72.96,71.27
01/05/2026,71.57,"5,283,121",67.95,71.69,67.85
01/02/2026,67.23,"4,881,971",65.41,67.56,65.05
12/31/2025,64.31,"2,300,802",65.04,65.19,64.24
12/30/2025,65.0,"2,106,679",65.65,66.4,64.88
12/29/2025,65.35,"2,442,198",65.7,65.8,64.9001
12/26/2025,66.16,"1,918,291",65.98,66.2406,65.7
12/24/2025,65.98,"1,344,516",65.84,66.13,65.47
12/23/2025,65.96,"3,085,404",65.8,66.335,65.455
12/22/2025,65.795,"3,119,351",65.27,65.92,64.4
12/19/2025,64.26,"4,757,916",63.25,64.72,63.25
12/18/2025,62.94,"3,709,531",63.69,64.0,62.55
12/17/2025,62.45,"3,907,330",63.5,64.695,62.1
12/16/2025,63.06,"3,552,375",62.87,63.3,62.31
12/15/2025,62.87,"4,701,353",64.54,64.55,62.66
12/12/2025,64.15,"5,181,267",66.0,66.0,62.575
12/11/2025,66.06,"4,002,288",66.14,66.615,64.8
12/10/2025,66.67,"3,101,640",65.75,67.13,65.38
12/09/2025,65.56,"3,147,535",65.48,66.245,65.24
12/08/2025,65.81,"2,583,488",64.65,65.87,64.2
12/05/2025,64.5,"3,154,754",65.75,66.045,64.4
12/04/2025,65.95,"3,100,450",64.99,66.19,64.83
12/03/2025,64.96,"2,400,133",63.77,65.09,63.59
12/02/2025,63.59,"5,651,020",64.23,64.3,63.15
12/01/2025,63.54,"5,982,491",64.225,65.33,62.15
11/28/2025,65.02,"2,725,018",65.0,65.275,64.41
11/26/2025,64.19,"3,547,740",63.91,64.69,63.47
11/25/2025,63.17,"3,034,867",62.34,63.46,61.03
11/24/2025,62.43,"4,423,022",61.515,62.71,61.16
11/21/2025,61.05,"6,901,340",61.54,61.75,58.95
11/20/2025,61.56,"5,978,585",66.25,67.33,61.274
11/19/2025,64.56,"3,073,596",63.52,64.955,63.4306
11/18/2025,63.27,"4,146,723",62.72,64.26,62.09
11/17/2025,63.41,"4,917,977",65.76,66.48,62.96
11/14/2025,66.03,"5,337,077",65.41,67.23,64.42
11/13/2025,67.04,"6,274,122",72.52,72.52,66.74
11/12/2025,72.7,"4,300,154",71.39,72.98,71.0
11/11/2025,70.87,"2,780,397",70.49,71.485,70.49
11/10/2025,71.13,"3,255,200",71.835,72.3,70.382
11/07/2025,70.54,"4,294,893",69.01,70.85,67.6
11/06/2025,69.86,"3,574,641",71.045,71.23,68.72
11/05/2025,71.62,"2,768,995",71.195,72.191,70.05
11/04/2025,70.69,"4,801,672",70.91,72.0899,69.3
11/03/2025,73.08,"6,430,480",70.89,73.27,70.16
10/31/2025,70.36,"3,834,474",69.03,70.9,68.28
10/30/2025,68.51,"3,071,242",68.66,70.56,68.32
10/29/2025,69.19,"2,903,432",68.71,69.63,68.14
10/28/2025,68.65,"2,595,277",70.0,70.0,68.57
10/27/2025,69.49,"3,154,471",69.935,70.26,69.15
10/24/2025,68.75,"4,238,485",68.155,69.49,67.78
10/23/2025,67.17,"8,459,324",65.025,67.96,65.01
10/22/2025,64.77,"5,747,020",66.56,66.95,64.15
10/21/2025,66.27,"3,765,423",66.745,67.59,65.8782
10/20/2025,66.94,"5,249,739",67.38,68.33,66.035
10/17/2025,66.23,"9,231,441",66.69,69.02,65.21
10/16/2025,68.52,"10,050,050",70.81,71.09,67.88
10/15/2025,69.77,"4,912,471",70.625,70.96,68.79
10/14/2025,69.36,"4,746,691",69.32,71.14,68.11
10/13/2025,70.52,"2,899,171",70.78,70.94,69.76
10/10/2025,69.01,"5,043,711",72.485,73.35,68.8001
10/09/2025,72.62,"3,013,922",71.64,72.715,71.45
10/08/2025,72.05,"4,341,019",70.0,72.3,69.35
10/07/2025,69.35,"3,242,142",70.13,70.41,68.564
10/06/2025,69.61,"3,723,393",70.97,71.44,69.52
10/03/2025,70.36,"3,740,628",71.77,71.7789,69.54
10/02/2025,70.95,"5,379,174",69.48,71.629,69.19
10/01/2025,68.78,"7,265,501",67.86,70.49,67.05
09/30/2025,68.81,"4,919,990",68.7,70.27,67.87
09/29/2025,68.8,"5,912,472",66.8,68.83,66.62
09/26/2025,66.12,"3,881,106",65.58,66.32,65.095
09/25/2025,64.97,"3,126,836",63.51,65.5,62.86
09/24/2025,64.46,"3,783,313",66.12,66.35,64.25
09/23/2025,65.49,"5,352,894",64.3,66.105,64.105
09/22/2025,64.22,"4,776,981",64.185,64.76,63.48
09/19/2025,65.03,"8,102,893",65.445,65.47,64.15
09/18/2025,64.92,"6,262,027",62.7,65.54,62.61
09/17/2025,62.34,"5,261,736",62.56,63.09,61.2635
09/16/2025,62.48,"4,099,064",62.25,62.72,61.56
09/15/2025,62.25,"4,073,841",63.82,64.325,62.21
09/12/2025,63.7,"3,396,667",63.3,64.43,63.03
09/11/2025,63.34,"3,946,436",62.53,63.79,62.28
09/10/2025,62.51,"3,824,740",62.425,62.945,62.0
09/09/2025,62.21,"4,619,691",60.86,62.44,60.66
09/08/2025,61.11,"5,544,945",60.83,61.67,60.78
09/05/2025,60.16,"11,597,850",64.1,64.22,59.9401
09/04/2025,64.28,"5,551,766",64.1,64.77,63.865
09/03/2025,63.95,"5,778,607",63.95,64.27,63.165
09/02/2025,63.9,"7,413,915",61.3,63.91,60.79
08/29/2025,62.24,"6,085,015",62.475,62.81,61.64
08/28/2025,62.78,"8,206,988",62.475,62.96,62.01
08/27/2025,61.79,"98,998,620",62.58,62.75,61.16
08/26/2025,63.3,"12,322,390",64.5,64.5,61.85
08/25/2025,62.76,"5,090,177",62.39,63.23,62.15
08/22/2025,62.4,"3,867,479",62.6,63.3847,61.385
08/21/2025,62.47,"2,660,649",62.38,62.795,61.94
08/20/2025,62.455,"5,595,523",62.14,62.56,60.06
08/19/2025,62.41,"3,855,960",63.78,63.97,62.17
08/18/2025,63.64,"3,732,296",63.225,63.96,62.73
08/15/2025,63.31,"2,786,693",63.802,64.2,62.75
08/14/2025,63.92,"3,688,243",63.345,64.59,62.8
08/13/2025,63.49,"9,351,105",67.8,67.865,62.03
08/12/2025,67.63,"3,891,964",67.075,68.07,66.7
08/11/2025,66.18,"2,661,080",66.61,66.63,65.41
08/08/2025,65.91,"3,529,074",64.69,66.06,64.4501
08/07/2025,64.25,"3,357,899",64.295,64.5,63.24
08/06/2025,63.82,"2,898,452",63.64,64.35,63.07
08/05/2025,63.71,"4,161,395",65.03,65.5,63.21
08/04/2025,64.9,"3,006,674",64.332,64.94,63.77
08/01/2025,63.61,"7,976,403",63.705,66.18,62.22
07/31/2025,65.56,"4,059,115",66.575,66.76,65.47
07/30/2025,66.22,"3,832,681",65.57,66.82,65.25
07/29/2025,65.2,"4,651,670",65.68,66.09,64.95
07/28/2025,65.39,"3,616,004",66.31,66.61,65.15
07/25/2025,65.5,"5,152,547",64.96,65.96,64.36
07/24/2025,64.7,"6,355,910",63.45,64.79,63.24
07/23/2025,63.32,"4,678,512",62.59,63.34,62.27
07/22/2025,62.25,"7,216,917",61.8,62.47,59.63
07/21/2025,62.0,"7,994,601",62.8,63.33,61.71
07/18/2025,64.05,"15,013,990",63.805,65.738,62.53
07/17/2025,59.43,"8,101,573",59.26,60.37,58.8
07/16/2025,59.45,"5,991,931",60.03,60.3799,58.18
07/15/2025,59.63,"6,061,147",59.31,60.35,58.5
07/14/2025,59.6,"4,432,867",59.28,59.74,58.695
07/11/2025,58.6,"4,434,708",58.69,59.62,58.38
07/10/2025,58.92,"3,709,582",58.26,59.21,57.62
07/09/2025,57.84,"5,163,490",56.95,58.74,56.93
07/08/2025,56.62,"4,832,662",58.255,58.3843,56.33
07/07/2025,57.78,"4,166,124",58.11,58.7,57.45
07/03/2025,57.98,"4,499,824",58.405,58.4799,57.29
07/02/2025,58.22,"6,904,936",56.961,58.285,56.5
07/01/2025,56.32,"8,968,700",55.565,56.615,53.14
06/30/2025,55.41,"5,775,524",55.175,55.62,54.3022
06/27/2025,53.96,"11,180,320",53.855,54.6,52.96
06/26/2025,53.41,"5,889,318",52.39,53.9499,51.95
06/25/2025,52.26,"4,457,372",52.32,53.15,51.83
06/24/2025,51.64,"3,353,823",51.58,51.865,50.825
06/23/2025,50.53,"5,656,180",51.23,51.73,49.3
06/20/2025,51.34,"6,912,756",52.66,53.3,51.2
06/18/2025,52.6,"4,461,773",52.088,52.85,51.7
06/17/2025,52.0425,"3,683,768",52.0175,52.718,51.655
06/16/2025,52.415,"4,000,556",51.165,52.745,51.0975
06/13/2025,50.54,"3,405,960",51.1675,51.1925,50.185
06/12/2025,51.245,"2,906,644",50.425,51.375,50.1775
06/11/2025,51.1275,"4,221,132",51.32,51.745,50.605
06/10/2025,51.2625,"4,837,208",50.9,51.62,50.135
06/09/2025,51.1675,"8,047,636",52.3125,52.3125,49.15
06/06/2025,52.9575,"6,523,468",52.65,53.4775,52.1775
06/05/2025,51.705,"5,035,548",51.5625,52.16,51.05
06/04/2025,51.5075,"4,561,208",52.0075,52.4114,51.5025
06/03/2025,51.9775,"4,966,516",51.9175,52.335,51.2225
06/02/2025,52.05,"4,780,820",52.2375,52.7,51.0
05/30/2025,52.42,"7,512,700",51.9625,52.5538,51.135
05/29/2025,52.325,"3,862,996",53.44,53.535,51.945
05/28/2025,52.7025,"2,746,472",53.1325,53.375,52.6488
05/27/2025,53.1325,"5,057,952",52.3062,53.225,51.84
