date,close,volume,open,high,low
05/15/2026,219.3,"6,154,450",218.2,220.91,217.615
05/14/2026,218.37,"5,906,199",215.545,220.96,215.0
05/13/2026,214.64,"8,361,214",218.27,218.31,212.34
05/12/2026,219.22,"6,045,225",224.43,224.43,219.22
05/11/2026,223.55,"6,677,186",228.66,230.23,222.55
05/08/2026,229.76,"5,332,800",229.73,230.705,224.83
05/07/2026,231.31,"5,485,545",227.5,231.82,227.41
05/06/2026,225.74,"7,673,185",228.75,229.0,224.38
05/05/2026,229.03,"4,221,889",230.16,231.0,227.15
05/04/2026,229.48,"4,003,082",232.0,234.09,228.615
05/01/2026,232.2,"3,582,091",234.55,235.95,231.75
04/30/2026,230.98,"6,283,334",226.53,231.6,224.9
04/29/2026,227.1,"6,443,724",230.34,231.48,226.82
04/28/2026,233.04,"5,162,895",230.5,233.555,228.46
04/27/2026,228.05,"8,060,665",229.95,231.32,227.12
04/24/2026,231.98,"9,816,859",231.93,232.7999,225.0
04/23/2026,231.08,"22,297,830",232.27,232.91,221.73
04/22/2026,251.86,"12,190,200",254.51,257.54,247.21
04/21/2026,255.68,"5,584,901",254.0,258.09,251.865
04/20/2026,253.71,"5,157,714",255.0,258.5,252.56
04/17/2026,253.47,"5,671,471",254.67,255.65,251.04
04/16/2026,251.0,"4,817,500",248.75,251.22,246.125
04/15/2026,244.8,"3,879,518",242.25,246.06,240.985
04/14/2026,240.27,"3,777,272",238.75,241.5375,238.12
04/13/2026,237.82,"5,349,619",233.63,238.07,231.7
04/10/2026,230.76,"5,869,361",239.19,239.2674,230.51
04/09/2026,237.18,"5,078,595",240.88,241.74,233.76
04/08/2026,241.74,"4,771,476",248.63,250.0,240.8
04/07/2026,245.07,"2,356,072",245.32,245.76,241.1
04/06/2026,246.74,"3,376,019",248.14,248.8999,244.74
04/02/2026,248.16,"3,350,858",243.0,248.2103,241.485
04/01/2026,243.14,"4,228,653",242.12,246.2618,240.14
03/31/2026,242.39,"4,750,293",240.27,242.85,236.38
03/30/2026,237.25,"3,882,602",237.8,240.21,236.131
03/27/2026,236.34,"4,853,707",238.85,239.44,233.75
03/26/2026,241.67,"3,606,840",240.56,246.6742,239.8
03/25/2026,241.39,"4,207,946",243.6,246.19,238.0
03/24/2026,240.59,"4,151,491",246.445,247.11,238.0
03/23/2026,248.44,"4,972,008",246.5,251.35,244.7101
03/20/2026,241.77,"11,314,090",249.0,250.28,241.77
03/19/2026,250.37,"4,249,458",249.43,252.19,248.25
03/18/2026,251.6,"5,177,047",254.16,258.28,250.16
03/17/2026,256.11,"5,840,139",250.51,256.39,250.0
03/16/2026,249.25,"5,674,228",247.87,252.2,246.1
03/13/2026,246.28,"4,338,431",247.67,249.72,244.71
03/12/2026,247.68,"5,547,724",247.1,250.045,245.64
03/11/2026,248.87,"4,012,239",250.005,253.715,247.2
03/10/2026,250.2,"4,937,960",253.26,253.44,246.55
03/09/2026,253.33,"6,126,567",255.38,258.08,251.571
03/06/2026,258.85,"6,234,402",256.44,259.3999,252.21
03/05/2026,256.55,"9,899,962",249.32,260.38,249.0
03/04/2026,250.06,"6,084,995",245.745,250.85,244.955
03/03/2026,245.28,"6,960,369",236.35,246.09,234.29
03/02/2026,239.37,"6,220,287",235.7,240.78,233.78
02/27/2026,240.21,"6,642,222",238.07,240.21,234.565
02/26/2026,242.01,"7,343,055",239.71,247.4899,238.95
02/25/2026,237.54,"8,569,713",233.22,239.55,231.22
02/24/2026,229.32,"13,379,820",227.8,236.5937,223.63
02/23/2026,223.35,"19,522,880",254.37,255.19,220.72
02/20/2026,257.16,"4,708,550",255.195,259.04,253.8
02/19/2026,256.28,"4,948,700",256.0,258.28,253.511
02/18/2026,260.79,"3,949,229",258.64,261.11,256.25
02/17/2026,258.31,"4,929,733",259.2,260.7,254.65
02/13/2026,262.38,"6,842,620",260.0,264.66,256.64
02/12/2026,259.52,"12,565,380",270.3,271.3,257.22
02/11/2026,272.81,"7,628,244",292.34,293.5,272.3601
02/10/2026,291.76,"3,837,343",294.99,297.61,290.33
02/09/2026,296.34,"4,627,815",295.91,297.72,291.42
02/06/2026,298.93,"3,744,313",292.5,299.89,290.657
02/05/2026,289.89,"5,532,797",286.1,291.81,285.1
02/04/2026,289.05,"8,708,033",291.41,291.41,278.96
02/03/2026,294.31,"11,466,530",312.4,312.975,283.85
02/02/2026,314.73,"4,581,189",307.51,316.64,306.41
01/30/2026,306.7,"5,940,669",307.6,307.783,299.73
01/29/2026,309.24,"10,124,930",317.86,319.9,303.47
01/28/2026,294.16,"5,790,347",294.17,295.95,291.2601
01/27/2026,293.86,"2,954,936",297.16,297.33,293.27
01/26/2026,296.33,"3,726,890",293.16,296.815,293.14
01/23/2026,292.44,"3,298,424",294.07,294.335,289.79
01/22/2026,294.67,"3,670,152",299.42,300.925,293.5321
01/21/2026,297.54,"5,185,023",292.76,297.67,292.51
01/20/2026,291.35,"7,275,490",301.35,301.6,290.16
01/16/2026,305.67,"6,199,635",301.0,307.45,300.78
01/15/2026,297.95,"4,932,480",309.0,311.88,297.04
01/14/2026,309.03,"3,779,045",303.5,309.19,301.5
01/13/2026,303.16,"4,507,760",311.6,312.81,301.87
01/12/2026,312.18,"3,895,197",302.62,312.33,299.96
01/09/2026,304.22,"2,718,828",302.61,307.0,302.0
01/08/2026,302.72,"3,343,273",295.0,303.67,295.0
01/07/2026,296.73,"2,833,274",302.5,304.31,296.345
01/06/2026,302.47,"4,147,315",295.0,303.04,294.42
01/05/2026,294.97,"4,189,960",295.77,299.19,294.25
01/02/2026,291.5,"4,662,804",297.56,297.5699,289.0
12/31/2025,296.21,"3,430,133",301.76,301.85,295.87
12/30/2025,302.05,"1,883,651",306.15,306.235,302.0
12/29/2025,305.74,"4,664,711",304.65,310.0,303.75
12/26/2025,305.09,"2,814,732",304.69,305.75,303.665
12/24/2025,304.56,"1,210,642",303.76,305.15,302.3
12/23/2025,303.78,"2,923,037",301.34,305.13,300.65
12/22/2025,302.79,"2,612,100",301.03,303.18,298.32
12/19/2025,300.98,"11,031,340",300.35,306.86,299.1
12/18/2025,300.45,"5,411,669",303.15,304.45,295.7
12/17/2025,303.32,"3,130,954",303.79,306.25,303.08
