date,close,volume,open,high,low
05/15/2026,154.36,"2,191,156",156.37,156.9999,154.035
05/14/2026,155.72,"1,989,724",155.82,156.0,154.01
05/13/2026,154.8,"2,097,929",154.77,155.62,152.67
05/12/2026,155.81,"2,810,740",158.11,158.9025,155.345
05/11/2026,157.82,"2,886,850",155.06,157.86,154.05
05/08/2026,155.82,"2,953,022",156.08,156.97,153.59
05/07/2026,156.11,"3,549,724",152.42,156.35,152.354
05/06/2026,153.4,"3,104,516",155.27,155.85,153.3
05/05/2026,155.28,"4,650,641",157.01,157.41,153.45
05/04/2026,156.44,"3,988,076",154.3,158.58,154.3
05/01/2026,154.75,"3,222,608",159.06,161.0,154.74
04/30/2026,158.09,"5,847,499",155.06,161.3374,152.5001
04/29/2026,156.19,"2,794,948",155.0,156.45,153.96
04/28/2026,156.3,"2,772,006",158.9,159.69,156.05
04/27/2026,156.95,"2,956,939",159.42,159.438,156.87
04/24/2026,158.45,"2,975,330",156.4,158.94,155.83
04/23/2026,157.48,"2,593,840",158.16,159.25,155.31
04/22/2026,158.82,"2,239,023",159.59,160.29,158.06
04/21/2026,158.63,"3,103,773",160.9,161.93,158.295
04/20/2026,160.61,"2,752,581",161.41,163.0,160.3
04/17/2026,161.24,"4,881,744",164.0,164.33,159.84
04/16/2026,163.75,"2,847,551",165.07,165.89,162.9
04/15/2026,165.07,"2,001,812",163.19,165.795,162.33
04/14/2026,162.04,"2,684,555",163.46,164.1599,161.51
04/13/2026,164.31,"1,871,745",160.47,164.61,160.47
04/10/2026,160.6,"2,754,519",161.07,162.605,157.78
04/09/2026,161.97,"3,434,426",167.53,167.75,161.66
04/08/2026,167.79,"2,509,923",165.42,168.195,163.8
04/07/2026,166.3,"2,568,672",166.73,167.78,165.98
04/06/2026,166.39,"2,348,303",163.27,167.0,163.27
04/02/2026,162.98,"4,308,492",158.13,163.65,158.04
04/01/2026,158.08,"2,789,282",156.77,158.5,155.24
03/31/2026,157.28,"3,754,899",158.09,158.94,155.91
03/30/2026,156.94,"2,928,527",154.19,157.25,153.9
03/27/2026,152.67,"2,702,187",155.69,156.49,152.38
03/26/2026,155.96,"3,031,469",156.17,157.38,155.53
03/25/2026,156.83,"4,118,835",156.66,158.04,153.58
03/24/2026,155.82,"3,106,567",156.51,157.03,153.98
03/23/2026,157.17,"3,290,659",159.28,159.76,156.525
03/20/2026,158.43,"4,516,083",159.11,159.39,157.7
03/19/2026,158.5,"3,286,715",156.94,159.17,155.96
03/18/2026,157.16,"2,938,098",159.16,159.96,156.89
03/17/2026,160.82,"2,095,602",161.25,162.87,160.16
03/16/2026,161.49,"3,066,881",160.83,161.54,159.87
03/13/2026,159.2,"2,483,697",159.87,160.6,157.88
03/12/2026,158.61,"3,585,888",157.86,159.77,156.965
03/11/2026,157.02,"4,585,539",159.42,159.915,153.64
03/10/2026,160.17,"3,398,107",164.86,164.86,158.85
03/09/2026,165.8,"3,458,722",164.96,166.35,162.5
03/06/2026,166.19,"4,552,903",164.05,167.3,162.58
03/05/2026,164.0,"4,120,056",164.67,167.15,163.01
03/04/2026,166.29,"2,840,396",163.47,166.535,161.81
03/03/2026,164.78,"4,186,545",163.37,166.78,163.035
03/02/2026,164.78,"4,452,477",165.26,168.0,163.99
02/27/2026,164.13,"4,347,016",161.83,165.75,161.0
02/26/2026,162.89,"3,209,654",161.47,163.23,160.825
02/25/2026,160.33,"6,195,363",156.07,160.85,155.43
02/24/2026,155.36,"3,114,381",153.54,156.82,153.54
02/23/2026,154.1,"3,639,631",153.38,154.89,151.77
02/20/2026,154.01,"3,370,560",154.27,155.41,152.39
02/19/2026,154.11,"3,727,924",154.0,155.945,152.4
02/18/2026,155.19,"3,086,468",154.77,155.93,153.67
02/17/2026,153.44,"5,868,897",152.77,154.53,149.37
02/13/2026,152.28,"4,166,455",151.3,153.36,150.965
02/12/2026,149.83,"11,830,710",151.64,152.13,144.18
02/11/2026,151.99,"9,096,897",164.38,164.99,151.045
02/10/2026,164.81,"4,870,353",164.5,168.21,163.5732
02/09/2026,169.48,"3,332,250",168.46,170.87,168.27
02/06/2026,169.0,"3,539,793",169.85,173.86,166.81
02/05/2026,168.29,"5,663,751",168.68,174.305,166.01
02/04/2026,164.85,"6,603,864",161.59,165.48,159.83
02/03/2026,163.07,"9,070,538",170.58,171.2,158.83
02/02/2026,173.18,"3,467,347",174.0,175.39,171.1685
01/30/2026,173.78,"3,306,115",174.24,175.05,171.2133
01/29/2026,175.1,"3,193,183",173.04,176.05,173.04
01/28/2026,172.44,"3,209,527",172.52,173.7525,171.355
01/27/2026,173.28,"2,866,943",174.56,175.38,172.85
01/26/2026,175.1,"2,615,972",173.19,175.38,172.96
01/23/2026,172.93,"2,697,896",174.13,174.43,172.65
01/22/2026,174.35,"2,967,915",171.97,174.82,171.7475
01/21/2026,171.9,"2,597,773",171.46,173.26,171.32
01/20/2026,170.95,"3,771,060",171.0,174.29,169.42
01/16/2026,173.98,"4,415,775",173.21,175.36,171.86
01/15/2026,173.28,"4,660,126",173.78,174.38,171.21
01/14/2026,172.94,"5,261,835",166.44,173.05,165.905
01/13/2026,166.69,"2,968,745",166.25,166.75,163.6
