date,close,volume,open,high,low
05/15/2026,142.54,"1,770,155",141.46,143.86,138.06
05/14/2026,143.24,"2,008,080",149.45,150.2,142.97
05/13/2026,145.0,"2,089,027",146.14,148.87,143.21
05/12/2026,145.7,"2,839,189",143.5,146.75,142.36
05/11/2026,142.51,"2,063,652",140.67,145.21,139.0
05/08/2026,141.88,"1,499,702",138.0,142.2,134.67
05/07/2026,138.71,"1,241,144",141.37,142.395,137.1
05/06/2026,142.58,"1,332,062",139.04,143.01,137.96
05/05/2026,139.07,"1,236,498",139.58,142.41,136.36
05/04/2026,139.37,"2,013,435",135.45,140.84,133.97
05/01/2026,135.78,"2,775,132",133.22,136.63,128.06
04/30/2026,126.74,"2,415,171",121.72,128.1199,121.43
04/29/2026,120.37,"1,741,072",125.9,127.435,119.14
04/28/2026,126.92,"1,250,053",127.97,128.1,125.05
04/27/2026,128.52,"1,273,525",126.93,129.28,126.93
04/24/2026,127.88,"886,627",124.65,128.17,124.02
04/23/2026,125.44,"1,505,178",128.46,128.67,121.265
04/22/2026,130.5,"1,165,422",133.22,133.645,129.16
04/21/2026,131.98,"1,547,342",133.2,137.785,131.01
04/20/2026,132.86,"987,688",134.12,134.49,132.3201
04/17/2026,134.5,"1,537,385",133.47,135.58,130.57
04/16/2026,132.72,"1,325,563",131.82,132.82,128.31
04/15/2026,132.26,"1,461,671",130.34,133.37,130.2
04/14/2026,130.32,"1,317,608",126.79,130.79,126.49
04/13/2026,126.96,"1,350,624",121.39,127.83,120.6049
04/10/2026,120.93,"1,805,754",125.07,125.932,118.3
04/09/2026,123.67,"2,307,091",126.03,126.9326,122.695
04/08/2026,128.0,"1,674,976",130.99,132.79,125.71
04/07/2026,126.44,"797,398",127.0,129.06,125.24
04/06/2026,127.74,"1,033,916",127.3,128.72,126.48
04/02/2026,127.38,"960,577",124.44,130.0,124.0
04/01/2026,126.63,"1,224,267",123.62,128.5,122.61
03/31/2026,123.26,"1,386,370",121.98,126.105,121.95
03/30/2026,120.81,"1,224,558",119.58,122.445,118.82
03/27/2026,117.67,"1,224,145",123.0,123.32,116.735
03/26/2026,124.4,"963,816",125.27,127.3,124.245
03/25/2026,126.2,"1,408,574",126.21,128.74,122.04
03/24/2026,125.98,"1,030,640",123.11,126.665,122.27
03/23/2026,123.79,"1,309,412",126.22,126.99,122.22
03/20/2026,124.33,"2,663,974",127.52,128.19,123.0
03/19/2026,126.59,"1,573,791",121.54,127.41,121.54
03/18/2026,122.95,"1,202,919",120.35,123.85,119.61
03/17/2026,120.84,"1,430,281",120.53,123.085,120.06
03/16/2026,119.28,"1,944,308",120.0,122.925,117.49
03/13/2026,118.94,"1,769,749",116.1,120.405,116.1
03/12/2026,115.56,"1,718,053",120.27,122.04,115.31
03/11/2026,121.5,"2,019,421",122.0,123.71,119.98
03/10/2026,122.35,"1,434,768",124.32,125.05,120.36
03/09/2026,124.28,"1,592,746",124.245,124.795,121.19
03/06/2026,124.62,"1,477,749",126.74,127.745,124.06
03/05/2026,128.24,"1,317,646",127.66,132.07,127.32
03/04/2026,128.97,"1,308,132",130.895,132.285,128.6
03/03/2026,129.56,"1,435,963",129.69,131.32,127.11
03/02/2026,132.89,"2,200,874",131.75,133.34,129.88
02/27/2026,134.46,"4,008,713",127.965,134.76,127.0
02/26/2026,127.4,"3,782,335",122.76,127.64,118.53
02/25/2026,121.87,"1,684,646",123.825,124.025,120.88
02/24/2026,122.9,"2,333,392",120.87,124.96,120.6
02/23/2026,120.54,"1,971,822",116.55,120.6,115.88
02/20/2026,117.67,"2,114,154",116.18,119.685,115.8
02/19/2026,120.0,"1,892,221",119.28,120.41,118.68
02/18/2026,120.09,"2,617,186",116.18,120.74,116.06
02/17/2026,116.51,"3,040,547",115.58,117.155,114.025
02/13/2026,116.81,"1,902,974",115.195,117.47,114.94
02/12/2026,114.44,"3,218,017",118.15,118.15,112.65
02/11/2026,116.38,"2,032,783",118.29,119.17,116.2
02/10/2026,119.32,"2,485,416",117.5,119.92,115.205
02/09/2026,117.25,"2,477,387",119.72,119.75,116.67
02/06/2026,119.72,"4,451,159",125.99,128.1632,117.67
02/05/2026,133.61,"2,974,711",133.685,136.15,132.5
02/04/2026,134.19,"2,936,339",137.1,140.6499,133.33
02/03/2026,135.43,"2,357,730",141.33,143.058,135.02
02/02/2026,141.13,"2,284,226",142.7,143.555,139.79
01/30/2026,144.81,"2,477,194",149.33,149.4,143.0
01/29/2026,149.69,"2,174,589",150.32,150.32,145.68
01/28/2026,149.86,"1,848,253",152.42,152.78,148.49
01/27/2026,152.09,"1,495,005",152.26,153.475,150.77
01/26/2026,153.0,"2,693,201",149.36,153.07,147.57
01/23/2026,150.28,"2,765,006",154.03,154.03,148.17
01/22/2026,153.95,"1,668,196",153.25,155.529,152.95
01/21/2026,152.48,"2,269,034",147.27,153.11,147.27
01/20/2026,147.17,"2,090,295",137.78,148.09,137.0
01/16/2026,141.65,"1,901,812",145.3,145.42,141.37
01/15/2026,145.3,"1,700,422",144.68,146.82,142.8
01/14/2026,143.97,"2,065,648",147.0,148.57,140.19
01/13/2026,146.99,"2,298,204",150.0,151.0,142.53
01/12/2026,145.55,"1,648,889",142.22,145.7,141.63
01/09/2026,141.07,"1,909,082",145.25,145.8,139.79
01/08/2026,145.83,"1,604,648",150.14,150.14,145.65
01/07/2026,150.14,"2,383,552",146.95,151.34,146.41
01/06/2026,147.11,"2,339,146",141.48,147.4999,140.9
01/05/2026,141.33,"2,234,176",134.36,141.54,134.36
01/02/2026,134.35,"1,157,651",131.33,134.445,130.42
12/31/2025,131.16,"777,379",132.4,132.609,130.48
12/30/2025,132.75,"759,740",133.91,134.05,132.6
12/29/2025,134.48,"1,002,327",134.74,135.95,133.165
12/26/2025,134.95,"493,281",135.21,135.65,133.96
12/24/2025,135.32,"597,529",135.65,136.535,132.93
12/23/2025,136.19,"916,568",137.01,137.16,134.205
12/22/2025,137.6,"1,831,440",135.6,138.8,135.41
12/19/2025,134.78,"5,363,142",131.0,135.51,130.75
12/18/2025,130.51,"1,109,593",130.87,133.75,129.99
12/17/2025,129.56,"1,272,081",131.35,133.9,129.29
12/16/2025,131.56,"1,767,807",134.475,134.97,130.54
12/15/2025,134.92,"2,167,753",134.9,136.3,132.7
12/12/2025,134.87,"1,700,293",136.19,137.085,134.1305
12/11/2025,136.44,"1,350,617",133.94,136.64,133.9376
12/10/2025,134.91,"1,847,855",131.65,136.24,131.65
12/09/2025,132.13,"3,246,110",126.53,135.83,126.53
12/08/2025,127.25,"1,270,387",129.27,129.3,126.44
12/05/2025,128.96,"823,388",128.42,129.27,127.6354
12/04/2025,128.03,"948,529",127.08,128.2799,124.27
12/03/2025,127.95,"831,631",128.37,129.72,127.51
12/02/2025,127.55,"1,091,291",129.01,129.5,127.43
12/01/2025,128.72,"1,932,723",129.88,132.15,128.27
11/28/2025,131.45,"965,738",130.0,131.48,129.27
11/26/2025,129.81,"2,081,173",128.82,130.5699,128.45
11/25/2025,129.64,"1,587,651",125.76,130.47,125.5
11/24/2025,125.96,"2,332,648",123.75,127.88,123.33
11/21/2025,123.85,"2,371,951",119.26,125.41,118.97
11/20/2025,119.26,"2,408,965",122.65,126.94,117.86
11/19/2025,120.12,"1,903,016",121.64,122.379,119.85
11/18/2025,121.97,"1,497,701",118.33,122.27,117.5
11/17/2025,120.08,"1,628,786",119.15,122.79,118.59
11/14/2025,120.67,"1,063,314",117.32,121.5,117.1
11/13/2025,119.93,"1,566,171",120.21,123.65,119.04
11/12/2025,121.98,"1,303,672",122.79,124.839,121.84
11/11/2025,122.6,"2,403,440",122.0,125.5,122.0
11/10/2025,121.72,"1,112,061",123.0,124.501,120.73
11/07/2025,121.9,"1,125,924",120.21,122.08,119.36
11/06/2025,121.11,"2,145,034",122.48,124.04,118.5
11/05/2025,122.44,"2,918,164",121.5,126.0,120.0
11/04/2025,116.86,"2,261,411",117.9,121.25,116.21
11/03/2025,119.99,"3,089,120",121.13,124.075,116.26
10/31/2025,123.54,"6,797,259",106.91,123.928,106.12
10/30/2025,99.01,"3,007,881",94.39,99.39,94.0
10/29/2025,95.03,"1,305,710",97.22,98.5548,94.91
10/28/2025,97.8,"1,049,370",100.0,100.18,97.64
10/27/2025,100.35,"1,319,094",101.0,101.0,98.86
10/24/2025,100.11,"948,726",101.44,101.93,100.06
10/23/2025,99.97,"1,298,481",97.23,100.24,97.07
10/22/2025,97.23,"1,651,760",98.39,99.54,95.815
10/21/2025,98.96,"1,319,040",100.41,102.305,98.505
10/20/2025,99.5,"1,750,387",95.61,100.94,95.61
10/17/2025,95.46,"1,165,825",95.2,96.8,94.81
10/16/2025,95.91,"2,160,066",94.05,98.7,93.5
10/15/2025,93.0,"2,762,287",90.71,95.61,90.1
10/14/2025,91.0,"2,558,644",92.75,93.8,88.0
10/13/2025,95.03,"775,038",95.0,96.43,93.59
10/10/2025,93.86,"1,571,814",96.49,96.49,91.65
10/09/2025,96.45,"911,007",97.63,98.7,96.34
10/08/2025,97.78,"1,231,036",96.66,98.39,95.705
10/07/2025,96.68,"1,390,483",101.36,101.95,96.5
10/06/2025,101.02,"1,269,382",102.16,102.68,100.5601
10/03/2025,102.12,"1,679,983",100.35,102.84,99.485
10/02/2025,99.3,"1,899,567",103.0,103.0,98.52
10/01/2025,102.26,"2,336,130",94.97,102.35,94.97
09/30/2025,94.97,"2,127,312",91.64,95.44,91.3
09/29/2025,91.87,"1,457,211",92.26,92.5,90.62
09/26/2025,91.69,"2,163,087",92.29,93.03,91.41
09/25/2025,92.19,"2,026,248",93.51,94.19,91.36
09/24/2025,94.41,"1,666,448",99.5,99.77,93.92
09/23/2025,99.37,"1,184,151",101.335,102.91,98.87
09/22/2025,101.49,"952,037",102.75,102.75,101.07
09/19/2025,102.75,"3,621,727",102.79,103.94,101.69
09/18/2025,103.03,"1,137,918",102.31,103.78,101.6
09/17/2025,100.87,"1,725,543",101.755,104.22,99.5
09/16/2025,101.48,"1,473,258",100.785,102.0,98.86
09/15/2025,100.92,"1,777,898",95.31,101.01,95.2
09/12/2025,95.12,"1,517,122",99.51,99.51,95.12
09/11/2025,99.31,"1,738,366",95.69,99.56,95.6341
09/10/2025,95.49,"1,167,616",98.08,98.8,94.83
09/09/2025,98.22,"783,866",98.42,98.4829,97.02
09/08/2025,98.18,"1,075,555",98.67,98.67,96.8
09/05/2025,98.93,"1,520,132",98.15,100.82,97.37
09/04/2025,97.68,"1,137,692",95.86,97.9199,93.944
09/03/2025,96.07,"1,163,903",97.52,98.05,95.8
09/02/2025,97.82,"1,205,143",98.69,99.3309,95.44
08/29/2025,99.96,"1,009,144",99.19,100.435,98.91
08/28/2025,99.17,"1,144,995",99.73,100.0175,97.82
08/27/2025,99.54,"1,169,095",98.54,99.73,98.1
08/26/2025,98.73,"1,800,170",99.8,100.83,98.51
08/25/2025,99.66,"1,686,442",101.37,101.77,99.465
08/22/2025,101.8,"1,965,335",100.05,103.65,99.425
08/21/2025,99.29,"1,257,205",99.65,101.55,99.08
08/20/2025,100.8,"1,435,709",101.14,101.19,99.25
08/19/2025,101.6,"1,025,109",100.82,102.8,100.25
08/18/2025,100.53,"1,211,463",100.77,101.035,99.39
08/15/2025,100.11,"1,534,869",100.63,101.675,99.82
08/14/2025,100.09,"1,314,361",99.86,100.6125,98.85
08/13/2025,101.11,"1,671,131",98.2,101.37,98.0226
08/12/2025,97.38,"1,491,083",94.52,98.13,94.385
08/11/2025,94.78,"1,481,843",94.27,95.69,93.98
08/08/2025,94.56,"1,361,728",95.985,96.22,93.32
08/07/2025,95.5,"1,324,695",95.39,96.49,94.0
08/06/2025,94.43,"2,152,452",98.095,98.385,92.7
08/05/2025,97.76,"2,487,855",98.45,99.54,97.6
08/04/2025,98.44,"2,360,556",95.03,98.475,94.0
08/01/2025,94.66,"4,770,060",92.608,99.9,92.19
07/31/2025,102.71,"3,421,101",105.5,107.63,102.29
07/30/2025,106.66,"1,713,495",109.07,109.59,105.69
07/29/2025,108.71,"2,178,491",109.76,109.76,106.935
07/28/2025,109.88,"1,533,021",109.4,111.0,108.62
07/25/2025,109.3,"1,937,873",107.505,110.05,106.4
07/24/2025,107.64,"2,051,523",104.61,108.7528,104.534
07/23/2025,104.61,"3,152,123",104.03,106.167,102.79
07/22/2025,102.03,"2,627,347",95.19,102.29,95.112
07/21/2025,94.795,"2,924,546",94.99,96.3399,92.2501
07/18/2025,96.14,"1,888,504",98.96,99.335,95.54
07/17/2025,97.93,"1,937,626",96.8,98.41,96.17
07/16/2025,96.96,"2,249,387",97.9,98.36,95.75
07/15/2025,97.15,"1,984,213",99.0,99.7809,96.68
07/14/2025,98.53,"2,090,987",98.84,99.39,97.32
07/11/2025,99.25,"1,998,750",98.5,100.4,97.7
07/10/2025,100.05,"2,137,487",97.08,101.28,96.62
07/09/2025,97.44,"3,002,877",96.25,98.7799,95.0945
07/08/2025,99.27,"1,894,927",97.42,100.25,97.04
07/07/2025,97.15,"2,877,738",99.37,99.665,96.56
07/03/2025,100.8,"1,423,748",100.82,102.09,100.0209
07/02/2025,100.34,"2,165,799",98.15,100.96,97.925
07/01/2025,98.15,"2,885,815",95.005,100.15,95.005
06/30/2025,95.41,"1,845,171",94.79,96.83,94.16
06/27/2025,94.79,"3,837,656",94.79,95.69,93.3363
06/26/2025,94.16,"2,928,705",93.815,95.99,92.76
06/25/2025,93.23,"3,688,289",92.13,95.57,90.3001
06/24/2025,91.52,"2,323,504",91.54,91.655,89.39
06/23/2025,90.61,"2,151,048",89.84,91.23,88.675
06/20/2025,90.49,"3,182,240",91.28,91.44,89.97
06/18/2025,90.26,"2,028,519",89.5,91.57,88.65
06/17/2025,89.47,"2,387,287",89.5,90.95,89.26
06/16/2025,90.25,"1,790,871",87.58,90.42,86.03
06/13/2025,86.93,"1,612,835",86.4,88.18,85.77
06/12/2025,88.13,"1,735,642",87.66,88.7,87.085
06/11/2025,87.54,"2,244,746",88.91,90.11,87.165
06/10/2025,87.98,"2,949,987",85.4,89.87,84.995
06/09/2025,84.98,"2,038,867",83.53,85.075,82.6
06/06/2025,82.66,"1,614,401",83.35,84.56,82.44
06/05/2025,82.25,"1,729,911",83.19,84.35,81.755
06/04/2025,83.16,"1,360,564",82.24,83.905,82.07
06/03/2025,81.83,"1,663,152",80.92,82.15,78.79
06/02/2025,81.09,"2,126,372",81.68,81.9,79.03
05/30/2025,82.24,"3,661,622",83.46,83.72,81.19
05/29/2025,84.28,"1,610,300",85.63,85.9005,83.54
05/28/2025,84.43,"2,410,538",82.37,85.06,82.0
05/27/2025,82.49,"2,197,809",81.15,82.81,80.29
05/23/2025,80.37,"1,536,864",78.635,80.53,78.55
05/22/2025,80.54,"1,983,471",79.1,80.665,78.89
05/21/2025,79.37,"2,723,335",83.7,84.4699,79.3
05/20/2025,84.21,"1,988,760",82.91,84.9499,82.0001
05/19/2025,82.95,"2,383,622",81.82,83.18,81.49
05/16/2025,83.62,"2,341,745",81.0,84.04,80.31
05/15/2025,80.9,"2,593,604",80.02,81.06,79.3398
05/14/2025,78.21,"3,766,534",80.3,81.64,77.5
05/13/2025,80.3,"2,342,412",81.485,82.44,80.15
05/12/2025,81.57,"3,153,912",79.28,83.09,78.06
05/09/2025,75.76,"3,709,609",79.5,79.78,75.24
05/08/2025,79.58,"3,113,768",76.85,80.86,76.155
05/07/2025,76.35,"2,467,918",75.58,76.61,73.86
05/06/2025,74.53,"1,746,035",77.21,77.56,74.5
05/05/2025,78.17,"1,123,662",77.4,79.0,77.08
05/02/2025,77.88,"1,191,314",78.0,79.22,77.02
05/01/2025,76.51,"1,337,472",77.9,78.03,75.41
04/30/2025,77.6,"1,534,031",76.96,77.77,75.8154
04/29/2025,77.1,"1,445,606",76.61,77.63,75.89
04/28/2025,77.22,"1,113,381",77.85,78.645,76.03
04/25/2025,77.35,"1,424,509",76.685,77.45,75.62
04/24/2025,77.61,"1,874,281",76.75,78.11,75.53
04/23/2025,76.25,"1,661,321",76.84,79.37,75.34
