date,close,volume,open,high,low
05/15/2026,95.31,"1,648,990",97.44,97.7,94.31
05/14/2026,97.63,"1,350,211",99.02,99.3623,97.12
05/13/2026,98.82,"1,630,417",98.735,99.04,97.07
05/12/2026,99.13,"1,584,910",100.84,101.24,98.945
05/11/2026,100.32,"1,662,287",99.04,103.01,99.04
05/08/2026,98.56,"877,843",98.6,99.87,97.47
05/07/2026,97.77,"1,021,629",99.68,99.68,97.12
05/06/2026,99.85,"1,178,896",98.62,100.01,97.6101
05/05/2026,97.47,"1,038,437",97.81,98.9,96.15
05/04/2026,97.14,"1,018,069",96.54,97.6,96.3401
05/01/2026,96.91,"1,203,665",95.26,97.05,94.815
04/30/2026,95.27,"2,409,862",100.33,100.85,94.925
04/29/2026,99.1,"2,242,760",99.18,102.855,96.67
04/28/2026,97.74,"2,531,040",94.75,98.36,92.79
04/27/2026,95.715,"2,148,642",94.5,97.66,94.5
04/24/2026,94.65,"1,117,137",94.95,95.2,93.63
04/23/2026,95.47,"905,081",96.37,97.25,95.1
04/22/2026,96.74,"1,012,656",97.02,98.195,96.0
04/21/2026,96.22,"1,478,941",97.04,97.24,94.93
04/20/2026,96.92,"1,033,325",98.65,98.7,96.58
04/17/2026,97.82,"1,529,954",96.6,97.94,95.6332
04/16/2026,95.32,"1,616,846",96.95,97.53,94.56
04/15/2026,97.1,"1,214,313",98.75,99.92,97.0
04/14/2026,97.69,"1,519,929",95.76,97.9,95.76
04/13/2026,95.55,"1,186,422",96.13,96.85,93.84
04/10/2026,96.07,"1,146,821",97.53,97.57,95.41
04/09/2026,96.96,"1,089,599",95.13,97.58,94.655
04/08/2026,95.89,"1,152,022",95.39,95.98,93.5
04/07/2026,93.69,"1,393,665",94.43,95.07,93.23
04/06/2026,94.86,"998,001",94.96,96.14,94.0
04/02/2026,95.93,"1,160,053",93.02,96.05,92.55
04/01/2026,94.3,"1,481,097",94.65,95.555,93.8
03/31/2026,94.12,"1,826,384",91.54,94.42,91.17
03/30/2026,90.33,"1,535,716",91.13,91.69,90.0844
03/27/2026,90.3,"1,494,399",92.28,92.5,90.2
03/26/2026,92.26,"1,229,676",90.99,93.73,90.99
03/25/2026,92.23,"1,055,736",91.0,93.83,91.0
03/24/2026,90.62,"1,584,246",89.63,91.7,89.25
03/23/2026,90.45,"1,415,692",91.16,92.33,90.0
03/20/2026,90.78,"4,388,758",92.81,93.34,90.34
03/19/2026,92.95,"1,331,571",91.88,93.57,91.715
03/18/2026,92.24,"1,577,285",93.35,93.91,91.62
03/17/2026,94.22,"1,864,575",93.04,94.91,93.04
03/16/2026,93.0,"1,617,370",92.14,93.65,91.15
03/13/2026,92.54,"1,683,761",93.25,93.64,91.275
03/12/2026,92.03,"1,947,421",93.0,93.45,91.54
03/11/2026,94.66,"1,726,493",95.98,96.51,94.615
03/10/2026,96.02,"1,547,972",97.52,97.8599,95.9
03/09/2026,97.1,"1,521,176",95.94,97.615,94.52
03/06/2026,95.94,"1,255,015",96.23,96.3,94.61
03/05/2026,97.33,"1,331,361",97.99,99.3499,96.0652
03/04/2026,98.86,"1,628,585",99.16,99.41,96.91
03/03/2026,98.07,"1,645,128",98.48,99.5744,97.0
03/02/2026,100.04,"1,672,671",99.94,101.0,97.54
02/27/2026,101.27,"2,315,098",99.04,101.77,98.855
02/26/2026,100.09,"2,092,248",99.91,100.205,97.305
02/25/2026,99.98,"1,664,742",101.05,101.155,98.57
02/24/2026,101.05,"1,696,328",100.86,102.25,100.08
02/23/2026,100.845,"1,333,403",101.32,103.16,100.04
02/20/2026,101.32,"1,509,365",101.63,102.66,100.09
02/19/2026,101.73,"1,460,339",102.13,102.81,100.0
02/18/2026,102.99,"1,607,485",100.77,103.69,100.645
02/17/2026,101.16,"1,905,146",101.72,103.9,100.165
02/13/2026,101.1,"1,384,666",101.47,103.18,100.53
02/12/2026,100.75,"1,700,614",98.87,102.2,97.9029
02/11/2026,98.84,"1,925,256",98.52,99.79,97.25
02/10/2026,100.05,"4,748,829",103.0,106.21,98.76
02/09/2026,109.03,"2,700,690",108.5,109.48,106.5807
02/06/2026,108.39,"2,193,912",103.75,108.52,103.52
02/05/2026,102.76,"2,047,491",102.71,106.485,102.23
02/04/2026,102.6,"1,915,403",102.61,103.55,101.44
02/03/2026,100.92,"1,552,576",102.75,104.41,100.72
02/02/2026,102.67,"1,574,084",99.745,102.86,99.5
01/30/2026,100.07,"1,988,982",100.77,101.25,99.28
01/29/2026,101.08,"1,439,938",101.09,101.89,100.21
01/28/2026,101.18,"1,576,840",103.02,104.03,98.85
01/27/2026,103.47,"1,544,424",103.0,105.06,102.59
01/26/2026,102.58,"1,439,019",101.57,103.42,101.1
01/23/2026,101.99,"2,360,919",104.34,104.7,100.07
01/22/2026,105.06,"1,307,456",105.02,106.06,104.355
01/21/2026,104.67,"1,570,377",102.5,105.429,101.0
01/20/2026,102.62,"2,205,966",103.26,103.85,100.0
01/16/2026,106.21,"1,696,253",105.55,108.58,104.8301
01/15/2026,105.24,"1,571,769",106.16,106.74,104.27
01/14/2026,105.95,"2,128,350",103.66,107.64,103.198
01/13/2026,103.43,"2,041,395",106.56,107.54,102.675
01/12/2026,106.33,"1,761,288",106.94,106.94,104.7
01/09/2026,106.87,"1,520,739",106.04,107.685,105.9337
01/08/2026,105.92,"2,578,423",109.74,110.09,104.69
01/07/2026,110.57,"3,377,159",107.88,112.29,107.88
01/06/2026,106.66,"3,857,869",101.73,107.48,101.015
01/05/2026,101.79,"3,051,819",103.0,103.01,99.04
01/02/2026,101.42,"2,152,342",98.25,101.5,97.94
12/31/2025,98.77,"1,376,638",98.43,99.89,98.13
12/30/2025,98.91,"1,603,807",99.21,99.28,98.06
12/29/2025,99.29,"1,225,971",100.03,100.08,97.63
12/26/2025,100.11,"626,766",100.41,100.41,99.571
12/24/2025,100.44,"490,612",100.94,101.51,100.3
12/23/2025,100.91,"1,330,722",100.5,101.71,100.02
12/22/2025,100.71,"1,974,718",101.94,102.52,98.99
12/19/2025,102.69,"5,906,932",97.77,103.45,97.36
12/18/2025,97.31,"1,757,713",98.25,98.34,97.01
12/17/2025,97.63,"1,598,606",97.26,98.9,97.09
12/16/2025,97.03,"2,055,054",98.17,98.69,96.4
12/15/2025,98.64,"2,815,675",96.265,99.44,95.48
12/12/2025,95.41,"2,264,451",95.76,96.0,93.54
12/11/2025,96.1,"1,836,076",94.94,96.89,94.39
12/10/2025,95.17,"1,872,115",95.58,96.8799,94.28
12/09/2025,95.16,"2,455,870",96.52,97.98,94.66
12/08/2025,96.7,"3,868,756",100.125,100.43,94.34
12/05/2025,102.52,"2,357,052",101.0,103.68,98.36
12/04/2025,100.46,"2,088,653",101.38,102.47,99.69
12/03/2025,101.5,"1,874,701",101.8,102.6225,100.9
12/02/2025,101.44,"2,438,855",102.41,103.54,100.55
12/01/2025,102.04,"2,254,874",103.49,103.89,101.4697
11/28/2025,104.46,"932,388",106.45,106.99,103.85
11/26/2025,105.65,"1,403,552",105.61,107.0,105.0849
11/25/2025,105.55,"1,701,879",106.59,107.61,105.16
11/24/2025,106.24,"2,660,581",103.0,106.67,102.503
11/21/2025,102.06,"1,722,545",102.0,103.2,101.4
11/20/2025,101.76,"1,673,222",102.5,103.225,101.08
11/19/2025,101.32,"2,734,795",104.66,104.66,100.3
11/18/2025,103.89,"2,831,388",104.2,107.31,103.79
11/17/2025,104.17,"1,411,770",104.36,105.9699,103.83
11/14/2025,104.15,"2,035,020",104.57,106.92,103.77
11/13/2025,105.41,"2,151,938",107.27,107.76,105.03
11/12/2025,108.26,"1,743,221",108.05,109.275,106.81
11/11/2025,108.16,"2,006,608",106.0,108.67,105.53
11/10/2025,105.98,"2,654,399",107.38,108.81,104.06
11/07/2025,105.98,"2,019,980",105.5,106.4,103.81
11/06/2025,105.2,"2,392,448",106.29,106.43,103.0201
11/05/2025,105.7,"2,764,010",101.91,106.47,101.5
