date,close,volume,open,high,low
05/14/2026,378.29,"2,461,925",371.66,385.83,366.3048
05/13/2026,371.71,"3,494,273",383.2,384.87,369.56
05/12/2026,387.74,"2,575,222",395.055,396.16,385.59
05/11/2026,393.29,"1,622,467",392.52,400.08,389.0001
05/08/2026,396.31,"2,348,472",395.54,399.71,385.2
05/07/2026,406.78,"2,200,436",395.38,411.8,395.0
05/06/2026,388.55,"2,247,680",390.0,398.2765,381.51
05/05/2026,398.32,"2,078,419",404.625,404.625,390.34
05/04/2026,406.99,"2,379,732",400.255,418.15,399.4
05/01/2026,399.04,"2,102,005",402.2,408.42,386.78
04/30/2026,388.5,"2,450,904",382.0,390.19,380.0
04/29/2026,395.08,"1,885,041",396.69,396.9,389.005
04/28/2026,400.38,"2,225,088",398.0,404.21,396.6
04/27/2026,389.92,"2,380,837",390.05,398.99,384.675
04/24/2026,395.95,"2,336,153",381.87,396.73,381.0
04/23/2026,383.3,"3,900,231",384.995,385.82,373.955
04/22/2026,408.68,"3,354,328",405.51,413.78,402.72
04/21/2026,404.85,"3,137,685",407.82,419.0,400.671
04/20/2026,404.83,"2,814,307",393.9,404.87,391.91
04/17/2026,393.25,"3,186,310",396.25,399.2,389.21
04/16/2026,387.11,"2,675,492",400.5,405.0,385.7
04/15/2026,389.72,"3,352,802",375.0,392.05,372.76
04/14/2026,366.8,"2,483,247",373.63,378.4698,364.33
04/13/2026,369.44,"3,483,678",354.5,370.45,352.01
04/10/2026,350.94,"7,791,232",359.785,360.4,342.105
04/09/2026,361.69,"7,471,788",380.2,382.026,354.55
04/08/2026,389.51,"4,716,210",416.795,417.2,386.21
04/07/2026,410.24,"2,154,140",413.62,418.96,407.51
04/06/2026,417.36,"2,182,684",419.92,422.62,411.2
04/02/2026,422.48,"2,554,759",430.94,436.59,420.49
04/01/2026,425.87,"2,743,553",431.255,431.62,413.75
03/31/2026,432.38,"3,293,289",428.235,435.41,420.69
03/30/2026,429.03,"2,296,690",419.39,432.29,418.3996
03/27/2026,416.44,"2,649,855",426.49,427.47,409.5001
03/26/2026,432.55,"2,192,859",423.795,443.615,423.795
03/25/2026,426.86,"2,212,571",438.26,442.5,417.2101
03/24/2026,432.45,"2,824,600",451.37,452.85,431.2
03/23/2026,457.02,"3,124,701",456.0,464.99,449.725
03/20/2026,455.56,"4,718,502",444.49,462.859,440.67
03/19/2026,455.24,"2,598,495",452.88,470.0,451.54
03/18/2026,446.79,"2,467,337",450.57,458.99,443.29
03/17/2026,459.28,"2,532,940",455.08,474.77,454.5
03/16/2026,452.31,"3,051,501",445.32,455.89,442.11
03/13/2026,439.96,"2,340,014",431.93,441.94,428.99
03/12/2026,435.13,"3,543,843",440.4,450.65,434.43
03/11/2026,440.45,"2,867,949",458.1,458.4999,435.51
03/10/2026,453.95,"5,013,230",474.01,475.0,448.27
03/09/2026,473.67,"3,985,896",475.71,481.0,466.1
03/06/2026,481.17,"5,508,923",467.0,483.21,463.6025
03/05/2026,466.79,"7,369,492",439.17,471.38,438.93
03/04/2026,440.14,"4,242,244",432.95,442.05,427.15
03/03/2026,433.35,"5,902,615",414.585,438.5,411.601
03/02/2026,419.06,"5,673,360",402.45,429.63,401.45
02/27/2026,409.03,"8,184,708",384.675,409.63,384.675
02/26/2026,394.42,"9,787,160",388.0,406.87,385.56
02/25/2026,381.23,"5,299,367",356.55,381.59,353.53
02/24/2026,358.71,"6,575,962",368.01,372.8399,356.52
02/23/2026,359.55,"5,495,864",374.945,374.945,349.0
02/20/2026,380.55,"4,122,758",380.88,392.96,378.88
02/19/2026,381.54,"2,961,716",390.495,390.495,379.16
02/18/2026,389.57,"4,526,896",380.25,398.13,375.5
02/17/2026,379.17,"5,481,302",393.08,397.0,375.4
02/13/2026,399.4,"4,888,297",397.015,407.3899,389.32
02/12/2026,397.96,"4,334,005",397.95,408.995,391.15
02/11/2026,399.69,"6,088,972",419.6,422.0,392.38
02/10/2026,421.39,"5,183,955",434.65,451.09,420.36
02/09/2026,437.5,"3,720,481",438.67,441.16,430.94
02/06/2026,443.77,"3,645,588",437.12,448.0,435.4
02/05/2026,434.91,"5,211,292",448.5,460.42,431.14
02/04/2026,445.64,"6,970,984",427.935,450.49,411.11
02/03/2026,434.09,"7,569,071",468.5,469.99,427.255
02/02/2026,487.12,"2,880,631",500.405,502.6151,486.62
01/30/2026,498.92,"3,885,476",501.5,506.1065,496.66
01/29/2026,502.98,"5,915,418",512.46,513.72,491.72
01/28/2026,538.7,"2,261,359",548.765,553.0,537.35
01/27/2026,545.4,"2,459,622",560.58,561.57,537.34
01/26/2026,561.77,"2,111,576",564.15,569.38,561.6775
01/23/2026,563.965,"3,274,010",546.82,564.57,545.72
01/22/2026,547.69,"3,228,281",526.84,548.25,526.84
01/21/2026,524.92,"2,643,645",532.0,537.4246,520.69
01/20/2026,528.95,"3,588,767",537.76,540.9099,526.74
01/16/2026,545.29,"4,773,156",552.78,554.0,535.1
01/15/2026,554.58,"3,404,958",565.78,571.34,551.63
01/14/2026,566.6,"4,833,991",590.99,592.66,556.66
01/13/2026,605.28,"2,656,824",632.1,637.26,604.39
01/12/2026,635.44,"1,601,430",640.1,642.96,628.64
01/09/2026,646.9,"1,304,648",650.45,652.71,636.0
01/08/2026,652.75,"1,651,602",640.6,657.81,638.75
01/07/2026,651.15,"1,396,543",650.0,657.24,645.5901
01/06/2026,647.2,"2,564,384",630.2,649.2372,627.72
01/05/2026,633.84,"2,170,690",629.46,639.52,619.7
01/02/2026,629.46,"2,739,014",660.6,661.99,622.2301
12/31/2025,662.42,"948,492",668.02,669.8,662.21
12/30/2025,669.88,"1,192,345",671.56,674.27,668.6
12/29/2025,674.15,"886,037",672.8,678.57,670.99
