date,close,volume,open,high,low
05/15/2026,70.35,"2,870,729",70.76,71.125,70.23
05/14/2026,71.82,"3,520,598",72.16,72.46,70.26
05/13/2026,71.39,"5,484,510",73.14,73.15,70.97
05/12/2026,73.21,"3,693,519",75.12,75.21,72.19
05/11/2026,74.7,"2,856,033",75.74,75.7825,74.65
05/08/2026,75.75,"2,808,210",78.06,78.14,75.48
05/07/2026,77.5,"3,832,950",79.14,79.88,76.99
05/06/2026,78.65,"4,848,717",78.1,80.13,77.585
05/05/2026,75.82,"2,650,450",76.41,76.875,75.68
05/04/2026,75.56,"4,421,388",77.53,78.245,75.31
05/01/2026,77.99,"3,472,660",80.09,80.4,77.24
04/30/2026,79.86,"3,752,225",76.96,80.01,76.96
04/29/2026,77.46,"6,022,282",79.57,80.25,76.81
04/28/2026,81.19,"5,395,164",83.46,83.46,80.48
04/27/2026,84.01,"5,004,988",83.15,85.06,83.14
04/24/2026,83.81,"4,510,961",84.09,85.31,83.21
04/23/2026,84.95,"3,898,152",84.26,85.55,83.43
04/22/2026,83.7,"2,608,602",85.77,86.145,83.12
04/21/2026,84.81,"2,406,752",86.22,87.52,84.775
04/20/2026,86.01,"2,106,958",85.33,86.14,85.17
04/17/2026,85.8,"6,630,839",84.84,87.24,84.53
04/16/2026,83.67,"3,300,857",83.5,84.735,83.055
04/15/2026,83.39,"5,978,071",87.7,88.07,82.51
04/14/2026,88.32,"3,668,043",86.26,89.1,86.26
04/13/2026,87.69,"2,966,326",84.98,88.1785,84.93
04/10/2026,85.38,"3,172,321",87.32,87.32,85.16
04/09/2026,87.03,"2,984,037",83.98,87.62,83.98
04/08/2026,84.67,"3,156,661",81.93,85.22,81.93
04/07/2026,79.55,"3,055,609",78.4,79.6,78.03
04/06/2026,78.7,"2,044,729",77.45,78.7,76.8
04/02/2026,77.91,"3,190,862",77.75,79.49,76.01
04/01/2026,80.0,"2,396,033",80.25,81.715,79.97
03/31/2026,80.12,"2,975,991",78.53,80.6313,77.56
03/30/2026,76.94,"3,951,664",79.31,79.66,76.705
03/27/2026,79.45,"3,015,965",80.94,81.06,78.79
03/26/2026,81.39,"1,731,792",82.66,84.1,81.235
03/25/2026,83.65,"2,052,860",84.3,84.78,82.49
03/24/2026,83.15,"2,776,948",81.13,83.66,80.565
03/23/2026,82.29,"2,072,506",83.95,84.73,82.27
03/20/2026,81.39,"4,280,285",81.9,82.82,80.66
03/19/2026,82.16,"4,070,592",80.68,83.01,80.11
03/18/2026,82.03,"2,822,706",83.85,84.57,81.94
03/17/2026,84.06,"2,360,682",84.66,84.71,82.07
03/16/2026,83.81,"4,302,739",83.01,84.81,82.99
03/13/2026,82.13,"8,087,014",81.99,82.21,79.76
03/12/2026,81.17,"3,345,509",83.89,84.46,81.02
03/11/2026,85.17,"2,170,164",85.51,85.83,84.22
03/10/2026,86.42,"2,825,145",86.6,88.12,85.52
03/09/2026,86.66,"2,748,477",84.56,87.02,82.95
03/06/2026,86.43,"2,659,969",88.52,89.38,86.035
03/05/2026,90.51,"3,237,691",91.21,91.95,89.28
03/04/2026,91.84,"2,608,885",91.87,92.195,90.45
03/03/2026,91.54,"2,567,924",91.31,92.665,89.79
03/02/2026,93.97,"2,856,276",92.75,94.55,91.6
02/27/2026,94.14,"3,201,030",93.21,94.17,92.29
02/26/2026,94.53,"2,929,765",93.49,94.55,92.4875
02/25/2026,93.02,"4,850,866",94.93,95.33,92.18
02/24/2026,94.64,"2,507,905",94.06,95.4189,93.82
02/23/2026,93.94,"2,916,727",95.36,96.205,93.755
02/20/2026,95.6,"3,696,370",95.86,97.66,94.89
02/19/2026,96.2,"2,846,156",96.67,97.44,95.135
02/18/2026,97.2,"2,957,626",99.64,100.0,96.94
02/17/2026,98.76,"4,708,032",97.11,99.74,97.11
02/13/2026,98.52,"6,975,579",96.46,100.96,94.71
02/12/2026,94.21,"8,677,202",97.87,99.42,93.97
02/11/2026,96.75,"9,183,273",98.43,100.0,96.68
02/10/2026,97.8,"6,858,552",98.69,99.51,97.57
02/09/2026,98.39,"4,794,549",97.91,99.535,97.65
02/06/2026,98.5,"6,260,059",97.41,99.31,96.94
02/05/2026,96.0,"5,365,326",96.66,98.0,95.07
02/04/2026,97.41,"13,512,550",95.0,99.44,94.64
02/03/2026,93.72,"6,447,904",89.25,94.02,88.9
02/02/2026,88.94,"3,417,039",86.09,89.16,86.04
01/30/2026,86.09,"3,674,345",88.18,88.225,85.19
01/29/2026,88.87,"8,478,004",86.32,88.87,85.41
01/28/2026,85.25,"2,932,085",85.87,86.525,84.93
01/27/2026,86.27,"3,504,282",86.79,87.35,86.21
01/26/2026,86.79,"2,423,770",87.25,87.365,86.22
01/23/2026,87.21,"2,290,191",87.65,87.93,86.81
01/22/2026,87.55,"5,614,648",90.35,90.8,87.21
01/21/2026,89.82,"3,672,930",86.36,90.85,85.93
01/20/2026,85.16,"5,000,913",87.05,87.15,84.66
01/16/2026,88.16,"2,535,868",87.03,88.44,87.03
01/15/2026,87.32,"1,857,984",86.4,87.67,86.4
01/14/2026,85.99,"2,764,057",85.53,86.08,84.26
01/13/2026,85.83,"2,403,031",86.25,87.18,84.9514
01/12/2026,86.04,"2,134,330",85.3,86.42,84.95
01/09/2026,85.51,"2,502,333",84.72,85.86,84.39
01/08/2026,84.37,"2,432,405",81.3,84.545,80.9
01/07/2026,81.33,"2,059,145",83.46,83.8,80.89
01/06/2026,83.43,"2,625,729",82.08,83.47,81.092
01/05/2026,82.21,"2,348,737",79.15,82.76,78.96
01/02/2026,79.76,"1,647,635",79.83,80.13,78.65
12/31/2025,79.22,"1,306,671",80.67,80.775,79.14
12/30/2025,80.65,"1,182,148",80.78,81.155,80.49
12/29/2025,80.9,"1,452,397",81.36,81.82,80.81
12/26/2025,81.28,"900,413",81.22,81.72,80.88
12/24/2025,81.57,"632,995",81.44,81.705,81.276
12/23/2025,81.45,"1,514,774",80.77,81.47,80.3
12/22/2025,81.12,"1,901,135",79.99,81.4,79.15
12/19/2025,79.28,"6,617,936",78.81,79.55,78.31
12/18/2025,78.85,"3,291,662",79.06,79.97,78.6
12/17/2025,78.12,"3,235,308",79.39,80.37,77.68
12/16/2025,79.61,"2,411,322",81.88,81.91,79.49
12/15/2025,81.63,"3,539,016",82.13,82.37,80.98
12/12/2025,81.76,"3,541,892",83.77,84.47,81.415
12/11/2025,83.44,"2,535,833",81.47,83.54,80.61
12/10/2025,80.98,"2,242,951",78.54,81.075,78.48
12/09/2025,78.38,"2,324,927",79.26,79.71,78.32
12/08/2025,79.31,"2,839,096",79.77,80.22,78.89
12/05/2025,79.86,"1,620,988",79.85,80.115,79.365
12/04/2025,79.99,"2,120,267",79.81,80.25,79.44
12/03/2025,79.75,"1,525,007",79.48,80.16,79.01
12/02/2025,79.18,"2,103,094",79.29,79.74,78.17
12/01/2025,79.19,"2,145,593",79.68,80.87,79.13
11/28/2025,80.34,"1,043,924",79.8,80.72,79.75
11/26/2025,79.87,"2,230,088",79.25,80.43,79.085
11/25/2025,79.46,"2,269,715",78.45,79.87,77.8
11/24/2025,77.74,"5,826,212",78.59,78.765,76.79
11/21/2025,78.54,"3,894,496",74.38,79.395,74.38
11/20/2025,74.54,"4,222,878",73.31,75.5537,73.31
11/19/2025,73.71,"4,479,420",73.73,73.93,72.89
11/18/2025,73.56,"1,928,149",73.19,74.23,72.45
11/17/2025,73.67,"2,939,012",75.0,75.15,73.36
11/14/2025,75.47,"2,165,930",74.98,75.9,74.64
11/13/2025,76.2,"2,396,859",77.23,78.22,75.745
11/12/2025,77.71,"2,856,987",77.56,78.92,77.42
11/11/2025,77.33,"2,783,979",77.15,77.51,76.595
11/10/2025,77.25,"2,764,840",77.94,78.11,76.01
11/07/2025,77.5,"2,576,883",76.87,77.89,76.0446
11/06/2025,77.68,"3,060,471",78.44,79.55,77.32
11/05/2025,78.4,"4,141,042",76.93,79.835,76.93
11/04/2025,77.24,"4,103,248",75.42,77.62,75.29
11/03/2025,76.0,"5,060,958",76.0,76.76,74.7
10/31/2025,76.33,"6,946,185",76.43,79.21,75.0
10/30/2025,78.73,"5,546,571",79.35,81.08,78.53
10/29/2025,79.7,"4,414,553",79.32,81.405,78.83
10/28/2025,78.85,"3,926,999",80.75,80.75,78.44
10/27/2025,80.24,"3,377,261",80.99,81.3,79.96
10/24/2025,79.78,"1,724,418",81.19,81.19,79.7
10/23/2025,80.36,"1,800,052",78.92,80.63,78.5
10/22/2025,78.13,"3,113,962",79.63,80.57,78.1
10/21/2025,79.56,"1,848,755",77.78,80.61,77.76
10/20/2025,78.47,"1,826,252",77.97,78.85,77.795
10/17/2025,77.22,"2,922,996",74.61,77.33,74.61
10/16/2025,75.81,"2,549,553",76.97,77.61,74.98
10/15/2025,76.67,"2,629,815",77.7,78.26,75.98
10/14/2025,77.24,"4,094,642",74.78,77.5899,74.42
10/13/2025,76.1,"2,754,568",76.89,77.79,76.08
10/10/2025,76.1,"2,238,566",78.94,79.465,75.92
10/09/2025,78.48,"2,556,618",81.27,81.41,78.26
10/08/2025,80.99,"3,190,099",81.52,81.88,80.25
10/07/2025,81.35,"3,699,447",83.8,84.3,80.96
10/06/2025,83.41,"3,621,909",84.0,84.62,83.36
10/03/2025,83.95,"2,801,626",83.83,84.6,83.38
10/02/2025,84.18,"2,870,506",83.47,84.58,82.55
10/01/2025,83.5,"3,552,779",81.86,83.795,81.63
09/30/2025,82.62,"3,569,780",82.36,83.0,81.37
09/29/2025,82.55,"3,073,068",82.92,83.03,81.65
09/26/2025,82.3,"3,010,428",81.17,82.579,80.38
09/25/2025,80.5,"3,363,370",80.14,80.74,79.37
09/24/2025,80.91,"3,747,579",81.07,81.83,80.625
09/23/2025,81.32,"4,315,060",82.19,82.39,80.76
09/22/2025,81.8,"3,649,811",80.63,81.93,79.82
09/19/2025,81.61,"13,597,970",81.77,82.23,80.37
09/18/2025,81.53,"4,119,702",79.76,81.59,79.345
09/17/2025,79.0,"5,521,243",78.23,80.2,77.85
09/16/2025,77.7,"3,499,733",78.94,79.4,77.495
09/15/2025,79.05,"3,002,778",79.25,80.09,78.45
09/12/2025,78.79,"3,643,373",80.81,81.3,78.76
09/11/2025,81.02,"4,317,851",80.05,82.36,79.95
09/10/2025,80.24,"2,742,786",79.68,81.12,79.37
09/09/2025,79.66,"3,291,690",80.05,80.53,79.02
09/08/2025,80.38,"4,536,470",80.95,81.28,79.21
09/05/2025,80.95,"3,149,683",79.93,81.5,79.5225
09/04/2025,79.2,"2,897,982",77.39,79.7,77.15
09/03/2025,77.38,"1,567,308",77.58,78.105,76.87
09/02/2025,77.94,"2,228,734",78.6,78.925,77.23
08/29/2025,79.43,"1,923,006",79.95,80.51,79.06
08/28/2025,80.26,"1,431,322",80.87,80.87,79.695
08/27/2025,80.64,"1,693,181",80.84,81.49,80.44
08/26/2025,81.13,"4,712,829",79.7,81.27,79.42
08/25/2025,79.68,"1,437,581",80.76,81.0,79.68
08/22/2025,80.63,"2,184,448",78.45,81.42,77.99
08/21/2025,77.45,"1,848,990",78.91,79.12,77.27
08/20/2025,79.04,"2,989,487",79.54,79.61,78.64
08/19/2025,79.84,"1,754,552",78.86,80.57,78.72
08/18/2025,78.89,"2,315,951",78.22,79.13,77.81
08/15/2025,78.32,"2,918,000",80.4,80.435,77.715
08/14/2025,80.2,"3,142,164",79.88,80.34,79.22
08/13/2025,80.77,"3,312,114",78.72,80.81,77.89
08/12/2025,78.43,"2,759,902",77.1,79.24,76.8
08/11/2025,76.45,"2,539,045",76.21,76.74,75.625
08/08/2025,75.89,"1,773,624",76.52,76.86,75.69
08/07/2025,76.28,"2,403,477",77.42,77.43,76.11
08/06/2025,76.48,"4,007,062",77.61,77.85,76.39
08/05/2025,77.65,"4,172,648",78.44,78.51,76.75
08/04/2025,78.6,"6,799,292",75.68,79.03,75.38
08/01/2025,74.98,"12,246,120",79.2,79.35,73.87
07/31/2025,84.63,"4,827,859",85.37,86.7,84.41
07/30/2025,85.76,"2,826,176",87.3,87.5,85.33
07/29/2025,87.07,"2,309,248",88.33,88.47,86.7
07/28/2025,87.83,"1,947,584",88.27,88.665,87.65
07/25/2025,88.27,"2,081,241",87.26,88.36,86.84
07/24/2025,86.89,"2,749,520",86.32,87.47,86.02
07/23/2025,86.83,"2,834,801",86.4,87.26,85.76
07/22/2025,85.44,"2,593,417",83.84,85.52,83.57
07/21/2025,83.89,"2,569,528",86.38,86.38,83.89
07/18/2025,85.55,"4,273,671",86.33,87.38,84.69
07/17/2025,87.75,"2,493,942",86.33,87.8323,86.085
07/16/2025,86.13,"2,654,313",86.27,86.52,84.425
07/15/2025,86.3,"2,182,812",88.12,88.24,86.28
07/14/2025,87.64,"2,635,483",88.07,88.5,86.74
07/11/2025,89.02,"2,286,806",87.74,89.155,87.71
07/10/2025,88.69,"3,712,519",87.85,90.44,87.5
07/09/2025,87.7,"1,783,733",87.82,88.11,87.0495
07/08/2025,87.01,"2,050,071",87.07,87.77,86.73
07/07/2025,86.84,"5,127,205",86.64,87.5221,85.865
07/03/2025,86.98,"1,240,577",87.03,87.43,86.895
07/02/2025,86.55,"2,594,509",85.46,86.59,85.07
07/01/2025,85.3,"2,776,141",82.86,86.17,82.58
06/30/2025,83.18,"2,641,708",83.97,83.97,83.08
06/27/2025,84.27,"2,878,106",84.89,85.45,83.76
06/26/2025,84.94,"1,679,022",83.65,85.16,83.33
06/25/2025,83.28,"1,650,265",83.96,84.16,83.25
06/24/2025,83.69,"2,657,819",82.65,84.1,82.15
06/23/2025,81.93,"1,707,141",80.4,82.07,79.74
06/20/2025,80.39,"2,895,976",81.7,81.73,80.055
06/18/2025,80.79,"1,778,023",80.98,81.66,80.64
06/17/2025,80.64,"1,655,894",80.83,81.775,80.42
06/16/2025,81.61,"1,564,091",81.49,82.29,80.98
06/13/2025,80.5,"2,209,658",81.38,81.93,80.2172
06/12/2025,82.52,"1,820,349",82.3,82.77,81.61
06/11/2025,83.2,"2,777,139",84.9,84.9,82.885
06/10/2025,84.7,"2,804,075",83.78,84.9,83.25
06/09/2025,83.46,"1,689,832",83.7,84.0,83.22
06/06/2025,83.12,"2,139,416",83.2,83.54,82.85
06/05/2025,81.87,"1,961,214",82.24,82.27,81.24
06/04/2025,81.88,"1,762,899",82.43,82.57,81.605
06/03/2025,81.95,"1,970,578",81.25,82.22,80.81
06/02/2025,81.06,"2,418,441",81.41,81.59,79.625
05/30/2025,81.64,"5,060,186",81.73,81.9,80.96
05/29/2025,82.15,"2,455,678",82.57,82.57,81.44
05/28/2025,81.84,"2,367,344",82.71,82.97,81.59
05/27/2025,82.59,"3,025,740",81.61,82.72,80.81
05/23/2025,80.38,"3,790,821",79.72,80.96,79.46
05/22/2025,81.2,"3,892,705",80.78,81.78,80.58
05/21/2025,81.19,"3,765,789",82.02,82.63,81.065
05/20/2025,82.92,"2,362,166",83.03,83.49,82.58
05/19/2025,83.55,"2,818,377",82.84,83.95,82.71
05/16/2025,84.01,"2,206,511",82.91,84.08,82.65
05/15/2025,83.0,"2,732,410",83.0,83.54,82.67
05/14/2025,83.24,"2,857,556",84.11,84.55,83.17
05/13/2025,84.5,"2,783,695",84.5,85.37,84.04
05/12/2025,84.22,"7,019,553",83.06,84.67,82.68
05/09/2025,79.32,"3,023,781",79.62,80.32,79.0675
05/08/2025,79.23,"3,707,465",78.86,79.88,77.88
05/07/2025,77.86,"5,279,833",76.43,78.15,76.26
05/06/2025,75.92,"3,216,730",76.1,76.905,75.63
05/05/2025,76.95,"3,667,267",76.31,77.98,75.985
05/02/2025,76.73,"4,538,948",75.99,78.39,75.2
05/01/2025,76.21,"4,644,730",76.05,77.385,75.35
04/30/2025,75.43,"4,848,428",73.97,75.63,72.73
04/29/2025,74.86,"7,168,698",74.1,75.36,73.89
04/28/2025,74.8,"7,044,297",75.22,76.12,74.145
04/25/2025,74.98,"3,403,644",75.28,76.0478,74.61
04/24/2025,75.74,"1,802,024",73.35,76.14,73.0621
04/23/2025,73.37,"2,032,841",75.2,76.58,73.205
04/22/2025,72.25,"2,011,003",70.77,72.62,70.315
04/21/2025,69.72,"2,308,033",70.89,71.26,68.97
04/17/2025,72.04,"1,891,025",71.87,72.98,71.7
04/16/2025,71.36,"1,353,725",71.89,72.69,70.76
04/15/2025,72.83,"1,727,477",73.33,74.36,72.68
04/14/2025,73.37,"1,751,823",74.02,74.13,72.68
04/11/2025,73.0,"4,559,418",70.95,73.44,69.12
04/10/2025,70.94,"7,486,430",71.38,73.16,69.41
04/09/2025,73.32,"7,395,490",65.89,74.14,65.7
04/08/2025,66.75,"4,638,457",70.64,71.66,65.61
04/07/2025,67.94,"6,227,437",68.26,72.01,65.64
04/04/2025,69.7,"6,552,957",70.74,70.76,67.19
04/03/2025,73.52,"4,805,433",77.94,78.36,73.005
04/02/2025,81.7,"1,683,818",79.42,82.07,79.42
04/01/2025,80.61,"2,016,711",79.71,80.88,78.96
03/31/2025,80.03,"2,928,093",78.2,80.555,77.18
03/28/2025,79.44,"1,769,082",81.0,81.77,79.03
03/27/2025,81.3,"1,963,541",81.08,81.595,79.85
03/26/2025,81.38,"1,782,051",82.32,83.16,81.154
03/25/2025,82.37,"1,983,969",82.7,83.05,81.39
03/24/2025,82.23,"3,134,504",81.98,82.89,81.33
03/21/2025,80.96,"2,946,286",80.64,81.12,79.85
03/20/2025,81.67,"1,473,127",81.08,82.316,80.8836
03/19/2025,82.13,"2,361,004",81.95,82.54,80.93
03/18/2025,81.61,"1,849,586",82.61,82.8,81.09
03/17/2025,82.97,"1,968,503",81.84,83.5599,81.61
03/14/2025,81.87,"1,923,935",81.34,82.2602,80.46
03/13/2025,80.0,"2,181,224",81.25,82.06,79.79
03/12/2025,81.49,"2,542,822",83.53,83.875,81.09
03/11/2025,82.89,"2,482,882",83.21,84.08,81.83
03/10/2025,83.52,"4,090,591",83.7,85.145,82.36
03/07/2025,85.23,"4,479,422",84.23,85.4,82.3
03/06/2025,84.75,"3,910,625",83.47,85.51,82.66
03/05/2025,84.43,"3,466,355",81.85,84.59,81.495
03/04/2025,81.45,"3,079,310",81.39,82.85,79.965
