date,close,volume,open,high,low
05/15/2026,125.07,"1,249,363",126.88,126.88,123.5
05/14/2026,127.75,"1,051,600",126.42,128.14,125.215
05/13/2026,126.12,"1,742,033",126.1,127.1699,123.29
05/12/2026,126.21,"2,047,698",128.97,129.21,125.0
05/11/2026,129.96,"1,358,894",129.98,131.55,129.1101
05/08/2026,128.84,"1,141,499",127.91,129.76,127.2
05/07/2026,126.81,"2,182,457",132.0,132.685,125.3
05/06/2026,132.06,"1,677,539",132.32,134.09,131.23
05/05/2026,131.7,"2,242,167",129.8,131.83,128.395
05/04/2026,128.22,"1,495,174",126.82,128.25,126.45
05/01/2026,127.19,"2,400,109",126.85,127.94,124.64
04/30/2026,125.99,"5,039,529",116.87,126.43,116.445
04/29/2026,114.52,"1,848,554",112.01,114.9,111.1982
04/28/2026,112.62,"1,882,478",112.62,113.315,110.0
04/27/2026,112.75,"1,712,576",116.07,116.99,112.55
04/24/2026,116.03,"1,642,702",116.38,117.89,115.83
04/23/2026,116.12,"1,390,449",117.71,118.025,115.885
04/22/2026,117.23,"1,355,676",119.39,119.94,117.21
04/21/2026,117.83,"1,526,885",120.71,121.0,117.74
04/20/2026,120.53,"1,447,654",118.0,120.7399,117.505
04/17/2026,118.07,"1,938,855",118.55,119.15,116.96
04/16/2026,117.73,"1,830,866",114.4,118.02,113.85
04/15/2026,113.55,"998,202",113.91,114.14,112.79
04/14/2026,114.03,"1,107,724",112.88,114.3,112.15
04/13/2026,111.88,"1,085,576",109.3,111.92,108.31
04/10/2026,109.37,"1,062,396",108.99,109.49,108.41
04/09/2026,108.69,"1,185,600",107.0,109.635,106.825
04/08/2026,106.97,"1,580,484",108.21,108.39,106.25
04/07/2026,104.73,"831,767",103.64,105.095,102.4701
04/06/2026,104.36,"1,090,073",103.0,104.77,102.61
04/02/2026,103.3,"1,114,143",99.9,103.53,99.17
04/01/2026,100.95,"1,505,703",103.06,104.08,100.9
03/31/2026,102.14,"2,005,124",99.05,103.24,98.5
03/30/2026,97.6,"1,308,030",100.03,100.03,96.91
03/27/2026,98.3,"1,367,674",99.24,100.27,97.831
03/26/2026,100.21,"1,126,278",99.81,101.04,99.03
03/25/2026,100.53,"1,443,853",102.08,102.225,100.03
03/24/2026,100.71,"1,337,082",101.8,102.87,100.36
03/23/2026,101.94,"1,566,681",102.52,103.78,101.03
03/20/2026,99.61,"3,053,984",104.74,105.58,99.51
03/19/2026,104.94,"1,484,466",104.43,105.7,103.57
03/18/2026,105.74,"1,163,941",107.62,108.22,105.7
03/17/2026,107.96,"1,279,582",108.25,109.19,107.15
03/16/2026,107.52,"1,368,163",107.74,108.55,106.815
03/13/2026,106.84,"1,319,378",108.94,109.61,106.61
03/12/2026,107.38,"1,526,816",106.87,108.765,105.87
03/11/2026,107.59,"1,432,450",107.29,108.75,106.345
03/10/2026,107.77,"1,187,818",106.77,108.789,106.229
03/09/2026,107.14,"1,292,239",104.22,107.66,102.52
03/06/2026,105.18,"879,227",106.07,106.605,104.89
03/05/2026,107.3,"1,592,753",105.61,107.56,104.62
03/04/2026,107.84,"1,313,218",107.74,108.125,106.34
03/03/2026,107.78,"1,419,493",107.6,108.25,104.68
03/02/2026,110.33,"1,767,395",107.27,110.84,106.59
02/27/2026,108.33,"3,133,196",108.26,110.73,107.72
02/26/2026,109.35,"1,609,533",112.24,112.7,107.79
02/25/2026,111.78,"2,297,855",113.63,115.24,111.04
02/24/2026,113.24,"1,616,657",111.25,113.34,110.58
02/23/2026,111.19,"1,843,313",109.84,111.46,109.365
02/20/2026,110.29,"1,521,389",108.17,110.37,107.374
02/19/2026,108.15,"1,700,153",106.2,108.45,105.25
02/18/2026,105.83,"2,159,579",108.59,109.125,105.14
02/17/2026,108.79,"2,501,222",110.98,111.63,108.0216
02/13/2026,109.83,"4,050,404",107.0,110.8899,106.09
02/12/2026,106.0,"5,864,623",103.605,110.91,103.39
02/11/2026,100.22,"2,802,830",99.72,100.61,98.71
02/10/2026,99.31,"1,891,351",97.3,100.23,96.405
02/09/2026,97.08,"1,745,319",95.67,97.67,95.02
02/06/2026,95.78,"2,458,581",90.83,96.44,89.58
02/05/2026,88.95,"1,510,051",89.88,90.03,88.61
02/04/2026,90.07,"2,076,624",88.77,91.64,87.9
02/03/2026,88.61,"1,753,765",89.2,89.9,87.1
02/02/2026,89.42,"1,827,832",91.54,92.45,89.175
01/30/2026,92.13,"2,720,843",92.73,92.73,90.13
01/29/2026,93.03,"1,186,920",93.0,93.64,91.54
01/28/2026,92.24,"1,405,227",91.92,93.0538,91.57
01/27/2026,91.72,"2,438,229",93.8,93.8,90.735
01/26/2026,93.84,"1,154,841",93.77,94.62,93.35
01/23/2026,93.59,"1,197,395",93.9,94.2299,92.66
01/22/2026,93.85,"1,576,327",94.25,95.12,93.17
01/21/2026,93.81,"1,887,994",93.01,93.89,91.62
01/20/2026,92.35,"2,359,073",94.72,94.9,91.9881
01/16/2026,95.93,"3,151,578",92.55,96.5,92.3
01/15/2026,92.67,"1,696,265",92.41,93.63,91.58
01/14/2026,91.54,"2,115,488",91.9,92.2499,89.68
01/13/2026,92.13,"2,313,603",90.0,92.72,89.02
01/12/2026,89.5,"1,411,535",88.84,89.63,88.25
01/09/2026,89.19,"1,475,965",87.72,89.91,87.62
01/08/2026,87.32,"2,162,047",86.67,88.015,86.0
01/07/2026,87.05,"2,636,197",85.34,88.89,84.8
01/06/2026,84.88,"2,020,506",83.7,86.72,83.44
01/05/2026,83.67,"2,557,758",83.145,84.2,81.74
01/02/2026,83.24,"1,900,075",83.0,83.766,82.34
12/31/2025,82.95,"1,979,339",83.2,83.506,82.49
12/30/2025,83.36,"1,288,580",82.63,83.5,82.2901
12/29/2025,82.63,"1,225,235",81.9,82.89,81.9
12/26/2025,81.99,"858,139",81.38,82.14,80.72
12/24/2025,81.46,"728,521",80.69,81.895,80.63
12/23/2025,80.8,"1,476,548",80.96,81.05,79.5
12/22/2025,81.02,"1,736,238",80.0,81.19,79.21
12/19/2025,80.09,"6,057,700",78.89,80.37,78.23
12/18/2025,78.86,"2,673,125",81.05,81.28,77.77
12/17/2025,79.39,"3,152,097",81.05,82.49,79.05
12/16/2025,81.0,"2,135,106",82.66,82.9375,80.2901
