date,close,volume,open,high,low
05/15/2026,421.12,"2,375,097",430.0,431.98,420.56
05/14/2026,428.06,"2,171,880",432.0,434.91,426.53
05/13/2026,432.27,"1,996,719",430.96,438.78,426.66
05/12/2026,431.87,"2,351,616",425.0,435.56,420.0
05/11/2026,420.06,"4,032,891",446.91,448.75,417.74
05/08/2026,450.06,"2,402,326",454.31,454.32,447.0
05/07/2026,453.49,"1,563,343",453.035,462.4,452.0
05/06/2026,451.73,"1,982,748",451.615,455.0,446.9001
05/05/2026,451.38,"2,952,300",453.925,458.26,441.98
05/04/2026,452.35,"1,797,570",457.56,461.235,449.23
05/01/2026,457.78,"1,462,344",458.86,463.14,456.355
04/30/2026,457.61,"2,000,263",452.68,458.29,449.8298
04/29/2026,453.83,"2,059,344",463.5,463.5,449.59
04/28/2026,466.64,"1,836,727",472.42,473.86,463.38
04/27/2026,470.99,"2,028,418",481.0,486.7742,469.2
04/24/2026,482.22,"2,655,157",480.75,482.84,471.0
04/23/2026,478.82,"2,889,652",484.498,489.86,477.1901
04/22/2026,483.62,"4,437,843",461.36,491.15,460.01
04/21/2026,451.29,"3,379,562",469.05,471.0795,451.29
04/20/2026,465.6,"2,442,672",471.355,472.5699,463.65
04/17/2026,469.21,"2,720,734",463.6,474.28,463.02
04/16/2026,458.08,"2,209,623",469.08,471.8,454.0
04/15/2026,468.36,"1,935,050",469.55,473.99,465.79
04/14/2026,467.22,"1,973,628",459.93,471.24,459.5
04/13/2026,458.96,"1,691,011",448.17,459.25,448.17
04/10/2026,450.62,"1,466,335",455.69,455.79,448.22
04/09/2026,454.94,"1,551,480",459.32,460.65,451.03
04/08/2026,462.28,"2,253,941",469.99,471.9799,460.24
04/07/2026,452.95,"1,796,824",451.005,453.42,447.775
04/06/2026,452.58,"1,152,400",451.06,458.92,449.73
04/02/2026,452.07,"1,647,820",456.26,463.93,450.4
04/01/2026,464.45,"1,427,318",462.89,468.33,460.76
03/31/2026,460.99,"1,960,307",455.03,462.9999,448.4
03/30/2026,452.775,"2,195,638",453.046,459.0,450.27
03/27/2026,452.66,"2,107,201",465.42,466.2117,451.56
03/26/2026,468.55,"1,605,507",469.1,478.25,465.0
03/25/2026,469.98,"1,428,431",474.46,480.18,468.5
03/24/2026,471.91,"1,332,742",473.75,476.13,468.3616
03/23/2026,478.04,"1,501,880",488.145,489.0,478.03
03/20/2026,477.97,"2,227,814",480.3,484.92,473.19
03/19/2026,479.93,"1,258,652",477.5,483.04,475.81
03/18/2026,477.73,"1,483,838",478.54,483.2625,472.34
03/17/2026,482.76,"1,057,451",487.54,494.43,482.19
03/16/2026,483.46,"1,297,436",473.32,486.13,472.95
03/13/2026,472.16,"2,490,043",478.0,482.68,458.0
03/12/2026,479.27,"1,805,469",490.55,491.55,473.1
03/11/2026,492.87,"1,538,969",489.23,493.58,479.11
03/10/2026,485.85,"1,547,183",493.95,496.0,484.38
03/09/2026,493.56,"1,651,611",485.01,493.89,480.23
03/06/2026,490.16,"2,088,196",490.19,491.07,478.2
03/05/2026,496.7,"1,542,393",495.2,502.48,488.81
03/04/2026,501.18,"1,501,345",495.19,505.4351,492.5
03/03/2026,497.42,"1,841,403",487.18,497.96,486.98
03/02/2026,496.25,"1,743,459",492.59,499.623,490.4
02/27/2026,503.51,"1,634,184",499.71,504.95,499.21
02/26/2026,506.88,"1,570,742",508.67,511.88,501.4001
02/25/2026,506.17,"2,061,954",494.0,506.52,494.0
02/24/2026,494.02,"1,404,684",489.69,496.27,487.51
02/23/2026,492.1,"1,765,151",498.88,502.7,486.45
02/20/2026,504.05,"1,553,730",497.15,504.75,495.23
02/19/2026,499.53,"1,434,178",495.71,503.73,495.25
02/18/2026,500.76,"1,464,644",494.24,502.88,490.6401
02/17/2026,493.35,"1,583,207",481.215,495.19,481.215
02/13/2026,485.84,"1,984,623",480.5,495.57,479.61
02/12/2026,478.6,"2,966,529",496.12,497.84,475.83
02/11/2026,496.12,"1,933,675",492.75,500.34,490.66
02/10/2026,495.15,"1,813,070",494.22,500.3756,493.5258
