date,close,volume,open,high,low
05/15/2026,247.68,"1,343,717",248.81,249.885,247.42
05/14/2026,250.77,"811,162",252.36,252.61,249.685
05/13/2026,250.1,"1,137,725",250.82,252.64,249.07
05/12/2026,251.41,"1,169,460",252.8,253.908,249.65
05/11/2026,252.09,"1,201,114",255.12,256.475,251.01
05/08/2026,254.76,"884,639",256.1,257.285,253.97
05/07/2026,255.53,"1,413,135",260.78,262.21,255.2
05/06/2026,260.52,"1,276,487",257.98,262.145,257.64
05/05/2026,254.55,"1,033,080",252.68,255.5,251.76
05/04/2026,251.65,"1,213,922",253.91,254.78,250.46
05/01/2026,255.47,"2,070,685",260.68,261.34,253.2
04/30/2026,258.01,"3,486,798",250.0,259.33,247.0
04/29/2026,265.67,"1,658,232",268.36,269.389,264.446
04/28/2026,268.47,"1,098,624",271.23,271.23,265.96
04/27/2026,269.74,"945,473",269.45,273.25,266.78
04/24/2026,269.29,"1,168,330",271.83,272.39,269.09
04/23/2026,273.13,"1,350,609",268.78,274.12,267.8
04/22/2026,267.09,"1,088,007",272.64,274.0,266.82
04/21/2026,271.05,"816,499",272.32,274.36,270.02
04/20/2026,272.68,"1,118,813",272.26,273.11,270.365
04/17/2026,272.26,"1,474,599",267.49,274.1,267.27
04/16/2026,265.61,"983,296",264.06,267.65,263.07
04/15/2026,264.39,"1,390,377",270.8,271.37,262.11
04/14/2026,272.25,"1,024,766",273.32,274.55,271.5501
04/13/2026,274.51,"1,408,417",269.52,274.61,268.05
04/10/2026,270.52,"982,205",273.81,274.66,270.31
04/09/2026,273.18,"1,371,674",268.12,274.78,267.17
04/08/2026,269.51,"1,270,176",265.99,269.64,261.52
04/07/2026,259.04,"1,460,163",258.1,260.46,256.305
04/06/2026,258.48,"817,279",256.99,258.71,255.67
04/02/2026,258.21,"813,265",256.72,261.56,255.44
04/01/2026,260.54,"1,227,150",260.23,263.3499,259.44
03/31/2026,260.29,"1,413,293",257.68,261.55,254.41
03/30/2026,256.19,"1,071,129",261.25,262.01,255.58
03/27/2026,259.04,"1,482,090",260.72,263.19,257.86
03/26/2026,261.37,"1,503,858",264.52,266.64,260.425
03/25/2026,266.45,"1,169,494",267.31,268.41,263.3
03/24/2026,265.04,"1,046,014",260.12,266.45,258.875
03/23/2026,262.75,"1,650,104",263.41,265.4,261.0
03/20/2026,257.68,"2,353,232",260.86,262.28,256.13
03/19/2026,260.62,"1,125,319",258.0,262.12,257.15
03/18/2026,260.74,"1,224,355",266.59,268.4,260.26
03/17/2026,267.74,"859,136",271.0,271.54,264.38
03/16/2026,268.64,"716,251",269.2,270.11,267.47
03/13/2026,266.99,"1,159,430",267.78,269.715,265.78
03/12/2026,265.62,"1,598,481",269.51,271.6,265.47
03/11/2026,271.52,"1,164,143",272.13,273.37,267.66
03/10/2026,273.29,"1,187,408",275.5,278.06,273.03
03/09/2026,276.58,"1,248,777",273.55,277.2,269.95
03/06/2026,277.16,"1,382,779",281.0,281.36,274.81
03/05/2026,282.51,"1,288,419",284.83,286.5,280.23
03/04/2026,287.17,"808,178",286.8,287.91,284.32
03/03/2026,285.98,"1,442,209",286.43,288.49,282.865
03/02/2026,291.17,"1,475,117",287.82,291.8,285.29
02/27/2026,290.63,"3,074,971",288.63,291.675,287.68
02/26/2026,290.28,"1,416,893",290.96,291.748,286.72
02/25/2026,289.74,"1,620,638",294.57,296.5199,288.0
02/24/2026,294.56,"1,189,356",293.85,296.5,293.465
02/23/2026,293.22,"1,230,359",295.49,298.35,292.54
02/20/2026,294.98,"1,473,336",293.7,298.095,292.57
02/19/2026,293.82,"1,265,676",295.06,296.94,292.38
02/18/2026,296.16,"1,082,720",298.14,298.64,295.355
02/17/2026,297.42,"1,095,754",299.44,301.5,295.73
02/13/2026,299.6,"1,310,771",298.01,302.23,295.19
02/12/2026,298.51,"2,079,865",299.91,303.155,297.87
02/11/2026,298.07,"1,404,897",291.96,299.9,291.96
02/10/2026,294.25,"1,261,780",291.55,295.29,289.305
02/09/2026,290.58,"1,887,999",291.34,294.18,289.53
02/06/2026,293.57,"1,531,429",289.66,294.79,287.5
02/05/2026,288.29,"2,641,291",287.94,293.83,286.83
02/04/2026,288.8,"3,382,696",281.7,293.67,281.0
02/03/2026,278.91,"3,598,517",266.98,282.8799,263.46
02/02/2026,264.21,"2,156,376",261.28,265.0,260.06
01/30/2026,261.26,"1,438,389",262.23,263.06,258.1
01/29/2026,262.86,"1,269,473",259.97,263.78,258.425
01/28/2026,258.25,"1,062,446",258.14,260.59,257.6101
01/27/2026,258.69,"860,466",259.46,260.73,257.745
01/26/2026,259.15,"1,126,884",259.02,260.28,257.41
01/23/2026,258.26,"1,292,819",259.9,260.43,256.96
01/22/2026,259.69,"1,282,074",261.07,262.61,259.37
01/21/2026,259.94,"1,259,452",256.78,262.08,256.325
01/20/2026,254.45,"1,316,604",260.2,261.99,253.725
01/16/2026,263.47,"1,280,718",261.51,264.2675,260.05
01/15/2026,261.89,"1,023,455",259.93,262.705,258.5195
01/14/2026,258.89,"1,676,134",256.76,260.97,256.64
01/13/2026,256.76,"1,340,182",255.26,256.95,254.695
01/12/2026,254.54,"1,056,006",254.43,255.4654,252.69
01/09/2026,255.12,"1,348,488",254.77,256.11,252.07
01/08/2026,253.73,"1,530,061",245.97,255.06,245.97
01/07/2026,246.99,"1,363,686",254.48,255.08,246.37
01/06/2026,254.15,"1,860,858",248.35,254.2,247.551
01/05/2026,249.59,"2,418,992",248.56,251.31,247.61
01/02/2026,249.5,"1,622,680",246.65,249.545,244.55
12/31/2025,246.3,"750,473",248.42,249.51,246.285
12/30/2025,250.83,"669,127",251.5,251.9555,250.13
12/29/2025,252.23,"1,169,023",252.46,253.59,251.6
12/26/2025,252.46,"412,473",251.59,252.93,251.5
12/24/2025,251.95,"291,651",251.83,252.6725,251.1
12/23/2025,251.83,"594,108",251.86,253.0,251.2301
12/22/2025,251.57,"768,265",250.17,252.98,248.8201
12/19/2025,250.14,"3,335,313",250.56,250.765,248.635
12/18/2025,251.18,"1,415,942",252.57,254.28,250.6725
12/17/2025,252.4,"1,317,362",250.54,253.71,249.37
12/16/2025,250.66,"1,735,294",255.09,256.32,249.5301
12/15/2025,258.66,"1,316,101",259.0,259.78,257.87
12/12/2025,258.02,"967,311",258.82,259.27,256.81
12/11/2025,257.41,"1,041,124",254.99,258.17,254.11
12/10/2025,253.53,"1,231,983",247.39,254.18,246.56
12/09/2025,246.63,"871,924",248.33,249.8,246.37
12/08/2025,248.13,"994,485",248.76,250.43,247.725
12/05/2025,249.7,"782,716",250.12,250.86,248.13
12/04/2025,249.38,"1,021,634",250.69,251.55,248.43
12/03/2025,250.04,"1,062,032",249.31,251.61,247.83
12/02/2025,248.38,"825,223",248.4,249.37,245.771
12/01/2025,247.49,"1,066,891",247.32,250.29,247.13
11/28/2025,249.28,"452,199",248.28,250.37,248.28
11/26/2025,248.99,"725,747",247.12,250.52,246.0201
11/25/2025,248.35,"1,070,270",245.17,249.61,243.724
11/24/2025,242.53,"2,511,785",247.29,248.3499,242.345
11/21/2025,247.77,"1,548,863",242.1,248.45,241.28
11/20/2025,241.1,"1,403,320",243.0,244.06,239.24
11/19/2025,241.07,"990,820",241.73,243.178,239.52
11/18/2025,241.93,"1,365,709",240.94,243.49,238.82
11/17/2025,241.41,"989,528",243.95,244.57,240.83
11/14/2025,243.97,"978,511",244.99,245.32,242.56
11/13/2025,245.29,"1,060,085",245.05,247.01,244.3429
11/12/2025,245.43,"695,170",245.64,247.85,245.095
11/11/2025,245.36,"662,706",245.5,246.36,244.64
11/10/2025,244.27,"1,069,137",245.19,245.94,241.72
11/07/2025,245.49,"1,077,199",244.32,246.645,243.27
11/06/2025,244.3,"915,968",244.78,247.085,243.2701
11/05/2025,245.06,"1,591,157",244.6,246.44,243.03
11/04/2025,244.92,"1,420,042",242.61,245.39,242.02
11/03/2025,243.13,"1,250,148",242.9,243.69,240.52
10/31/2025,243.92,"1,649,506",241.73,244.83,241.04
10/30/2025,243.64,"1,347,104",241.47,247.36,240.665
10/29/2025,242.03,"1,797,528",244.84,247.12,241.23
10/28/2025,245.87,"1,558,014",247.68,249.58,245.7
10/27/2025,247.81,"2,010,182",248.77,248.8,245.43
10/24/2025,245.75,"3,222,831",249.0,250.71,242.8
10/23/2025,257.44,"2,046,472",254.57,258.01,252.2
10/22/2025,252.96,"1,317,012",256.79,258.43,252.91
10/21/2025,257.14,"1,077,195",251.68,258.165,251.41
10/20/2025,252.38,"1,001,423",249.17,252.83,249.17
10/17/2025,249.26,"889,048",247.36,249.52,246.8
10/16/2025,246.94,"704,534",248.44,248.44,245.43
10/15/2025,247.69,"720,384",248.57,249.75,245.8
10/14/2025,248.09,"1,114,893",242.75,249.53,242.53
10/13/2025,244.46,"1,071,904",246.54,247.35,243.5001
10/10/2025,244.93,"1,271,334",248.92,249.94,244.23
10/09/2025,248.29,"1,145,722",253.56,254.2998,247.49
10/08/2025,252.75,"1,525,375",256.22,256.26,251.82
10/07/2025,255.75,"932,500",259.35,259.61,255.42
10/06/2025,258.71,"844,531",259.34,260.0,256.74
10/03/2025,260.0,"740,556",260.28,262.75,259.93
10/02/2025,260.73,"733,255",258.88,262.0999,258.2
10/01/2025,259.92,"874,041",259.32,260.575,258.0
09/30/2025,260.76,"1,097,830",259.07,261.635,258.39
09/29/2025,261.38,"840,003",262.46,263.2,260.73
09/26/2025,261.04,"533,811",258.89,261.47,257.158
09/25/2025,257.89,"678,732",258.36,259.58,257.3
09/24/2025,259.56,"693,300",260.42,261.8771,258.59
09/23/2025,261.22,"829,913",261.49,263.3,260.01
09/22/2025,260.89,"692,310",261.37,262.0,260.1088
09/19/2025,261.86,"1,915,447",264.05,264.05,261.5
09/18/2025,263.59,"698,746",262.75,265.23,262.28
09/17/2025,262.48,"963,873",262.71,268.0,261.8
09/16/2025,261.84,"828,818",262.99,264.455,261.06
09/15/2025,263.87,"801,059",264.57,264.83,262.54
09/12/2025,263.36,"668,438",265.28,265.97,262.933
09/11/2025,266.37,"1,040,345",262.27,266.93,261.64
09/10/2025,262.55,"817,276",261.32,264.57,261.17
