date,close,volume,open,high,low
05/15/2026,27.12,"4,083,618",27.26,27.285,26.7
05/14/2026,27.73,"4,443,034",28.47,28.6,27.495
05/13/2026,28.09,"4,838,685",28.3,28.3,27.445
05/12/2026,28.38,"5,211,392",27.99,28.455,27.7
05/11/2026,27.99,"3,865,490",27.66,27.99,27.545
05/08/2026,27.59,"4,883,793",27.09,27.615,26.79
05/07/2026,26.83,"4,832,083",27.52,27.69,26.755
05/06/2026,27.35,"5,042,575",27.35,27.735,27.08
05/05/2026,26.83,"5,289,046",26.22,27.07,26.065
05/04/2026,26.04,"3,876,232",25.74,26.57,25.7374
05/01/2026,25.89,"3,411,455",26.29,26.46,25.85
04/30/2026,26.21,"6,222,346",25.61,26.27,25.29
04/29/2026,25.64,"7,473,914",25.76,25.91,25.37
04/28/2026,25.86,"10,784,770",25.14,26.49,24.6423
04/27/2026,25.48,"8,888,890",25.52,25.91,25.3
04/24/2026,25.51,"6,230,012",25.4,25.8,25.17
04/23/2026,25.37,"4,802,830",25.34,25.83,25.01
04/22/2026,25.56,"5,449,423",25.28,25.645,25.075
04/21/2026,24.97,"4,253,384",24.95,25.5637,24.94
04/20/2026,24.95,"7,720,130",24.57,25.13,24.565
04/17/2026,24.81,"7,682,014",24.46,25.09,24.3
04/16/2026,24.01,"8,847,737",24.72,24.88,23.41
04/15/2026,24.71,"5,588,073",24.86,25.145,24.53
04/14/2026,24.72,"7,077,795",24.55,24.935,24.49
04/13/2026,24.3,"4,857,080",23.29,24.31,23.25
04/10/2026,23.58,"4,125,487",23.45,23.89,23.38
04/09/2026,23.57,"7,506,159",24.09,24.11,23.47
04/08/2026,24.21,"6,107,746",23.9,24.305,23.8
04/07/2026,22.77,"8,537,133",22.49,22.93,21.82
04/06/2026,22.88,"11,084,670",23.93,23.96,22.595
04/02/2026,24.14,"3,038,091",23.42,24.45,23.32
04/01/2026,24.32,"4,548,771",24.5,24.79,24.245
03/31/2026,24.29,"5,626,092",23.86,24.42,23.55
03/30/2026,23.29,"3,535,174",23.47,23.79,23.08
03/27/2026,23.2,"4,189,970",23.87,23.88,23.11
03/26/2026,24.1,"3,892,384",23.98,24.335,23.79
03/25/2026,24.36,"3,541,297",24.35,24.6,23.97
03/24/2026,23.98,"3,903,243",23.43,24.3,23.35
03/23/2026,23.77,"5,747,085",24.0,24.31,23.67
03/20/2026,23.21,"9,121,857",23.3,23.41,22.8
03/19/2026,23.31,"4,291,784",23.03,23.6,22.95
03/18/2026,23.42,"4,190,226",23.5,24.07,23.38
03/17/2026,23.73,"3,901,521",23.48,23.93,23.48
03/16/2026,23.03,"4,059,853",23.51,23.68,23.02
03/13/2026,23.0,"3,877,047",23.15,23.47,22.93
03/12/2026,22.9,"5,153,519",23.1,23.41,22.67
03/11/2026,23.95,"5,203,307",23.85,24.0,23.18
03/10/2026,23.97,"5,181,590",23.92,24.545,23.58
03/09/2026,23.88,"6,089,174",23.17,23.96,22.41
03/06/2026,23.67,"9,877,925",23.94,24.0675,23.17
03/05/2026,24.73,"6,166,101",25.0,25.57,24.225
03/04/2026,25.26,"6,142,969",25.56,25.76,25.11
03/03/2026,25.33,"6,019,505",25.1,25.85,24.74
03/02/2026,26.13,"5,117,094",25.5,26.41,25.382
02/27/2026,26.26,"5,292,565",26.48,26.545,25.73
02/26/2026,27.09,"3,367,818",26.91,27.27,26.675
02/25/2026,26.78,"3,264,677",26.27,26.85,26.05
02/24/2026,26.12,"4,716,286",25.42,26.41,25.19
02/23/2026,25.21,"4,403,626",26.31,26.36,24.915
02/20/2026,26.47,"4,738,827",26.22,26.62,25.85
