date,close,volume,open,high,low
05/15/2026,110.51,"1,537,633",113.07,114.32,110.33
05/14/2026,112.76,"2,538,735",108.52,113.29,108.08
05/13/2026,107.27,"2,649,233",113.78,114.715,105.68
05/12/2026,114.15,"1,548,255",118.78,120.0,114.14
05/11/2026,117.02,"1,611,656",118.18,118.73,115.7
05/08/2026,118.43,"1,512,246",122.96,123.0,118.38
05/07/2026,122.76,"1,844,941",127.04,127.05,119.8
05/06/2026,126.62,"3,839,015",126.62,130.52,119.22
05/05/2026,136.55,"3,061,545",131.56,137.77,128.61
05/04/2026,130.74,"1,060,642",128.73,131.94,128.73
05/01/2026,128.92,"648,870",130.38,130.78,128.46
04/30/2026,129.41,"1,243,887",125.64,129.53,125.445
04/29/2026,125.57,"558,578",126.2,127.07,124.7
04/28/2026,126.46,"768,100",126.51,126.82,125.0
04/27/2026,125.82,"682,667",126.51,127.825,125.5
04/24/2026,126.6,"639,702",127.04,127.51,125.245
04/23/2026,127.58,"882,305",127.61,128.88,126.13
04/22/2026,127.55,"1,135,620",130.21,130.765,126.82
04/21/2026,129.51,"808,130",129.01,131.85,128.7
04/20/2026,128.87,"609,031",128.76,130.795,128.17
04/17/2026,128.93,"733,327",127.92,129.5,127.7
04/16/2026,126.25,"866,486",127.85,128.59,125.32
04/15/2026,127.31,"975,390",126.5,127.68,125.5501
04/14/2026,125.41,"630,953",125.88,126.42,125.22
04/13/2026,125.31,"901,524",121.03,125.45,120.73
04/10/2026,122.87,"853,143",127.24,127.24,122.35
04/09/2026,127.13,"831,154",130.26,130.71,126.37
04/08/2026,131.14,"560,481",130.6,132.24,130.51
04/07/2026,127.19,"536,274",127.91,128.85,125.87
04/06/2026,128.04,"400,398",127.58,128.49,127.25
04/02/2026,128.02,"673,041",126.52,131.29,126.0
04/01/2026,128.42,"670,324",128.26,129.49,126.65
03/31/2026,127.28,"766,453",126.52,128.79,125.01
03/30/2026,124.8,"736,186",127.05,127.24,124.32
03/27/2026,125.89,"586,160",128.88,128.88,125.505
03/26/2026,129.52,"686,196",129.5,131.0,128.57
03/25/2026,129.97,"778,556",130.6,131.72,127.935
03/24/2026,128.87,"1,321,782",127.93,130.43,126.8001
03/23/2026,129.21,"1,315,248",130.73,131.64,129.06
03/20/2026,128.44,"2,820,108",129.29,129.359,126.73
03/19/2026,128.02,"1,296,619",127.0,129.09,126.27
03/18/2026,127.79,"1,167,048",129.47,131.5,127.77
03/17/2026,130.38,"898,563",129.69,131.65,128.93
03/16/2026,128.83,"942,521",129.96,130.3,128.58
03/13/2026,128.06,"798,168",130.76,131.19,127.12
03/12/2026,129.5,"949,692",131.41,132.46,128.94
03/11/2026,132.91,"757,658",132.02,134.81,131.92
03/10/2026,131.84,"722,199",134.4,135.16,130.74
03/09/2026,134.67,"818,881",134.72,135.02,131.4
03/06/2026,136.79,"594,344",134.13,136.95,132.69
03/05/2026,136.1,"519,191",136.33,138.32,134.87
03/04/2026,138.15,"632,397",138.96,139.7874,137.105
03/03/2026,138.88,"916,836",136.1,140.5,134.1418
03/02/2026,139.03,"629,531",136.48,140.11,136.09
02/27/2026,137.86,"1,125,768",137.2,138.34,135.7163
02/26/2026,139.76,"882,228",134.53,140.02,133.835
