date,close,volume,open,high,low
05/15/2026,262.21,"1,916,216",252.0,263.24,250.5
05/14/2026,254.66,"2,214,275",239.48,257.16,235.19
05/13/2026,237.8,"915,379",236.98,239.78,236.185
05/12/2026,236.79,"1,290,543",241.66,243.25,231.475
05/11/2026,240.75,"694,519",245.14,245.465,240.0
05/08/2026,245.4,"612,432",242.19,246.25,240.0
05/07/2026,242.19,"893,485",246.66,247.79,241.06
05/06/2026,246.05,"807,639",246.63,250.24,245.51
05/05/2026,243.04,"632,367",240.26,244.39,240.11
05/04/2026,238.34,"1,189,894",244.38,244.38,237.71
05/01/2026,248.73,"597,828",252.18,253.59,248.25
04/30/2026,251.53,"897,786",247.93,252.47,243.24
04/29/2026,246.31,"834,397",250.91,253.0,243.08
04/28/2026,251.29,"834,845",251.2,251.6,247.66
04/27/2026,250.16,"679,717",248.73,251.52,245.94
04/24/2026,248.59,"614,759",253.71,253.71,247.37
04/23/2026,253.71,"833,013",248.52,255.43,248.52
04/22/2026,247.03,"1,013,510",253.31,253.855,246.19
04/21/2026,251.09,"897,366",253.04,256.18,249.62
04/20/2026,251.6,"901,523",244.29,253.1999,241.83
04/17/2026,245.08,"1,281,117",239.0,247.95,238.49
04/16/2026,238.32,"2,564,696",233.2,245.078,232.0
04/15/2026,224.17,"1,579,729",229.335,229.335,223.515
04/14/2026,229.61,"723,755",227.32,230.19,225.48
04/13/2026,227.61,"758,372",226.5,227.83,222.17
04/10/2026,227.04,"844,549",225.25,228.1,223.12
04/09/2026,225.22,"813,110",224.42,226.545,221.765
04/08/2026,224.63,"907,306",221.13,229.1,221.13
04/07/2026,217.71,"695,661",218.04,220.87,216.34
04/06/2026,217.37,"540,582",212.15,217.48,212.15
04/02/2026,214.91,"682,264",211.41,216.6,208.87
04/01/2026,213.44,"782,854",212.25,216.45,211.4
03/31/2026,211.9,"949,545",205.51,212.31,205.51
03/30/2026,204.77,"671,453",207.27,207.8,204.15
03/27/2026,205.59,"628,440",204.28,206.25,202.7
03/26/2026,206.18,"598,389",207.39,210.77,205.72
03/25/2026,209.1,"894,361",206.98,209.92,204.8325
03/24/2026,205.14,"535,651",200.61,209.145,200.485
03/23/2026,202.78,"911,122",205.28,208.66,202.615
03/20/2026,199.93,"1,702,185",200.2,201.5,195.97
03/19/2026,200.2,"949,060",195.2,201.32,195.2
03/18/2026,197.64,"1,812,428",200.12,200.89,194.47
03/17/2026,200.12,"1,401,584",204.06,205.7,193.94
03/16/2026,202.73,"894,397",202.9,205.0,201.636
03/13/2026,200.25,"1,198,555",203.0,203.76,199.98
03/12/2026,201.13,"995,232",207.2,207.77,200.56
03/11/2026,210.36,"804,609",215.85,216.54,207.54
03/10/2026,215.85,"706,797",217.0,220.69,213.425
03/09/2026,217.46,"1,125,238",211.64,217.835,206.43
03/06/2026,213.39,"1,605,865",220.59,220.59,211.47
03/05/2026,226.36,"733,518",232.65,234.3,225.65
03/04/2026,234.92,"622,975",233.01,236.0,231.39
03/03/2026,230.87,"582,812",226.24,231.66,223.31
03/02/2026,232.07,"616,045",232.25,234.45,227.99
02/27/2026,233.41,"1,481,133",226.44,233.98,224.0
02/26/2026,228.22,"886,246",220.32,230.32,216.08
02/25/2026,219.25,"559,880",223.72,223.72,217.69
02/24/2026,222.9,"675,805",223.12,226.545,220.85
02/23/2026,222.07,"640,925",228.83,229.5999,220.83
02/20/2026,230.16,"837,971",224.99,231.53,224.36
02/19/2026,225.72,"756,768",223.45,226.75,222.23
02/18/2026,223.45,"493,285",222.79,225.45,221.18
02/17/2026,223.51,"787,351",222.07,224.285,220.22
02/13/2026,221.76,"866,320",219.34,224.68,217.9
02/12/2026,218.72,"3,273,424",231.87,234.4,208.86
02/11/2026,230.38,"1,225,813",230.56,234.82,229.415
02/10/2026,229.05,"1,140,409",225.14,230.91,225.14
02/09/2026,226.27,"945,188",227.7,227.74,222.88
