date,close,volume,open,high,low
05/15/2026,339.82,"1,226,091",343.32,346.22,339.0
05/14/2026,354.34,"986,096",356.64,361.3,346.89
05/13/2026,355.43,"990,456",358.6,360.73,352.14
05/12/2026,350.8,"1,435,869",359.99,359.99,343.9941
05/11/2026,365.24,"949,254",355.2,368.63,355.15
05/08/2026,355.15,"1,300,720",355.83,362.31,353.325
05/07/2026,349.6,"1,753,465",367.7315,367.7315,344.37
05/06/2026,372.34,"2,582,825",354.885,372.37,351.48
05/05/2026,337.26,"1,849,128",341.77,352.6732,335.15
05/04/2026,340.8,"770,169",345.0,347.83,337.01
05/01/2026,342.47,"1,258,054",337.0,349.62,336.98
04/30/2026,337.49,"1,836,688",338.49,341.05,332.27
04/29/2026,333.86,"701,796",334.09,335.0,327.4
04/28/2026,330.83,"1,323,497",330.0,339.345,325.4125
04/27/2026,340.8,"740,518",343.45,343.45,330.25
04/24/2026,341.65,"1,224,718",342.52,346.22,340.01
04/23/2026,338.53,"1,186,324",337.08,344.5,332.5
04/22/2026,336.4,"945,886",334.95,336.81,328.95
04/21/2026,333.68,"1,028,420",333.45,338.48,330.81
04/20/2026,330.28,"861,308",322.61,331.82,321.34
04/17/2026,321.69,"1,318,045",313.68,323.55,312.845
04/16/2026,310.1,"780,158",298.9,310.76,296.0
04/15/2026,304.95,"1,047,659",304.12,306.43,298.64
04/14/2026,305.97,"958,786",307.87,310.7,303.05
04/13/2026,305.37,"1,011,137",297.74,305.945,297.74
04/10/2026,299.5,"1,155,863",296.9,303.74,294.61
04/09/2026,293.02,"1,017,593",287.14,295.22,286.8845
04/08/2026,287.14,"1,210,310",282.0,291.435,281.705
04/07/2026,272.85,"812,205",266.05,274.0,265.95
04/06/2026,267.47,"729,056",270.76,273.0,265.001
04/02/2026,268.55,"795,213",266.41,275.56,261.15
04/01/2026,271.96,"738,380",270.0,275.58,269.635
03/31/2026,265.63,"1,137,727",253.29,265.66,252.01
03/30/2026,247.48,"1,051,604",266.56,268.7264,245.195
03/27/2026,261.1,"891,767",260.0,267.77,258.81
03/26/2026,264.15,"1,037,700",277.07,278.35,263.59
