date,close,volume,open,high,low
05/15/2026,226.71,"12,166,950",230.77,232.135,226.44
05/14/2026,230.8,"6,974,439",231.0,231.76,229.16
05/13/2026,230.42,"7,464,490",225.82,230.797,225.4382
05/12/2026,224.26,"8,632,470",223.0,227.65,221.6456
05/11/2026,221.43,"6,223,182",221.32,223.28,220.37
05/08/2026,221.32,"5,550,555",222.94,223.37,220.9201
05/07/2026,222.51,"7,269,708",224.78,224.78,220.63
05/06/2026,224.62,"7,982,250",225.25,226.34,222.95
05/05/2026,225.55,"5,556,720",225.39,226.53,224.9
05/04/2026,224.2,"8,215,235",225.51,227.07,223.58
05/01/2026,227.19,"6,863,587",229.06,229.77,227.02
04/30/2026,229.85,"8,157,165",227.95,231.16,227.81
04/29/2026,227.35,"7,071,144",225.52,228.71,224.86
04/28/2026,227.79,"7,179,849",227.73,231.03,226.37
04/27/2026,225.34,"7,897,807",225.77,227.91,224.3543
04/24/2026,227.5,"6,067,521",229.03,229.99,227.02
04/23/2026,230.65,"7,097,642",227.25,231.39,227.03
04/22/2026,226.1,"9,003,352",226.18,227.48,223.775
04/21/2026,226.16,"11,681,240",229.35,229.69,224.7
04/20/2026,230.69,"7,810,471",234.81,235.26,229.53
04/17/2026,234.18,"8,946,288",234.36,235.54,232.04
04/16/2026,234.54,"8,668,883",237.42,238.14,232.12
04/15/2026,238.67,"6,463,456",239.935,240.42,236.75
04/14/2026,240.1,"10,318,730",235.01,242.19,233.25
04/13/2026,237.96,"7,663,571",237.71,238.39,235.18
04/10/2026,238.46,"7,354,528",242.0,242.26,237.91
04/09/2026,241.31,"6,216,497",241.3,244.2,240.54
04/08/2026,241.3,"8,771,117",236.64,241.33,233.9
04/07/2026,238.41,"6,241,146",240.78,240.78,236.01
04/06/2026,240.97,"4,442,427",242.65,243.5193,240.5
04/02/2026,243.04,"6,878,704",245.11,247.21,241.87
04/01/2026,244.12,"6,314,634",245.6,247.2,243.74
03/31/2026,244.44,"7,554,152",243.01,245.33,242.65
03/30/2026,242.49,"7,241,324",243.49,244.21,240.51
03/27/2026,240.45,"7,617,616",241.19,242.68,239.1301
03/26/2026,239.24,"5,171,440",240.0,241.6535,238.93
03/25/2026,239.93,"6,456,736",236.8,241.455,235.73
03/24/2026,235.27,"9,046,201",234.14,236.0,232.2365
03/23/2026,235.42,"7,313,653",237.4,238.31,234.25
03/20/2026,235.37,"17,156,620",236.83,238.29,234.5
03/19/2026,237.6,"7,511,537",238.34,239.26,236.31
03/18/2026,237.28,"6,811,546",237.87,239.11,235.4169
03/17/2026,238.11,"7,281,819",243.58,244.14,237.22
03/16/2026,243.19,"7,571,757",243.92,245.055,241.67
03/13/2026,241.52,"6,415,539",244.21,245.5899,241.5
03/12/2026,242.04,"7,710,152",241.46,244.4,240.3
03/11/2026,242.99,"6,934,842",242.87,243.69,241.36
03/10/2026,243.71,"7,214,122",242.3,245.0,240.82
03/09/2026,242.59,"7,844,028",240.87,244.09,240.04
03/06/2026,240.4,"7,179,790",238.115,240.79,235.43
03/05/2026,239.63,"9,375,412",242.63,243.0,235.93
03/04/2026,245.3,"5,767,980",245.75,246.57,243.18
03/03/2026,246.75,"6,178,739",246.46,247.88,244.36
03/02/2026,248.56,"9,042,359",249.19,251.71,246.87
02/27/2026,248.43,"16,428,550",244.03,248.94,242.5
02/26/2026,243.47,"7,172,607",245.11,245.47,242.0201
02/25/2026,245.17,"7,698,199",244.86,247.25,243.72
02/24/2026,246.28,"7,246,279",245.345,247.25,244.54
02/23/2026,245.84,"9,622,742",243.63,246.81,242.6
02/20/2026,242.49,"13,565,790",246.47,246.88,240.28
02/19/2026,246.91,"7,553,934",244.62,246.96,244.27
02/18/2026,244.99,"8,129,663",243.24,245.065,242.82
02/17/2026,243.33,"12,703,030",244.13,244.49,241.87
02/13/2026,243.45,"13,268,520",244.59,244.95,242.61
02/12/2026,244.55,"10,254,260",240.48,246.3499,239.68
02/11/2026,240.86,"6,803,917",239.34,241.26,237.4
02/10/2026,238.35,"6,723,253",239.98,240.5,237.88
02/09/2026,238.64,"9,378,548",240.25,240.74,237.04
02/06/2026,239.99,"8,274,034",238.96,240.935,237.98
02/05/2026,237.79,"10,267,500",235.0,239.58,234.99
02/04/2026,234.47,"8,641,449",235.0,235.83,232.94
02/03/2026,233.1,"9,346,605",231.5,235.2,230.48
02/02/2026,230.75,"8,187,529",228.32,231.19,227.25
01/30/2026,227.25,"11,045,530",228.26,228.5,225.33
01/29/2026,227.29,"9,645,348",228.81,230.0,227.08
01/28/2026,227.72,"9,026,495",226.4,228.57,226.075
01/27/2026,224.44,"8,154,489",222.0,225.5,220.7
01/26/2026,221.49,"6,857,093",220.21,222.03,220.0
01/23/2026,220.14,"6,951,040",219.8,221.21,217.8435
01/22/2026,218.49,"13,160,040",218.77,222.17,218.1
01/21/2026,218.01,"14,762,880",211.0,218.675,210.5
01/20/2026,218.21,"14,057,140",217.09,218.725,214.5
01/16/2026,218.66,"10,021,520",219.04,220.11,218.135
01/15/2026,219.57,"8,492,116",218.23,219.75,215.9106
01/14/2026,218.55,"11,858,780",214.73,218.86,214.145
01/13/2026,213.65,"11,379,590",209.91,214.39,208.86
01/12/2026,209.72,"11,794,340",205.55,209.9,203.85
01/09/2026,204.39,"6,154,326",205.91,206.7,204.01
01/08/2026,205.75,"6,557,776",206.93,208.98,204.97
01/07/2026,207.49,"7,545,920",205.26,208.26,205.03
