date,close,volume,open,high,low
05/15/2026,297.81,"8,699,281",300.205,300.79,296.45
05/14/2026,299.91,"7,364,315",302.25,303.7504,298.81
05/13/2026,300.25,"7,709,525",302.27,303.0,300.0709
05/12/2026,304.88,"9,498,214",300.02,306.0624,295.55
05/11/2026,300.0,"9,511,957",302.1,303.19,298.88
05/08/2026,302.1,"9,464,267",308.25,308.99,300.5
05/07/2026,306.27,"8,359,599",314.65,316.3,306.14
05/06/2026,314.9,"8,629,538",311.45,316.2595,311.35
05/05/2026,309.4,"6,316,845",307.71,310.97,306.8
05/04/2026,307.65,"7,338,179",310.62,310.65,306.51
05/01/2026,312.47,"6,135,359",313.95,316.08,311.83
04/30/2026,313.23,"8,865,387",307.07,314.1,306.57
04/29/2026,309.25,"8,031,805",310.57,312.045,307.29
04/28/2026,311.45,"7,398,596",315.2,315.45,311.17
04/27/2026,311.63,"7,925,317",306.88,312.58,306.88
04/24/2026,308.28,"5,215,321",311.15,311.15,307.89
04/23/2026,311.69,"6,969,656",313.52,314.99,308.89
04/22/2026,313.02,"5,545,909",314.85,315.1486,311.9404
04/21/2026,313.0,"7,084,264",317.49,320.235,312.75
04/20/2026,316.99,"10,772,000",310.85,317.13,310.37
04/17/2026,310.29,"11,082,390",312.47,314.9,310.09
04/16/2026,309.95,"8,208,612",305.35,309.95,305.2
04/15/2026,305.93,"9,885,824",313.95,314.24,304.26
04/14/2026,311.12,"11,455,510",309.82,314.32,308.87
04/13/2026,313.68,"8,318,221",307.47,313.74,305.4571
04/10/2026,309.87,"6,069,693",310.0,310.35,306.72
04/09/2026,310.33,"6,586,601",306.95,311.26,306.11
04/08/2026,307.97,"10,590,170",307.97,311.26,305.33
04/07/2026,297.4,"7,849,083",293.14,298.18,292.6982
04/06/2026,295.45,"7,142,621",294.06,296.83,293.195
04/02/2026,294.6,"6,669,252",291.91,295.62,288.72
04/01/2026,295.38,"11,267,170",295.39,298.72,292.91
03/31/2026,294.16,"12,956,880",288.47,295.072,284.945
03/30/2026,283.77,"11,734,350",284.74,287.25,282.33
03/27/2026,282.84,"9,873,292",289.14,290.11,281.75
03/26/2026,291.66,"8,669,196",292.58,294.9899,290.73
03/25/2026,295.42,"12,188,160",294.15,297.64,292.44
03/24/2026,292.4,"11,092,330",286.17,295.48,285.3701
03/23/2026,289.91,"11,470,840",294.31,295.75,287.97
03/20/2026,286.56,"22,436,490",288.08,290.71,285.27
03/19/2026,287.97,"9,846,696",286.88,289.51,284.62
03/18/2026,287.74,"10,057,040",286.83,289.405,285.1223
03/17/2026,286.89,"8,961,193",289.0,291.76,285.95
03/16/2026,286.16,"8,149,008",286.34,289.2699,284.61
03/13/2026,283.44,"9,091,183",284.665,287.19,282.95
03/12/2026,282.89,"13,760,510",282.83,283.88,279.1
03/11/2026,287.52,"10,204,990",288.81,290.4825,284.86
03/10/2026,288.73,"8,344,876",289.29,292.75,287.18
03/09/2026,289.92,"12,241,050",285.5,291.0999,280.45
03/06/2026,289.48,"13,496,530",286.34,289.99,283.71
03/05/2026,293.55,"12,732,490",297.98,301.24,292.43
03/04/2026,299.39,"8,055,673",299.99,301.0,295.82
03/03/2026,300.26,"10,278,220",292.285,302.39,289.5
03/02/2026,297.56,"8,508,910",294.81,299.9799,293.21
02/27/2026,300.3,"18,620,790",300.0,302.95,294.45
02/26/2026,306.13,"7,007,804",304.58,309.01,303.64
02/25/2026,303.3,"8,095,520",298.64,303.6599,297.01
02/24/2026,297.3,"13,554,130",296.82,299.75,291.38
02/23/2026,297.67,"12,955,430",308.8,311.0,295.1
02/20/2026,310.79,"7,792,735",308.4,311.0,305.68
02/19/2026,308.05,"6,737,705",307.17,309.18,305.12
02/18/2026,308.78,"7,209,556",308.46,312.28,307.22
02/17/2026,307.13,"8,896,753",302.76,308.24,302.5
02/13/2026,302.55,"9,114,526",298.52,304.29,296.52
02/12/2026,302.64,"13,443,360",312.275,313.615,300.02
02/11/2026,310.82,"8,703,519",323.24,325.28,308.7301
02/10/2026,318.28,"9,902,224",322.55,326.125,315.1201
02/09/2026,322.1,"11,477,470",321.34,326.4,320.1149
02/06/2026,322.4,"17,797,440",314.71,324.245,314.71
02/05/2026,310.16,"9,387,999",315.0,316.01,305.54
02/04/2026,317.27,"9,848,802",314.405,319.305,314.405
02/03/2026,314.85,"12,687,960",309.73,316.25,309.095
02/02/2026,308.14,"9,839,360",304.46,309.3,301.37
01/30/2026,305.89,"11,953,180",305.25,307.93,302.555
01/29/2026,306.42,"11,579,990",302.4,306.83,302.215
01/28/2026,300.77,"9,556,743",300.27,301.92,298.05
01/27/2026,300.31,"11,527,450",301.33,301.97,298.15
01/26/2026,301.04,"11,752,670",297.81,301.775,297.45
01/23/2026,297.72,"11,107,930",302.0,302.37,296.51
01/22/2026,303.63,"10,535,820",304.86,308.2,302.9
01/21/2026,302.04,"10,270,140",303.425,305.4,301.15
01/20/2026,302.74,"12,900,620",306.21,311.15,301.86
01/16/2026,312.47,"14,652,510",310.35,317.21,310.0
01/15/2026,309.26,"14,751,450",308.47,312.94,307.75
01/14/2026,307.87,"25,951,460",308.2,311.76,306.12
01/13/2026,310.9,"19,371,170",324.3,326.86,310.572
01/12/2026,324.49,"12,805,060",321.884,326.02,321.23
01/09/2026,329.19,"6,738,143",329.34,331.9,328.17
01/08/2026,329.79,"11,737,070",326.39,331.4,325.65
01/07/2026,326.99,"9,815,240",331.14,332.1499,324.6
01/06/2026,334.61,"7,660,787",332.62,335.87,330.65
01/05/2026,334.04,"10,752,630",325.5,337.25,325.19
01/02/2026,325.48,"8,054,040",322.5,325.73,320.74
12/31/2025,322.22,"5,048,531",324.34,324.875,322.04
12/30/2025,323.42,"7,904,263",324.81,324.94,322.49
12/29/2025,323.75,"8,635,338",327.0,327.77,323.53
12/26/2025,327.91,"4,158,293",329.11,330.86,326.54
12/24/2025,329.17,"4,289,306",326.24,329.99,325.5014
