date,close,volume,open,high,low
05/15/2026,21.04,"18,571,320",20.96,21.13,20.69
05/14/2026,21.08,"14,734,040",21.14,21.315,21.0
05/13/2026,20.75,"7,807,694",21.12,21.21,20.72
05/12/2026,21.28,"9,531,093",21.31,21.38,20.975
05/11/2026,21.31,"8,110,869",21.68,21.75,21.225
05/08/2026,21.6,"8,600,878",21.8,21.84,21.53
05/07/2026,21.69,"10,224,120",22.25,22.29,21.615
05/06/2026,22.23,"11,196,250",22.0,22.425,22.0
05/05/2026,21.87,"13,108,760",21.78,21.985,21.665
05/04/2026,21.66,"11,357,960",21.74,21.82,21.53
05/01/2026,21.87,"5,855,551",22.17,22.21,21.8647
04/30/2026,22.11,"9,444,644",21.6,22.16,21.495
04/29/2026,21.67,"9,957,465",21.91,22.07,21.67
04/28/2026,21.96,"8,332,584",22.08,22.24,21.91
04/27/2026,21.91,"8,717,678",21.69,22.068,21.67
04/24/2026,21.63,"13,608,580",22.08,22.11,21.525
04/23/2026,22.01,"8,082,888",22.1,22.16,21.71
04/22/2026,22.04,"7,534,984",22.23,22.33,21.93
04/21/2026,22.1,"14,429,470",22.27,22.545,22.015
04/20/2026,22.19,"13,285,680",21.72,22.2572,21.7
04/17/2026,21.8,"18,022,170",21.87,22.1564,21.725
04/16/2026,21.67,"23,035,560",21.62,22.085,21.34
04/15/2026,21.57,"22,704,410",21.66,21.83,21.45
04/14/2026,21.63,"14,331,370",21.72,21.78,21.42
04/13/2026,21.72,"15,045,800",21.29,21.74,21.185
04/10/2026,21.46,"9,399,847",21.62,21.66,21.44
04/09/2026,21.65,"10,121,690",21.21,21.7,21.185
04/08/2026,21.29,"12,701,230",21.25,21.49,21.03
04/07/2026,20.62,"15,130,570",20.62,20.725,20.465
04/06/2026,20.66,"14,665,660",20.57,20.71,20.45
04/02/2026,20.47,"13,564,230",20.09,20.52,19.82
04/01/2026,20.34,"15,971,850",20.08,20.505,20.08
03/31/2026,20.05,"17,021,450",19.71,20.16,19.59
03/30/2026,19.4,"13,798,710",19.57,19.63,19.3
03/27/2026,19.45,"15,152,430",19.79,19.855,19.36
03/26/2026,19.88,"10,819,050",19.81,19.99,19.675
03/25/2026,20.0,"10,333,510",20.0,20.17,19.715
03/24/2026,19.82,"10,919,650",19.5,20.145,19.39
03/23/2026,19.65,"14,575,870",19.9,20.01,19.555
03/20/2026,19.41,"26,177,210",19.29,19.44,19.155
03/19/2026,19.28,"18,888,500",18.98,19.41,18.725
03/18/2026,19.07,"15,707,470",19.03,19.335,19.01
03/17/2026,19.1,"16,113,630",19.17,19.31,19.04
