date,close,volume,open,high,low
05/15/2026,349.01,"1,791,916",357.374,357.374,347.7501
05/14/2026,361.55,"1,067,320",363.14,365.14,358.0
05/13/2026,361.19,"1,482,059",368.03,370.0,359.375
05/12/2026,361.65,"1,514,717",363.93,365.0,352.08
05/11/2026,366.36,"1,489,384",363.07,370.175,360.8
05/08/2026,360.3,"1,113,012",362.785,364.3,358.12
05/07/2026,355.06,"1,190,610",366.62,367.12,352.43
05/06/2026,366.68,"945,582",360.0,366.77,357.99
05/05/2026,355.93,"782,911",352.0,358.51,352.0
05/04/2026,351.35,"877,223",351.74,354.23,348.14
05/01/2026,352.41,"947,309",353.52,353.52,343.34
04/30/2026,349.91,"1,646,967",344.91,351.5,338.0801
04/29/2026,335.46,"1,011,190",333.98,337.19,330.7
04/28/2026,332.3,"1,546,950",333.12,335.5,324.27
04/27/2026,340.64,"1,776,426",346.4,346.905,332.4232
04/24/2026,346.96,"967,919",350.0,352.78,345.36
04/23/2026,346.53,"989,017",340.77,348.4325,338.91
04/22/2026,338.97,"1,088,033",342.71,344.6799,338.44
04/21/2026,339.3,"682,146",335.09,342.42,334.305
04/20/2026,335.14,"915,271",334.34,337.01,332.0
04/17/2026,334.34,"1,354,636",331.03,338.0,331.03
04/16/2026,329.96,"1,158,800",326.24,330.375,321.2
04/15/2026,325.25,"788,004",327.16,328.43,320.04
04/14/2026,330.46,"854,727",333.63,334.99,327.37
04/13/2026,331.11,"994,102",322.56,331.29,320.7306
04/10/2026,324.18,"1,178,512",323.91,325.55,320.0
04/09/2026,322.94,"1,034,308",318.0,323.87,317.0
04/08/2026,318.33,"1,478,449",312.75,321.51,311.69
04/07/2026,300.61,"951,993",290.64,300.68,289.17
04/06/2026,292.92,"498,451",294.62,296.0,288.6232
04/02/2026,291.24,"888,583",281.98,296.37,280.5987
04/01/2026,289.84,"1,236,884",286.75,294.37,285.29
03/31/2026,282.37,"1,076,018",275.0,283.9485,272.785
03/30/2026,269.41,"1,346,973",284.62,284.62,266.47
03/27/2026,279.06,"1,036,620",277.82,283.3,275.95
03/26/2026,281.07,"1,024,496",288.94,290.02,280.33
03/25/2026,293.12,"1,838,558",300.0,301.74,290.28
03/24/2026,298.58,"1,339,632",286.55,301.99,286.55
03/23/2026,288.96,"1,457,012",286.74,294.41,286.23
03/20/2026,277.53,"3,873,066",288.04,290.74,275.27
03/19/2026,290.21,"1,544,301",280.095,293.13,276.08
03/18/2026,284.12,"793,146",287.07,289.85,283.02
03/17/2026,287.38,"1,149,741",286.71,288.85,283.69
03/16/2026,285.94,"1,275,454",287.5,289.96,285.0
03/13/2026,279.78,"1,645,760",284.3,290.22,277.92
03/12/2026,282.78,"1,629,202",279.38,288.46,277.08
03/11/2026,284.26,"1,452,010",284.2,286.6,280.55
