date,close,volume,open,high,low
05/15/2026,23.0,"4,388,192",23.16,23.2,22.93
05/14/2026,23.18,"3,826,190",23.16,23.26,23.02
05/13/2026,23.08,"3,759,842",23.42,23.46,22.995
05/12/2026,23.55,"4,889,260",23.47,23.61,23.3
05/11/2026,23.47,"3,768,019",23.53,23.5999,23.35
05/08/2026,23.48,"4,456,469",23.6,23.68,23.47
05/07/2026,23.53,"6,439,568",23.79,23.8,23.475
05/06/2026,23.8,"4,292,906",23.61,23.865,23.61
05/05/2026,23.54,"3,487,790",23.4,23.67,23.33
05/04/2026,23.4,"5,375,984",23.24,23.495,23.185
05/01/2026,23.38,"5,918,362",23.65,23.69,23.31
04/30/2026,23.64,"6,040,886",23.92,23.98,23.43
04/29/2026,23.64,"4,559,951",23.75,23.87,23.475
04/28/2026,23.8,"3,953,315",24.0,24.14,23.785
04/27/2026,23.88,"5,542,677",23.69,23.91,23.66
04/24/2026,23.69,"4,603,066",23.79,24.08,23.65
04/23/2026,23.84,"3,482,156",23.7,23.86,23.66
04/22/2026,23.57,"2,673,068",23.8,23.84,23.395
04/21/2026,23.69,"2,599,494",24.08,24.17,23.69
04/20/2026,24.06,"3,502,548",24.1,24.31,23.995
04/17/2026,24.19,"4,338,150",23.79,24.25,23.71
04/16/2026,23.75,"5,897,800",23.47,23.81,23.41
04/15/2026,23.48,"4,501,476",23.53,23.555,23.39
04/14/2026,23.6,"4,837,337",23.13,23.67,23.06
04/13/2026,23.2,"4,236,241",23.09,23.2,22.97
04/10/2026,23.17,"6,078,163",23.1,23.26,22.99
04/09/2026,23.07,"4,374,847",22.66,23.22,22.6
04/08/2026,22.67,"5,245,410",22.91,22.99,22.655
04/07/2026,22.65,"3,707,299",22.38,22.72,22.36
04/06/2026,22.46,"3,160,815",22.42,22.5565,22.315
04/02/2026,22.6,"5,002,288",22.42,22.655,22.295
04/01/2026,22.45,"5,713,305",22.38,22.585,22.37
03/31/2026,22.47,"7,119,589",22.63,22.755,22.2393
03/30/2026,22.32,"4,101,162",22.44,22.62,22.165
03/27/2026,22.22,"4,185,218",22.25,22.47,22.1102
03/26/2026,22.26,"3,876,702",22.38,22.58,22.22
03/25/2026,22.41,"5,853,839",22.64,22.71,22.38
03/24/2026,22.56,"4,457,355",22.59,22.985,22.49
03/23/2026,22.7,"7,009,883",22.74,23.035,22.515
03/20/2026,22.34,"12,226,760",23.07,23.11,22.19
03/19/2026,23.09,"5,564,228",22.84,23.15,22.75
03/18/2026,22.85,"3,919,168",23.16,23.23,22.825
03/17/2026,23.23,"5,098,269",23.34,23.425,23.23
03/16/2026,23.19,"5,041,558",23.19,23.355,22.995
03/13/2026,22.91,"3,313,981",23.21,23.31,22.81
03/12/2026,22.95,"5,048,835",23.02,23.215,22.91
03/11/2026,23.17,"4,918,250",23.02,23.2,22.91
03/10/2026,23.16,"5,188,573",23.12,23.46,23.0
03/09/2026,23.2,"6,897,021",23.01,23.22,22.6
03/06/2026,23.28,"8,303,699",23.1,23.33,22.93
03/05/2026,23.51,"6,703,752",23.37,23.58,23.305
03/04/2026,23.56,"4,233,561",23.47,23.58,23.27
03/03/2026,23.53,"5,683,037",23.25,23.66,23.05
03/02/2026,23.56,"6,952,587",23.43,23.715,23.3
02/27/2026,23.55,"13,790,250",23.57,23.905,23.46
02/26/2026,23.64,"7,679,719",23.43,23.66,23.32
02/25/2026,23.32,"5,025,232",23.27,23.4,23.04
02/24/2026,23.3,"9,089,766",23.45,23.66,23.225
02/23/2026,23.41,"9,445,004",23.25,23.57,23.23
02/20/2026,23.17,"8,429,879",22.68,23.19,22.525
02/19/2026,22.57,"5,730,275",22.64,22.73,22.465
02/18/2026,22.66,"6,702,277",23.11,23.16,22.605
02/17/2026,23.15,"6,601,265",23.0,23.22,22.65
02/13/2026,22.71,"5,516,354",22.62,22.81,22.37
02/12/2026,22.32,"7,467,764",22.05,22.87,22.05
02/11/2026,21.99,"4,696,833",22.2,22.23,21.885
02/10/2026,22.19,"4,553,868",21.8,22.23,21.8
02/09/2026,21.76,"3,230,385",21.78,21.88,21.65
02/06/2026,21.83,"4,050,319",21.76,21.92,21.585
02/05/2026,21.69,"5,724,727",21.54,21.78,21.37
02/04/2026,21.51,"6,585,513",21.07,21.655,21.045
02/03/2026,20.9,"5,847,578",20.76,21.04,20.72
02/02/2026,20.83,"9,252,971",21.06,21.08,20.56
01/30/2026,21.08,"7,347,819",20.65,21.12,20.55
01/29/2026,20.71,"13,084,910",20.59,20.77,20.375
01/28/2026,20.48,"5,565,422",20.98,21.07,20.345
01/27/2026,20.94,"5,157,851",20.81,20.97,20.7
01/26/2026,20.85,"4,171,304",20.96,21.08,20.84
01/23/2026,20.96,"4,211,697",20.72,21.01,20.615
01/22/2026,20.76,"7,084,410",20.93,21.115,20.65
01/21/2026,20.92,"4,462,340",21.08,21.15,20.725
01/20/2026,20.97,"6,039,311",20.82,21.145,20.61
01/16/2026,21.06,"5,447,342",20.75,21.075,20.64
01/15/2026,20.78,"4,404,282",20.69,20.9,20.615
01/14/2026,20.64,"3,114,443",20.59,20.665,20.44
01/13/2026,20.56,"4,257,510",20.65,20.69,20.29
01/12/2026,20.6,"4,395,763",20.34,20.63,20.25
01/09/2026,20.41,"5,127,582",20.55,20.76,20.35
01/08/2026,20.62,"5,559,150",20.23,20.7,20.165
01/07/2026,20.31,"5,470,514",20.46,20.515,20.255
01/06/2026,20.34,"4,440,348",20.05,20.44,20.02
01/05/2026,20.14,"5,038,957",20.06,20.315,19.99
01/02/2026,20.06,"3,994,893",20.23,20.26,19.97
12/31/2025,20.27,"2,406,518",20.38,20.39,20.2
12/30/2025,20.36,"2,269,605",20.42,20.46,20.315
12/29/2025,20.39,"2,898,342",20.39,20.435,20.31
12/26/2025,20.36,"2,874,599",20.39,20.45,20.22
12/24/2025,20.42,"1,959,456",20.18,20.48,20.09
12/23/2025,20.11,"7,481,586",20.06,20.195,19.93
12/22/2025,20.03,"5,198,963",19.93,20.0755,19.9
12/19/2025,19.99,"9,714,731",20.26,20.27,19.99
12/18/2025,20.28,"4,502,940",20.53,20.57,20.225
12/17/2025,20.45,"3,934,408",20.09,20.5,20.05
12/16/2025,20.08,"6,166,538",20.5,20.59,20.08
12/15/2025,20.5,"4,877,752",20.22,20.51,20.08
12/12/2025,20.16,"2,801,911",20.25,20.37,20.09
12/11/2025,20.13,"4,183,697",20.14,20.335,20.08
12/10/2025,20.06,"4,298,573",19.9,20.2351,19.9
12/09/2025,19.9,"5,451,798",19.85,20.085,19.85
12/08/2025,19.78,"4,044,508",20.11,20.1199,19.76
12/05/2025,20.13,"3,069,789",20.04,20.2351,20.01
12/04/2025,20.36,"3,989,921",20.39,20.47,20.32
12/03/2025,20.41,"3,909,006",20.33,20.45,20.26
12/02/2025,20.3,"5,601,853",20.54,20.585,20.23
12/01/2025,20.49,"4,211,747",20.5,20.7,20.475
11/28/2025,20.66,"1,781,795",20.56,20.73,20.5
11/26/2025,20.62,"3,475,693",20.63,20.825,20.6
11/25/2025,20.68,"4,458,109",20.51,20.77,20.5
11/24/2025,20.45,"9,729,039",20.15,20.525,20.15
11/21/2025,20.36,"10,145,650",19.92,20.49,19.895
11/20/2025,19.87,"5,992,555",20.26,20.34,19.86
11/19/2025,20.01,"4,236,803",20.18,20.27,19.925
11/18/2025,20.23,"3,973,367",20.07,20.315,20.02
11/17/2025,20.11,"3,507,881",20.49,20.54,20.095
11/14/2025,20.42,"3,870,038",20.53,20.6,20.35
11/13/2025,20.43,"3,195,235",20.5,20.69,20.38
11/12/2025,20.59,"3,589,568",20.61,20.795,20.56
11/11/2025,20.69,"5,913,587",20.46,20.73,20.42
11/10/2025,20.33,"4,419,612",20.5,20.565,20.3
11/07/2025,20.54,"4,101,969",20.31,20.555,20.2694
11/06/2025,20.24,"4,863,269",20.39,20.53,20.155
11/05/2025,20.43,"5,719,308",20.6,20.6,20.1723
11/04/2025,20.44,"9,854,396",20.37,20.515,20.155
11/03/2025,20.37,"8,790,575",20.5,20.65,20.015
10/31/2025,20.66,"6,343,645",20.9,21.09,20.66
10/30/2025,20.99,"8,054,927",21.56,21.84,20.91
10/29/2025,21.4,"5,499,452",21.61,21.79,21.315
10/28/2025,21.79,"4,186,379",22.38,22.38,21.735
10/27/2025,22.37,"4,216,815",22.32,22.45,22.195
10/24/2025,22.34,"2,355,723",22.41,22.425,22.215
10/23/2025,22.22,"3,664,507",22.38,22.3926,22.0
10/22/2025,22.41,"4,590,841",22.3,22.44,22.16
10/21/2025,22.21,"5,406,479",22.03,22.34,21.9
10/20/2025,22.0,"5,609,875",21.95,22.08,21.74
10/17/2025,21.84,"3,986,186",21.58,21.88,21.48
10/16/2025,21.61,"5,167,112",21.87,21.87,21.425
10/15/2025,21.71,"6,509,870",21.46,21.82,21.42
10/14/2025,21.39,"5,576,080",20.97,21.47,20.97
10/13/2025,21.05,"4,341,521",20.85,21.085,20.75
10/10/2025,20.78,"8,378,859",21.24,21.3,20.755
10/09/2025,21.23,"2,593,798",21.27,21.41,21.125
10/08/2025,21.29,"2,793,730",21.32,21.36,21.2
10/07/2025,21.37,"4,241,877",21.49,21.54,21.235
10/06/2025,21.52,"3,461,675",21.53,21.82,21.37
10/03/2025,21.47,"3,180,598",21.38,21.7,21.38
10/02/2025,21.36,"2,671,246",21.5,21.565,21.2
10/01/2025,21.52,"4,799,379",21.7,21.905,21.43
09/30/2025,21.85,"2,970,694",21.67,21.87,21.625
09/29/2025,21.67,"3,208,401",21.6,21.71,21.47
09/26/2025,21.59,"3,267,361",21.61,21.73,21.45
09/25/2025,21.48,"2,907,168",21.64,21.785,21.45
09/24/2025,21.63,"3,491,289",21.89,21.94,21.595
09/23/2025,21.9,"2,619,671",21.78,21.97,21.71
09/22/2025,21.77,"3,750,174",21.84,21.91,21.69
09/19/2025,21.94,"7,513,104",22.22,22.28,21.91
09/18/2025,22.17,"2,646,127",21.95,22.205,21.95
09/17/2025,21.95,"5,236,893",22.13,22.38,21.92
09/16/2025,22.11,"4,117,091",22.3,22.38,22.05
09/15/2025,22.34,"3,417,177",22.38,22.46,22.26
09/12/2025,22.39,"3,489,633",22.47,22.6,22.335
09/11/2025,22.46,"3,028,583",22.24,22.55,22.23
09/10/2025,22.3,"3,298,412",22.3,22.45,22.245
09/09/2025,22.36,"4,448,788",22.57,22.6,22.24
09/08/2025,22.52,"3,437,269",22.53,22.6917,22.345
09/05/2025,22.76,"3,581,800",22.7,22.97,22.5682
09/04/2025,22.79,"3,314,274",22.64,22.8,22.48
09/03/2025,22.48,"3,267,259",22.15,22.49,22.13
09/02/2025,22.25,"4,390,742",22.36,22.45,22.1406
08/29/2025,22.49,"3,291,369",22.42,22.52,22.28
08/28/2025,22.4,"5,576,821",22.4,22.42,22.14
08/27/2025,22.38,"2,256,601",22.17,22.445,22.14
08/26/2025,22.11,"4,312,831",22.21,22.34,22.05
08/25/2025,22.2,"2,752,608",22.15,22.26,21.985
08/22/2025,22.2,"2,365,151",21.72,22.295,21.625
08/21/2025,21.55,"2,983,749",21.54,21.665,21.48
08/20/2025,21.63,"4,360,125",21.75,21.87,21.565
08/19/2025,21.7,"3,155,826",21.11,21.71,21.11
08/18/2025,21.11,"3,809,384",21.27,21.36,21.1
08/15/2025,21.21,"3,209,031",21.17,21.2924,21.06
08/14/2025,21.16,"3,787,277",21.33,21.39,21.0012
08/13/2025,21.53,"3,120,079",21.24,21.57,21.12
08/12/2025,21.13,"2,404,843",20.89,21.14,20.8
08/11/2025,20.8,"3,501,879",20.75,21.06,20.73
08/08/2025,20.81,"3,489,993",21.2,21.23,20.73
08/07/2025,21.19,"4,554,418",21.53,21.54,20.935
08/06/2025,21.33,"8,017,269",21.36,21.465,21.29
08/05/2025,21.29,"4,774,836",21.1,21.3082,20.98
08/04/2025,21.05,"4,626,622",20.8,21.195,20.78
08/01/2025,20.74,"5,355,524",21.37,21.375,20.65
07/31/2025,21.23,"7,340,204",21.46,22.085,21.185
07/30/2025,21.9,"7,432,324",22.01,22.405,21.83
07/29/2025,21.93,"5,742,767",21.69,21.995,21.57
07/28/2025,21.55,"2,771,832",21.74,21.81,21.48
07/25/2025,21.78,"4,191,205",21.98,22.14,21.63
07/24/2025,21.98,"2,505,713",22.1,22.14,21.945
07/23/2025,22.12,"2,789,220",22.12,22.18,21.985
07/22/2025,22.07,"3,086,130",21.73,22.11,21.57
07/21/2025,21.62,"3,225,975",21.67,21.86,21.585
07/18/2025,21.67,"3,467,160",21.66,21.78,21.5202
07/17/2025,21.66,"3,617,247",21.41,21.715,21.35
07/16/2025,21.41,"2,819,877",21.23,21.455,21.095
07/15/2025,21.17,"4,632,426",21.74,21.78,21.13
07/14/2025,21.71,"5,178,399",21.43,21.72,21.3197
07/11/2025,21.48,"3,593,505",21.24,21.52,21.085
07/10/2025,21.37,"3,017,978",21.18,21.515,21.15
07/09/2025,21.15,"3,765,305",21.2,21.265,21.0698
07/08/2025,21.08,"5,445,841",21.07,21.235,21.035
07/07/2025,21.21,"4,294,612",21.57,21.67,21.16
07/03/2025,21.62,"3,389,277",21.46,21.68,21.4
07/02/2025,21.44,"4,870,163",21.34,21.495,21.165
07/01/2025,21.18,"5,735,002",21.01,21.575,20.87
06/30/2025,21.02,"5,165,280",20.91,21.04,20.61
06/27/2025,20.93,"5,615,088",21.06,21.17,20.835
06/26/2025,21.02,"3,895,690",20.87,21.07,20.81
06/25/2025,20.83,"4,648,073",21.1,21.15,20.8
06/24/2025,21.24,"3,565,987",21.28,21.41,21.2
06/23/2025,21.22,"3,098,909",20.9,21.25,20.84
06/20/2025,20.89,"10,711,460",21.12,21.22,20.815
06/18/2025,21.0,"3,703,730",20.84,21.155,20.76
06/17/2025,20.78,"3,066,353",20.91,21.02,20.69
06/16/2025,20.92,"2,567,749",20.99,21.135,20.87
06/13/2025,20.83,"2,772,518",20.84,20.93,20.625
06/12/2025,21.02,"3,265,926",20.96,21.05,20.775
06/11/2025,20.99,"5,076,259",21.37,21.46,20.9
06/10/2025,21.2,"5,373,276",21.1,21.315,21.04
06/09/2025,21.05,"3,469,648",21.04,21.185,20.88
06/06/2025,20.99,"5,261,209",20.71,21.005,20.67
06/05/2025,20.82,"4,169,840",20.96,20.96,20.65
06/04/2025,20.96,"3,677,857",21.14,21.14,20.875
06/03/2025,21.05,"2,949,045",21.01,21.15,20.9644
06/02/2025,21.17,"3,582,997",21.1,21.225,20.775
05/30/2025,21.26,"6,604,853",21.28,21.335,21.09
05/29/2025,21.35,"6,415,028",21.05,21.44,20.98
05/28/2025,20.98,"2,879,790",21.06,21.06,20.815
05/27/2025,21.01,"3,328,284",20.7,21.03,20.59
05/23/2025,20.48,"2,903,961",20.43,20.55,20.35
05/22/2025,20.61,"3,302,023",20.6,20.71,20.36
05/21/2025,20.61,"3,382,022",21.18,21.21,20.55
05/20/2025,21.3,"4,017,012",21.56,21.65,21.215
05/19/2025,21.67,"3,914,491",21.45,21.74,21.44
05/16/2025,21.69,"2,860,570",21.46,21.7,21.305
05/15/2025,21.39,"2,524,479",21.08,21.425,21.0757
05/14/2025,21.1,"5,208,295",21.18,21.4698,20.97
05/13/2025,21.46,"6,251,455",21.68,21.68,21.19
