date,close,volume,open,high,low
05/15/2026,96.97,"5,939,694",99.24,100.5,96.9167
05/14/2026,99.57,"3,751,118",98.7,100.515,98.1
05/13/2026,97.43,"4,936,025",98.48,99.27,96.9007
05/12/2026,99.47,"6,366,696",99.03,99.64,98.0
05/11/2026,99.46,"5,292,118",101.0,102.99,98.61
05/08/2026,102.52,"5,948,750",100.03,102.94,98.71
05/07/2026,100.34,"6,282,041",101.81,102.06,99.05
05/06/2026,100.79,"5,120,174",103.43,103.4638,100.24
05/05/2026,102.0,"5,703,916",103.01,104.45,100.0
05/04/2026,103.33,"4,101,461",104.0,105.945,102.62
05/01/2026,103.68,"4,063,966",105.0,106.14,103.21
04/30/2026,104.34,"5,270,683",97.43,104.7988,97.43
04/29/2026,99.32,"4,078,909",101.22,101.76,98.5
04/28/2026,101.4,"2,793,337",101.44,102.25,100.05
04/27/2026,100.7,"3,898,141",100.36,103.26,99.9001
04/24/2026,101.83,"2,419,629",101.86,102.51,100.33
04/23/2026,101.64,"4,779,851",104.0,104.7851,100.28
04/22/2026,105.92,"4,813,228",106.61,107.65,104.77
04/21/2026,104.45,"5,126,230",104.34,107.5375,103.76
04/20/2026,103.92,"4,746,561",103.06,104.9593,103.0
04/17/2026,103.6,"5,831,893",104.02,106.8692,103.09
04/16/2026,102.02,"4,254,957",104.5,105.365,102.01
04/15/2026,103.85,"6,300,569",101.5,104.745,101.5
04/14/2026,100.43,"8,152,240",99.0,101.61,98.61
04/13/2026,98.14,"6,905,676",91.15,98.23,90.815
04/10/2026,91.22,"4,067,961",92.83,93.0,89.6925
04/09/2026,92.83,"5,086,643",92.99,93.65,91.59
04/08/2026,93.96,"5,159,689",94.09,96.45,92.37
04/07/2026,90.75,"2,857,265",89.88,91.33,89.88
04/06/2026,91.05,"3,611,786",90.84,91.74,90.075
04/02/2026,91.23,"5,583,670",88.22,93.555,88.0801
04/01/2026,91.36,"6,575,263",93.22,93.66,90.39
03/31/2026,92.5,"8,069,909",92.12,93.67,89.88
03/30/2026,90.36,"7,323,745",88.4,92.1,88.04
03/27/2026,88.5,"8,248,350",88.67,89.19,86.305
03/26/2026,89.99,"7,207,234",88.0,90.96,87.74
03/25/2026,88.91,"5,734,927",92.3,93.02,88.855
03/24/2026,90.91,"7,082,335",87.755,91.09,86.91
03/23/2026,90.84,"6,090,355",92.68,93.135,89.7901
03/20/2026,90.0,"9,441,906",90.4,90.77,88.73
03/19/2026,90.6,"5,537,853",89.5,91.0247,88.86
03/18/2026,90.63,"7,226,004",88.05,92.44,88.0
03/17/2026,88.97,"4,955,804",87.19,90.06,86.655
03/16/2026,86.1,"5,915,780",87.0,87.31,84.84
03/13/2026,85.93,"7,304,503",85.01,87.37,84.57
03/12/2026,83.88,"13,740,060",85.43,87.08,82.67
03/11/2026,87.13,"8,187,458",89.98,91.17,85.4289
03/10/2026,89.96,"5,684,711",91.45,91.7888,88.31
03/09/2026,90.94,"8,451,733",89.32,91.55,87.0
03/06/2026,91.33,"9,266,932",93.06,93.06,89.11
03/05/2026,95.59,"8,230,187",93.5,96.0945,93.445
03/04/2026,93.83,"8,928,958",91.5,94.57,91.45
03/03/2026,90.55,"10,473,330",86.65,91.86,85.365
03/02/2026,90.61,"13,703,680",85.75,91.36,84.52
02/27/2026,87.68,"21,851,230",92.21,92.21,86.345
02/26/2026,93.62,"15,504,220",97.23,98.04,92.46
02/25/2026,96.63,"9,121,311",96.45,97.705,93.55
02/24/2026,95.72,"8,821,707",92.27,97.09,91.0
02/23/2026,92.19,"15,344,670",99.9,99.9,91.45
02/20/2026,101.18,"6,749,903",100.8,104.27,99.77
02/19/2026,101.64,"10,029,110",102.64,103.54,98.92
02/18/2026,103.6,"5,660,071",102.39,105.41,101.5
02/17/2026,102.55,"6,434,000",102.0,103.49,99.71
02/13/2026,101.73,"4,234,586",101.31,102.92,100.77
02/12/2026,101.12,"8,987,346",106.93,107.99,98.48
02/11/2026,105.06,"6,812,575",107.6,109.25,104.2801
02/10/2026,107.21,"9,036,717",107.21,109.53,106.6
02/09/2026,107.29,"11,737,730",103.23,108.41,102.65
02/06/2026,103.2,"13,332,080",102.56,103.955,99.99
02/05/2026,99.17,"16,545,340",103.0,104.805,97.37
02/04/2026,104.77,"20,811,330",102.69,106.8,99.36
02/03/2026,103.28,"11,515,500",113.2,113.7075,102.05
02/02/2026,114.36,"4,510,871",114.15,116.08,112.63
01/30/2026,114.26,"4,944,323",114.03,115.69,113.38
01/29/2026,114.98,"6,625,746",117.75,119.94,113.77
01/28/2026,116.77,"4,604,478",117.34,118.35,115.801
01/27/2026,116.0,"5,488,383",119.6,119.66,115.9
01/26/2026,118.65,"8,576,454",121.24,121.6,117.04
01/23/2026,121.25,"3,183,391",122.8,123.37,120.92
01/22/2026,123.48,"2,729,166",125.47,127.0,123.4
01/21/2026,124.33,"3,834,076",124.44,125.99,123.28
01/20/2026,122.9,"5,008,293",128.35,129.16,122.66
01/16/2026,131.42,"3,910,212",130.54,133.505,130.07
01/15/2026,131.32,"3,233,270",132.47,134.47,130.75
01/14/2026,132.08,"6,821,449",128.74,132.17,126.23
01/13/2026,130.08,"3,241,580",133.38,133.99,128.54
01/12/2026,133.97,"5,138,628",132.0,136.0199,130.9421
01/09/2026,134.65,"2,643,906",134.52,135.31,132.31
01/08/2026,133.64,"3,449,250",129.35,134.4875,128.905
01/07/2026,130.83,"4,180,731",136.24,137.28,130.79
01/06/2026,135.82,"3,994,441",134.45,137.27,133.76
01/05/2026,134.57,"4,369,096",128.785,135.78,128.68
01/02/2026,128.9,"2,545,449",128.88,129.41,127.4
12/31/2025,127.48,"2,021,584",128.51,128.75,127.36
12/30/2025,128.64,"1,753,468",129.4,130.375,128.53
12/29/2025,129.42,"2,306,538",130.8,130.8226,128.96
12/26/2025,130.41,"2,193,904",130.7,130.7,129.9
12/24/2025,130.78,"1,199,047",131.49,131.49,130.64
12/23/2025,131.0,"2,981,517",131.1,131.58,130.6401
12/22/2025,131.42,"4,238,007",130.7,132.425,130.3001
12/19/2025,130.61,"6,635,071",131.84,132.65,130.38
12/18/2025,131.97,"4,291,398",134.45,135.79,131.86
12/17/2025,132.15,"3,527,110",133.52,135.7196,132.04
12/16/2025,133.38,"4,249,519",135.04,135.83,132.34
12/15/2025,134.81,"5,474,934",137.78,137.78,133.4
12/12/2025,136.6,"5,443,525",143.39,143.39,135.725
12/11/2025,142.77,"6,855,393",141.54,144.84,141.225
12/10/2025,141.54,"7,348,890",136.5,142.3,135.89
12/09/2025,135.78,"5,774,992",130.1,137.54,129.67
12/08/2025,130.24,"4,116,441",129.545,130.465,128.6887
12/05/2025,129.42,"2,839,933",128.14,131.0,127.505
12/04/2025,128.43,"2,872,826",126.84,128.5,125.945
12/03/2025,126.48,"3,084,181",123.0,126.92,122.115
12/02/2025,122.68,"2,440,685",122.32,123.85,121.84
12/01/2025,122.19,"2,595,428",120.49,123.21,119.09
11/28/2025,122.31,"1,187,762",121.28,122.85,120.63
11/26/2025,120.83,"3,429,480",121.11,122.61,120.3
11/25/2025,120.81,"4,734,746",118.73,120.92,116.155
11/24/2025,117.85,"4,898,267",118.7,118.995,116.74
11/21/2025,118.67,"5,949,887",115.07,118.89,113.83
11/20/2025,114.41,"5,747,994",119.86,121.64,114.3
11/19/2025,117.5,"3,708,898",114.6,117.52,113.11
11/18/2025,114.18,"5,746,944",113.01,116.115,112.0
11/17/2025,114.02,"5,278,244",119.51,120.05,113.53
11/14/2025,119.92,"4,359,689",118.77,120.82,118.52
11/13/2025,120.75,"9,600,131",122.43,123.6,118.819
11/12/2025,123.07,"3,612,705",121.69,124.7,121.59
11/11/2025,121.36,"3,123,931",120.05,122.06,118.64
11/10/2025,120.11,"5,681,330",123.52,123.95,119.23
11/07/2025,121.32,"9,118,303",112.29,122.13,112.09
11/06/2025,119.31,"6,348,430",118.96,120.45,117.58
11/05/2025,118.89,"3,791,861",118.39,120.55,116.54
11/04/2025,118.29,"4,296,674",116.61,120.3,116.44
11/03/2025,117.63,"4,340,699",118.57,118.75,116.52
10/31/2025,118.33,"4,866,374",116.95,118.9,115.0501
10/30/2025,118.11,"3,865,326",118.66,120.26,117.75
10/29/2025,118.55,"5,211,407",119.73,120.78,117.93
10/28/2025,120.61,"2,882,241",122.29,122.58,120.3
