date,close,volume,open,high,low
05/15/2026,1804.32,"980,380",1830.745,1845.5,1802.555
05/14/2026,1892.94,"810,282",1845.125,1911.11,1830.6348
05/13/2026,1849.71,"938,084",1835.94,1864.99,1794.895
05/12/2026,1811.35,"1,029,398",1802.43,1814.38,1743.0
05/11/2026,1845.19,"1,212,941",1852.75,1897.49,1843.589
05/08/2026,1869.19,"1,289,736",1816.63,1889.06,1805.0
05/07/2026,1763.25,"1,241,562",1817.31,1819.99,1746.0
05/06/2026,1816.29,"1,340,915",1784.69,1824.79,1759.26
05/05/2026,1732.9,"1,194,146",1745.295,1767.1925,1715.87
05/04/2026,1713.32,"791,947",1720.5,1751.14,1676.79
05/01/2026,1726.26,"789,386",1733.0,1745.035,1695.0
04/30/2026,1750.35,"1,891,004",1688.0,1788.66,1646.0
04/29/2026,1816.21,"1,092,103",1829.56,1840.0,1786.4
04/28/2026,1808.97,"1,340,057",1778.98,1855.575,1772.66
04/27/2026,1900.0,"1,119,578",1909.732,1926.77,1867.78
04/24/2026,1935.0,"1,143,274",1852.78,1939.36,1844.715
04/23/2026,1815.43,"928,500",1824.38,1844.59,1788.525
04/22/2026,1812.06,"683,994",1812.99,1814.34,1776.64
04/21/2026,1785.37,"676,364",1814.0,1823.27,1772.43
04/20/2026,1805.32,"623,230",1791.625,1806.745,1770.0
04/17/2026,1791.44,"725,360",1771.26,1791.75,1744.07
04/16/2026,1734.85,"832,719",1718.58,1742.05,1696.4582
04/15/2026,1748.11,"1,164,162",1766.0,1770.32,1680.511
04/14/2026,1795.91,"871,270",1788.75,1798.0,1765.4
04/13/2026,1768.78,"830,286",1734.64,1771.82,1720.27
04/10/2026,1737.28,"686,806",1747.62,1759.96,1732.18
04/09/2026,1727.26,"939,756",1669.89,1734.7,1669.16
04/08/2026,1672.34,"1,020,389",1666.185,1686.26,1635.33
04/07/2026,1548.85,"527,328",1523.62,1548.91,1507.28
04/06/2026,1540.06,"411,954",1522.78,1541.9993,1517.41
04/02/2026,1516.84,"661,739",1454.17,1528.0,1451.0
04/01/2026,1519.84,"880,078",1484.21,1539.93,1483.8
03/31/2026,1472.41,"1,108,052",1417.08,1476.37,1400.0
03/30/2026,1382.58,"1,001,396",1469.0,1473.58,1374.43
03/27/2026,1443.21,"811,836",1436.6,1479.235,1435.2594
03/26/2026,1451.13,"1,091,692",1503.91,1514.79,1445.51
03/25/2026,1543.82,"769,428",1574.31,1576.025,1534.6481
03/24/2026,1566.19,"782,723",1484.84,1582.45,1481.7
03/23/2026,1511.43,"1,174,081",1533.52,1573.26,1510.33
03/20/2026,1498.67,"2,188,351",1511.52,1534.9999,1457.05
03/19/2026,1511.52,"999,963",1437.64,1517.995,1420.29
03/18/2026,1482.36,"882,963",1479.32,1513.07,1459.14
03/17/2026,1481.35,"853,628",1446.72,1485.0,1434.9
03/16/2026,1438.24,"955,773",1453.9,1457.02,1425.14
03/13/2026,1418.64,"1,271,841",1417.15,1445.85,1408.43
03/12/2026,1409.57,"1,259,579",1465.0,1469.99,1396.005
03/11/2026,1465.0,"817,170",1459.0,1495.0,1454.0
03/10/2026,1452.94,"891,533",1421.1,1487.1,1410.0001
03/09/2026,1429.1,"1,120,698",1322.93,1435.22,1321.02
03/06/2026,1344.55,"1,117,853",1372.92,1418.67,1332.0
03/05/2026,1429.36,"1,078,505",1453.34,1475.56,1390.0
03/04/2026,1475.91,"798,546",1466.3,1490.0,1449.03
03/03/2026,1441.35,"1,267,245",1475.63,1487.5,1426.52
03/02/2026,1534.95,"759,131",1475.0,1540.77,1475.0
02/27/2026,1524.55,"1,107,061",1497.01,1537.3851,1490.52
02/26/2026,1524.31,"1,184,269",1545.11,1555.0,1468.8125
02/25/2026,1546.68,"876,173",1544.76,1577.345,1541.11
02/24/2026,1506.65,"667,127",1507.77,1530.0,1475.545
02/23/2026,1487.66,"850,073",1489.87,1516.9999,1456.0001
02/20/2026,1496.0,"684,297",1455.07,1497.61,1455.07
02/19/2026,1469.9,"626,077",1450.1,1474.665,1442.08
02/18/2026,1480.3,"651,053",1478.1,1502.838,1467.57
02/17/2026,1470.19,"623,432",1445.5,1486.95,1427.67
02/13/2026,1464.13,"1,012,377",1451.002,1494.47,1435.01
02/12/2026,1450.85,"1,051,393",1478.02,1495.07,1434.46
02/11/2026,1479.5,"1,092,992",1468.92,1502.105,1445.97
02/10/2026,1430.84,"843,559",1424.14,1444.0,1412.01
02/09/2026,1440.16,"1,639,562",1440.0,1457.0,1424.53
02/06/2026,1442.95,"1,571,467",1377.16,1449.25,1371.18
02/05/2026,1331.03,"1,301,719",1292.89,1349.88,1285.04
02/04/2026,1307.22,"1,583,806",1365.23,1377.32,1285.04
02/03/2026,1355.54,"2,056,153",1445.95,1449.29,1324.39
02/02/2026,1410.45,"1,603,848",1400.03,1440.25,1400.01
01/30/2026,1427.94,"2,788,141",1540.0,1585.0,1416.84
01/29/2026,1684.71,"1,506,394",1642.93,1693.35,1608.21
01/28/2026,1627.2,"1,091,527",1634.46,1650.0,1600.97
01/27/2026,1616.33,"1,174,218",1561.5,1618.19,1555.0
01/26/2026,1543.03,"1,260,150",1512.44,1556.7197,1490.55
01/23/2026,1512.78,"1,010,484",1484.23,1512.97,1451.82
01/22/2026,1500.0,"1,026,018",1549.14,1556.58,1497.88
01/21/2026,1520.0,"1,499,935",1507.25,1541.25,1480.4401
01/20/2026,1486.18,"1,734,010",1525.4,1555.26,1484.335
01/16/2026,1567.82,"1,532,027",1574.67,1581.34,1535.1
01/15/2026,1544.96,"1,657,614",1538.0,1571.49,1525.0
01/14/2026,1434.5,"896,547",1430.87,1434.79,1396.095
01/13/2026,1441.82,"996,849",1461.0,1469.86,1433.2
01/12/2026,1428.17,"855,831",1386.63,1432.2504,1386.63
01/09/2026,1400.0,"1,102,428",1357.42,1404.46,1336.0
01/08/2026,1324.6,"948,839",1351.27,1353.81,1309.2
01/07/2026,1359.69,"904,494",1369.07,1380.0,1352.54
01/06/2026,1395.0,"1,141,603",1369.31,1406.97,1365.281
01/05/2026,1352.45,"1,319,862",1309.97,1371.89,1304.0
01/02/2026,1274.47,"832,190",1259.71,1283.99,1250.5501
12/31/2025,1215.08,"608,043",1243.65,1250.93,1214.09
12/30/2025,1243.65,"384,258",1266.79,1267.61,1241.23
12/29/2025,1260.39,"641,771",1273.09,1286.07,1256.73
12/26/2025,1279.6,"337,506",1283.0,1286.81,1275.26
12/24/2025,1276.99,"210,292",1269.38,1279.18,1265.0011
12/23/2025,1268.75,"600,793",1259.01,1272.09,1257.535
12/22/2025,1265.66,"604,495",1276.37,1278.0,1249.89
12/19/2025,1245.67,"2,156,463",1240.01,1263.57,1239.61
12/18/2025,1222.39,"1,056,469",1223.0,1233.0,1211.0
12/17/2025,1172.02,"913,831",1223.0,1233.56,1169.39
12/16/2025,1223.37,"735,670",1237.01,1240.0,1207.41
12/15/2025,1225.11,"1,258,601",1229.025,1255.0,1215.341
12/12/2025,1193.92,"1,143,931",1230.05,1239.6499,1185.18
12/11/2025,1246.18,"922,326",1229.28,1250.69,1191.0
12/10/2025,1238.91,"712,006",1230.87,1253.7,1220.799
12/09/2025,1225.61,"782,741",1215.73,1233.6,1211.63
12/08/2025,1224.59,"819,896",1232.57,1242.4,1219.2
12/05/2025,1214.46,"681,928",1224.0,1240.0,1212.32
12/04/2025,1208.08,"703,309",1202.56,1217.06,1197.805
12/03/2025,1211.75,"810,390",1186.0,1215.96,1166.218
12/02/2025,1189.86,"953,547",1170.5,1197.9,1163.7
12/01/2025,1157.18,"609,276",1165.0,1175.74,1151.22
11/28/2025,1175.47,"389,265",1168.885,1175.98,1151.0
11/26/2025,1159.07,"1,125,877",1157.75,1167.27,1144.87
11/25/2025,1145.89,"944,253",1130.19,1148.48,1107.42
11/24/2025,1136.73,"1,579,584",1104.9,1147.97,1103.0
11/21/2025,1097.12,"1,438,656",1097.0,1110.83,1071.96
11/20/2025,1102.45,"1,171,922",1187.96,1201.49,1097.58
11/19/2025,1167.46,"960,047",1131.9,1177.385,1129.49
11/18/2025,1123.09,"1,152,232",1114.44,1140.44,1097.89
11/17/2025,1133.7,"1,326,713",1139.9,1155.845,1118.11
11/14/2025,1134.32,"1,444,574",1135.54,1175.22,1127.0705
11/13/2025,1161.72,"1,203,459",1187.16,1192.77,1148.71
11/12/2025,1198.97,"824,613",1208.12,1209.86,1192.845
11/11/2025,1190.9,"911,965",1203.1,1210.695,1185.0
11/10/2025,1217.95,"948,427",1220.94,1226.8299,1201.73
11/07/2025,1193.37,"1,142,370",1199.89,1208.32,1160.12
11/06/2025,1206.4,"1,179,121",1223.05,1223.05,1191.78
11/05/2025,1227.1,"901,380",1203.55,1243.14,1201.525
11/04/2025,1193.49,"1,201,420",1198.2,1229.48,1191.43
11/03/2025,1219.14,"905,742",1216.14,1231.08,1207.47
10/31/2025,1208.74,"885,212",1223.75,1240.365,1200.85
10/30/2025,1214.41,"2,037,655",1234.22,1284.47,1172.81
10/29/2025,1235.28,"1,463,463",1225.99,1259.55,1224.47
10/28/2025,1206.04,"665,675",1206.68,1209.6558,1195.79
10/27/2025,1215.13,"971,274",1200.0,1221.195,1200.0
10/24/2025,1182.82,"825,488",1166.0,1191.26,1160.6
10/23/2025,1159.0,"946,795",1106.66,1163.1,1106.66
10/22/2025,1114.32,"1,361,765",1147.43,1147.43,1090.335
10/21/2025,1147.43,"744,829",1140.81,1156.32,1138.59
10/20/2025,1152.885,"1,078,652",1130.06,1161.18,1126.5
10/17/2025,1106.66,"879,191",1098.35,1109.48,1084.085
10/16/2025,1098.8,"1,031,363",1100.15,1117.0,1079.79
10/15/2025,1087.01,"1,313,727",1057.08,1092.8924,1053.94
10/14/2025,1025.71,"1,056,057",998.55,1042.465,998.55
10/13/2025,1025.0,"1,227,091",1016.25,1033.9,1014.9
10/10/2025,982.75,"1,576,002",1052.29,1054.2737,980.97
10/09/2025,1053.47,"1,247,921",1062.59,1066.5,1037.24
10/08/2025,1062.59,"1,476,001",1063.51,1077.325,1059.01
10/07/2025,1084.74,"878,785",1140.81,1142.04,1083.0
10/06/2025,1139.71,"946,278",1121.68,1152.12,1121.68
10/03/2025,1101.55,"953,743",1128.0,1132.405,1099.17
10/02/2025,1139.26,"924,860",1155.0,1155.0,1127.22
10/01/2025,1128.87,"1,188,082",1075.18,1134.22,1069.78
09/30/2025,1078.6,"886,519",1063.8,1079.865,1057.07
09/29/2025,1064.13,"769,654",1077.18,1085.6,1063.18
09/26/2025,1064.29,"505,437",1056.54,1068.66,1046.1601
09/25/2025,1059.1,"710,581",1058.61,1066.995,1045.8043
09/24/2025,1068.67,"868,147",1066.32,1076.0,1057.64
09/23/2025,1071.2,"829,643",1067.85,1075.52,1060.79
09/22/2025,1071.25,"1,020,716",1038.89,1072.97,1037.5
09/19/2025,1044.81,"1,586,978",1051.9,1052.48,1029.315
09/18/2025,1046.69,"1,825,038",1030.83,1076.79,1025.785
09/17/2025,989.87,"723,855",990.38,1000.0,976.27
09/16/2025,990.57,"776,229",993.5,1002.035,975.0595
09/15/2025,988.91,"845,886",966.99,990.0,966.99
09/12/2025,964.02,"584,146",957.48,968.0899,955.0
09/11/2025,959.28,"1,022,087",940.0,963.89,937.475
09/10/2025,932.63,"713,063",921.86,935.23,914.9
09/09/2025,917.73,"677,983",910.75,922.7499,910.23
09/08/2025,908.98,"886,690",910.0,924.35,906.74
09/05/2025,905.09,"1,155,573",879.63,906.26,878.335
