date,close,volume,open,high,low
05/15/2026,95.91,"4,829,186",97.62,98.0,95.5
05/14/2026,96.67,"3,366,256",97.65,97.85,96.33
05/13/2026,97.04,"4,302,895",97.15,98.21,96.405
05/12/2026,97.34,"5,348,171",96.25,97.765,95.32
05/11/2026,95.75,"5,168,975",98.27,98.38,95.3
05/08/2026,98.31,"3,181,539",99.81,100.1,98.21
05/07/2026,99.56,"4,621,245",99.31,100.485,97.95
05/06/2026,99.19,"3,872,851",97.95,99.78,97.57
05/05/2026,97.2,"4,260,145",95.65,97.68,94.6657
05/04/2026,95.65,"4,366,810",96.71,97.085,95.21
05/01/2026,97.67,"4,872,391",99.04,99.16,96.86
04/30/2026,98.43,"5,903,394",96.375,98.76,96.33
04/29/2026,96.1,"5,381,307",98.36,98.72,94.95
04/28/2026,98.44,"6,637,564",99.49,100.44,97.5
04/27/2026,98.25,"7,024,633",97.65,99.15,97.4
04/24/2026,97.85,"3,386,910",98.59,99.21,97.445
04/23/2026,97.93,"3,292,419",96.49,98.05,96.45
04/22/2026,96.75,"3,876,680",96.6,97.5474,96.01
04/21/2026,96.6,"4,557,813",98.37,98.54,96.17
04/20/2026,98.54,"3,698,918",98.61,99.39,98.1
04/17/2026,98.84,"4,075,174",97.97,100.03,97.85
04/16/2026,97.97,"4,022,706",96.49,98.39,96.49
04/15/2026,96.81,"3,044,206",97.5,97.5,95.87
04/14/2026,97.16,"3,578,260",95.91,97.74,95.61
04/13/2026,96.6,"4,793,094",96.57,97.2,95.45
04/10/2026,97.28,"3,258,952",97.96,98.6667,96.94
04/09/2026,97.96,"7,145,105",96.18,98.81,95.71
04/08/2026,97.0,"7,469,527",94.97,97.075,94.5531
04/07/2026,93.05,"7,849,133",96.45,96.64,92.42
04/06/2026,96.99,"3,897,915",96.13,97.21,95.55
04/02/2026,96.13,"4,644,166",97.17,97.4,95.68
04/01/2026,97.57,"4,287,452",96.18,98.02,95.8506
03/31/2026,96.47,"5,900,319",96.34,96.66,94.54
03/30/2026,96.35,"6,363,644",98.97,99.0999,96.1298
03/27/2026,98.66,"3,251,895",98.85,99.72,98.41
03/26/2026,98.85,"2,999,240",99.16,100.815,98.57
03/25/2026,99.36,"3,455,713",99.7,99.7,98.045
03/24/2026,98.92,"5,254,300",98.58,100.17,97.82
03/23/2026,99.45,"5,634,523",99.69,100.64,98.56
03/20/2026,98.2,"13,109,730",98.93,99.6,97.795
03/19/2026,98.58,"5,110,004",98.47,99.25,97.55
03/18/2026,98.72,"4,352,908",99.44,99.44,97.82
03/17/2026,100.48,"3,464,994",100.79,101.7,100.26
03/16/2026,100.26,"3,407,547",99.55,100.37,98.975
03/13/2026,98.84,"3,651,078",98.88,99.78,98.68
03/12/2026,97.82,"5,602,573",99.5,100.68,97.7334
03/11/2026,100.04,"4,245,187",101.71,101.71,99.31
03/10/2026,101.71,"4,168,790",102.88,103.025,101.02
03/09/2026,102.85,"5,291,845",103.56,103.58,101.915
03/06/2026,104.58,"5,063,470",103.0,104.82,101.69
03/05/2026,104.91,"6,272,628",104.16,105.04,103.01
03/04/2026,104.73,"5,415,931",104.98,105.49,103.42
03/03/2026,104.64,"6,364,359",109.05,109.1534,104.2
03/02/2026,109.74,"3,075,060",110.68,110.78,109.4
02/27/2026,111.44,"4,413,020",110.5,111.82,110.01
02/26/2026,110.38,"5,375,354",109.78,110.5999,109.315
02/25/2026,109.21,"5,370,320",110.79,111.11,108.2
02/24/2026,111.11,"3,907,597",110.45,111.41,109.93
02/23/2026,110.51,"5,238,436",108.63,110.8062,108.14
02/20/2026,109.02,"4,872,933",108.78,109.61,108.39
02/19/2026,108.68,"4,063,500",109.57,110.33,107.795
02/18/2026,109.9,"5,742,767",107.52,110.7,107.28
02/17/2026,107.52,"4,213,918",109.71,110.12,107.21
02/13/2026,109.41,"5,233,716",108.69,109.805,107.97
02/12/2026,108.26,"6,670,563",107.445,110.78,107.28
02/11/2026,107.6,"5,645,065",105.59,107.83,104.52
02/10/2026,105.88,"6,335,951",105.09,106.89,104.8
02/09/2026,104.7,"3,899,480",104.2,104.98,103.62
