date,close,volume,open,high,low
05/15/2026,105.8,"843,073",105.5,106.62,105.29
05/14/2026,105.2,"1,019,670",104.72,105.555,104.2
05/13/2026,104.08,"721,447",103.92,104.9,103.34
05/12/2026,104.39,"811,835",104.22,105.33,103.49
05/11/2026,103.72,"862,366",104.93,105.33,102.88
05/08/2026,104.5,"1,005,375",104.61,104.69,103.62
05/07/2026,104.41,"866,506",104.69,105.745,103.97
05/06/2026,105.29,"839,692",106.9,107.695,105.1
05/05/2026,106.19,"841,550",104.88,107.165,104.6
05/04/2026,105.15,"1,456,499",108.66,109.745,103.03
05/01/2026,111.7,"1,100,570",111.81,113.84,111.7
04/30/2026,112.61,"856,167",110.45,112.85,109.94
04/29/2026,111.21,"748,955",111.23,112.435,109.7623
04/28/2026,112.37,"715,971",112.36,113.24,111.4701
04/27/2026,111.17,"502,823",110.26,112.115,110.21
04/24/2026,110.58,"454,664",111.82,112.11,110.43
04/23/2026,112.42,"531,914",111.15,112.79,111.115
04/22/2026,110.65,"552,060",111.37,111.37,109.88
04/21/2026,111.49,"477,556",110.99,112.16,110.875
04/20/2026,111.07,"520,157",111.35,112.61,110.88
04/17/2026,111.35,"785,536",109.42,111.99,109.42
04/16/2026,109.84,"507,061",109.8,110.62,109.21
04/15/2026,110.23,"535,957",109.18,110.63,109.18
04/14/2026,110.28,"676,008",109.53,110.655,108.95
04/13/2026,110.23,"764,892",109.3,110.25,108.76
04/10/2026,109.47,"525,834",110.5,110.5,108.38
04/09/2026,110.88,"642,784",109.19,111.925,109.19
04/08/2026,109.79,"680,978",108.17,110.1,108.17
04/07/2026,107.92,"501,268",107.3,108.4299,107.19
04/06/2026,107.77,"419,741",105.68,107.79,105.6
04/02/2026,107.69,"519,422",106.67,108.085,106.16
04/01/2026,106.64,"649,238",105.02,107.48,105.02
03/31/2026,106.74,"751,635",106.9,107.64,105.4
03/30/2026,105.83,"657,092",104.89,106.37,104.53
03/27/2026,104.06,"1,209,753",106.88,107.14,103.64
03/26/2026,106.87,"406,122",106.51,107.14,106.1467
03/25/2026,106.4,"520,653",107.55,108.07,106.295
03/24/2026,107.14,"523,504",106.24,107.835,105.86
03/23/2026,106.45,"537,898",107.35,108.82,106.34
03/20/2026,105.6,"1,415,474",105.71,106.32,105.06
03/19/2026,105.65,"783,846",106.15,106.65,104.62
03/18/2026,106.16,"662,049",108.02,108.505,106.02
03/17/2026,108.58,"445,336",109.24,109.88,108.33
03/16/2026,108.49,"566,390",108.95,109.96,108.1
03/13/2026,108.02,"467,035",108.66,109.7399,107.98
03/12/2026,108.43,"815,245",107.94,109.52,107.31
03/11/2026,108.78,"656,373",108.97,109.995,108.39
03/10/2026,109.16,"554,881",108.81,110.21,108.3625
03/09/2026,109.1,"645,191",109.04,109.12,107.54
03/06/2026,109.66,"630,957",109.16,109.88,107.48
03/05/2026,110.0,"595,457",110.86,111.18,109.68
03/04/2026,111.49,"483,977",111.18,111.795,109.64
03/03/2026,111.5,"959,554",111.57,112.1,108.695
03/02/2026,112.19,"682,616",110.06,112.32,109.3075
02/27/2026,110.02,"1,119,426",109.63,110.4986,108.83
02/26/2026,109.43,"750,223",109.88,110.81,109.27
02/25/2026,109.45,"645,850",109.52,110.12,107.92
02/24/2026,109.34,"757,120",108.41,109.43,107.88
02/23/2026,108.71,"602,589",110.06,110.8327,108.255
02/20/2026,109.77,"585,957",108.73,109.82,107.835
02/19/2026,108.35,"458,756",108.57,109.47,108.005
02/18/2026,108.66,"781,557",110.38,110.56,108.48
02/17/2026,110.49,"770,722",109.62,110.67,109.25
02/13/2026,108.78,"739,708",109.64,109.94,108.48
02/12/2026,110.01,"1,065,661",111.2,111.55,109.99
02/11/2026,110.17,"685,982",109.73,110.36,108.11
02/10/2026,109.96,"780,628",109.59,111.6,109.16
02/09/2026,110.9,"1,247,076",112.8,114.9,109.99
02/06/2026,111.27,"702,684",111.64,112.7,111.09
02/05/2026,110.89,"874,664",109.77,111.61,109.765
02/04/2026,109.43,"1,157,834",107.85,110.17,107.85
02/03/2026,107.41,"711,659",105.58,107.41,104.93
02/02/2026,105.78,"743,513",105.58,106.5,104.82
01/30/2026,105.57,"682,194",104.51,105.66,103.68
01/29/2026,104.68,"689,267",103.49,104.68,103.1125
01/28/2026,102.81,"523,480",101.84,103.19,101.84
01/27/2026,102.3,"542,894",102.67,102.92,101.915
01/26/2026,102.68,"567,414",102.3,103.49,102.11
01/23/2026,101.86,"677,129",102.26,102.44,101.08
01/22/2026,102.4,"734,539",102.14,102.46,101.49
01/21/2026,102.38,"731,714",102.65,103.3999,101.565
01/20/2026,102.3,"940,208",102.09,103.33,102.0
01/16/2026,102.49,"1,118,541",102.9,103.29,101.89
01/15/2026,103.16,"623,403",103.74,104.575,102.675
01/14/2026,103.6,"942,165",102.83,104.23,102.83
01/13/2026,102.77,"604,357",104.58,104.605,102.48
01/12/2026,104.52,"787,840",104.51,105.11,103.84
01/09/2026,104.58,"590,782",105.19,105.83,104.58
01/08/2026,105.49,"695,635",105.54,106.91,105.04
