date,close,volume,open,high,low
05/15/2026,123.69,"1,242,775",126.42,127.71,122.75
05/14/2026,125.55,"989,751",124.54,126.69,123.52
05/13/2026,124.17,"1,589,573",126.62,127.742,121.53
05/12/2026,128.39,"2,307,579",128.96,130.95,126.6
05/11/2026,127.68,"1,890,279",128.68,129.99,125.34
05/08/2026,130.11,"1,515,839",131.12,131.12,127.865
05/07/2026,131.26,"1,447,320",133.84,135.5,130.0
05/06/2026,134.9,"2,230,508",135.9,136.53,129.355
05/05/2026,137.19,"2,252,443",152.35,153.9,137.11
05/04/2026,148.81,"2,071,844",148.75,152.365,148.49
05/01/2026,149.23,"1,163,490",150.0,150.8,148.555
04/30/2026,149.22,"853,662",145.49,149.56,144.91
04/29/2026,145.91,"785,794",146.16,147.29,144.9
04/28/2026,146.15,"870,009",145.88,147.18,143.05
04/27/2026,144.24,"627,520",146.47,147.86,143.39
04/24/2026,146.06,"798,117",146.75,146.8,144.18
04/23/2026,147.6,"1,047,032",150.72,150.72,146.45
04/22/2026,150.71,"877,538",154.21,154.615,149.98
04/21/2026,153.2,"700,890",153.84,156.205,152.83
04/20/2026,154.82,"609,684",155.73,157.0,153.83
04/17/2026,155.17,"1,043,616",156.76,157.725,154.05
04/16/2026,156.47,"767,239",159.73,160.79,155.96
04/15/2026,159.04,"814,787",156.54,159.685,156.1
04/14/2026,156.17,"862,900",157.93,158.3892,156.035
04/13/2026,157.59,"1,220,619",155.19,157.94,153.6
04/10/2026,152.88,"805,450",155.17,156.81,151.11
04/09/2026,155.63,"645,269",160.13,160.135,155.58
04/08/2026,160.64,"789,493",158.06,162.0,157.69
04/07/2026,158.87,"635,122",159.21,160.38,157.78
04/06/2026,159.47,"646,843",158.52,159.99,157.8
04/02/2026,158.82,"688,971",155.19,159.26,154.08
04/01/2026,156.01,"852,870",154.48,157.3499,154.48
03/31/2026,155.52,"997,761",156.02,158.49,154.38
03/30/2026,154.19,"1,023,003",157.1,157.4022,152.735
03/27/2026,155.53,"675,360",157.5,157.5,154.97
03/26/2026,157.58,"611,291",158.05,159.87,156.85
03/25/2026,158.88,"714,339",160.0,161.01,156.82
03/24/2026,158.99,"1,158,442",161.13,163.27,157.25
03/23/2026,162.54,"1,290,366",166.44,167.98,162.51
03/20/2026,165.87,"4,464,747",164.7,166.82,164.7
03/19/2026,165.95,"989,384",165.93,167.115,165.0
03/18/2026,166.75,"948,038",168.79,170.29,166.64
03/17/2026,168.98,"1,058,312",168.31,170.602,166.4
03/16/2026,167.45,"1,342,669",172.52,172.775,166.31
03/13/2026,173.86,"791,643",174.98,175.4,172.47
03/12/2026,173.81,"1,152,801",173.31,175.68,172.16
03/11/2026,173.37,"933,300",171.9,175.82,170.52
03/10/2026,172.51,"1,313,544",177.94,177.94,170.03
03/09/2026,179.54,"926,761",177.18,180.01,174.03
03/06/2026,177.89,"978,415",175.65,179.13,174.257
03/05/2026,175.66,"1,046,657",175.48,176.89,173.23
03/04/2026,176.7,"1,290,954",180.65,181.0,176.52
03/03/2026,180.65,"1,810,179",177.17,181.13,176.09
03/02/2026,179.4,"1,579,762",177.0,179.54,174.75
02/27/2026,175.1,"1,549,370",174.77,177.0,173.62
02/26/2026,175.86,"1,375,904",172.01,176.49,170.705
02/25/2026,169.89,"1,483,357",174.97,175.44,168.15
02/24/2026,174.13,"1,512,087",171.94,174.8,171.5
02/23/2026,172.0,"1,113,342",172.18,174.0,170.6
02/20/2026,173.5,"936,736",175.03,175.22,171.55
02/19/2026,176.27,"1,365,603",170.7,177.42,170.05
02/18/2026,171.53,"2,092,272",163.44,172.02,161.05
02/17/2026,161.53,"2,595,908",178.27,179.2,161.53
02/13/2026,176.3,"1,258,563",172.34,176.65,171.64
02/12/2026,171.44,"1,477,378",175.22,179.47,169.18
02/11/2026,173.0,"1,526,539",194.72,196.0,172.45
02/10/2026,194.72,"764,111",194.57,195.34,191.215
02/09/2026,194.58,"659,789",194.32,195.94,193.22
02/06/2026,192.99,"736,168",187.66,194.28,186.38
02/05/2026,186.08,"1,019,631",187.95,190.8705,185.36
02/04/2026,188.44,"877,116",189.28,191.0,186.8201
02/03/2026,189.79,"868,035",187.97,190.45,185.83
02/02/2026,188.04,"697,883",187.54,188.6314,185.85
01/30/2026,188.28,"946,327",185.67,188.39,184.69
01/29/2026,187.19,"585,751",188.46,190.41,185.69
01/28/2026,187.77,"599,002",185.85,188.205,184.0
01/27/2026,187.15,"804,941",188.69,189.3,186.43
01/26/2026,189.5,"844,690",193.0,193.0,185.9
01/23/2026,191.23,"659,454",194.99,198.0,190.18
01/22/2026,193.45,"860,884",192.7,196.0599,189.67
01/21/2026,192.12,"920,768",191.36,193.61,189.24
01/20/2026,190.92,"766,361",193.49,195.515,190.8
01/16/2026,194.7,"889,006",192.22,194.73,190.81
01/15/2026,193.36,"1,095,730",190.39,193.51,189.0
01/14/2026,190.82,"1,319,147",196.04,197.15,188.26
01/13/2026,195.96,"974,741",196.77,199.09,195.06
01/12/2026,195.6,"965,510",198.8,200.66,194.9
01/09/2026,198.34,"994,904",193.68,200.9999,193.65
01/08/2026,195.22,"1,765,441",198.0,205.0,187.76
01/07/2026,196.61,"1,148,312",198.88,202.23,195.98
01/06/2026,197.5,"747,440",195.2,197.93,194.65
01/05/2026,195.49,"1,197,583",185.23,196.3999,184.0
01/02/2026,183.47,"654,376",179.6,183.78,178.81
12/31/2025,180.4,"649,311",182.53,183.055,180.32
12/30/2025,183.35,"658,260",185.04,185.664,182.46
12/29/2025,185.49,"314,888",185.82,186.86,184.2
12/26/2025,185.86,"277,974",187.11,187.42,185.3
12/24/2025,186.63,"272,699",186.32,187.5,185.61
12/23/2025,186.32,"553,791",185.98,187.35,184.6401
12/22/2025,186.04,"700,435",185.19,187.38,184.14
12/19/2025,184.68,"2,420,904",181.29,184.78,180.29
12/18/2025,181.19,"886,829",182.22,183.57,180.625
12/17/2025,181.36,"852,480",181.06,183.6099,180.0
12/16/2025,182.16,"882,166",185.86,186.5,180.74
12/15/2025,185.95,"955,041",188.36,189.73,184.88
12/12/2025,189.73,"1,152,346",190.53,191.53,187.11
12/11/2025,190.53,"659,900",189.05,191.54,187.4
12/10/2025,188.31,"770,133",184.16,189.41,184.01
12/09/2025,184.95,"872,955",185.61,186.98,184.68
12/08/2025,185.62,"887,595",187.33,187.33,184.42
12/05/2025,186.82,"917,394",191.62,191.62,183.91
12/04/2025,192.42,"782,926",189.04,196.56,189.04
12/03/2025,188.44,"585,334",187.84,189.075,186.8
12/02/2025,187.07,"764,872",189.11,189.98,186.27
12/01/2025,188.42,"769,947",190.46,191.73,188.33
11/28/2025,191.1,"379,578",190.85,191.67,190.2957
11/26/2025,190.36,"760,927",191.8,192.92,190.185
11/25/2025,191.5,"872,794",187.9,192.13,187.48
11/24/2025,186.81,"1,267,361",185.81,187.745,183.85
11/21/2025,186.49,"1,026,058",186.31,189.5398,185.55
11/20/2025,185.66,"808,746",191.25,192.999,185.355
11/19/2025,189.18,"649,782",188.74,190.14,187.22
11/18/2025,189.11,"677,698",188.98,190.935,187.54
11/17/2025,188.79,"596,955",191.05,191.65,188.24
11/14/2025,191.41,"823,402",191.1,191.72,188.9406
11/13/2025,191.32,"790,145",193.88,195.39,190.67
11/12/2025,193.02,"876,220",197.5,199.55,192.74
11/11/2025,198.25,"591,881",196.49,200.46,195.51
11/10/2025,196.87,"570,341",197.32,198.085,194.24
11/07/2025,196.98,"605,676",195.13,198.0,193.05
11/06/2025,194.76,"684,012",195.07,197.78,193.25
11/05/2025,195.07,"1,018,602",199.98,202.0,194.75
11/04/2025,199.55,"1,509,540",189.65,205.77,188.1
11/03/2025,193.05,"1,639,456",189.94,194.12,188.25
10/31/2025,190.47,"749,197",191.01,192.7999,189.12
10/30/2025,190.92,"835,569",188.57,192.235,188.075
10/29/2025,188.16,"531,497",187.01,190.71,186.1
10/28/2025,187.81,"581,231",189.11,189.77,186.9682
10/27/2025,189.11,"583,128",189.96,190.02,188.23
10/24/2025,189.96,"779,704",191.32,191.32,183.76
10/23/2025,191.39,"813,639",189.07,193.23,188.63
10/22/2025,188.47,"832,051",192.62,193.395,188.0
10/21/2025,193.16,"855,621",190.81,193.72,190.5
10/20/2025,190.49,"536,689",186.28,191.29,185.1
10/17/2025,184.51,"774,769",184.26,185.76,180.45
10/16/2025,184.41,"628,440",186.14,187.355,183.99
10/15/2025,186.57,"496,018",187.67,189.275,184.29
10/14/2025,187.27,"512,787",185.17,188.8,184.31
10/13/2025,185.94,"781,052",188.1,188.3811,185.52
10/10/2025,188.03,"763,550",194.47,194.8,187.82
10/09/2025,194.05,"674,488",198.18,198.61,193.845
10/08/2025,198.23,"779,849",198.0,198.56,195.64
10/07/2025,197.0,"668,993",198.95,199.28,196.385
10/06/2025,198.04,"885,701",195.58,198.805,195.0
10/03/2025,195.58,"868,255",192.81,197.46,192.0
10/02/2025,192.89,"744,813",191.25,193.636,190.0601
10/01/2025,191.63,"956,209",186.81,191.66,186.81
09/30/2025,188.96,"844,537",186.21,189.74,186.06
09/29/2025,185.61,"847,130",186.22,187.5,184.09
09/26/2025,184.9,"838,215",183.35,185.85,181.435
09/25/2025,182.36,"1,041,624",187.29,188.37,179.2
09/24/2025,187.4,"727,415",188.33,189.213,186.91
09/23/2025,187.11,"778,722",188.52,190.68,185.12
09/22/2025,187.87,"753,586",186.89,188.28,183.385
09/19/2025,187.45,"3,133,129",187.76,188.9,186.505
09/18/2025,187.15,"832,488",183.31,187.57,181.29
09/17/2025,183.8,"710,628",182.59,185.0,181.08
09/16/2025,182.58,"904,497",182.56,183.79,180.835
09/15/2025,182.73,"746,097",182.26,184.3799,181.835
09/12/2025,183.86,"541,392",184.82,185.46,183.72
09/11/2025,185.13,"851,339",181.0,185.92,180.705
09/10/2025,180.37,"525,881",178.95,180.49,178.29
09/09/2025,179.03,"751,189",178.25,179.175,176.75
09/08/2025,178.41,"641,565",178.25,178.57,176.34
09/05/2025,179.0,"697,578",179.49,180.1699,177.42
09/04/2025,178.58,"1,065,130",177.0,178.58,174.64
09/03/2025,177.71,"615,516",180.77,181.05,176.66
09/02/2025,180.89,"596,270",180.92,181.5,179.355
08/29/2025,180.92,"671,029",181.27,182.5,180.04
08/28/2025,181.36,"592,481",183.08,183.4999,180.03
08/27/2025,183.39,"541,693",181.93,183.73,181.35
08/26/2025,182.35,"686,217",181.21,182.45,180.39
08/25/2025,181.61,"477,051",181.6,182.37,180.9598
08/22/2025,181.74,"608,970",180.5,183.59,180.3
08/21/2025,180.44,"554,872",179.54,180.713,179.04
08/20/2025,180.16,"789,669",178.65,180.78,177.57
08/19/2025,178.74,"716,846",177.78,179.9871,176.5
08/18/2025,178.12,"561,712",178.54,179.32,177.76
08/15/2025,177.63,"849,306",178.51,178.695,176.15
08/14/2025,178.44,"876,919",181.77,182.88,177.59
08/13/2025,181.95,"902,548",177.75,182.18,177.49
08/12/2025,178.02,"826,409",176.65,178.15,175.6557
08/11/2025,177.14,"907,728",176.22,178.92,175.88
08/08/2025,176.5,"826,664",175.34,177.42,174.37
08/07/2025,175.27,"1,135,616",175.48,177.1787,173.95
08/06/2025,174.49,"1,749,524",175.0,175.77,170.41
08/05/2025,172.94,"2,216,599",168.01,173.6,164.15
08/04/2025,160.95,"1,303,740",159.28,161.27,158.58
08/01/2025,159.2,"784,367",159.36,160.2,156.305
07/31/2025,159.65,"871,265",160.78,161.9,159.25
07/30/2025,161.05,"548,212",161.53,162.5,160.09
07/29/2025,161.51,"544,143",161.99,162.31,160.33
07/28/2025,160.35,"961,036",163.22,163.71,158.91
07/25/2025,163.25,"704,538",163.99,164.1,160.57
07/24/2025,163.25,"658,001",163.91,165.35,162.9
07/23/2025,163.91,"605,333",162.01,164.115,161.78
07/22/2025,161.28,"886,090",161.16,162.34,158.77
07/21/2025,160.74,"503,391",162.5,162.54,160.45
07/18/2025,162.54,"466,401",163.35,163.9388,161.9401
07/17/2025,162.71,"563,295",161.0,163.2,160.815
07/16/2025,161.04,"665,780",159.96,161.345,158.64
07/15/2025,160.21,"702,041",163.89,164.5799,160.2
07/14/2025,163.67,"678,232",161.81,164.68,161.0
07/11/2025,162.05,"698,422",162.84,163.09,160.5305
07/10/2025,163.0,"648,180",162.04,163.73,161.64
07/09/2025,162.21,"754,548",162.33,162.655,160.4301
07/08/2025,162.09,"1,053,963",163.41,164.5263,161.745
07/07/2025,164.46,"1,280,892",165.11,165.49,163.55
07/03/2025,164.56,"950,883",163.08,165.97,162.66
07/02/2025,162.62,"1,317,789",159.72,162.77,158.47
07/01/2025,160.94,"1,152,825",157.48,161.12,157.0
06/30/2025,157.76,"981,339",156.3,158.0,155.44
06/27/2025,155.68,"1,140,963",155.8,156.26,153.28
06/26/2025,155.68,"1,253,707",154.75,157.35,153.17
06/25/2025,153.96,"1,114,171",152.94,154.585,151.54
06/24/2025,152.23,"1,220,669",151.0,152.71,148.8
06/23/2025,150.67,"1,187,034",149.0,151.6,147.435
06/20/2025,148.45,"3,006,429",148.48,148.99,145.9
06/18/2025,148.35,"759,703",149.45,150.88,148.04
06/17/2025,149.39,"1,201,109",148.06,149.92,147.12
06/16/2025,148.25,"1,075,420",148.61,148.925,145.43
06/13/2025,149.16,"1,107,700",148.74,151.01,146.82
06/12/2025,148.02,"764,166",145.78,148.04,145.25
06/11/2025,145.92,"950,568",145.37,146.04,143.549
