date,close,volume,open,high,low
05/15/2026,82.3,"3,568,636",85.09,85.59,82.06
05/14/2026,85.25,"2,504,591",85.49,86.26,84.61
05/13/2026,84.97,"2,265,572",85.19,85.92,84.45
05/12/2026,85.86,"2,652,817",87.48,87.78,85.01
05/11/2026,87.09,"2,791,012",87.97,88.25,86.765
05/08/2026,88.38,"1,501,739",88.13,88.79,87.0412
05/07/2026,87.74,"2,406,308",90.35,91.45,87.21
05/06/2026,90.54,"3,503,530",88.69,91.04,88.01
05/05/2026,86.2,"2,386,081",84.97,87.51,84.64
05/04/2026,84.36,"2,269,671",87.32,87.85,84.27
05/01/2026,88.45,"2,184,959",90.81,91.12,88.275
04/30/2026,90.3,"2,144,238",88.98,90.5,88.975
04/29/2026,88.71,"2,602,934",91.73,92.44,88.185
04/28/2026,92.32,"1,820,083",93.99,94.49,91.87
04/27/2026,93.25,"1,929,447",94.74,94.85,93.11
04/24/2026,94.05,"2,311,745",93.93,95.48,93.29
04/23/2026,94.18,"2,216,375",94.6,95.4,93.3401
04/22/2026,94.45,"2,175,674",95.19,95.535,93.8
04/21/2026,94.81,"3,000,470",97.5,97.94,94.5
04/20/2026,94.12,"2,134,220",92.29,94.15,91.5
04/17/2026,92.79,"3,620,672",90.95,95.22,90.725
04/16/2026,88.8,"1,840,856",89.15,90.06,88.75
04/15/2026,88.44,"2,353,920",89.66,89.66,87.6
04/14/2026,88.83,"2,803,106",89.8,90.92,88.7
04/13/2026,89.79,"2,596,116",88.39,89.88,87.125
04/10/2026,88.97,"4,215,585",89.06,89.085,86.5
04/09/2026,88.93,"3,421,927",87.57,90.27,87.29
04/08/2026,88.63,"3,535,334",88.96,91.37,88.38
04/07/2026,85.62,"4,424,772",86.45,87.32,84.57
04/06/2026,88.57,"2,272,390",85.6,88.64,85.58
04/02/2026,86.49,"3,057,189",84.02,87.1,83.03
04/01/2026,85.44,"3,862,570",86.88,87.615,85.3063
03/31/2026,86.84,"6,235,520",86.6,89.84,84.38
03/30/2026,84.88,"6,194,900",91.6,91.89,84.7101
03/27/2026,90.25,"2,649,031",90.6,91.71,89.88
03/26/2026,91.11,"2,194,172",91.12,93.38,90.78
03/25/2026,92.19,"2,485,466",93.73,94.0899,89.64
03/24/2026,92.38,"3,312,647",91.93,93.36,91.285
03/23/2026,93.46,"3,808,043",92.4,94.82,91.91
03/20/2026,90.55,"6,641,492",93.3,93.78,89.634
03/19/2026,93.72,"3,543,310",94.0,94.29,92.18
03/18/2026,94.75,"2,936,211",95.98,97.54,94.22
03/17/2026,97.03,"2,812,734",96.5,97.65,96.085
03/16/2026,95.95,"3,100,073",95.83,96.69,94.3325
03/13/2026,94.96,"4,498,194",95.32,96.49,93.7262
03/12/2026,92.54,"6,423,819",95.41,95.6698,92.17
03/11/2026,96.57,"3,495,186",98.72,99.3347,96.33
03/10/2026,98.72,"2,820,998",99.78,100.51,97.7
03/09/2026,99.94,"3,193,863",99.53,100.71,96.4
03/06/2026,101.17,"2,953,669",103.24,104.03,100.1
03/05/2026,104.3,"2,651,388",105.44,106.67,103.655
03/04/2026,106.53,"2,073,200",106.94,107.6059,105.9001
03/03/2026,108.41,"2,142,957",107.55,109.48,105.315
03/02/2026,110.61,"2,242,408",111.85,111.85,109.52
02/27/2026,114.36,"2,408,950",111.37,114.98,111.01
02/26/2026,112.0,"1,667,740",111.59,112.22,110.05
02/25/2026,110.73,"2,700,627",116.49,116.95,109.05
02/24/2026,116.4,"1,317,010",116.0,118.1,115.625
02/23/2026,116.2,"2,378,880",116.5,116.77,113.12
02/20/2026,116.46,"2,380,980",116.78,118.21,114.87
02/19/2026,116.12,"3,079,925",120.5,121.165,115.52
02/18/2026,121.26,"1,414,494",121.46,123.14,120.62
02/17/2026,121.44,"1,830,078",122.26,124.1,118.61
02/13/2026,122.28,"2,571,620",120.755,124.16,120.755
02/12/2026,120.83,"2,511,631",121.8,123.98,120.71
02/11/2026,120.99,"2,169,410",117.51,121.04,117.0837
02/10/2026,119.4,"2,476,436",115.35,120.05,114.745
