date,close,volume,open,high,low
05/15/2026,499.99,"396,341",510.83,511.93,497.06
05/14/2026,514.38,"235,000",510.73,515.54,503.87
05/13/2026,507.5,"393,231",506.62,509.935,499.815
05/12/2026,508.55,"320,019",521.12,521.24,506.84
05/11/2026,521.48,"428,348",520.58,525.61,513.735
05/08/2026,521.25,"244,502",528.0,534.0699,520.9
05/07/2026,526.61,"494,379",543.94,551.495,524.46
05/06/2026,541.37,"383,670",537.57,547.33,537.425
05/05/2026,522.2,"388,757",516.0,523.81,511.26
05/04/2026,514.86,"481,129",525.73,530.87,510.37
05/01/2026,526.33,"466,966",539.58,543.01,526.1
04/30/2026,534.89,"965,688",532.02,551.17,530.03
04/29/2026,517.62,"1,041,900",522.83,535.415,511.94
04/28/2026,495.52,"558,489",503.45,508.08,493.585
04/27/2026,502.24,"596,081",493.53,504.31,492.17
04/24/2026,490.97,"345,058",493.1,499.2,488.48
04/23/2026,493.67,"541,549",491.38,500.04,484.77
04/22/2026,489.76,"365,475",499.82,499.82,488.38
04/21/2026,492.69,"475,407",493.85,504.72,490.49
04/20/2026,493.46,"271,736",484.07,493.74,481.73
04/17/2026,487.11,"461,394",484.06,502.535,483.74
04/16/2026,479.22,"650,514",485.71,488.78,470.895
04/15/2026,484.29,"1,043,162",515.09,515.09,467.78
04/14/2026,520.42,"364,678",517.33,524.43,513.49
04/13/2026,517.88,"470,175",503.51,519.36,503.51
04/10/2026,505.31,"525,094",491.25,508.24,484.54
04/09/2026,488.68,"262,664",474.06,492.06,474.06
04/08/2026,478.08,"486,226",474.25,482.22,468.97
04/07/2026,450.65,"315,268",449.29,454.11,444.88
04/06/2026,453.59,"271,715",451.16,457.43,446.3892
04/02/2026,454.64,"400,346",456.63,469.125,448.9801
04/01/2026,464.84,"307,829",466.35,476.69,462.21
03/31/2026,464.13,"461,826",460.71,468.375,451.39
03/30/2026,443.99,"623,088",445.52,449.76,436.79
03/27/2026,437.87,"585,211",441.77,447.37,434.06
03/26/2026,438.3,"973,915",476.83,481.95,437.86
03/25/2026,481.68,"279,591",485.1,489.045,471.14
03/24/2026,476.97,"406,806",469.63,481.28,462.81
03/23/2026,476.96,"359,535",484.08,487.14,476.31
03/20/2026,467.88,"493,066",477.42,477.42,464.65
03/19/2026,477.21,"345,754",471.26,482.41,467.98
03/18/2026,477.99,"272,457",482.4,490.525,476.84
03/17/2026,486.98,"300,217",482.59,488.035,472.49
03/16/2026,478.86,"494,192",485.0,488.74,477.99
03/13/2026,480.96,"477,073",487.44,489.95,471.005
03/12/2026,482.3,"473,100",504.54,506.25,480.66
03/11/2026,508.66,"244,913",512.06,512.06,500.545
03/10/2026,511.86,"320,804",515.23,520.37,508.11
03/09/2026,516.96,"476,717",506.95,520.02,495.34
03/06/2026,517.47,"443,728",520.38,521.225,504.99
03/05/2026,528.72,"470,125",544.59,549.625,524.97
03/04/2026,550.67,"502,762",557.42,557.42,536.0
03/03/2026,552.3,"328,096",546.86,555.64,536.5
03/02/2026,563.4,"504,750",560.5,566.27,549.63
02/27/2026,569.94,"928,777",546.34,573.63,543.405
02/26/2026,544.41,"302,079",541.94,548.27,533.06
02/25/2026,539.95,"584,550",558.3,558.3,532.495
02/24/2026,558.32,"222,971",553.92,569.83,553.92
02/23/2026,554.84,"220,300",562.02,564.91,547.935
02/20/2026,561.01,"366,308",552.47,572.66,549.1211
02/19/2026,550.32,"476,338",551.11,562.62,545.56
02/18/2026,553.89,"568,976",561.78,568.35,547.41
02/17/2026,565.5,"600,805",566.22,574.285,555.59
02/13/2026,566.65,"442,804",558.37,567.18,554.08
02/12/2026,558.55,"883,228",562.35,575.5,553.935
02/11/2026,557.51,"630,781",546.82,557.69,545.81
02/10/2026,548.56,"429,975",533.04,549.37,529.9597
02/09/2026,529.29,"473,829",530.23,534.96,520.39
02/06/2026,529.98,"463,970",524.97,534.83,524.97
02/05/2026,517.15,"591,437",529.41,534.51,506.785
02/04/2026,534.53,"769,359",514.5,541.34,514.5
02/03/2026,508.49,"444,885",492.14,513.81,491.29
02/02/2026,495.29,"585,699",492.11,498.02,488.15
01/30/2026,495.08,"553,695",495.34,497.15,485.485
01/29/2026,496.11,"735,232",489.1,498.01,480.81
01/28/2026,487.49,"1,184,450",484.32,506.84,472.0
01/27/2026,498.8,"559,535",510.81,516.153,498.32
01/26/2026,512.41,"416,520",509.5,517.21,506.18
01/23/2026,509.76,"506,500",508.15,511.24,501.18
01/22/2026,509.68,"535,476",518.03,522.27,501.16
01/21/2026,516.42,"1,077,522",509.66,516.5,500.75
01/20/2026,505.44,"518,659",515.35,516.3,503.98
01/16/2026,525.87,"479,977",524.64,531.86,521.32
01/15/2026,522.33,"355,568",530.32,530.32,518.6625
01/14/2026,525.25,"264,877",530.25,532.38,519.4
01/13/2026,531.0,"223,697",535.64,539.57,528.0
01/12/2026,533.25,"233,376",528.43,538.089,528.075
01/09/2026,530.23,"372,506",524.12,536.52,521.46
01/08/2026,516.62,"377,245",506.3,523.04,502.49
01/07/2026,504.97,"520,326",524.37,524.37,503.23
01/06/2026,519.85,"572,385",495.0,520.42,490.78
01/05/2026,503.9,"334,247",499.0,511.21,495.13
01/02/2026,498.91,"284,899",488.18,499.665,484.93
