date,close,volume,open,high,low
05/15/2026,1004.92,"2,820,726",1006.98,1014.38,997.41
05/14/2026,1006.7,"1,751,682",1017.49,1018.17,996.01
05/13/2026,1015.75,"3,486,425",994.75,1022.821,992.0
05/12/2026,989.87,"3,037,467",974.44,997.52,971.175
05/11/2026,966.99,"3,517,454",949.0,995.0,943.26
05/08/2026,948.45,"3,559,161",974.07,980.0,947.51
05/07/2026,974.96,"3,494,856",985.37,989.0,967.1
05/06/2026,987.05,"3,921,221",991.35,996.485,983.5
05/05/2026,988.87,"2,955,528",971.885,992.8,964.41
05/04/2026,967.93,"3,696,945",960.0,974.215,951.76
05/01/2026,963.33,"4,352,441",948.95,984.45,943.8
04/30/2026,934.6,"8,236,718",898.78,945.4999,896.8
04/29/2026,851.21,"3,904,584",866.04,869.0232,850.51
04/28/2026,874.0,"2,561,280",871.9,878.15,863.35
04/27/2026,868.27,"2,700,286",878.13,891.2029,868.04
04/24/2026,883.96,"4,463,678",900.01,900.42,871.731
04/23/2026,917.65,"2,149,232",929.49,930.0,911.89
04/22/2026,921.48,"2,623,775",906.4,922.54,902.2301
04/21/2026,903.02,"4,062,792",910.2,913.05,881.11
04/20/2026,919.9,"1,926,259",926.9,929.64,912.5
04/17/2026,927.03,"3,266,094",917.8,929.99,917.8
04/16/2026,903.99,"2,836,574",911.665,920.0,898.15
04/15/2026,905.03,"4,233,418",923.5,930.0,888.03
04/14/2026,922.5,"2,360,236",925.0,939.93,915.04
04/13/2026,929.55,"2,089,567",939.97,945.9,927.17
04/10/2026,939.47,"1,958,925",963.69,963.94,935.54
04/09/2026,955.19,"1,672,549",948.47,963.755,939.29
04/08/2026,953.3,"2,567,998",941.52,961.1352,933.13
04/07/2026,931.09,"2,726,863",924.5,932.655,898.4501
04/06/2026,927.06,"1,821,082",932.04,936.0,919.78
04/02/2026,935.58,"2,727,128",945.0,957.6875,930.02
04/01/2026,954.52,"6,267,884",926.88,976.6799,925.99
03/31/2026,919.77,"3,464,240",893.49,924.1439,892.14
03/30/2026,886.63,"3,070,244",888.48,897.43,883.11
03/27/2026,878.24,"2,740,802",896.0,900.8299,877.11
03/26/2026,897.0,"2,163,159",912.38,916.3499,896.29
03/25/2026,916.31,"2,177,748",912.49,922.15,909.09
03/24/2026,903.02,"2,572,679",907.0,908.6699,895.61
03/23/2026,910.55,"2,817,548",913.49,926.775,907.23
03/20/2026,906.7,"4,818,789",910.55,925.375,899.29
03/19/2026,917.5,"2,378,979",914.0,924.53,910.86
03/18/2026,918.05,"3,443,808",925.0,929.0,905.11
03/17/2026,930.35,"5,637,508",978.92,981.165,925.25
03/16/2026,989.12,"2,289,888",991.98,998.17,975.51
03/13/2026,985.08,"1,984,353",980.13,1003.22,978.0
03/12/2026,977.25,"2,340,074",993.45,994.5,973.16
03/11/2026,999.84,"1,448,032",1000.03,1002.93,990.3
03/10/2026,1001.35,"1,663,668",1006.0,1012.0,994.0
03/09/2026,1008.39,"2,802,169",986.89,1008.93,980.58
03/06/2026,990.33,"2,627,805",975.0,991.22,966.0901
03/05/2026,983.26,"3,774,397",990.0,993.56,965.6
03/04/2026,1003.57,"1,965,539",1011.63,1015.6599,993.66
03/03/2026,1007.73,"2,845,962",1015.0,1020.01,995.07
03/02/2026,1017.97,"3,094,287",1044.62,1056.2,1013.0
02/27/2026,1051.99,"4,325,931",1019.17,1053.0,1017.36
02/26/2026,1022.02,"2,666,432",1024.08,1026.915,1007.3801
02/25/2026,1028.83,"2,481,897",1036.58,1053.625,1027.0
02/24/2026,1042.15,"2,803,100",1042.95,1058.9,1024.08
02/23/2026,1058.56,"4,767,602",1047.02,1064.4499,1034.0001
02/20/2026,1009.52,"3,249,409",1023.86,1028.65,1002.46
02/19/2026,1023.22,"2,145,764",1010.82,1025.225,1007.0
02/18/2026,1020.56,"3,236,905",1032.36,1037.54,1011.31
02/17/2026,1036.05,"2,984,593",1045.61,1067.0,1034.88
02/13/2026,1040.0,"2,698,728",1039.98,1064.34,1033.69
02/12/2026,1038.27,"3,592,172",1024.87,1059.84,1012.0
02/11/2026,1015.21,"2,599,875",1026.5,1030.1,1012.6179
02/10/2026,1025.0,"3,539,394",1050.66,1055.65,1023.875
02/09/2026,1044.67,"3,423,770",1077.09,1106.94,1042.92
02/06/2026,1058.18,"4,887,117",1056.0,1060.02,1033.27
02/05/2026,1020.84,"7,742,385",1065.5,1075.0,1005.83
02/04/2026,1107.12,"7,119,387",1075.12,1114.0,1065.0
02/03/2026,1003.46,"5,483,921",1040.75,1048.8,993.58
02/02/2026,1044.13,"2,757,079",1037.57,1057.41,1037.57
01/30/2026,1037.15,"3,303,144",1033.3,1048.569,1020.0
01/29/2026,1024.14,"2,293,016",1025.36,1039.9999,1018.0
01/28/2026,1023.8,"3,300,244",1029.11,1029.69,1004.14
01/27/2026,1039.51,"2,587,863",1064.11,1073.39,1034.81
01/26/2026,1062.75,"2,244,862",1062.21,1067.08,1043.32
01/23/2026,1064.29,"2,592,850",1083.73,1084.32,1063.0218
01/22/2026,1087.38,"2,478,217",1078.52,1095.48,1071.74
01/21/2026,1078.52,"3,685,876",1043.86,1081.33,1042.02
