date,close,volume,open,high,low
05/15/2026,516.01,"1,299,211",521.36,524.9299,514.73
05/14/2026,520.41,"856,596",520.74,521.43,515.25
05/13/2026,519.94,"824,645",517.47,520.87,510.785
05/12/2026,521.0,"1,162,979",512.5,522.51,512.5
05/11/2026,512.25,"1,363,642",505.0,515.63,502.45
05/08/2026,506.51,"1,293,823",508.59,512.0,504.5001
05/07/2026,512.41,"2,056,298",515.025,515.5,503.03
05/06/2026,514.26,"1,590,381",508.945,514.47,500.31
05/05/2026,508.93,"1,365,225",520.0,520.0,507.49
05/04/2026,518.15,"1,370,934",513.41,524.5,512.0
05/01/2026,512.77,"1,403,285",517.95,519.58,512.118
04/30/2026,517.97,"1,588,435",511.08,518.23,507.9
04/29/2026,509.81,"1,619,246",513.97,516.0,501.945
04/28/2026,512.29,"1,456,050",518.44,518.68,507.56
04/27/2026,513.35,"2,111,366",514.05,527.66,511.91
04/24/2026,513.45,"3,089,157",525.0,526.8,503.6003
04/23/2026,529.79,"3,212,539",533.91,538.81,522.26
04/22/2026,555.43,"2,289,028",575.88,576.07,550.19
04/21/2026,571.95,"1,603,536",580.29,580.975,568.84
04/20/2026,581.28,"1,722,026",593.6,598.0,578.23
04/17/2026,592.19,"1,701,585",604.33,609.3811,588.41
04/16/2026,607.49,"853,841",610.71,613.0,601.41
04/15/2026,611.1,"879,314",611.0,615.59,607.34
04/14/2026,611.58,"905,708",617.0,617.0,609.06
04/13/2026,619.69,"678,726",617.87,622.51,615.01
04/10/2026,613.72,"874,037",619.28,621.7,607.1598
04/09/2026,623.87,"911,060",627.99,636.88,623.0891
04/08/2026,628.5,"1,283,649",612.27,630.67,605.5
04/07/2026,627.7,"732,124",635.6,636.8,625.8201
04/06/2026,637.9,"1,128,782",623.11,637.92,621.365
04/02/2026,622.79,"1,116,763",616.7,626.51,616.01
04/01/2026,617.64,"1,118,050",608.82,619.1,606.11
03/31/2026,604.39,"1,327,800",604.5,610.0,598.7
03/30/2026,598.57,"1,849,318",621.03,623.32,593.88
03/27/2026,615.84,"1,061,125",625.7,631.445,613.6551
03/26/2026,627.33,"1,262,434",619.8,632.92,619.8
03/25/2026,624.2,"1,190,275",612.5,626.93,612.42
03/24/2026,610.17,"1,078,188",612.95,615.3,605.0001
03/23/2026,616.25,"1,386,641",629.07,629.6579,610.63
