date,close,volume,open,high,low
05/15/2026,218.42,"3,019,336",222.31,222.52,218.22
05/14/2026,223.61,"2,142,592",222.78,224.22,221.23
05/13/2026,220.45,"3,080,212",223.0,223.18,218.085
05/12/2026,224.52,"3,269,874",228.96,229.1003,224.1265
05/11/2026,226.06,"1,948,558",228.0,229.0,224.5
05/08/2026,229.2,"1,746,408",232.96,232.96,228.15
05/07/2026,230.88,"2,175,198",233.22,235.595,230.51
05/06/2026,233.37,"3,095,517",230.505,234.03,228.935
05/05/2026,225.23,"2,745,049",224.5,227.865,223.0
05/04/2026,223.72,"3,578,482",231.63,232.49,223.6
05/01/2026,233.33,"1,879,729",238.35,239.165,233.07
04/30/2026,238.79,"2,959,163",234.48,239.27,233.9
04/29/2026,233.5,"3,205,436",237.88,238.43,231.27
04/28/2026,240.32,"1,700,950",244.05,245.5,238.99
04/27/2026,242.55,"2,854,459",243.35,246.88,242.1
04/24/2026,244.45,"2,098,409",245.13,247.2699,243.13
04/23/2026,246.54,"1,775,823",244.86,247.615,244.02
04/22/2026,245.19,"2,256,136",252.02,252.02,243.7628
04/21/2026,251.19,"2,493,573",254.17,257.1,250.67
04/20/2026,253.29,"3,852,227",250.8,254.65,248.0101
04/17/2026,251.72,"3,773,573",246.29,255.52,246.29
04/16/2026,242.42,"2,374,295",243.83,245.8,241.76
04/15/2026,243.99,"1,757,539",247.8,248.44,242.87
04/14/2026,248.44,"1,959,902",246.88,248.68,244.5591
04/13/2026,247.08,"2,484,525",243.84,247.275,241.23
04/10/2026,244.22,"1,840,301",248.46,249.25,243.64
04/09/2026,247.81,"2,283,335",241.0,248.99,238.18
04/08/2026,243.66,"2,539,946",244.36,247.0,242.61
04/07/2026,231.61,"2,522,362",232.79,233.845,229.32
04/06/2026,235.2,"1,949,863",229.8,235.76,228.88
04/02/2026,231.03,"2,760,193",231.13,235.5125,228.0
04/01/2026,235.98,"2,378,478",236.76,238.46,235.06
03/31/2026,236.28,"2,636,443",236.57,238.775,232.44
03/30/2026,232.58,"2,905,515",232.74,234.22,231.12
03/27/2026,230.31,"2,999,793",235.29,235.88,229.29
03/26/2026,236.03,"2,113,704",234.17,238.525,233.865
03/25/2026,236.18,"2,322,846",237.34,238.79,233.3801
03/24/2026,234.43,"2,133,358",230.36,235.17,228.45
03/23/2026,234.25,"3,830,601",231.56,236.75,230.16
03/20/2026,224.63,"3,643,980",229.235,229.8589,224.15
03/19/2026,229.71,"4,129,184",230.46,230.77,226.165
03/18/2026,231.09,"2,742,753",237.08,238.78,230.35
03/17/2026,239.71,"1,969,320",242.44,244.0,239.52
03/16/2026,242.11,"2,315,371",240.71,243.95,239.385
03/13/2026,237.59,"2,754,950",240.85,241.8213,236.99
03/12/2026,239.45,"3,009,054",244.24,245.865,238.8201
03/11/2026,246.88,"1,896,591",250.07,251.3625,246.26
03/10/2026,251.11,"2,091,996",248.92,254.61,247.32
03/09/2026,250.22,"2,896,485",250.12,251.45,243.59
03/06/2026,251.89,"3,127,034",250.56,252.98,248.11
03/05/2026,254.71,"2,273,956",256.4,257.02,252.63
03/04/2026,258.62,"2,175,270",258.01,258.91,255.485
03/03/2026,257.7,"2,758,431",253.48,258.98,251.3
03/02/2026,257.17,"3,024,046",260.0,261.45,256.19
02/27/2026,264.57,"3,252,503",261.69,265.5,260.1
02/26/2026,264.39,"3,428,368",263.34,266.15,261.94
02/25/2026,263.02,"5,565,667",266.25,274.19,262.56
02/24/2026,278.59,"3,284,689",278.11,281.17,277.09
02/23/2026,274.36,"3,058,332",280.76,281.975,272.34
02/20/2026,280.36,"2,810,019",277.67,283.81,276.87
02/19/2026,278.18,"1,997,055",281.44,282.105,276.725
02/18/2026,282.13,"2,018,694",280.42,283.87,278.0
02/17/2026,281.16,"2,304,987",287.025,289.86,278.25
02/13/2026,287.39,"2,241,885",285.42,289.87,282.15
02/12/2026,285.53,"3,659,837",289.39,293.06,285.07
02/11/2026,287.04,"2,945,350",282.39,287.34,280.78
02/10/2026,284.67,"2,820,186",279.0,285.725,277.375
02/09/2026,276.89,"2,471,135",278.33,279.0,274.45
02/06/2026,278.38,"2,211,839",276.58,279.665,275.0201
02/05/2026,274.89,"2,683,482",275.64,277.08,272.24
02/04/2026,275.85,"2,774,043",276.32,280.17,273.29
02/03/2026,274.85,"3,450,220",267.94,280.505,267.61
02/02/2026,269.06,"2,763,532",266.66,270.33,262.69
01/30/2026,267.06,"3,199,361",266.055,267.56,262.6701
01/29/2026,266.64,"3,264,816",268.71,270.98,265.71
01/28/2026,269.42,"2,952,407",273.72,274.0,268.06
01/27/2026,273.94,"2,493,257",277.01,277.01,272.32
01/26/2026,277.91,"2,021,973",278.83,279.5,275.62
01/23/2026,276.73,"2,204,185",275.0,277.285,273.98
01/22/2026,274.95,"2,883,572",277.37,281.36,274.88
01/21/2026,277.11,"4,022,055",267.44,278.33,267.01
