date,close,volume,open,high,low
05/15/2026,119.14,"2,952,860",120.7,122.5,119.06
05/14/2026,121.06,"2,672,511",122.19,122.88,120.51
05/13/2026,121.21,"4,234,500",124.335,124.6036,121.15
05/12/2026,125.13,"3,097,456",126.255,126.34,123.5101
05/11/2026,126.34,"3,792,378",130.685,130.685,126.1
05/08/2026,131.18,"2,082,004",133.115,133.7245,131.07
05/07/2026,133.59,"3,014,143",133.14,135.17,132.19
05/06/2026,132.04,"2,551,382",131.9,132.51,129.6141
05/05/2026,130.21,"3,378,594",129.655,131.25,127.8
05/04/2026,128.98,"4,782,148",133.56,133.97,128.93
05/01/2026,133.58,"4,183,470",137.87,139.2,133.55
04/30/2026,137.7,"3,056,179",137.91,139.94,136.9
04/29/2026,138.16,"3,373,878",141.5,141.7299,136.91
04/28/2026,142.39,"2,594,852",146.97,148.67,142.23
04/27/2026,146.94,"3,244,989",143.84,148.69,143.77
04/24/2026,143.8,"3,817,914",141.875,145.3905,141.78
04/23/2026,141.66,"12,180,340",152.08,152.08,141.33
04/22/2026,163.45,"2,513,500",167.61,168.2,161.21
04/21/2026,166.7,"1,723,695",167.5,170.1999,165.61
04/20/2026,166.81,"1,386,033",164.84,167.43,164.7
04/17/2026,167.28,"2,244,641",165.25,168.95,165.0
04/16/2026,162.92,"1,516,901",164.71,167.425,162.208
04/15/2026,162.74,"1,853,492",161.32,164.21,160.35
04/14/2026,160.6,"2,635,829",162.58,164.21,158.47
04/13/2026,162.56,"1,986,811",162.2,163.94,156.55
04/10/2026,163.86,"1,556,602",166.79,167.95,162.8
04/09/2026,166.51,"1,967,575",157.43,166.8,157.31
04/08/2026,158.86,"1,664,660",160.225,163.16,158.17
04/07/2026,153.67,"1,434,347",154.3,155.24,151.71
04/06/2026,156.18,"1,506,464",155.32,157.2499,153.625
04/02/2026,155.72,"1,963,511",155.17,159.4499,152.85
04/01/2026,158.81,"3,039,483",150.93,161.0,150.8
03/31/2026,153.1,"2,520,889",148.41,153.67,148.0
03/30/2026,145.83,"2,693,952",145.92,148.85,145.365
03/27/2026,145.85,"3,694,928",150.36,150.52,143.96
03/26/2026,151.39,"3,015,730",157.985,160.1,151.2301
03/25/2026,158.72,"2,391,892",162.6,163.63,156.825
03/24/2026,160.95,"1,874,555",164.25,166.54,160.288
03/23/2026,164.38,"2,609,265",165.88,167.49,162.6
03/20/2026,162.82,"4,942,195",165.16,166.69,161.21
03/19/2026,165.57,"3,859,741",163.04,167.7,161.325
03/18/2026,165.39,"7,402,487",158.035,169.4,156.81
03/17/2026,159.27,"6,341,481",161.45,164.03,158.87
03/16/2026,159.91,"3,026,208",157.5,161.59,156.78
03/13/2026,157.78,"2,516,870",159.05,159.49,156.64
03/12/2026,158.19,"2,787,678",161.76,163.03,157.95
03/11/2026,162.79,"2,609,211",167.38,168.38,162.73
03/10/2026,166.43,"2,320,313",169.755,171.34,166.34
03/09/2026,169.76,"2,708,367",165.64,170.93,163.45
03/06/2026,170.13,"2,771,372",171.7748,171.7748,165.88
03/05/2026,173.18,"2,152,323",172.98,174.4,170.07
03/04/2026,173.21,"2,188,715",173.56,175.45,172.14
03/03/2026,174.27,"2,843,759",171.73,175.46,168.54
03/02/2026,176.17,"2,974,200",179.38,179.38,175.28
02/27/2026,185.17,"1,810,811",181.13,186.65,180.98
02/26/2026,186.1,"1,812,684",184.66,188.42,184.0001
02/25/2026,182.55,"1,582,131",179.75,183.85,179.47
02/24/2026,179.49,"1,312,051",178.83,182.0,177.5
02/23/2026,178.11,"2,325,630",184.84,185.005,176.68
02/20/2026,187.3,"3,488,997",181.37,192.49,178.2
02/19/2026,182.88,"1,331,075",180.9,183.3,179.21
02/18/2026,182.13,"1,751,318",177.01,182.58,176.004
02/17/2026,177.72,"1,636,186",175.21,178.81,172.4
02/13/2026,176.42,"1,934,163",171.62,176.67,170.82
02/12/2026,169.53,"2,599,796",176.8,178.978,168.39
02/11/2026,175.86,"1,630,743",180.1,181.72,175.84
02/10/2026,180.62,"2,266,914",176.32,184.5,176.01
02/09/2026,175.68,"1,664,922",173.0,175.89,170.27
02/06/2026,172.85,"1,953,854",170.0,175.4322,170.0
02/05/2026,170.09,"2,204,396",177.05,178.88,169.43
02/04/2026,178.0,"2,858,450",173.11,178.17,172.44
02/03/2026,171.57,"2,452,201",176.5,179.92,171.329
02/02/2026,179.08,"3,063,174",174.87,181.56,173.95
01/30/2026,174.5,"2,735,159",173.76,175.4,171.25
01/29/2026,172.54,"3,543,734",179.615,180.0,171.3
01/28/2026,180.35,"2,872,061",186.52,187.4874,179.2
01/27/2026,186.39,"2,632,312",192.0,192.49,186.18
01/26/2026,192.79,"1,885,839",191.01,195.7356,189.16
01/23/2026,191.07,"1,719,891",192.71,194.89,191.0
01/22/2026,194.66,"2,080,556",190.91,196.28,190.87
01/21/2026,189.84,"2,523,237",188.905,193.2895,186.8992
01/20/2026,188.76,"4,306,161",198.41,201.29,188.5504
01/16/2026,201.87,"3,642,252",204.385,205.07,201.5
01/15/2026,205.01,"2,422,634",203.46,205.84,201.0
01/14/2026,203.14,"2,628,571",211.33,215.0,202.18
01/13/2026,211.9,"2,417,007",208.9,214.15,208.3678
01/12/2026,209.04,"4,200,860",203.3,211.42,202.0
01/09/2026,203.9,"5,732,824",213.0,213.63,200.45
01/08/2026,212.17,"2,750,643",209.75,217.2199,209.46
01/07/2026,211.72,"2,343,164",215.85,216.75,209.37
01/06/2026,215.88,"3,105,934",212.4,216.46,209.99
01/05/2026,212.4,"3,173,059",211.435,216.45,211.07
01/02/2026,210.81,"2,415,688",209.22,212.08,208.56
12/31/2025,207.81,"1,967,502",210.91,211.3628,207.69
12/30/2025,210.67,"1,987,648",212.51,213.18,210.47
12/29/2025,212.54,"3,453,531",208.0,212.9,207.02
12/26/2025,208.97,"2,076,692",210.0,211.0,207.86
12/24/2025,210.4,"1,152,502",213.22,214.19,210.25
12/23/2025,212.68,"2,867,783",211.11,213.37,209.2501
12/22/2025,212.37,"4,610,531",209.43,213.72,207.9924
12/19/2025,209.45,"15,983,300",214.99,217.26,207.38
12/18/2025,215.11,"12,120,570",223.885,225.98,215.05
12/17/2025,207.87,"5,254,415",206.43,209.45,201.01
12/16/2025,206.74,"5,156,047",208.81,209.209,203.2701
12/15/2025,206.29,"7,686,805",203.225,208.295,198.54
12/12/2025,204.97,"20,263,800",204.575,213.22,202.11
12/11/2025,187.01,"9,925,735",183.44,188.5,182.04
12/10/2025,187.62,"3,233,467",181.64,188.22,181.5
12/09/2025,182.28,"3,274,315",182.8,183.59,180.7
12/08/2025,183.04,"5,226,445",190.525,191.28,180.0
12/05/2025,190.01,"4,641,888",184.62,191.85,184.62
12/04/2025,183.6,"2,973,306",182.71,184.9,179.5935
12/03/2025,182.3,"2,742,213",182.66,185.07,178.9
12/02/2025,182.4,"2,362,256",183.35,184.405,181.21
12/01/2025,182.41,"4,155,070",181.19,184.94,180.25
11/28/2025,184.18,"3,021,010",184.995,186.69,183.5
11/26/2025,181.94,"3,840,017",178.0,183.69,177.785
11/25/2025,177.51,"4,518,151",171.55,179.165,171.5
11/24/2025,169.67,"3,862,497",168.32,172.39,166.23
11/21/2025,168.18,"3,337,468",165.21,170.18,163.47
11/20/2025,164.69,"2,911,378",166.13,170.5,164.51
11/19/2025,166.06,"2,500,860",164.67,169.1,163.4548
11/18/2025,163.97,"2,791,933",162.58,164.97,160.965
11/17/2025,164.16,"3,240,540",168.62,168.73,162.76
11/14/2025,170.68,"1,950,146",165.82,171.78,165.38
11/13/2025,169.66,"2,096,369",170.4,173.2299,169.0
11/12/2025,170.9,"2,556,392",171.59,172.48,169.8801
11/11/2025,169.81,"2,663,973",170.19,172.26,168.89
11/10/2025,170.35,"2,942,210",167.8,171.23,165.35
11/07/2025,166.13,"2,912,669",162.5,167.115,161.7
11/06/2025,163.55,"3,023,128",167.41,168.9,161.865
11/05/2025,167.59,"4,679,519",161.23,169.74,161.1
11/04/2025,160.66,"5,194,776",164.08,164.845,160.46
11/03/2025,165.47,"4,237,607",170.2,170.2,164.285
10/31/2025,170.54,"2,991,001",168.4,171.46,166.565
10/30/2025,168.02,"2,832,433",168.0,172.2099,166.7801
10/29/2025,170.3,"5,155,736",178.71,178.9892,169.77
10/28/2025,179.98,"3,800,061",181.4,181.5185,175.1801
10/27/2025,181.39,"5,185,497",186.43,186.91,181.33
10/24/2025,178.17,"2,609,352",180.48,181.3899,177.26
10/23/2025,179.06,"2,638,583",178.545,180.59,177.52
10/22/2025,178.29,"3,626,559",181.45,181.5,175.9
10/21/2025,181.39,"6,689,717",173.18,183.05,172.93
10/20/2025,172.43,"5,105,265",171.28,176.47,170.92
10/17/2025,167.41,"4,111,285",162.98,167.87,162.85
10/16/2025,164.62,"4,092,574",166.38,166.89,161.8
10/15/2025,167.1,"2,509,988",169.6,171.0,166.53
10/14/2025,169.13,"3,105,432",167.47,171.35,165.53
10/13/2025,169.85,"3,588,163",169.19,170.75,164.23
10/10/2025,167.51,"7,424,389",174.19,176.68,166.53
10/09/2025,173.48,"4,277,321",175.11,178.895,172.7
10/08/2025,174.82,"4,952,161",173.45,176.34,171.88
10/07/2025,173.17,"2,902,441",174.74,177.0,172.15
10/06/2025,174.12,"3,694,605",174.465,177.19,172.3
10/03/2025,175.59,"3,017,932",178.11,179.11,175.52
10/02/2025,178.2,"3,530,444",177.075,180.6339,175.0001
10/01/2025,177.57,"3,482,928",178.25,181.57,175.95
09/30/2025,177.93,"3,415,770",178.53,180.09,176.49
09/29/2025,179.11,"3,507,816",177.72,179.4,176.01
09/26/2025,176.3,"3,821,555",172.2,176.7054,171.51
09/25/2025,172.01,"6,628,836",177.11,177.82,171.01
09/24/2025,179.22,"5,304,554",173.255,179.56,171.8
09/23/2025,173.33,"6,042,550",172.22,176.17,171.58
09/22/2025,173.41,"6,349,095",169.3,174.179,165.1
09/19/2025,169.62,"7,885,914",169.7,170.8998,167.5342
09/18/2025,169.76,"7,097,181",169.02,170.72,166.52
09/17/2025,163.48,"4,339,919",162.34,165.69,162.22
09/16/2025,162.34,"5,090,973",160.0,163.64,159.75
09/15/2025,159.98,"5,576,119",160.73,162.165,159.2515
09/12/2025,159.865,"8,061,229",165.26,165.93,159.75
09/11/2025,165.78,"6,645,333",163.955,168.59,163.34
09/10/2025,163.9,"5,785,872",164.7,167.3522,163.2
09/09/2025,165.69,"8,678,895",167.83,169.15,164.38
09/08/2025,168.1,"13,919,780",167.76,169.61,162.8
09/05/2025,167.8,"36,788,890",165.14,176.1785,163.98
09/04/2025,206.09,"15,476,660",200.9,206.6399,197.67
09/03/2025,198.53,"4,083,863",201.3,203.0099,197.6101
09/02/2025,200.21,"4,433,541",199.81,201.27,195.58
08/29/2025,202.2,"3,169,722",204.62,205.8,200.71
08/28/2025,205.08,"2,831,507",206.05,206.605,202.38
08/27/2025,205.57,"3,423,147",203.8,207.67,203.5
08/26/2025,202.53,"2,501,788",204.36,204.3854,200.5
08/25/2025,202.44,"2,933,069",206.7,208.0,202.37
08/22/2025,207.59,"3,808,746",198.5,208.13,198.5
08/21/2025,198.18,"2,222,686",196.905,198.48,195.2
08/20/2025,198.12,"2,863,078",197.675,200.3,195.31
08/19/2025,197.66,"4,329,130",204.7,205.8942,196.52
08/18/2025,203.62,"4,864,443",200.34,206.74,200.31
08/15/2025,198.46,"4,757,473",200.78,201.14,196.4
08/14/2025,195.19,"4,102,420",196.9,197.023,192.35
08/13/2025,200.49,"4,239,265",195.61,200.829,192.85
08/12/2025,192.93,"3,397,154",188.16,193.15,186.7626
08/11/2025,186.44,"2,581,798",189.13,191.9999,185.95
08/08/2025,189.43,"3,191,223",191.08,191.25,186.52
08/07/2025,191.14,"3,160,135",197.7,198.1,189.77
08/06/2025,196.51,"2,143,781",195.65,198.15,194.85
08/05/2025,195.07,"2,871,555",195.475,197.82,194.64
08/04/2025,196.45,"3,524,454",195.08,197.49,192.81
08/01/2025,193.33,"4,697,884",199.94,200.0,191.44
07/31/2025,200.53,"4,173,883",203.965,206.635,200.24
07/30/2025,206.47,"3,850,934",214.0,214.1499,205.89
07/29/2025,214.04,"2,585,646",216.0,219.12,213.88
07/28/2025,216.59,"2,368,792",220.32,220.7,216.33
07/25/2025,219.43,"2,638,027",220.25,220.51,216.49
07/24/2025,218.69,"3,480,348",223.41,225.31,218.45
07/23/2025,224.03,"2,212,147",225.0,226.235,222.87
07/22/2025,223.93,"3,309,044",221.77,225.45,221.09
07/21/2025,223.21,"2,985,018",229.97,230.5,222.65
07/18/2025,229.77,"2,552,650",232.785,233.0,228.065
07/17/2025,233.31,"2,956,125",227.0,233.75,226.93
07/16/2025,226.11,"3,228,066",224.15,227.66,222.46
07/15/2025,222.19,"4,770,143",229.19,230.5399,222.06
07/14/2025,228.89,"3,392,281",235.61,236.19,228.75
07/11/2025,236.51,"1,670,133",237.04,238.45,235.532
07/10/2025,238.52,"2,597,671",237.77,241.84,234.65
07/09/2025,235.89,"3,235,518",239.27,239.27,232.09
07/08/2025,238.54,"2,317,500",237.58,239.79,235.0
07/07/2025,237.57,"3,317,326",245.9,247.0,235.3
07/03/2025,247.68,"1,646,311",247.4,249.97,246.0
07/02/2025,246.3,"5,344,915",245.655,252.24,236.32
07/01/2025,245.12,"3,879,093",237.23,247.78,237.0
06/30/2025,237.58,"2,964,540",236.32,238.0925,233.845
06/27/2025,235.02,"6,204,746",235.0,237.2,231.5026
06/26/2025,231.58,"3,115,376",232.46,232.9199,227.595
06/25/2025,231.52,"2,676,882",234.515,234.9,229.3544
06/24/2025,232.93,"3,789,234",227.81,233.4885,227.5518
06/23/2025,225.56,"4,699,810",226.725,227.0,219.97
06/20/2025,227.47,"4,903,126",230.7,231.2999,227.12
06/18/2025,228.65,"4,682,240",235.41,235.69,228.45
06/17/2025,235.2,"3,391,462",240.82,241.2999,234.59
06/16/2025,241.285,"3,643,058",241.62,242.06,238.26
06/13/2025,239.11,"4,525,620",244.58,248.2548,238.25
06/12/2025,247.03,"4,165,243",251.8,251.8,246.56
06/11/2025,252.28,"4,461,759",260.86,261.3,251.52
06/10/2025,258.5,"3,950,783",260.0,262.16,257.4
06/09/2025,259.04,"5,395,325",266.535,266.95,259.0
06/06/2025,265.27,"16,112,240",271.18,275.6,262.09
06/05/2025,330.78,"5,450,423",335.11,338.49,329.595
06/04/2025,335.19,"2,293,724",333.53,339.15,333.385
06/03/2025,334.91,"3,248,131",328.55,340.25,324.71
06/02/2025,322.95,"1,809,724",315.13,323.5,313.14
05/30/2025,316.67,"3,652,690",314.37,317.74,311.32
05/29/2025,317.09,"2,601,988",321.32,322.9394,316.05
05/28/2025,315.745,"1,940,900",321.2,321.335,315.68
05/27/2025,321.2,"2,193,366",315.0,322.0,312.77
05/23/2025,310.76,"1,990,074",312.53,315.4,309.79
05/22/2025,320.46,"1,344,798",320.5,321.83,317.23
05/21/2025,317.56,"1,323,310",322.11,326.43,317.36
05/20/2025,327.17,"1,378,840",323.2,330.49,322.51
05/19/2025,323.7,"1,701,501",316.26,326.73,316.0
05/16/2025,321.44,"1,277,499",320.0,325.44,317.33
05/15/2025,318.96,"1,176,278",313.86,319.41,312.35
05/14/2025,315.84,"1,574,299",310.78,319.0738,309.81
05/13/2025,310.61,"1,643,690",308.72,311.84,304.87
05/12/2025,304.2,"2,531,655",297.975,309.82,297.975
05/09/2025,279.77,"1,680,324",283.26,284.0,279.58
05/08/2025,282.43,"1,483,869",279.8,286.26,277.38
05/07/2025,275.69,"1,120,818",273.52,277.13,271.92
05/06/2025,270.8,"1,141,672",274.2,275.05,269.57
05/05/2025,278.55,"1,330,101",276.42,281.44,276.15
05/02/2025,277.36,"1,811,383",273.93,279.435,272.81
05/01/2025,268.6,"1,227,779",271.34,274.335,268.36
04/30/2025,270.77,"2,015,598",265.705,271.265,259.33
04/29/2025,271.27,"1,533,760",267.96,272.0,266.06
04/28/2025,268.52,"1,412,560",268.34,270.71,265.85
04/25/2025,267.9,"1,422,951",267.95,269.63,265.48
04/24/2025,270.64,"1,283,264",267.82,272.0,261.26
04/23/2025,265.85,"1,808,474",271.8,277.3,263.6777
04/22/2025,261.71,"2,133,712",257.12,267.1,257.12
04/21/2025,253.91,"1,559,541",249.34,254.03,245.595
04/17/2025,251.08,"1,600,822",249.35,252.23,248.0
04/16/2025,249.37,"1,772,788",253.38,256.94,246.89
04/15/2025,255.64,"1,573,651",260.09,263.6,252.98
04/14/2025,259.76,"1,796,160",264.78,265.875,254.575
04/11/2025,261.03,"1,961,418",256.43,263.85,249.0671
04/10/2025,256.62,"3,712,544",262.89,262.89,247.92
04/09/2025,273.84,"6,278,009",244.005,287.21,242.45
04/08/2025,247.61,"3,367,903",269.41,270.41,243.74
04/07/2025,265.0,"4,203,840",255.72,273.65,246.44
04/04/2025,263.7,"8,370,796",242.0,271.75,234.84
04/03/2025,255.65,"7,596,772",243.98,256.88,243.05
04/02/2025,282.75,"2,315,224",277.75,287.945,276.51
04/01/2025,279.63,"3,315,119",282.23,283.64,277.4544
03/31/2025,283.06,"4,414,707",286.14,291.7599,280.831
03/28/2025,293.06,"12,915,240",301.045,303.9999,287.5
03/27/2025,341.53,"4,470,391",334.25,348.5,334.0723
03/26/2025,337.79,"2,301,337",336.76,340.77,332.415
03/25/2025,337.35,"2,040,444",342.5,346.7157,334.7355
03/24/2025,334.96,"1,703,790",324.81,336.355,324.81
03/21/2025,322.62,"1,986,131",317.64,324.38,311.0001
