date,close,volume,open,high,low
05/15/2026,38.5,"6,383,727",38.66,38.98,38.17
05/14/2026,39.33,"4,482,013",39.82,40.25,39.1
05/13/2026,39.41,"4,796,583",39.12,39.72,38.87
05/12/2026,39.48,"5,581,660",39.65,39.78,38.83
05/11/2026,39.99,"4,781,008",40.91,41.27,39.92
05/08/2026,41.31,"4,938,817",41.82,42.22,40.97
05/07/2026,41.39,"7,481,352",41.87,42.3899,40.57
05/06/2026,41.5,"9,236,215",41.35,42.0,40.51
05/05/2026,39.71,"4,694,080",38.79,39.84,38.44
05/04/2026,38.35,"8,246,387",38.44,39.4755,37.94
05/01/2026,38.76,"10,101,380",38.0,39.97,37.5
04/30/2026,37.92,"5,079,379",37.8,38.51,37.8
04/29/2026,37.22,"6,829,094",37.66,37.875,36.92
04/28/2026,38.01,"4,596,091",37.96,38.525,37.82
04/27/2026,38.2,"6,089,291",39.39,39.81,38.1701
04/24/2026,39.45,"9,396,734",38.02,39.55,37.85
04/23/2026,37.75,"16,710,940",38.25,39.19,36.85
04/22/2026,39.35,"9,518,170",40.65,40.89,39.06
04/21/2026,40.92,"4,715,045",41.5,42.02,40.58
04/20/2026,41.82,"6,547,216",41.81,42.39,41.55
04/17/2026,42.7,"10,387,570",43.34,44.92,42.55
04/16/2026,40.63,"6,723,787",41.85,42.375,40.61
04/15/2026,41.7,"7,219,339",41.29,42.4,40.9097
04/14/2026,41.26,"9,146,746",40.25,42.03,40.1
04/13/2026,39.45,"4,503,186",38.71,39.475,38.2
04/10/2026,39.56,"4,663,581",40.59,40.59,39.27
04/09/2026,40.21,"5,377,985",39.95,40.74,39.32
04/08/2026,40.4,"12,178,230",42.675,43.425,40.08
04/07/2026,37.87,"7,226,745",37.61,38.135,37.045
04/06/2026,38.18,"4,412,121",37.43,38.6,37.21
04/02/2026,37.6,"9,750,765",36.06,37.9,35.73
04/01/2026,38.23,"9,651,363",37.46,38.88,37.17
03/31/2026,37.57,"8,644,094",36.94,37.87,36.11
03/30/2026,36.29,"6,866,183",37.37,37.4999,36.15
03/27/2026,37.36,"7,164,784",38.87,39.23,37.11
03/26/2026,39.53,"5,037,154",39.78,40.28,39.01
03/25/2026,40.19,"6,658,641",40.74,41.67,39.82
03/24/2026,39.83,"7,379,776",39.6,40.41,39.2
03/23/2026,40.35,"8,467,925",40.85,41.48,40.28
03/20/2026,39.41,"14,030,020",40.71,40.97,38.88
03/19/2026,40.87,"8,901,505",39.42,41.37,39.35
03/18/2026,40.19,"10,974,110",40.98,41.39,40.015
03/17/2026,41.12,"9,829,795",40.88,41.825,40.665
03/16/2026,40.23,"7,977,842",39.48,40.23,39.341
03/13/2026,38.75,"10,373,380",38.96,39.84,38.09
03/12/2026,38.61,"9,838,248",40.5,40.7,38.54
03/11/2026,41.85,"7,968,245",42.55,42.93,41.3907
03/10/2026,42.82,"10,990,680",42.38,44.61,42.115
03/09/2026,43.03,"14,823,170",40.69,43.105,38.82
03/06/2026,41.56,"14,084,140",43.0,43.0,40.47
03/05/2026,43.9,"15,605,330",46.25,46.62,43.89
03/04/2026,47.15,"7,909,783",47.93,48.39,46.78
03/03/2026,47.75,"12,373,550",46.52,48.32,46.02
03/02/2026,48.27,"10,033,720",48.0,49.02,46.95
02/27/2026,49.26,"9,146,250",50.73,50.91,48.71
02/26/2026,50.93,"11,230,290",50.57,51.65,49.98
02/25/2026,49.89,"10,176,250",50.71,50.8,49.4
02/24/2026,50.64,"9,321,348",50.68,51.43,50.17
02/23/2026,50.9,"8,914,506",51.87,52.3699,50.25
02/20/2026,52.09,"7,074,743",52.18,52.41,51.295
02/19/2026,52.08,"9,750,034",54.31,54.7,52.0
02/18/2026,54.8,"13,316,580",53.68,54.89,53.1467
02/17/2026,54.26,"12,962,180",52.67,55.11,52.64
02/13/2026,51.11,"9,162,016",51.08,51.72,50.205
02/12/2026,50.83,"13,189,830",52.21,52.735,49.8
02/11/2026,51.43,"10,556,380",54.24,54.7,51.23
02/10/2026,54.07,"8,464,876",53.27,54.55,53.19
02/09/2026,53.36,"8,403,291",53.82,54.25,53.1
02/06/2026,54.26,"14,795,360",52.85,54.698,52.67
02/05/2026,52.51,"7,803,302",52.53,52.97,51.88
02/04/2026,52.59,"12,376,650",51.55,52.765,50.86
02/03/2026,51.19,"10,884,560",50.0,51.21,49.93
02/02/2026,49.64,"13,003,250",48.77,49.8,48.1
01/30/2026,47.52,"14,685,030",48.535,49.85,47.3
01/29/2026,48.5,"34,535,320",43.375,49.12,42.675
01/28/2026,40.86,"10,626,330",41.89,42.02,40.68
01/27/2026,41.34,"7,890,551",42.05,42.5,41.201
01/26/2026,42.03,"6,183,649",41.87,42.41,41.705
01/23/2026,41.95,"7,012,900",41.81,42.425,41.7584
01/22/2026,42.44,"10,195,540",43.12,43.91,42.24
01/21/2026,42.85,"11,975,290",42.85,43.47,42.35
01/20/2026,42.38,"9,655,053",42.47,43.14,41.86
01/16/2026,43.12,"6,841,863",43.06,43.305,42.62
01/15/2026,43.1,"7,874,578",43.01,43.405,42.54
01/14/2026,42.55,"8,868,420",43.12,43.715,41.75
01/13/2026,43.2,"7,418,269",43.3,44.43,42.895
01/12/2026,43.85,"8,381,840",43.99,44.0075,43.17
01/09/2026,44.52,"12,343,400",44.2,45.02,43.87
01/08/2026,42.92,"8,238,477",42.66,43.3798,42.541
01/07/2026,42.64,"10,053,360",42.58,43.19,42.44
01/06/2026,42.48,"7,993,234",42.52,43.2,42.15
01/05/2026,42.44,"7,849,861",41.13,42.8,41.115
01/02/2026,41.3,"6,338,730",41.51,41.84,40.85
12/31/2025,41.33,"6,352,102",41.34,41.66,41.22
