date,close,volume,open,high,low
05/15/2026,75.06,"7,320,786",74.02,75.28,73.65
05/14/2026,73.27,"3,382,924",73.67,73.99,72.72
05/13/2026,73.74,"4,133,983",75.03,75.25,73.59
05/12/2026,74.31,"4,017,140",73.905,75.285,73.01
05/11/2026,73.53,"5,113,293",73.1,73.765,71.92
05/08/2026,71.76,"4,019,560",71.69,72.88,70.76
05/07/2026,71.51,"8,511,206",71.44,72.5,70.23
05/06/2026,73.48,"7,462,953",73.93,74.53,71.545
05/05/2026,77.76,"4,634,259",75.9,78.43,75.9
05/04/2026,76.04,"7,677,630",75.97,77.04,73.85
05/01/2026,74.99,"7,589,625",74.34,76.2,71.84
04/30/2026,74.6,"8,743,666",72.61,75.24,72.08
04/29/2026,73.29,"7,973,542",72.64,73.91,71.8101
04/28/2026,71.48,"3,324,708",72.44,72.78,71.13
04/27/2026,71.02,"5,910,233",70.42,71.735,69.68
04/24/2026,69.87,"4,764,704",70.8,71.48,69.13
04/23/2026,70.72,"5,476,988",72.0,72.95,69.34
04/22/2026,72.0,"5,348,193",71.79,72.63,71.09
04/21/2026,71.42,"7,514,496",69.26,71.61,68.78
04/20/2026,68.58,"5,867,492",67.0,69.05,66.7
04/17/2026,66.27,"14,506,480",70.12,70.34,65.76
04/16/2026,75.29,"6,103,902",73.99,75.78,73.09
04/15/2026,73.13,"5,406,647",73.28,74.0,72.9
04/14/2026,73.25,"6,764,033",74.68,74.95,71.97
04/13/2026,75.51,"4,736,803",75.5,76.68,74.92
04/10/2026,73.72,"4,918,421",73.31,74.54,72.18
04/09/2026,72.27,"9,482,904",75.06,76.5,70.84
04/08/2026,74.22,"13,784,520",72.64,74.3,68.51
04/07/2026,80.26,"6,604,103",79.19,81.96,79.18
04/06/2026,78.62,"4,863,881",78.11,79.36,77.01
04/02/2026,79.6,"7,019,406",80.2,81.39,77.935
04/01/2026,76.71,"14,185,500",79.99,80.6,74.3
03/31/2026,80.56,"10,861,010",82.145,83.94,78.58
03/30/2026,82.38,"8,206,129",81.88,83.86,80.75
03/27/2026,80.45,"7,418,292",77.84,81.26,77.42
03/26/2026,77.72,"4,248,264",76.87,78.68,76.83
03/25/2026,77.19,"4,366,984",75.8,77.37,75.54
03/24/2026,76.01,"6,461,610",72.33,76.38,72.155
03/23/2026,71.47,"7,211,797",70.62,73.12,70.22
03/20/2026,73.32,"23,437,410",74.82,75.745,72.82
03/19/2026,74.57,"9,646,126",76.39,77.36,71.7
03/18/2026,75.2,"9,174,641",72.75,76.1,72.4201
03/17/2026,71.2,"8,420,406",71.5,73.7,71.03
03/16/2026,71.08,"6,427,864",71.5,73.0,70.85
03/13/2026,72.3,"11,730,440",72.87,74.23,72.0201
03/12/2026,74.33,"14,875,340",69.18,74.54,69.0
03/11/2026,67.37,"9,455,946",65.61,68.0,65.45
03/10/2026,65.61,"12,270,390",65.72,67.595,64.18
03/09/2026,66.82,"17,039,190",68.69,69.255,66.71
03/06/2026,67.11,"13,284,650",67.23,68.88,64.575
03/05/2026,65.88,"17,621,090",64.0,67.795,63.995
03/04/2026,61.92,"8,495,662",60.0,62.22,58.88
03/03/2026,58.21,"7,639,207",56.33,58.58,55.39
03/02/2026,57.88,"9,682,185",57.04,59.2,56.6655
02/27/2026,57.52,"6,480,950",55.9,57.915,55.84
02/26/2026,56.3,"6,611,567",56.56,56.56,54.585
02/25/2026,56.75,"5,412,370",58.61,58.85,56.23
02/24/2026,58.32,"7,246,140",57.2,59.2,57.11
02/23/2026,56.66,"7,709,235",55.45,57.7,55.3701
02/20/2026,56.67,"12,100,270",54.29,57.88,54.27
02/19/2026,55.33,"3,520,017",56.0,56.775,54.9
02/18/2026,55.97,"4,402,908",56.43,57.02,55.715
02/17/2026,55.98,"4,694,660",57.45,58.01,55.0523
02/13/2026,57.61,"3,814,689",57.23,58.56,56.73
02/12/2026,57.78,"7,497,951",59.345,60.33,57.18
02/11/2026,59.47,"7,977,757",57.9,60.065,57.85
02/10/2026,57.66,"5,534,033",55.74,57.96,55.51
02/09/2026,55.47,"3,447,227",54.73,55.865,53.7
02/06/2026,55.1,"3,826,434",54.25,55.485,54.09
02/05/2026,53.88,"6,531,717",56.225,56.91,52.88
02/04/2026,57.1,"9,652,967",54.48,57.475,54.12
02/03/2026,53.45,"11,738,970",50.325,54.72,49.6
02/02/2026,50.25,"10,072,660",48.69,50.54,47.13
01/30/2026,49.0,"18,051,990",51.2,51.45,46.82
01/29/2026,49.95,"10,277,650",49.99,50.86,48.96
01/28/2026,50.47,"5,207,665",50.75,50.9,49.56
01/27/2026,50.43,"4,933,396",50.9,51.73,50.15
01/26/2026,50.86,"4,607,016",51.3,51.6,50.48
01/23/2026,50.99,"4,424,329",51.83,52.06,50.575
01/22/2026,51.54,"5,592,552",52.01,52.905,51.28
01/21/2026,51.82,"5,968,315",49.66,52.35,49.4
01/20/2026,48.86,"4,652,421",49.4,50.31,48.3807
01/16/2026,50.91,"4,334,271",50.38,51.06,49.99
01/15/2026,50.88,"6,032,575",51.78,52.0,50.35
01/14/2026,52.0,"10,408,280",49.3,52.43,49.3
01/13/2026,48.67,"4,013,412",48.58,49.17,48.24
01/12/2026,48.2,"5,075,602",48.7,49.155,47.76
01/09/2026,48.71,"5,325,855",47.81,48.83,46.62
