date,close,volume,open,high,low
05/15/2026,125.71,"782,990",127.36,128.09,125.15
05/14/2026,127.23,"985,227",127.78,129.06,126.9
05/13/2026,129.34,"700,226",128.44,129.5,127.935
05/12/2026,129.22,"808,886",130.28,130.42,128.925
05/11/2026,129.72,"710,842",130.05,131.0,129.19
05/08/2026,129.31,"767,028",130.39,130.775,128.75
05/07/2026,130.36,"1,113,258",130.04,131.43,130.04
05/06/2026,130.3,"1,362,614",130.05,132.67,130.05
05/05/2026,130.16,"824,464",128.93,131.59,128.91
05/04/2026,129.06,"860,655",127.74,130.47,127.74
05/01/2026,128.56,"849,032",129.06,130.14,127.415
04/30/2026,129.18,"1,953,522",130.0,130.97,127.22
04/29/2026,129.71,"1,599,955",129.75,131.36,128.9201
04/28/2026,130.38,"1,012,779",125.99,130.64,125.99
04/27/2026,125.39,"633,866",125.49,126.595,125.2
04/24/2026,125.66,"529,463",126.0,126.77,125.1
04/23/2026,126.0,"536,936",124.63,126.4,124.63
04/22/2026,124.59,"569,178",126.29,126.39,124.0
04/21/2026,125.74,"750,823",129.06,129.53,125.68
04/20/2026,129.47,"722,170",127.44,129.59,127.24
04/17/2026,127.94,"1,533,863",123.42,128.38,123.42
04/16/2026,123.1,"1,779,916",123.98,124.855,121.91
04/15/2026,124.19,"1,039,353",124.74,125.4,123.25
04/14/2026,126.34,"821,429",125.53,127.06,125.02
04/13/2026,125.89,"821,144",126.0,126.33,124.4501
04/10/2026,126.39,"778,573",125.87,127.315,125.51
04/09/2026,125.62,"763,278",125.36,126.55,125.08
04/08/2026,126.09,"812,783",125.53,126.385,125.0
04/07/2026,124.3,"1,082,877",124.61,125.63,123.76
04/06/2026,124.82,"614,880",124.73,125.68,124.435
04/02/2026,124.88,"1,075,803",122.59,124.99,122.1563
04/01/2026,122.55,"1,151,269",121.6,123.23,121.6
03/31/2026,122.12,"1,224,985",123.07,123.84,121.44
03/30/2026,121.72,"755,879",121.44,123.21,120.89
03/27/2026,120.57,"986,944",121.99,122.35,120.3
03/26/2026,122.15,"790,952",121.51,123.15,121.46
03/25/2026,121.64,"640,649",122.76,122.99,121.42
03/24/2026,121.81,"1,130,846",121.66,123.22,121.07
03/23/2026,122.39,"1,266,704",123.38,124.45,122.34
03/20/2026,121.79,"2,047,729",124.36,124.56,121.22
03/19/2026,124.51,"1,043,452",125.45,126.18,124.2801
03/18/2026,125.8,"1,145,600",127.36,127.73,125.62
03/17/2026,128.07,"660,514",127.55,128.29,126.75
03/16/2026,126.37,"547,805",127.55,127.97,126.36
03/13/2026,126.32,"497,172",129.47,130.27,126.15
03/12/2026,127.75,"933,932",127.41,129.305,126.66
03/11/2026,127.92,"1,231,779",129.53,129.53,126.47
03/10/2026,130.13,"796,045",131.5,132.1,129.72
03/09/2026,132.14,"885,605",131.62,132.59,129.5
03/06/2026,132.79,"776,038",133.24,133.681,131.395
03/05/2026,134.41,"957,012",132.68,134.56,132.14
03/04/2026,133.78,"659,028",132.81,133.92,132.28
03/03/2026,133.57,"689,960",132.57,134.37,131.54
03/02/2026,134.11,"844,487",133.81,134.99,132.67
02/27/2026,133.86,"1,207,147",135.28,135.505,132.99
02/26/2026,135.87,"725,360",134.69,136.27,134.56
02/25/2026,134.05,"1,238,837",134.18,135.05,132.0
02/24/2026,134.09,"895,789",133.38,134.195,132.25
02/23/2026,133.33,"1,161,735",133.94,136.01,132.91
02/20/2026,133.47,"704,591",135.65,135.7,133.06
02/19/2026,135.07,"906,222",134.43,135.92,133.98
02/18/2026,135.12,"797,435",134.5,135.36,133.44
02/17/2026,134.41,"795,783",136.0,137.05,132.93
02/13/2026,135.55,"878,339",133.98,135.99,133.1286
02/12/2026,133.44,"1,585,710",136.36,136.42,131.37
02/11/2026,136.03,"981,729",136.01,137.84,135.35
02/10/2026,136.45,"866,430",133.68,136.62,133.68
02/09/2026,133.58,"746,672",132.05,133.69,131.39
02/06/2026,132.13,"1,525,207",129.98,132.35,129.935
02/05/2026,130.72,"2,330,281",133.78,135.05,129.6
02/04/2026,135.05,"1,279,721",133.34,136.45,132.81
02/03/2026,132.2,"1,338,861",131.65,133.15,130.33
02/02/2026,132.31,"1,019,288",134.19,134.27,132.14
01/30/2026,134.3,"1,009,866",134.11,134.35,132.13
01/29/2026,133.68,"931,771",133.3,134.75,132.5
01/28/2026,132.46,"602,965",134.86,135.33,131.785
01/27/2026,134.73,"694,532",134.91,135.989,134.64
01/26/2026,134.96,"623,916",136.49,136.49,134.105
01/23/2026,135.79,"591,996",134.56,135.92,134.07
01/22/2026,134.66,"731,719",135.26,137.13,134.28
01/21/2026,135.38,"1,013,386",134.97,135.875,133.95
01/20/2026,134.42,"1,149,642",135.4,136.242,133.49
01/16/2026,137.09,"908,094",134.97,137.13,133.96
01/15/2026,135.44,"550,872",134.63,135.59,134.58
01/14/2026,136.27,"798,190",134.77,136.31,134.41
01/13/2026,134.44,"708,339",134.62,135.41,132.19
01/12/2026,134.23,"1,000,948",136.18,136.78,133.58
01/09/2026,135.9,"1,915,675",138.54,139.151,134.75
01/08/2026,138.54,"1,082,839",135.07,138.75,134.19
01/07/2026,134.98,"1,421,781",138.19,139.0,134.41
01/06/2026,138.17,"1,080,771",136.5,139.105,136.5
01/05/2026,137.35,"1,043,547",138.62,139.56,137.225
01/02/2026,139.13,"841,163",138.51,140.0,137.55
12/31/2025,138.91,"1,042,382",139.9,140.22,138.78
12/30/2025,139.91,"1,039,627",139.18,140.16,139.08
12/29/2025,139.18,"518,437",138.4,139.29,137.82
12/26/2025,137.8,"507,485",137.08,137.98,136.9
12/24/2025,137.44,"520,521",136.62,137.95,136.62
12/23/2025,136.24,"802,867",137.02,137.6199,135.6
12/22/2025,136.68,"1,545,017",133.55,137.36,133.1
12/19/2025,134.23,"2,491,964",135.99,136.4,134.2
12/18/2025,136.31,"1,068,071",137.5,137.61,136.125
12/17/2025,137.09,"1,515,037",133.57,137.6099,133.49
12/16/2025,133.19,"1,063,870",132.77,133.77,131.841
12/15/2025,132.7,"1,137,440",132.8,133.038,131.62
12/12/2025,132.11,"1,045,030",133.57,133.715,131.32
12/11/2025,132.96,"823,492",132.52,133.51,132.0
12/10/2025,131.9,"979,203",130.69,132.44,130.69
12/09/2025,130.51,"1,191,685",131.72,132.74,130.45
12/08/2025,131.0,"1,050,987",131.16,131.77,129.89
12/05/2025,131.67,"874,502",131.5,132.9,131.38
12/04/2025,132.86,"787,979",134.46,135.19,132.685
12/03/2025,134.52,"735,596",135.12,136.16,134.2
12/02/2025,135.26,"947,554",136.0,136.21,134.18
12/01/2025,135.37,"880,171",135.1,136.95,134.85
11/28/2025,135.89,"388,232",135.35,136.72,135.1
11/26/2025,135.51,"707,895",134.4,136.16,133.9
11/25/2025,135.06,"888,219",133.25,135.98,133.0
11/24/2025,133.31,"1,033,985",133.49,133.76,132.32
11/21/2025,133.61,"1,611,843",131.26,134.13,131.0
11/20/2025,130.87,"1,368,481",130.63,131.97,130.25
11/19/2025,129.83,"818,657",130.83,131.24,129.64
11/18/2025,130.43,"717,686",130.59,130.965,129.67
11/17/2025,130.27,"652,954",131.43,131.62,129.96
11/14/2025,130.94,"649,089",131.18,131.94,130.2887
11/13/2025,130.55,"1,079,485",130.68,131.54,130.42
11/12/2025,131.5,"999,668",130.85,132.13,130.335
11/11/2025,131.57,"1,091,552",130.28,132.07,129.89
11/10/2025,129.55,"1,039,310",129.41,129.93,128.4
11/07/2025,129.65,"1,134,287",127.04,129.68,127.04
11/06/2025,127.04,"862,000",127.91,128.91,126.92
11/05/2025,128.5,"1,802,121",129.73,129.99,128.02
11/04/2025,129.09,"1,442,815",127.09,129.15,126.6101
11/03/2025,127.59,"1,364,085",126.36,128.5,125.75
10/31/2025,128.23,"1,687,276",128.18,130.61,127.92
10/30/2025,128.81,"2,662,446",126.455,129.6,126.455
10/29/2025,126.28,"1,869,805",129.87,130.39,126.05
10/28/2025,130.71,"1,017,551",132.25,132.71,130.525
10/27/2025,133.01,"1,081,992",133.91,133.99,132.4301
10/24/2025,133.99,"720,323",134.75,135.1899,133.9278
10/23/2025,134.43,"837,640",134.5,135.1,132.88
10/22/2025,134.36,"832,703",134.12,135.42,132.8705
10/21/2025,133.4,"1,004,908",133.21,134.28,132.17
10/20/2025,132.89,"761,228",132.9,133.9,132.27
10/17/2025,132.7,"794,887",131.84,133.24,131.4
10/16/2025,131.43,"752,774",132.0,132.78,131.17
10/15/2025,132.0,"1,068,486",132.1,133.335,131.6
10/14/2025,133.76,"893,911",134.48,135.055,133.24
10/13/2025,134.54,"533,000",134.51,135.34,134.055
10/10/2025,134.55,"510,618",135.3,135.42,133.28
10/09/2025,134.91,"479,934",136.29,136.33,134.35
10/08/2025,135.85,"757,511",135.49,136.61,134.97
10/07/2025,136.22,"735,016",136.03,137.69,135.49
10/06/2025,136.0,"904,430",137.22,137.52,135.42
10/03/2025,136.7,"874,318",136.78,137.54,136.37
10/02/2025,136.26,"954,904",137.5,137.815,136.07
10/01/2025,138.0,"832,785",139.42,139.88,137.97
09/30/2025,139.73,"1,150,885",138.11,139.76,138.0
09/29/2025,138.61,"1,071,459",138.7,139.21,137.6362
09/26/2025,139.57,"801,092",139.08,140.585,138.39
09/25/2025,138.74,"692,082",140.48,141.69,138.25
09/24/2025,140.43,"870,479",141.14,141.87,139.76
09/23/2025,141.12,"528,339",141.17,141.83,140.36
09/22/2025,141.25,"868,759",140.295,141.76,139.43
09/19/2025,140.86,"1,566,405",140.6,141.97,140.17
09/18/2025,140.54,"560,413",139.38,140.83,139.13
09/17/2025,139.55,"519,327",139.47,141.89,139.2
09/16/2025,139.39,"612,850",140.69,141.73,139.01
09/15/2025,140.61,"633,581",142.2,142.57,140.38
09/12/2025,142.2,"737,061",143.82,143.995,141.7
09/11/2025,144.09,"779,401",141.0,144.55,141.0
09/10/2025,141.46,"744,252",145.35,145.8,141.15
09/09/2025,145.43,"930,802",143.92,145.54,143.7
09/08/2025,144.65,"585,383",143.86,144.71,143.56
09/05/2025,145.4,"620,287",144.73,146.41,144.12
09/04/2025,144.0,"516,673",144.03,144.405,142.32
09/03/2025,143.41,"769,762",141.91,143.49,141.8301
09/02/2025,142.3,"665,087",144.83,145.295,141.8975
08/29/2025,145.82,"594,416",143.82,145.96,143.82
08/28/2025,144.13,"389,148",144.42,144.42,142.86
08/27/2025,144.42,"970,242",143.2,145.0,142.74
08/26/2025,142.62,"1,129,086",142.14,143.17,141.79
08/25/2025,142.03,"722,525",142.35,143.03,141.37
08/22/2025,143.03,"849,670",141.95,143.725,141.56
08/21/2025,141.01,"635,849",141.33,142.66,140.76
08/20/2025,142.36,"922,063",143.11,144.66,142.27
08/19/2025,142.4,"810,641",140.58,142.41,140.56
08/18/2025,140.06,"623,421",141.6,141.75,140.0
08/15/2025,140.9,"927,468",139.87,141.62,139.57
08/14/2025,140.03,"879,777",139.43,140.21,138.4
08/13/2025,139.77,"1,637,710",138.18,139.99,137.94
08/12/2025,138.38,"910,949",138.52,138.82,137.32
08/11/2025,138.48,"724,995",140.51,141.0,138.34
08/08/2025,140.48,"481,246",142.44,142.485,140.01
08/07/2025,142.15,"587,326",141.28,142.45,140.62
08/06/2025,140.61,"807,956",141.7,142.485,139.65
08/05/2025,141.8,"996,337",140.43,142.95,139.52
08/04/2025,140.1,"1,154,396",140.0,142.025,139.48
08/01/2025,140.0,"1,382,707",144.25,144.25,138.67
07/31/2025,142.43,"1,824,721",146.33,149.175,142.14
07/30/2025,148.79,"1,302,342",151.63,151.72,147.32
07/29/2025,152.32,"619,448",149.69,152.355,149.1701
07/28/2025,149.35,"714,307",151.24,151.64,149.14
07/25/2025,151.65,"560,427",151.39,151.9,150.515
07/24/2025,151.68,"569,866",152.91,153.31,151.48
07/23/2025,152.73,"701,921",153.22,153.93,152.24
07/22/2025,153.2,"678,839",150.03,153.47,150.03
07/21/2025,150.02,"741,173",151.41,152.05,149.83
07/18/2025,150.77,"720,098",150.76,151.95,150.27
07/17/2025,150.66,"867,192",150.69,151.57,150.195
07/16/2025,150.36,"1,027,598",147.72,150.585,147.525
07/15/2025,147.43,"1,022,677",149.44,149.7,146.785
07/14/2025,151.26,"696,555",151.0,152.75,150.78
07/11/2025,150.72,"940,004",149.35,151.5,149.35
07/10/2025,151.1,"1,219,310",150.07,152.83,149.0682
07/09/2025,150.23,"800,799",151.0,151.06,149.505
07/08/2025,150.26,"1,186,508",148.73,151.585,148.73
07/07/2025,150.09,"1,262,440",150.47,152.305,148.905
07/03/2025,150.47,"403,534",148.92,150.941,148.01
07/02/2025,149.21,"1,680,625",148.49,149.81,147.0
07/01/2025,148.9,"912,340",148.02,150.1,146.0728
06/30/2025,148.01,"825,894",147.48,148.1,145.13
