date,close,volume,open,high,low
05/15/2026,65.14,"3,435,743",67.29,67.68,64.955
05/14/2026,68.26,"3,006,741",68.34,68.82,67.55
05/13/2026,67.48,"5,098,890",68.98,70.225,66.56
05/12/2026,69.8,"3,184,961",70.9,71.525,69.14
05/11/2026,70.59,"2,577,405",71.6,71.6,70.385
05/08/2026,71.74,"2,780,860",72.22,72.69,71.07
05/07/2026,71.93,"3,459,430",73.28,74.35,71.59
05/06/2026,71.95,"2,797,171",71.83,72.95,71.47
05/05/2026,70.41,"2,364,181",68.95,70.76,68.95
05/04/2026,68.49,"2,266,596",70.6,70.93,68.42
05/01/2026,71.24,"1,991,449",72.21,72.81,71.135
04/30/2026,71.82,"2,885,373",71.23,72.39,70.795
04/29/2026,71.26,"2,612,580",73.97,74.205,71.09
04/28/2026,74.34,"3,454,441",74.52,75.0,73.285
04/27/2026,74.24,"2,890,549",74.49,75.44,74.005
04/24/2026,74.18,"4,076,566",75.22,75.55,73.46
04/23/2026,75.4,"6,178,463",74.86,76.06,74.35
04/22/2026,73.96,"8,456,472",74.17,76.1,72.93
04/21/2026,66.76,"6,209,447",66.32,67.71,65.51
04/20/2026,66.68,"3,906,965",65.64,66.74,65.03
04/17/2026,66.58,"3,074,553",65.06,67.84,64.86
04/16/2026,63.73,"2,831,619",63.6,64.39,63.25
04/15/2026,63.17,"3,245,979",64.72,65.04,62.815
04/14/2026,64.91,"2,963,948",64.26,65.45,63.78
04/13/2026,64.31,"2,807,766",63.2,64.37,62.03
04/10/2026,62.97,"1,770,243",63.61,63.77,62.66
04/09/2026,63.42,"2,727,547",61.6,63.89,61.56
04/08/2026,62.23,"2,954,460",61.79,63.035,61.54
04/07/2026,59.1,"2,601,109",59.11,59.715,58.77
04/06/2026,59.69,"1,448,788",58.87,59.775,58.52
04/02/2026,59.12,"2,056,176",59.04,61.07,58.41
04/01/2026,60.69,"2,099,324",60.62,61.305,60.01
03/31/2026,60.37,"2,377,765",59.77,61.39,58.83
03/30/2026,58.6,"2,405,253",60.13,60.13,58.45
03/27/2026,59.5,"2,041,074",59.91,60.66,59.38
03/26/2026,60.19,"1,651,232",60.66,61.64,59.95
03/25/2026,61.52,"2,014,859",61.29,61.68,59.96
03/24/2026,60.37,"2,396,980",59.23,60.96,58.91
03/23/2026,60.08,"2,685,513",60.1,61.34,59.71
03/20/2026,58.84,"7,569,548",59.75,60.04,58.1647
03/19/2026,59.72,"2,925,228",59.22,59.83,58.45
03/18/2026,59.92,"2,460,089",61.2,62.155,59.73
03/17/2026,61.75,"2,061,294",62.54,62.895,61.34
03/16/2026,62.1,"2,318,568",61.95,62.7,61.75
03/13/2026,61.52,"2,191,873",61.29,62.085,61.01
03/12/2026,60.66,"2,389,536",61.87,62.405,60.505
03/11/2026,62.49,"1,595,790",63.18,63.82,62.23
03/10/2026,63.47,"2,204,839",63.86,65.14,63.0875
03/09/2026,64.24,"3,109,759",62.25,64.27,61.3
03/06/2026,63.66,"2,378,510",63.36,63.995,62.26
03/05/2026,65.3,"3,262,121",67.59,68.52,64.97
03/04/2026,68.44,"1,846,089",68.22,68.63,67.2
03/03/2026,68.03,"2,592,298",67.81,68.89,66.92
