date,close,volume,open,high,low
05/14/2026,97.04,"6,977,354",96.385,97.29,95.27
05/13/2026,96.71,"12,894,110",99.65,99.87,96.06
05/12/2026,97.7,"12,828,490",97.06,98.145,94.42
05/11/2026,99.03,"19,625,220",98.1,101.175,96.57
05/08/2026,99.09,"18,857,340",105.05,105.91,96.82
05/07/2026,101.58,"15,859,600",102.15,102.28,99.59
05/06/2026,102.92,"13,764,100",98.48,103.24,98.0
05/05/2026,98.48,"11,012,060",95.23,99.08,94.17
05/04/2026,95.3,"8,362,125",96.215,96.215,93.6175
05/01/2026,93.95,"8,062,759",92.81,94.555,91.9076
04/30/2026,92.91,"9,342,703",91.0,93.03,89.12
04/29/2026,90.17,"12,902,690",89.0,90.73,87.11
04/28/2026,84.26,"13,219,820",85.73,87.14,83.95
04/27/2026,86.84,"10,126,720",88.96,89.29,85.28
04/24/2026,89.44,"11,341,450",91.11,91.5,87.91
04/23/2026,90.64,"18,143,180",85.775,92.24,85.46
04/22/2026,82.48,"8,901,104",82.47,82.895,81.09
04/21/2026,80.93,"8,519,077",80.49,81.86,80.24
04/20/2026,80.39,"9,660,968",79.0,80.71,78.42
04/17/2026,78.76,"10,896,300",78.775,79.9,77.76
04/16/2026,76.87,"7,221,070",74.555,77.32,74.01
04/15/2026,74.49,"6,869,399",74.13,74.86,72.9
04/14/2026,74.5,"7,446,421",74.2,74.89,73.02
04/13/2026,73.55,"6,724,909",71.46,73.71,71.12
04/10/2026,71.56,"8,065,267",71.91,72.7,70.825
04/09/2026,71.22,"8,477,749",70.5,71.55,69.53
04/08/2026,70.73,"13,559,100",72.02,72.495,69.73
04/07/2026,67.51,"6,549,439",67.01,67.79,65.75
04/06/2026,67.22,"5,480,062",65.97,67.81,65.81
04/02/2026,65.6,"6,599,865",63.22,65.81,62.62
04/01/2026,65.38,"7,926,900",64.825,66.53,64.51
03/31/2026,64.61,"12,581,050",61.35,64.98,61.18
03/30/2026,60.06,"8,534,228",62.41,62.94,59.31
03/27/2026,62.0,"8,341,903",63.53,63.79,61.58
03/26/2026,64.2,"10,554,430",64.49,65.99,63.97
03/25/2026,65.16,"6,581,164",66.25,68.1,64.83
03/24/2026,65.63,"5,553,909",63.73,66.58,63.7
03/23/2026,64.34,"7,972,528",64.93,65.92,64.24
03/20/2026,62.97,"12,516,290",62.99,64.34,62.12
03/19/2026,63.29,"10,227,160",62.9,64.15,62.43
