date,close,volume,open,high,low
05/15/2026,760.57,"1,534,439",754.06,766.43,751.63
05/14/2026,747.23,"933,576",736.52,750.75,736.0725
05/13/2026,737.18,"966,010",727.69,748.625,727.69
05/12/2026,734.69,"951,694",731.45,742.3,724.7
05/11/2026,725.17,"1,693,267",743.45,755.0,723.68
05/08/2026,736.09,"2,179,559",739.75,772.42,726.02
05/07/2026,754.76,"2,020,750",739.9,755.85,729.68
05/06/2026,743.67,"2,877,160",777.0,777.0,735.79
05/05/2026,801.01,"882,286",809.51,811.9617,800.3
05/04/2026,807.85,"839,112",808.3,813.37,800.36
05/01/2026,814.02,"633,826",820.25,821.0025,807.575
04/30/2026,815.2,"1,367,646",818.22,822.21,791.09
04/29/2026,822.63,"791,286",829.64,834.5675,822.0
04/28/2026,835.0,"813,256",836.33,841.85,829.66
04/27/2026,828.32,"934,880",827.01,835.19,822.54
04/24/2026,828.11,"692,330",829.0,830.52,817.44
04/23/2026,836.1,"673,901",827.51,836.85,825.77
04/22/2026,829.23,"1,117,989",840.77,847.05,821.99
04/21/2026,842.25,"1,241,001",858.0,858.0,836.6171
04/20/2026,859.04,"582,299",864.99,873.03,853.43
04/17/2026,866.38,"833,202",866.97,867.8299,855.5
04/16/2026,867.34,"520,746",863.74,871.18,861.01
04/15/2026,863.42,"465,639",861.84,869.97,857.84
04/14/2026,862.79,"614,421",862.85,875.53,857.86
04/13/2026,864.57,"554,752",865.47,870.71,855.18
04/10/2026,865.6,"615,265",869.74,873.195,855.11
04/09/2026,873.43,"593,241",869.01,879.1,868.025
04/08/2026,871.18,"875,724",859.29,873.83,850.59
04/07/2026,856.62,"892,153",857.81,866.0,845.52
04/06/2026,856.77,"803,716",862.15,877.77,850.84
04/02/2026,884.28,"570,800",872.17,887.25,866.79
04/01/2026,872.32,"729,561",863.08,880.86,863.0
03/31/2026,865.36,"898,972",866.71,866.71,846.7278
03/30/2026,860.19,"689,205",869.95,875.07,856.435
03/27/2026,860.16,"840,958",862.52,864.895,852.55
03/26/2026,863.56,"835,226",879.62,884.0699,863.05
03/25/2026,879.75,"669,463",881.33,892.215,877.03
03/24/2026,881.94,"697,218",876.08,887.1699,864.78
03/23/2026,877.01,"660,310",896.17,904.43,876.74
03/20/2026,885.84,"1,937,124",893.48,903.955,875.97
03/19/2026,898.95,"899,301",922.67,934.17,898.07
03/18/2026,920.35,"767,412",938.94,944.42,916.61
03/17/2026,941.89,"755,754",942.91,948.63,923.945
03/16/2026,943.25,"612,402",947.34,953.68,936.055
03/13/2026,940.91,"543,267",950.35,959.95,937.34
03/12/2026,944.36,"522,988",931.26,949.86,928.0
