date,close,volume,open,high,low
05/14/2026,618.43,"10,651,170",616.0,623.73,615.0
05/13/2026,616.63,"14,634,390",598.83,619.9,596.6601
05/12/2026,603.0,"11,351,560",594.815,603.745,592.6
05/11/2026,598.86,"15,940,620",604.57,604.9069,598.0801
05/08/2026,609.63,"13,556,960",615.2,616.77,606.0601
05/07/2026,616.81,"12,307,370",614.72,624.98,613.5401
05/06/2026,612.88,"19,915,460",601.05,619.95,598.1
05/05/2026,604.96,"17,171,300",613.31,614.35,600.36
05/04/2026,610.41,"16,203,900",607.935,614.0,602.7501
05/01/2026,608.745,"21,404,030",614.69,618.88,606.11
04/30/2026,611.91,"52,764,980",619.32,620.85,600.0
04/29/2026,669.12,"18,947,460",668.91,674.25,663.8084
04/28/2026,671.34,"10,606,760",674.24,678.18,665.625
04/27/2026,678.62,"12,805,220",670.995,682.5,670.84
04/24/2026,675.03,"13,348,280",660.32,680.67,653.8401
04/23/2026,659.15,"11,666,980",663.7,669.56,653.05
04/22/2026,674.72,"9,215,603",674.355,678.38,669.75
04/21/2026,668.84,"8,660,100",671.0,676.2,667.33
04/20/2026,670.91,"12,533,950",681.36,683.38,668.0
04/17/2026,688.55,"16,283,480",678.6,691.52,675.13
04/16/2026,676.87,"9,544,835",675.99,677.58,667.75
04/15/2026,671.58,"14,952,580",667.0,678.5,664.22
04/14/2026,662.49,"17,817,960",643.22,666.26,639.3705
04/13/2026,634.53,"9,538,931",629.5,635.0,624.4
04/10/2026,629.86,"13,294,840",634.47,638.58,624.33
04/09/2026,628.39,"19,012,910",626.97,637.5,623.0
04/08/2026,612.42,"32,036,640",606.0,629.95,591.83
04/07/2026,575.05,"9,580,843",572.48,575.225,564.76
04/06/2026,573.02,"9,515,651",577.69,582.79,572.0
04/02/2026,574.46,"13,518,550",566.035,578.5,559.7
04/01/2026,579.23,"23,608,130",580.13,592.5465,573.82
03/31/2026,572.13,"32,898,270",549.98,573.69,546.77
03/30/2026,536.38,"22,795,200",536.38,539.55,528.54
03/27/2026,525.72,"30,133,010",540.1,543.5999,520.26
03/26/2026,547.54,"35,780,130",582.49,583.0,543.35
03/25/2026,594.89,"12,585,030",598.74,603.67,593.4
03/24/2026,592.92,"10,739,740",599.1,601.0,591.0
03/23/2026,604.06,"13,637,960",605.787,608.64,599.01
03/20/2026,593.66,"21,214,900",603.53,603.955,587.25
03/19/2026,606.7,"13,247,700",612.15,613.0,602.26
03/18/2026,615.68,"11,726,300",616.34,622.65,614.61
03/17/2026,622.66,"10,348,760",627.985,636.55,621.7
03/16/2026,627.45,"15,134,850",632.0,634.75,623.1004
03/13/2026,613.71,"18,957,640",623.89,629.1699,609.55
03/12/2026,638.18,"11,617,490",648.75,653.5,636.9
03/11/2026,654.86,"8,977,162",654.76,659.12,648.36
03/10/2026,654.07,"9,859,250",653.56,660.3,649.0
03/09/2026,647.39,"13,489,740",634.78,647.75,626.78
03/06/2026,644.86,"13,159,360",647.9,649.47,636.11
03/05/2026,660.57,"13,341,370",661.93,670.7,650.31
03/04/2026,667.73,"10,810,050",657.96,672.77,657.6711
03/03/2026,655.08,"12,263,750",648.29,659.04,638.84
03/02/2026,653.56,"9,816,125",637.16,659.94,634.5
02/27/2026,648.18,"15,703,040",643.45,649.44,638.12
02/26/2026,657.01,"10,637,740",650.55,661.0,647.5
02/25/2026,653.69,"11,330,690",642.53,653.88,642.14
02/24/2026,639.3,"10,135,650",633.08,641.11,628.98
02/23/2026,637.25,"8,605,909",652.54,657.7,636.0
02/20/2026,655.66,"14,183,510",639.685,663.3499,638.78
02/19/2026,644.78,"10,035,700",638.57,647.19,636.72
02/18/2026,643.22,"14,649,200",633.8,645.0,628.145
02/17/2026,639.29,"12,674,740",639.495,642.6,628.8
02/13/2026,639.77,"12,336,360",645.1,651.4299,634.57
02/12/2026,649.81,"14,960,110",669.97,676.0,645.28
02/11/2026,668.69,"14,323,820",674.0,679.2675,657.1
02/10/2026,670.72,"10,455,820",677.6,680.65,669.79
02/09/2026,677.22,"14,837,530",663.18,683.3099,658.78
02/06/2026,661.46,"18,159,250",665.49,671.9899,646.5001
02/05/2026,670.21,"17,131,790",663.58,681.5,653.5
