date,close,volume,open,high,low
05/15/2026,36.97,"4,862,052",36.86,37.22,36.36
05/14/2026,36.81,"6,023,499",37.85,38.1,36.6001
05/13/2026,37.41,"3,945,512",37.08,37.82,36.845
05/12/2026,36.9,"6,011,484",37.31,38.01,36.735
05/11/2026,37.3,"4,710,998",38.71,38.72,37.285
05/08/2026,38.79,"3,754,919",38.39,38.91,37.915
05/07/2026,38.11,"4,898,071",38.47,38.72,37.22
05/06/2026,38.21,"4,215,697",38.62,39.1,38.01
05/05/2026,37.91,"4,095,614",38.2,38.72,37.71
05/04/2026,38.24,"3,998,403",38.34,39.28,37.89
05/01/2026,38.5,"6,755,632",38.72,39.38,37.72
04/30/2026,38.94,"8,289,804",39.68,40.61,38.37
04/29/2026,39.27,"6,673,484",39.68,40.13,39.075
04/28/2026,39.74,"4,520,268",40.51,40.795,39.685
04/27/2026,40.55,"6,554,814",39.62,40.94,39.58
04/24/2026,39.54,"3,797,861",38.86,39.56,37.78
04/23/2026,38.94,"3,004,655",39.41,39.59,38.34
04/22/2026,39.24,"3,001,179",39.39,39.665,38.81
04/21/2026,39.11,"2,796,841",39.5,40.46,39.04
04/20/2026,39.4,"3,440,160",38.4,39.41,37.88
04/17/2026,38.59,"4,318,945",39.0,40.2,38.495
04/16/2026,38.49,"3,747,906",38.2,39.0,38.1045
04/15/2026,38.36,"5,336,052",36.85,38.68,36.77
04/14/2026,36.73,"4,971,922",35.75,37.16,35.75
04/13/2026,36.75,"2,627,948",36.96,37.19,36.21
04/10/2026,37.32,"3,706,739",36.74,37.43,36.5
04/09/2026,36.93,"3,556,207",36.83,37.235,36.154
04/08/2026,37.1,"5,119,714",39.01,39.23,37.03
04/07/2026,37.89,"3,593,155",37.44,38.44,37.37
04/06/2026,37.6,"2,935,962",36.63,37.635,36.26
04/02/2026,36.68,"3,428,112",36.2,36.915,35.32
04/01/2026,36.78,"4,079,627",37.45,37.67,36.505
03/31/2026,37.01,"3,569,624",36.13,37.29,35.9
03/30/2026,35.62,"3,402,290",36.32,36.88,35.375
03/27/2026,36.32,"4,700,558",37.32,37.72,36.09
03/26/2026,37.57,"5,130,186",37.59,37.97,36.9
03/25/2026,37.49,"4,111,957",37.44,37.814,36.72
03/24/2026,37.11,"6,471,973",36.8,37.36,36.58
03/23/2026,36.95,"5,717,577",36.99,37.945,36.26
03/20/2026,35.37,"9,065,867",36.87,37.09,35.2
03/19/2026,37.14,"4,145,914",35.95,37.51,35.77
03/18/2026,36.37,"3,434,813",36.56,37.235,36.28
03/17/2026,36.86,"3,662,669",36.4,37.69,36.285
03/16/2026,35.98,"5,871,544",37.22,37.25,35.86
03/13/2026,36.68,"3,807,643",36.84,37.43,36.454
03/12/2026,36.3,"4,450,018",35.5,36.88,35.3
03/11/2026,36.29,"7,242,922",35.12,36.87,34.98
03/10/2026,35.0,"3,907,624",35.37,35.83,34.875
03/09/2026,35.64,"7,072,873",34.75,35.89,33.445
03/06/2026,35.57,"4,598,787",36.4,36.57,35.24
03/05/2026,37.13,"4,391,693",36.23,37.15,36.19
03/04/2026,36.68,"4,408,378",35.94,36.99,35.68
03/03/2026,35.85,"4,809,771",34.8,36.12,33.75
03/02/2026,35.72,"4,586,054",35.78,36.18,34.82
02/27/2026,36.86,"6,606,732",36.86,37.19,36.35
02/26/2026,37.62,"7,327,190",36.0,38.0,35.82
02/25/2026,35.56,"5,126,849",35.32,35.61,34.71
02/24/2026,35.05,"3,315,704",34.4,35.425,34.25
02/23/2026,34.25,"6,141,435",36.46,36.55,33.8
02/20/2026,36.79,"3,698,935",36.33,37.04,35.82
02/19/2026,36.46,"4,419,436",36.8,37.05,35.75
02/18/2026,37.19,"5,581,069",34.56,37.3,34.48
02/17/2026,34.27,"3,741,786",34.02,34.66,33.53
02/13/2026,34.14,"4,018,017",34.07,34.98,33.67
02/12/2026,34.19,"7,255,580",36.74,37.25,33.9001
02/11/2026,36.36,"3,605,350",37.43,37.81,36.24
02/10/2026,37.36,"4,194,617",38.1,38.14,36.78
02/09/2026,38.06,"4,227,306",37.67,38.1,37.165
02/06/2026,37.49,"6,089,898",36.23,37.7,35.49
02/05/2026,36.28,"10,483,710",35.98,36.61,34.77
02/04/2026,36.93,"13,039,350",38.185,39.25,36.38
02/03/2026,34.17,"6,232,676",33.22,34.98,33.215
02/02/2026,33.49,"3,622,085",33.5,33.99,33.25
01/30/2026,33.54,"4,755,678",33.23,33.55,32.53
01/29/2026,33.34,"4,152,774",32.84,33.415,32.14
01/28/2026,32.75,"4,424,582",33.59,33.88,32.72
01/27/2026,33.48,"2,571,963",33.84,33.925,33.41
01/26/2026,34.1,"3,085,554",33.97,34.33,33.87
01/23/2026,34.03,"2,696,763",34.54,34.545,33.865
01/22/2026,34.42,"3,244,096",34.24,34.84,34.01
01/21/2026,33.9,"4,012,168",33.86,34.3699,33.555
01/20/2026,33.6,"4,729,191",34.54,34.54,33.205
01/16/2026,34.98,"5,314,559",34.82,35.2331,34.34
01/15/2026,35.41,"4,360,258",34.47,35.465,34.14
01/14/2026,34.41,"4,283,031",34.46,34.76,34.075
01/13/2026,34.65,"4,203,849",34.67,35.06,33.895
01/12/2026,34.82,"4,557,356",34.05,34.85,33.9
