date,close,volume,open,high,low
05/15/2026,46.35,"3,338,142",46.955,47.09,45.75
05/14/2026,46.51,"3,597,587",45.96,47.16,45.88
05/13/2026,45.6,"4,104,746",46.52,46.52,44.82
05/12/2026,46.83,"3,769,661",47.3,47.7,46.8
05/11/2026,47.07,"4,415,393",48.49,48.93,46.82
05/08/2026,48.32,"3,860,523",48.12,49.08,48.07
05/07/2026,47.9,"4,843,560",48.08,48.6,47.7
05/06/2026,48.49,"3,955,728",49.14,49.45,48.41
05/05/2026,48.49,"2,897,891",47.88,49.15,47.3
05/04/2026,48.02,"3,853,256",50.03,50.07,48.0
05/01/2026,50.24,"2,913,054",51.0,51.3,49.98
04/30/2026,50.84,"4,591,098",50.72,51.1499,50.03
04/29/2026,50.54,"2,746,504",51.22,51.39,49.975
04/28/2026,51.14,"3,044,882",51.22,51.81,50.63
04/27/2026,50.4,"3,795,606",51.28,51.85,50.2078
04/24/2026,51.53,"2,024,531",51.89,52.53,51.3
04/23/2026,51.89,"2,714,226",51.72,52.35,51.4
04/22/2026,51.47,"3,358,595",52.04,52.59,51.225
04/21/2026,51.98,"3,238,009",52.84,53.05,51.67
04/20/2026,52.85,"4,950,980",53.68,53.695,52.28
04/17/2026,54.33,"3,702,377",53.04,54.5,53.01
04/16/2026,53.27,"3,971,778",53.46,53.99,52.635
04/15/2026,53.34,"3,514,758",53.69,53.85,52.8817
04/14/2026,53.84,"4,575,600",53.57,54.7,53.18
04/13/2026,54.11,"5,914,851",53.71,54.71,52.84
04/10/2026,53.71,"7,438,394",51.69,53.91,51.5675
04/09/2026,51.44,"5,977,344",50.3,51.619,49.65
04/08/2026,50.51,"6,071,601",51.68,51.9778,50.39
04/07/2026,51.02,"4,215,137",50.83,51.5,50.5
04/06/2026,50.8,"5,923,645",48.79,51.09,48.58
04/02/2026,48.85,"6,332,062",48.0,48.85,47.52
04/01/2026,48.38,"11,369,400",50.25,50.9775,48.0525
03/31/2026,50.44,"12,085,810",50.27,52.27,48.31
03/30/2026,53.72,"5,561,080",53.08,54.01,52.5001
03/27/2026,53.07,"4,856,096",51.64,54.03,51.5
03/26/2026,51.58,"4,038,171",52.4,53.26,51.495
03/25/2026,52.78,"4,175,328",52.46,52.79,51.29
03/24/2026,52.11,"3,686,098",53.02,53.74,51.8
03/23/2026,53.25,"4,407,058",54.0,54.35,53.0
03/20/2026,53.23,"10,768,010",54.1,54.3,52.63
03/19/2026,54.05,"4,250,084",55.0,55.33,53.59
03/18/2026,55.06,"2,759,519",56.82,56.88,55.04
03/17/2026,57.08,"2,442,341",57.94,58.0,56.99
03/16/2026,57.69,"3,642,728",58.5,58.7,56.68
03/13/2026,58.29,"2,998,973",58.08,59.04,57.915
03/12/2026,57.32,"5,445,832",59.44,59.945,57.29
03/11/2026,59.93,"3,743,139",62.77,63.025,59.82
03/10/2026,63.39,"2,056,485",63.86,64.44,62.88
03/09/2026,64.18,"2,060,009",64.08,64.81,63.5
03/06/2026,64.85,"2,060,973",65.11,65.54,63.71
03/05/2026,65.27,"2,122,065",65.0,65.83,64.64
03/04/2026,65.7,"3,070,560",67.62,67.89,65.33
03/03/2026,67.67,"2,992,053",69.9,69.9,67.47
03/02/2026,69.9,"1,991,437",70.67,70.75,68.84
02/27/2026,71.04,"3,762,096",69.31,71.325,69.2201
02/26/2026,69.26,"1,947,858",69.46,70.13,68.575
02/25/2026,69.03,"2,337,999",69.68,69.9951,68.26
02/24/2026,70.0,"1,506,638",69.61,70.48,69.37
02/23/2026,69.53,"2,966,409",67.91,69.91,67.53
02/20/2026,68.5,"3,804,740",68.96,69.4,68.19
02/19/2026,68.49,"3,196,430",70.13,70.68,68.41
02/18/2026,70.02,"2,941,101",69.69,70.26,69.355
02/17/2026,69.19,"4,156,282",71.51,71.825,67.77
02/13/2026,71.49,"4,075,317",71.63,72.41,70.81
02/12/2026,71.65,"3,870,197",70.53,72.15,70.16
02/11/2026,70.53,"3,097,709",68.76,70.59,68.31
02/10/2026,68.96,"4,762,293",67.92,69.06,67.55
02/09/2026,67.83,"2,420,271",67.49,68.24,66.66
02/06/2026,67.42,"3,564,692",66.77,68.36,66.6
02/05/2026,66.98,"4,390,275",67.0,67.34,65.78
02/04/2026,66.58,"5,347,458",63.74,66.6,63.74
02/03/2026,63.29,"4,671,017",60.26,63.345,60.15
02/02/2026,61.1,"4,063,819",61.82,62.02,60.735
01/30/2026,61.83,"4,938,088",61.17,61.93,60.8
01/29/2026,61.32,"2,741,562",61.86,62.312,61.15
01/28/2026,61.86,"4,101,028",63.3,63.62,61.45
01/27/2026,63.41,"6,231,930",60.82,63.43,60.5295
01/26/2026,60.97,"4,265,501",61.25,61.8,60.785
01/23/2026,60.79,"6,500,223",61.02,61.68,59.62
01/22/2026,61.2,"17,060,970",63.29,65.72,60.59
01/21/2026,66.56,"6,748,839",67.58,67.645,65.725
01/20/2026,67.83,"5,546,638",67.04,67.97,66.545
01/16/2026,67.04,"4,078,264",68.21,68.35,66.92
01/15/2026,68.7,"2,767,949",68.72,68.775,67.78
01/14/2026,68.57,"4,348,860",67.43,68.62,67.3
01/13/2026,67.42,"4,276,568",66.8,67.64,66.4
01/12/2026,66.84,"3,136,858",67.56,67.6427,66.3
01/09/2026,67.72,"2,735,489",67.28,68.31,66.74
01/08/2026,67.13,"2,037,143",65.1,67.52,65.1
01/07/2026,65.37,"3,495,368",66.38,66.835,64.915
01/06/2026,66.35,"2,925,860",65.36,66.56,65.0
01/05/2026,65.68,"3,771,883",66.76,67.1,65.35
01/02/2026,67.28,"2,445,601",68.24,68.3799,67.12
12/31/2025,68.11,"1,684,900",68.35,68.77,68.085
12/30/2025,68.48,"2,165,223",69.08,69.75,68.4
12/29/2025,69.14,"2,538,922",68.49,69.26,68.39
12/26/2025,68.93,"1,538,198",68.97,69.19,68.51
12/24/2025,68.88,"921,077",68.91,69.075,68.14
12/23/2025,68.9,"2,619,960",68.92,69.17,68.21
12/22/2025,68.92,"2,646,049",68.0,68.95,67.815
12/19/2025,68.58,"4,362,305",68.2,69.14,67.99
12/18/2025,68.46,"4,472,904",68.62,69.16,68.34
12/17/2025,68.65,"4,596,686",68.33,69.46,68.33
12/16/2025,68.27,"3,460,216",68.57,68.975,67.67
12/15/2025,68.45,"2,818,190",67.73,68.669,67.565
12/12/2025,66.8,"2,956,804",66.25,67.1,66.1
12/11/2025,65.94,"3,126,526",64.4,66.5,64.36
12/10/2025,64.31,"1,880,295",63.53,64.35,63.31
12/09/2025,63.48,"2,101,446",63.78,64.2524,62.8975
12/08/2025,63.6,"1,910,519",63.2,63.74,62.64
12/05/2025,63.3,"2,392,206",63.44,63.87,63.11
12/04/2025,63.44,"2,222,411",64.55,64.65,63.14
12/03/2025,64.12,"2,316,818",65.83,66.06,64.04
12/02/2025,65.44,"2,298,029",66.11,66.255,65.065
12/01/2025,66.4,"2,593,396",67.11,67.4,66.16
11/28/2025,67.48,"800,396",67.12,67.7099,66.901
11/26/2025,67.3,"1,605,906",66.93,67.6124,66.8
11/25/2025,67.15,"1,989,723",66.99,68.16,66.64
11/24/2025,66.92,"3,936,324",67.76,67.98,66.91
11/21/2025,68.16,"2,937,086",67.72,68.88,67.645
11/20/2025,67.48,"2,287,063",66.89,67.67,66.5
11/19/2025,66.74,"3,257,272",65.7,67.125,65.36
