date,close,volume,open,high,low
05/15/2026,558.66,"554,364",568.54,570.715,556.56
05/14/2026,575.23,"353,898",579.59,584.68,575.04
05/13/2026,576.79,"521,514",586.24,586.24,572.37
05/12/2026,581.14,"481,589",585.83,586.9632,577.68
05/11/2026,585.98,"466,343",589.81,592.84,583.63
05/08/2026,590.38,"337,047",602.87,602.87,589.45
05/07/2026,600.49,"508,572",620.4,624.2239,596.42
05/06/2026,615.48,"410,807",616.19,622.12,610.77
05/05/2026,606.1,"498,566",605.38,612.96,600.0
05/04/2026,603.29,"679,243",605.45,611.89,599.5
05/01/2026,614.49,"457,930",621.25,621.25,605.935
04/30/2026,619.07,"901,736",608.49,624.23,594.85
04/29/2026,612.85,"552,353",622.2,628.57,612.33
04/28/2026,614.04,"607,448",609.53,616.63,600.02
04/27/2026,609.75,"516,182",607.69,617.69,607.69
04/24/2026,615.3,"235,451",613.28,621.71,609.69
04/23/2026,618.89,"349,091",615.57,619.195,608.11
04/22/2026,610.64,"477,342",622.8,626.47,609.49
04/21/2026,614.49,"504,719",629.01,632.79,613.34
04/20/2026,627.35,"311,500",619.02,629.47,617.95
04/17/2026,622.02,"581,236",617.81,634.975,614.01
04/16/2026,607.98,"689,952",618.06,620.98,606.225
04/15/2026,616.94,"422,426",628.23,630.155,615.0
04/14/2026,630.8,"276,175",636.37,638.25,630.61
04/13/2026,635.29,"345,963",627.08,635.59,614.43
04/10/2026,631.53,"304,260",625.5,632.42,624.16
04/09/2026,625.5,"310,242",620.36,630.7,618.44
04/08/2026,624.36,"433,748",618.36,626.74,618.36
04/07/2026,594.43,"372,601",593.99,600.228,586.23
04/06/2026,598.48,"278,350",594.93,599.395,588.87
04/02/2026,597.18,"251,789",589.29,609.48,587.21
04/01/2026,598.92,"383,701",593.57,606.53,592.28
03/31/2026,588.68,"449,498",581.6,595.555,572.79
03/30/2026,573.57,"388,058",581.38,582.83,571.69
03/27/2026,570.94,"448,618",580.36,581.3425,569.8
03/26/2026,580.11,"426,420",583.47,592.4766,579.77
03/25/2026,589.42,"489,951",585.36,590.07,571.35
03/24/2026,576.18,"478,299",570.25,587.8899,570.25
03/23/2026,577.59,"651,087",570.65,587.914,568.51
03/20/2026,560.69,"987,787",569.05,569.87,559.79
03/19/2026,567.47,"736,090",559.16,568.5,554.72
03/18/2026,567.92,"682,733",577.62,581.87,566.71
03/17/2026,582.5,"497,477",590.07,597.06,580.73
03/16/2026,585.31,"504,322",592.22,596.14,581.75
03/13/2026,583.75,"638,449",591.19,595.0,580.51
03/12/2026,587.37,"984,987",588.97,601.57,578.34
03/11/2026,597.59,"612,904",604.53,607.4,593.78
03/10/2026,607.54,"514,535",611.82,616.05,604.6001
03/09/2026,612.52,"667,933",604.07,613.23,589.64
03/06/2026,609.99,"650,401",621.22,621.73,600.08
03/05/2026,632.93,"796,186",650.35,659.14,621.42
03/04/2026,660.6,"594,880",656.88,664.225,650.7301
03/03/2026,656.78,"533,431",653.97,660.455,641.95
03/02/2026,665.35,"556,308",666.25,672.71,657.355
02/27/2026,676.57,"521,140",672.52,680.26,667.195
02/26/2026,678.46,"444,625",674.51,683.81,671.22
02/25/2026,673.29,"754,777",700.0,702.38,670.32
02/24/2026,696.85,"649,070",687.5,697.87,683.78
02/23/2026,683.6,"473,522",682.51,688.96,677.7
02/20/2026,685.94,"815,504",673.82,688.81,671.05
02/19/2026,675.4,"612,301",655.02,676.11,655.02
02/18/2026,661.73,"491,151",668.5,672.6,659.01
02/17/2026,666.53,"618,978",667.46,674.74,651.04
02/13/2026,678.86,"575,699",660.45,685.1459,659.095
02/12/2026,660.07,"829,939",661.52,673.83,647.4
02/11/2026,661.65,"1,299,607",679.8,691.34,657.28
02/10/2026,708.11,"642,145",699.95,710.97,697.715
02/09/2026,695.73,"445,359",688.85,703.4399,688.44
02/06/2026,690.0,"481,055",677.16,693.54,675.475
02/05/2026,670.95,"408,536",673.49,679.56,662.2301
02/04/2026,671.17,"511,937",667.07,678.98,658.325
02/03/2026,663.02,"436,374",659.2,676.735,657.57
02/02/2026,654.33,"322,178",647.08,659.0,647.08
01/30/2026,651.95,"429,893",645.91,654.08,645.76
01/29/2026,653.33,"323,956",657.45,659.535,645.015
01/28/2026,650.23,"338,817",643.19,651.61,639.1601
01/27/2026,649.25,"213,745",650.33,653.84,645.15
01/26/2026,651.8,"285,263",650.65,655.4399,647.56
01/23/2026,649.48,"330,119",647.16,656.38,644.92
01/22/2026,652.07,"357,521",646.69,657.23,639.29
01/21/2026,641.14,"438,456",636.89,646.29,629.24
01/20/2026,630.9,"446,275",648.55,650.74,627.464
01/16/2026,651.66,"433,661",637.52,654.93,637.52
01/15/2026,640.94,"410,986",643.07,648.78,637.92
01/14/2026,636.71,"724,797",656.0,662.83,635.3
01/13/2026,665.71,"536,827",661.35,667.38,648.35
01/12/2026,663.71,"374,543",665.28,668.8261,657.925
01/09/2026,666.67,"396,778",643.12,667.66,642.41
01/08/2026,638.11,"308,214",622.44,638.39,618.86
01/07/2026,625.04,"539,290",649.28,650.0,621.44
01/06/2026,646.24,"440,904",639.72,649.24,636.81
01/05/2026,642.0,"458,798",628.7,642.63,628.7
01/02/2026,634.44,"480,211",619.25,635.2,617.08
12/31/2025,622.66,"273,915",631.09,631.25,622.54
12/30/2025,631.42,"247,891",635.06,638.8299,631.03
12/29/2025,637.27,"286,485",645.13,646.49,632.305
12/26/2025,645.01,"244,340",642.43,646.02,640.53
12/24/2025,643.14,"134,561",640.05,643.3299,638.01
12/23/2025,638.78,"261,503",634.34,639.22,632.22
12/22/2025,632.51,"457,218",639.49,639.49,629.66
12/19/2025,633.94,"890,593",628.09,637.56,626.02
12/18/2025,627.38,"536,593",626.45,634.22,623.015
