date,close,volume,open,high,low
05/15/2026,87.09,"6,149,027",86.0,87.905,85.88
05/14/2026,85.82,"4,129,476",85.75,86.04,85.2001
05/13/2026,85.93,"6,515,346",86.0,86.79,85.28
05/12/2026,85.87,"6,027,228",86.0,86.33,84.81
05/11/2026,86.41,"7,794,316",85.01,86.45,83.26
05/08/2026,86.29,"15,284,850",84.495,88.77,83.13
05/07/2026,75.97,"6,626,134",76.71,76.96,75.375
05/06/2026,77.2,"4,295,225",76.83,77.955,76.3
05/05/2026,75.8,"3,820,757",75.0,76.61,74.845
05/04/2026,75.2,"6,493,058",76.14,76.55,74.6
05/01/2026,77.12,"3,270,567",77.32,78.34,76.76
04/30/2026,77.07,"4,559,410",77.19,77.925,76.7
04/29/2026,76.89,"3,046,054",76.89,77.07,76.13
04/28/2026,77.19,"4,010,360",77.86,78.37,77.06
04/27/2026,76.86,"3,398,045",78.02,78.31,76.81
04/24/2026,78.23,"4,201,030",77.55,78.25,77.23
04/23/2026,77.56,"3,855,532",76.57,78.0,76.315
04/22/2026,75.95,"4,062,931",75.78,76.675,75.54
04/21/2026,75.27,"5,482,757",76.88,77.23,75.1
04/20/2026,77.23,"5,148,163",76.5,77.44,76.2
04/17/2026,76.72,"4,791,485",75.72,76.84,75.36
04/16/2026,75.36,"5,036,884",74.55,76.31,74.55
04/15/2026,74.93,"4,928,697",75.0,75.07,73.86
04/14/2026,75.07,"5,681,836",74.77,76.42,74.555
04/13/2026,75.17,"3,513,719",75.35,75.53,74.585
04/10/2026,75.72,"3,826,860",76.17,76.665,75.4
04/09/2026,76.19,"3,803,705",74.61,76.93,74.49
04/08/2026,75.14,"5,480,886",74.508,75.64,74.065
04/07/2026,72.44,"5,614,618",73.94,74.1599,72.08
04/06/2026,74.16,"4,064,263",72.13,74.23,71.82
04/02/2026,72.37,"3,163,333",72.16,72.7,71.74
04/01/2026,72.77,"4,253,320",72.42,73.2,71.865
03/31/2026,72.46,"8,043,591",71.605,72.61,70.86
03/30/2026,71.32,"5,234,545",72.05,72.165,70.975
03/27/2026,71.83,"4,020,544",72.1,72.825,71.62
03/26/2026,71.98,"4,589,765",73.21,73.335,71.82
03/25/2026,73.21,"3,884,241",73.18,73.99,72.22
03/24/2026,73.0,"4,302,669",73.78,74.55,72.88
03/23/2026,73.96,"4,908,657",75.595,75.595,73.75
03/20/2026,73.69,"10,528,770",73.47,74.49,73.25
03/19/2026,73.74,"4,531,863",74.23,74.91,73.605
03/18/2026,74.09,"6,848,326",77.365,77.435,73.775
03/17/2026,77.59,"3,837,331",78.137,78.137,76.87
03/16/2026,77.05,"4,291,066",77.93,78.58,76.9116
03/13/2026,77.11,"4,004,509",77.29,77.93,76.62
