date,close,volume,open,high,low
05/15/2026,21.76,"8,650,029",22.26,22.445,21.72
05/14/2026,22.68,"7,647,835",22.78,22.8678,22.19
05/13/2026,22.78,"12,140,460",22.67,23.585,22.5
05/12/2026,22.39,"11,121,360",21.85,22.55,21.31
05/11/2026,21.79,"17,351,440",21.89,22.42,21.1701
05/08/2026,22.19,"9,629,272",22.97,23.27,22.17
05/07/2026,22.91,"6,838,448",23.55,23.5954,22.88
05/06/2026,23.56,"7,914,744",23.25,23.87,22.98
05/05/2026,23.26,"6,779,738",22.89,23.3199,22.74
05/04/2026,22.97,"6,329,841",23.11,23.335,22.89
05/01/2026,23.15,"5,394,807",23.37,23.51,22.922
04/30/2026,23.27,"7,750,312",22.95,23.59,22.9
04/29/2026,23.03,"6,486,894",23.24,23.27,22.745
04/28/2026,23.19,"9,589,471",23.49,23.6,22.74
04/27/2026,23.22,"12,511,180",24.2,24.5,22.94
04/24/2026,24.0,"8,078,496",24.2,24.2799,23.49
04/23/2026,24.28,"6,356,809",24.44,24.67,24.035
04/22/2026,24.52,"6,504,070",24.44,24.945,24.22
04/21/2026,24.2,"5,423,173",24.17,24.6,24.04
04/20/2026,24.11,"9,927,643",24.26,24.3499,23.91
04/17/2026,24.57,"11,529,860",24.23,24.66,24.07
04/16/2026,24.73,"10,021,650",24.11,24.84,23.77
04/15/2026,23.73,"10,006,480",23.86,24.31,23.545
04/14/2026,23.94,"10,716,480",24.51,24.5922,23.91
04/13/2026,24.54,"10,224,430",25.13,25.5399,24.48
04/10/2026,24.76,"6,863,095",25.38,25.62,24.49
04/09/2026,25.27,"7,483,240",26.61,27.15,25.195
04/08/2026,26.62,"9,285,874",25.65,26.68,25.175
04/07/2026,26.37,"6,016,047",26.62,27.13,26.21
04/06/2026,26.51,"4,213,127",26.37,26.77,26.15
04/02/2026,26.17,"7,987,669",26.95,26.95,25.885
04/01/2026,26.54,"11,277,240",25.5,26.58,25.12
03/31/2026,25.5,"10,775,030",24.96,25.68,24.75
03/30/2026,25.0,"9,735,365",25.275,25.73,24.755
03/27/2026,25.0,"9,436,820",25.0,25.45,24.76
03/26/2026,25.0,"11,879,840",25.4,26.19,24.42
03/25/2026,26.19,"12,333,770",25.14,26.22,24.78
03/24/2026,25.2,"12,814,680",24.33,25.48,24.18
03/23/2026,24.08,"13,761,340",23.43,24.29,23.06
03/20/2026,23.59,"21,772,080",25.83,26.03,23.59
03/19/2026,26.2,"14,169,620",27.79,28.243,26.13
03/18/2026,27.78,"9,419,202",29.31,29.39,27.75
03/17/2026,28.83,"12,108,710",27.73,29.325,27.52
03/16/2026,27.67,"15,738,860",28.62,28.7194,27.66
03/13/2026,29.31,"18,706,900",31.25,31.3425,29.11
03/12/2026,31.36,"28,170,220",31.05,32.25,30.28
03/11/2026,29.15,"14,473,200",27.26,29.23,27.22
03/10/2026,26.48,"8,100,155",26.73,26.92,26.05
03/09/2026,26.92,"11,434,780",26.25,27.26,25.38
03/06/2026,26.31,"9,676,657",26.62,27.1399,26.005
03/05/2026,26.28,"10,690,190",26.0,27.41,25.7801
03/04/2026,26.01,"10,268,500",26.7,26.9083,25.621
03/03/2026,26.78,"7,900,753",26.75,27.32,25.99
03/02/2026,27.51,"8,420,877",29.0,29.02,27.17
02/27/2026,27.84,"6,439,802",27.36,27.91,26.85
02/26/2026,27.16,"8,802,355",26.34,27.54,26.31
02/25/2026,26.98,"13,636,000",27.56,27.94,26.52
02/24/2026,28.49,"6,727,416",28.98,29.185,28.3
02/23/2026,28.73,"6,846,994",29.06,29.24,28.09
02/20/2026,29.43,"5,194,058",30.15,30.565,29.34
02/19/2026,30.16,"5,271,103",29.665,30.41,29.51
02/18/2026,29.44,"4,375,524",29.08,29.61,28.84
02/17/2026,29.08,"4,438,077",29.58,29.83,28.755
02/13/2026,29.65,"4,223,971",29.37,29.91,29.12
02/12/2026,29.77,"6,101,727",31.0,31.1,29.63
02/11/2026,31.14,"6,303,120",30.51,31.28,30.415
02/10/2026,30.12,"5,484,752",29.74,30.205,29.59
02/09/2026,29.56,"5,069,353",28.58,29.7,28.5314
02/06/2026,28.6,"4,542,036",28.0,28.7,27.9
02/05/2026,27.76,"6,604,025",28.55,28.88,27.35
02/04/2026,28.82,"7,078,344",28.3,28.9578,28.21
02/03/2026,28.31,"6,098,265",27.3,28.37,27.3
02/02/2026,27.27,"8,003,173",27.39,27.68,26.67
01/30/2026,27.5,"8,286,016",27.5,28.08,27.16
01/29/2026,28.04,"4,743,393",28.55,29.04,27.75
01/28/2026,28.14,"5,322,825",28.77,29.07,27.78
