date,close,volume,open,high,low
05/15/2026,1550.02,"685,355",1562.55,1587.74,1548.61
05/14/2026,1613.97,"373,762",1639.85,1644.9,1601.0
05/13/2026,1650.35,"626,885",1631.2,1675.42,1614.0
05/12/2026,1599.52,"732,170",1619.54,1622.0099,1538.249
05/11/2026,1661.1,"526,695",1594.49,1663.9899,1585.0
05/08/2026,1600.84,"686,738",1608.64,1617.05,1581.94
05/07/2026,1575.96,"600,299",1636.325,1636.33,1559.0
05/06/2026,1652.35,"854,484",1581.0,1662.0,1556.31
05/05/2026,1588.12,"682,235",1588.935,1607.865,1557.05
05/04/2026,1573.3,"515,490",1590.465,1603.7,1552.84
05/01/2026,1583.48,"898,818",1564.56,1589.71,1521.0
04/30/2026,1614.41,"1,077,634",1550.0,1621.91,1541.6137
04/29/2026,1526.84,"690,195",1550.96,1554.41,1507.34
04/28/2026,1504.08,"637,836",1527.315,1537.74,1488.03
04/27/2026,1587.57,"608,468",1610.43,1621.03,1550.92
04/24/2026,1632.06,"692,518",1626.33,1661.79,1595.9
04/23/2026,1592.17,"638,737",1550.4,1597.7616,1533.0
04/22/2026,1522.04,"538,899",1545.06,1560.0883,1519.21
04/21/2026,1527.95,"552,259",1502.26,1548.17,1499.6
04/20/2026,1490.86,"384,575",1471.45,1492.75,1453.67
04/17/2026,1468.35,"635,695",1437.62,1479.23,1420.34
04/16/2026,1402.81,"467,940",1365.62,1405.14,1353.55
04/15/2026,1353.0,"466,188",1345.72,1362.25,1329.455
04/14/2026,1363.42,"557,493",1372.49,1378.55,1349.01
04/13/2026,1372.23,"393,861",1336.41,1377.25,1332.04
04/10/2026,1353.85,"522,418",1339.01,1370.0,1339.01
04/09/2026,1334.21,"554,838",1312.94,1340.11,1303.94
04/08/2026,1312.94,"1,013,216",1255.26,1322.62,1251.98
04/07/2026,1191.22,"438,885",1179.21,1194.73,1153.17
04/06/2026,1180.03,"499,587",1128.35,1182.57,1128.03
04/02/2026,1118.49,"344,146",1071.89,1125.725,1071.89
04/01/2026,1119.51,"668,363",1100.75,1138.42,1095.01
03/31/2026,1093.35,"815,456",1008.38,1096.16,1008.38
03/30/2026,1002.34,"590,194",1057.91,1057.91,996.01
03/27/2026,1053.01,"537,311",1049.26,1073.36,1039.04
03/26/2026,1058.28,"547,114",1101.48,1112.4385,1057.02
03/25/2026,1118.66,"308,821",1116.315,1127.74,1101.86
03/24/2026,1101.59,"429,547",1068.75,1109.99,1060.0
03/23/2026,1076.35,"472,924",1100.0,1108.88,1074.85
03/20/2026,1068.85,"1,035,261",1094.44,1103.27,1050.9
03/19/2026,1092.69,"364,888",1041.46,1104.0956,1033.94
03/18/2026,1075.29,"581,762",1080.58,1094.5,1070.61
03/17/2026,1066.66,"336,412",1069.845,1085.0,1060.01
03/16/2026,1077.4,"484,329",1078.84,1097.07,1073.77
03/13/2026,1052.59,"406,195",1054.17,1083.93,1042.85
03/12/2026,1033.88,"485,876",1045.94,1049.43,1021.78
03/11/2026,1071.09,"332,445",1059.06,1078.29,1053.82
03/10/2026,1055.82,"448,366",1051.78,1091.38,1040.0
03/09/2026,1062.0,"913,493",1013.05,1066.02,988.0
03/06/2026,1023.16,"756,955",1039.37,1062.405,1012.46
03/05/2026,1078.44,"588,295",1071.49,1093.0607,1051.79
03/04/2026,1099.02,"433,829",1082.64,1102.2,1080.0
03/03/2026,1074.37,"820,600",1108.33,1130.1841,1068.81
