date,close,volume,open,high,low
05/15/2026,111.38,"10,028,860",113.9,113.93,110.94
05/14/2026,113.41,"5,284,176",113.63,113.9,112.565
05/13/2026,113.45,"8,110,464",112.25,114.065,112.04
05/12/2026,112.37,"9,117,391",111.5,113.69,111.39
05/11/2026,111.28,"7,750,595",112.153,113.68,111.01
05/08/2026,111.38,"5,725,143",112.38,113.01,111.18
05/07/2026,112.3,"7,329,028",113.51,113.75,111.1001
05/06/2026,113.56,"7,256,078",113.15,114.485,112.74
05/05/2026,113.15,"7,910,399",113.67,114.07,112.83
05/04/2026,113.11,"7,659,082",111.41,114.62,110.75
05/01/2026,112.16,"11,953,720",112.33,114.54,111.88
04/30/2026,109.18,"17,131,230",109.34,112.24,108.63
04/29/2026,110.95,"9,769,879",108.55,111.225,107.9
04/28/2026,110.03,"7,157,568",111.52,111.905,109.705
04/27/2026,110.23,"9,133,637",111.22,112.7487,110.14
04/24/2026,111.9,"7,060,014",113.74,114.03,111.5
04/23/2026,114.62,"6,826,250",113.365,115.0199,113.1001
04/22/2026,112.89,"8,037,515",112.605,113.51,111.54
04/21/2026,112.56,"12,769,520",116.49,116.525,111.91
04/20/2026,117.1,"7,392,032",119.15,119.36,116.75
04/17/2026,119.07,"16,194,900",115.56,119.2,115.56
04/16/2026,115.46,"11,399,890",117.13,117.85,114.71
04/15/2026,117.9,"7,689,371",119.795,120.25,116.635
04/14/2026,119.96,"12,449,440",119.03,120.36,118.15
04/13/2026,120.15,"6,357,339",121.03,121.3,119.055
04/10/2026,121.42,"9,706,972",122.96,123.01,120.95
04/09/2026,122.68,"8,666,348",122.9,124.0,121.35
04/08/2026,123.18,"9,256,857",119.6,123.63,117.94
04/07/2026,119.28,"11,376,370",119.56,119.56,116.5
04/06/2026,120.85,"4,890,475",120.41,121.48,120.04
04/02/2026,120.87,"6,387,888",120.37,121.65,119.22
04/01/2026,120.84,"6,351,678",120.88,122.19,120.27
03/31/2026,120.29,"10,713,330",119.03,121.27,118.77
03/30/2026,118.1,"11,083,960",120.565,121.64,117.22
03/27/2026,119.63,"8,345,762",119.285,121.07,118.6
03/26/2026,118.93,"6,497,238",118.955,120.06,118.65
03/25/2026,119.37,"10,220,310",117.3,120.12,116.7952
03/24/2026,116.37,"7,411,878",114.7,116.54,114.02
03/23/2026,115.68,"9,096,367",116.17,116.47,114.77
03/20/2026,114.18,"36,355,420",114.245,115.18,112.72
03/19/2026,114.2,"8,383,761",114.66,115.76,113.75
03/18/2026,114.5,"6,736,269",115.06,115.56,113.345
03/17/2026,115.87,"7,952,157",115.78,116.8,114.38
03/16/2026,115.43,"8,785,305",115.34,116.06,114.22
03/13/2026,115.61,"7,111,035",116.92,117.8947,115.53
03/12/2026,115.91,"8,349,180",115.465,116.6,114.3
03/11/2026,116.21,"6,769,631",116.76,116.95,115.285
03/10/2026,117.09,"9,739,257",117.24,119.0,116.67
03/09/2026,117.11,"8,321,571",114.98,117.26,114.11
03/06/2026,115.79,"12,809,310",115.155,116.36,113.82
03/05/2026,116.07,"14,524,750",119.11,119.525,114.45
03/04/2026,120.28,"6,700,910",119.43,120.87,117.86
03/03/2026,119.83,"9,334,139",119.67,120.97,118.61
03/02/2026,121.41,"11,564,490",123.51,123.7,121.04
02/27/2026,123.82,"17,636,440",119.68,124.0,119.68
02/26/2026,119.3,"10,327,290",122.4,122.5,119.0
02/25/2026,122.46,"11,082,460",124.01,125.14,122.2601
02/24/2026,123.93,"8,460,699",123.41,124.84,122.6301
02/23/2026,123.82,"9,661,094",122.31,124.19,121.503
02/20/2026,122.26,"9,442,855",122.64,122.695,120.6
02/19/2026,121.86,"8,933,309",121.4,122.6,120.5
02/18/2026,121.66,"7,803,418",121.25,121.81,120.39
02/17/2026,121.57,"9,899,761",122.355,123.08,120.795
02/13/2026,121.41,"10,102,320",121.5,123.33,121.03
02/12/2026,119.24,"13,453,270",119.01,121.61,118.1248
02/11/2026,119.31,"10,885,290",117.04,119.36,116.31
02/10/2026,117.15,"11,849,550",117.69,118.18,116.1
02/09/2026,117.65,"16,158,730",121.41,121.88,116.98
02/06/2026,121.93,"13,083,320",120.76,122.66,120.44
02/05/2026,119.75,"24,010,550",118.305,122.43,118.305
02/04/2026,118.33,"21,954,560",116.9,120.39,116.5
