date,close,volume,open,high,low
05/14/2026,182.58,"32,661,060",180.875,192.15,177.33
05/13/2026,177.95,"31,862,550",169.09,182.31,168.91
05/12/2026,164.5,"21,367,850",165.455,168.73,157.9604
05/11/2026,170.84,"22,947,640",163.665,174.1589,162.4894
05/08/2026,170.13,"20,588,960",164.685,170.5899,162.9
05/07/2026,160.01,"23,683,550",171.2,171.5193,158.55
05/06/2026,172.15,"23,205,330",172.6,175.8,165.0
05/05/2026,168.75,"22,284,440",168.275,172.981,164.58
05/04/2026,163.66,"14,546,950",165.48,166.82,162.26
05/01/2026,164.95,"13,071,670",162.35,166.39,159.26
04/30/2026,165.15,"20,327,050",160.34,165.61,156.36
04/29/2026,156.57,"20,649,050",153.765,157.21,151.3
04/28/2026,153.23,"27,128,720",147.91,156.0,146.85
04/27/2026,158.21,"30,281,830",162.13,163.45,151.09
04/24/2026,164.31,"37,599,070",169.865,170.84,158.51
04/23/2026,165.56,"36,938,710",157.935,167.86,157.77
04/22/2026,157.32,"30,765,820",153.66,158.69,151.09
04/21/2026,151.31,"31,901,130",148.7,154.95,147.85
04/20/2026,147.84,"39,548,520",147.51,149.58,143.93
04/17/2026,139.69,"26,341,330",134.875,139.91,133.16
04/16/2026,133.37,"20,830,200",132.26,134.69,128.42
04/15/2026,134.6,"23,450,120",132.39,138.19,131.88
04/14/2026,133.83,"33,600,660",136.11,136.9,130.835
04/13/2026,131.3,"31,264,670",129.97,133.2,128.97
04/10/2026,128.49,"41,187,040",123.66,129.84,123.6
04/09/2026,119.93,"32,718,480",118.955,121.97,117.83
04/08/2026,114.45,"29,455,910",114.0,115.66,110.45
04/07/2026,109.38,"18,965,190",108.38,110.115,106.02
04/06/2026,109.51,"22,700,500",109.45,111.8883,106.0
04/02/2026,107.11,"23,667,070",102.3,107.26,101.13
04/01/2026,106.71,"44,072,470",100.82,107.84,100.49
03/31/2026,99.05,"51,286,110",96.4,99.56,93.05
03/30/2026,87.81,"21,463,240",95.12,96.5,86.61
03/27/2026,94.88,"16,507,110",98.78,99.63,93.4
03/26/2026,97.68,"26,078,520",97.96,100.6525,97.2239
03/25/2026,98.45,"22,562,390",94.075,98.82,94.0
03/24/2026,92.36,"13,731,250",88.835,93.16,88.8
03/23/2026,90.16,"14,126,670",89.45,91.58,88.735
03/20/2026,87.91,"25,570,430",88.9,90.48,86.66
03/19/2026,89.53,"13,388,780",86.27,89.74,85.13
03/18/2026,87.62,"16,096,680",90.8,92.02,87.17
03/17/2026,90.79,"11,622,640",92.3,93.44,90.35
03/16/2026,91.58,"15,875,480",89.145,92.52,89.115
03/13/2026,87.86,"14,108,100",87.76,90.5,86.8214
03/12/2026,87.67,"16,854,390",89.85,90.025,87.37
03/11/2026,90.44,"18,446,160",93.6,95.01,90.18
03/10/2026,93.3,"26,499,500",92.57,95.05,91.62
03/09/2026,92.65,"38,873,540",87.925,92.925,84.2
03/06/2026,89.57,"90,071,100",84.715,93.4,83.4
03/05/2026,75.68,"42,620,180",78.9,80.26,75.24
03/04/2026,78.09,"14,677,550",78.7,79.5,77.26
03/03/2026,77.51,"15,826,410",77.845,79.08,76.65
03/02/2026,80.86,"15,228,520",79.63,82.82,79.4
02/27/2026,81.69,"20,253,820",80.03,82.29,78.66
02/26/2026,79.29,"12,326,480",81.11,81.63,77.15
02/25/2026,80.92,"10,524,690",79.01,81.188,78.97
02/24/2026,78.39,"8,396,221",78.0,79.7,77.175
02/23/2026,77.79,"11,622,600",78.385,79.105,76.07
02/20/2026,79.48,"8,795,346",78.24,80.3448,77.6001
02/19/2026,79.61,"6,512,171",78.38,79.67,77.72
02/18/2026,79.09,"8,408,247",79.15,80.4,78.485
02/17/2026,79.01,"10,568,520",77.315,80.32,76.6333
02/13/2026,78.61,"7,615,413",77.95,79.97,77.745
02/12/2026,78.23,"13,643,780",82.19,82.19,77.44
02/11/2026,81.34,"11,636,730",83.595,83.78,79.205
02/10/2026,82.01,"10,561,410",82.685,83.4,81.49
02/09/2026,82.35,"13,775,400",79.605,83.06,78.67
02/06/2026,80.28,"22,581,790",76.835,80.75,76.52
02/05/2026,74.21,"19,201,990",72.88,74.79,70.685
02/04/2026,73.73,"17,506,180",74.995,76.055,71.78
02/03/2026,75.54,"22,563,950",78.54,78.97,72.79
02/02/2026,78.66,"14,512,950",77.605,78.98,76.72
01/30/2026,78.92,"12,581,450",80.05,81.7,78.18
01/29/2026,81.34,"13,944,870",81.943,82.44,78.3
01/28/2026,83.62,"10,311,000",84.58,85.47,82.7
01/27/2026,82.93,"11,307,880",82.87,83.7399,81.3
01/26/2026,81.77,"12,464,570",79.82,83.44,79.555
01/23/2026,80.23,"13,924,590",81.22,82.02,79.72
01/22/2026,83.1,"12,997,560",84.47,85.35,82.74
01/21/2026,82.55,"17,134,340",80.395,84.29,80.395
01/20/2026,79.8,"18,688,020",79.31,83.48,79.0182
01/16/2026,80.46,"15,011,200",81.45,82.4799,80.3
01/15/2026,80.38,"16,593,530",82.72,82.94,80.0
01/14/2026,81.21,"15,295,740",82.96,83.0,79.27
01/13/2026,83.05,"9,133,496",83.51,84.06,82.75
01/12/2026,82.89,"10,146,630",82.42,83.75,82.08
01/09/2026,83.22,"13,486,250",84.03,84.45,82.19
01/08/2026,83.45,"10,695,910",84.7,84.9176,82.88
01/07/2026,84.64,"17,230,820",86.52,86.54,83.59
01/06/2026,88.23,"24,322,730",92.7,94.2,86.77
01/05/2026,90.23,"21,328,380",93.018,93.97,88.12
01/02/2026,89.39,"14,987,540",86.74,90.08,86.6
12/31/2025,84.98,"7,234,081",86.8,86.915,84.94
12/30/2025,86.76,"9,583,033",85.755,88.1,85.72
12/29/2025,85.76,"9,677,705",85.33,86.1,84.2
12/26/2025,86.34,"5,000,977",87.1,87.1999,85.97
12/24/2025,86.49,"5,335,275",87.245,87.7654,86.1
12/23/2025,87.68,"12,334,100",84.4,88.05,84.29
12/22/2025,84.8,"9,870,960",86.58,87.35,84.45
12/19/2025,84.09,"21,722,240",84.05,86.22,83.7
12/18/2025,84.47,"12,732,070",84.48,85.03,82.65
12/17/2025,81.7,"16,662,730",86.5,87.18,81.18
12/16/2025,84.07,"9,483,825",83.58,84.4499,82.23
12/15/2025,84.26,"11,953,280",84.87,85.85,83.67
12/12/2025,84.425,"21,576,260",87.63,89.0,83.8899
12/11/2025,89.43,"16,593,470",90.98,91.74,87.51
12/10/2025,92.47,"22,573,550",91.33,92.85,90.15
12/09/2025,88.9,"23,037,410",91.59,91.69,88.04
12/08/2025,92.0,"40,731,040",90.45,92.7899,88.92
12/05/2025,98.91,"22,219,900",100.4,102.64,97.31
12/04/2025,98.19,"23,981,760",99.405,102.77,97.18
12/03/2025,100.2,"52,833,700",100.035,102.11,95.79
12/02/2025,92.89,"38,231,080",92.66,93.859,91.46
12/01/2025,91.1,"18,143,370",89.135,92.74,88.3
11/28/2025,89.4,"11,235,560",85.895,89.53,84.52
11/26/2025,87.72,"15,019,120",84.59,89.31,84.03
11/25/2025,83.43,"11,667,950",82.5,83.81,80.529
11/24/2025,83.79,"23,945,130",78.49,84.58,78.0
11/21/2025,77.45,"16,211,020",76.76,78.9168,73.62
11/20/2025,76.68,"23,315,870",83.395,84.44,76.08
11/19/2025,81.32,"13,688,200",79.09,81.89,78.78
11/18/2025,78.68,"23,426,920",80.47,81.75,78.44
11/17/2025,83.45,"16,548,610",85.43,86.72,81.86
11/14/2025,86.45,"12,414,050",84.47,89.0,83.3301
11/13/2025,87.52,"17,226,590",87.59,88.45,84.71
11/12/2025,89.33,"11,846,710",90.56,92.87,88.87
11/11/2025,89.33,"13,538,500",92.025,92.67,88.52
11/10/2025,93.23,"14,570,680",93.165,94.47,92.195
11/07/2025,90.92,"20,898,680",91.678,92.18,85.11
11/06/2025,93.33,"28,022,550",96.21,98.13,92.4201
11/05/2025,92.9,"17,194,500",88.33,95.39,88.145
11/04/2025,87.59,"13,629,980",87.76,90.84,87.22
11/03/2025,90.37,"14,308,700",93.385,94.84,90.0101
10/31/2025,93.74,"29,320,840",93.4,97.57,90.96
10/30/2025,88.57,"11,903,750",89.28,90.4576,88.36
