date,close,volume,open,high,low
05/15/2026,192.51,"5,937,714",193.88,194.425,191.1101
05/14/2026,194.53,"4,784,979",195.62,197.5,193.41
05/13/2026,193.83,"4,463,681",190.71,194.95,189.6
05/12/2026,191.88,"5,333,288",190.2,192.3799,186.45
05/11/2026,191.1,"5,272,549",192.36,193.67,190.04
05/08/2026,193.09,"5,873,843",190.88,193.5,190.47
05/07/2026,190.17,"5,761,867",193.16,194.25,189.67
05/06/2026,193.35,"6,319,466",192.17,194.83,192.17
05/05/2026,189.25,"4,807,883",189.335,190.45,187.945
05/04/2026,188.01,"3,832,993",189.93,190.35,187.12
05/01/2026,190.17,"4,742,870",190.49,193.5,188.77
04/30/2026,190.59,"5,664,866",185.6,190.73,184.9
04/29/2026,187.08,"5,107,604",190.01,190.505,185.25
04/28/2026,190.36,"4,107,454",191.31,192.65,188.66
04/27/2026,190.18,"4,163,602",187.87,190.59,187.75
04/24/2026,188.07,"4,530,626",188.79,189.05,187.12
04/23/2026,188.65,"3,814,434",190.66,191.76,186.9
04/22/2026,191.05,"4,492,143",191.68,192.23,189.82
04/21/2026,189.31,"5,154,944",190.79,193.14,188.71
04/20/2026,190.7,"4,905,525",188.92,192.2,188.02
04/17/2026,188.82,"6,846,103",189.5,191.22,188.234
04/16/2026,187.32,"9,138,058",190.93,192.51,186.67
04/15/2026,191.62,"9,853,752",188.49,194.59,187.918
04/14/2026,183.34,"8,803,639",182.865,184.5899,181.7501
04/13/2026,181.14,"6,282,929",175.76,181.18,175.0101
04/10/2026,177.64,"4,240,084",178.66,178.66,174.695
04/09/2026,178.16,"5,299,306",175.17,179.0,174.8
04/08/2026,176.02,"7,662,573",176.9,181.26,174.49
04/07/2026,168.43,"6,036,381",165.69,168.9,165.29
04/06/2026,166.55,"3,675,126",165.88,167.63,165.435
04/02/2026,165.81,"5,107,711",161.99,166.995,160.57
04/01/2026,166.17,"7,117,003",168.91,169.29,163.203
03/31/2026,164.57,"8,081,688",161.5,165.29,159.6481
03/30/2026,158.37,"6,261,594",160.15,161.24,157.22
03/27/2026,158.39,"6,368,398",161.0,161.23,157.33
03/26/2026,163.23,"6,175,716",164.65,166.33,162.48
03/25/2026,165.65,"6,444,852",166.8,168.81,164.0
03/24/2026,165.87,"6,016,222",162.435,167.115,162.23
