date,close,volume,open,high,low
05/15/2026,421.92,"50,771,160",414.27,428.17,412.91
05/14/2026,409.43,"27,077,540",404.48,411.84,400.88
05/13/2026,405.21,"29,667,070",403.2,406.31,401.03
05/12/2026,407.77,"38,594,220",414.48,415.5,406.64
05/11/2026,412.66,"35,657,940",407.87,412.69,405.5
05/08/2026,415.12,"33,383,790",417.385,418.63,414.0
05/07/2026,420.77,"34,942,450",420.11,427.98,418.76
05/06/2026,413.96,"30,285,900",408.0,418.4228,405.11
05/05/2026,411.38,"25,700,890",415.32,416.7799,408.8
05/04/2026,413.62,"28,066,530",411.54,420.78,410.8
05/01/2026,414.44,"31,372,360",412.8,417.11,410.435
04/30/2026,407.78,"70,909,410",410.81,414.42,398.01
04/29/2026,424.46,"38,288,320",424.575,426.82,420.29
04/28/2026,429.25,"30,438,090",424.57,429.92,421.9
04/27/2026,424.82,"30,867,300",422.375,427.11,417.0701
04/24/2026,424.62,"27,457,400",416.97,424.95,415.8
04/23/2026,415.75,"38,307,960",419.885,423.66,411.4101
04/22/2026,432.92,"29,378,170",426.185,433.7,423.67
04/21/2026,424.16,"32,048,500",420.24,427.18,417.2
04/20/2026,418.07,"27,582,240",421.145,423.33,416.3
04/17/2026,422.79,"48,568,190",424.82,431.58,420.69
04/16/2026,420.26,"41,642,360",419.86,420.82,412.14
04/15/2026,411.22,"45,063,390",398.0,414.3699,396.73
04/14/2026,393.11,"37,504,490",387.915,394.69,386.52
04/13/2026,384.37,"35,745,780",373.605,384.54,371.02
04/10/2026,370.87,"28,111,130",372.98,375.64,370.03
04/09/2026,373.07,"30,435,300",372.5,373.5,367.05
04/08/2026,374.33,"33,064,820",384.98,385.0,371.41
04/07/2026,372.29,"21,443,350",370.34,372.45,366.56
04/06/2026,372.88,"16,146,570",373.49,373.73,369.5014
04/02/2026,373.46,"24,099,070",367.205,373.64,364.15
04/01/2026,369.37,"29,417,210",373.49,373.99,368.2
03/31/2026,370.17,"45,244,370",364.55,372.9,363.07
03/30/2026,358.96,"44,797,000",361.895,365.36,356.28
03/27/2026,356.77,"37,883,400",361.9,362.45,356.51
03/26/2026,365.97,"36,836,570",370.815,374.7199,365.19
03/25/2026,371.04,"31,181,160",376.92,377.06,369.63
03/24/2026,372.74,"42,733,630",382.36,382.47,371.85
03/23/2026,383.0,"29,680,060",383.9,387.21,381.68
03/20/2026,381.87,"50,853,150",386.79,387.0,380.12
03/19/2026,389.02,"25,138,770",390.1,392.49,387.06
03/18/2026,391.79,"25,908,480",397.125,398.0,391.0
03/17/2026,399.41,"26,228,280",400.27,404.4,397.745
03/16/2026,399.95,"27,733,720",398.07,400.63,394.79
03/13/2026,395.55,"26,848,000",401.0,404.8,394.25
03/12/2026,401.86,"27,263,890",404.63,406.12,401.71
03/11/2026,404.88,"25,512,140",405.57,409.01,401.59
03/10/2026,405.76,"31,706,380",410.03,410.2,402.93
03/09/2026,409.41,"30,131,850",404.915,410.21,403.5
03/06/2026,408.96,"31,123,860",409.2,413.05,408.5101
03/05/2026,410.68,"39,001,320",404.42,411.61,404.4
03/04/2026,405.2,"35,807,990",401.265,411.0326,400.31
03/03/2026,403.93,"38,199,210",393.14,406.7,392.67
03/02/2026,398.55,"35,474,910",392.855,401.19,390.63
02/27/2026,392.74,"51,367,200",390.88,396.82,389.88
02/26/2026,401.72,"34,405,870",404.71,407.49,398.74
02/25/2026,400.6,"43,625,480",390.525,401.47,390.16
02/24/2026,389.0,"33,884,650",384.14,389.36,381.71
02/23/2026,384.47,"43,238,270",395.0,395.36,383.1
02/20/2026,397.23,"34,015,250",396.11,400.1159,395.16
02/19/2026,398.46,"28,234,000",400.69,404.43,396.67
02/18/2026,399.6,"23,223,420",398.13,402.56,396.32
02/17/2026,396.86,"32,078,790",399.22,400.52,394.525
02/13/2026,401.32,"34,091,550",404.45,405.54,398.05
02/12/2026,401.84,"40,802,360",405.0,406.2,398.01
02/11/2026,404.37,"42,491,010",416.175,416.46,401.01
02/10/2026,413.27,"44,857,850",419.62,423.68,412.7
02/09/2026,413.6,"45,480,530",404.85,414.89,400.87
02/06/2026,401.14,"53,515,310",399.165,401.79,392.92
02/05/2026,393.67,"66,289,250",407.44,408.3,392.32
02/04/2026,414.19,"45,012,370",411.0,419.8,409.24
02/03/2026,411.21,"61,424,120",422.01,422.05,408.56
02/02/2026,423.37,"42,219,860",430.235,430.736,422.25
01/30/2026,430.29,"58,566,820",439.17,439.6,426.45
01/29/2026,433.5,"128,855,300",439.99,442.5,421.02
01/28/2026,481.63,"36,875,400",483.21,483.74,478.0
01/27/2026,480.58,"29,213,920",473.7,482.87,473.16
01/26/2026,470.28,"29,291,240",465.305,474.25,462.0
01/23/2026,465.95,"38,000,160",451.87,471.1,450.53
01/22/2026,451.14,"25,349,380",447.62,452.84,444.7
01/21/2026,444.11,"37,980,510",452.595,452.69,438.68
01/20/2026,454.52,"26,129,990",451.215,456.8,449.28
01/16/2026,459.86,"34,246,650",457.83,463.19,456.48
01/15/2026,456.66,"23,225,840",464.12,464.25,455.9
01/14/2026,459.38,"28,184,300",466.46,468.2,457.1701
01/13/2026,470.67,"28,545,800",474.675,475.7799,465.95
01/12/2026,477.18,"23,519,900",476.67,480.99,475.6803
01/09/2026,479.28,"18,491,040",474.06,479.82,472.2001
01/08/2026,478.11,"18,162,620",481.24,482.66,475.86
01/07/2026,483.47,"25,564,200",479.755,489.7,477.95
01/06/2026,478.51,"23,037,670",473.8,478.7367,469.75
01/05/2026,472.85,"25,250,260",474.055,476.07,469.5
01/02/2026,472.94,"25,571,570",484.385,484.66,470.16
12/31/2025,483.62,"15,601,550",487.84,488.14,483.3
12/30/2025,487.48,"13,944,510",485.93,489.68,485.5
12/29/2025,487.1,"10,893,410",484.855,488.35,484.18
12/26/2025,487.71,"8,842,175",486.705,488.12,485.96
12/24/2025,488.02,"5,855,880",485.68,489.1625,484.83
12/23/2025,486.85,"14,683,580",484.98,487.83,484.74
12/22/2025,484.92,"16,963,020",486.12,488.73,482.69
12/19/2025,485.92,"70,836,110",487.36,487.85,482.49
12/18/2025,483.98,"28,573,550",478.19,489.6,477.89
12/17/2025,476.12,"24,527,180",476.905,480.0,475.0
12/16/2025,476.39,"20,705,560",471.905,477.89,470.88
12/15/2025,474.82,"23,727,690",480.1,480.7205,472.52
12/12/2025,478.53,"21,248,100",479.82,482.45,476.34
12/11/2025,483.47,"24,669,180",476.63,486.03,475.86
12/10/2025,478.56,"35,756,230",484.03,484.25,475.08
12/09/2025,492.02,"14,696,080",489.1,492.12,488.5001
12/08/2025,491.02,"21,965,900",484.885,492.3,484.38
12/05/2025,483.16,"22,608,710",482.515,483.4,478.8801
12/04/2025,480.84,"22,318,160",479.76,481.322,476.49
12/03/2025,477.73,"34,615,100",476.32,484.24,475.2
12/02/2025,490.0,"19,562,720",486.715,493.4999,486.32
12/01/2025,486.74,"23,963,990",488.435,489.8599,484.6475
11/28/2025,492.01,"14,386,730",487.595,492.63,486.65
11/26/2025,485.5,"25,709,080",486.31,488.31,481.2
11/25/2025,476.99,"28,019,790",474.07,479.15,464.89
11/24/2025,474.0,"34,421,050",475.0,476.9,468.02
11/21/2025,472.12,"31,769,250",478.5,478.92,468.27
11/20/2025,478.43,"26,802,540",492.71,493.57,475.5
11/19/2025,487.12,"23,245,310",490.1,495.1872,482.83
11/18/2025,493.79,"33,815,110",495.365,502.98,486.78
11/17/2025,507.49,"19,092,750",508.45,512.12,504.91
11/14/2025,510.18,"28,505,750",498.23,511.6,497.44
11/13/2025,503.29,"25,273,110",510.31,513.5,501.29
11/12/2025,511.14,"26,574,850",509.355,511.67,499.1201
11/11/2025,508.68,"17,980,020",504.8,509.6,502.3488
11/10/2025,506.0,"26,101,480",500.035,506.85,498.8
11/07/2025,496.82,"24,019,760",496.945,499.377,493.25
11/06/2025,497.1,"27,406,500",505.66,505.7,495.81
11/05/2025,507.16,"23,024,340",513.3,514.83,506.575
11/04/2025,514.33,"20,958,660",511.76,515.55,507.84
11/03/2025,517.03,"22,374,740",519.805,524.96,514.59
10/31/2025,517.81,"34,006,420",528.875,529.32,515.1
10/30/2025,525.76,"41,023,090",530.48,534.97,522.12
10/29/2025,541.55,"36,023,000",544.94,546.27,536.7287
10/28/2025,542.07,"29,986,680",550.0,553.72,540.77
10/27/2025,531.52,"18,734,720",531.78,534.58,529.01
10/24/2025,523.61,"15,532,360",522.79,525.345,520.71
10/23/2025,520.56,"14,023,530",522.46,523.95,518.61
10/22/2025,520.54,"18,962,690",521.15,525.23,517.71
10/21/2025,517.66,"15,586,200",517.5,518.69,513.04
10/20/2025,516.79,"14,665,620",514.61,518.7,513.43
10/17/2025,513.58,"19,867,770",509.04,515.48,507.31
10/16/2025,511.61,"15,559,570",512.58,516.85,508.13
10/15/2025,513.43,"14,694,650",514.955,517.19,510.0
10/14/2025,513.57,"14,684,300",510.225,515.282,506.0
10/13/2025,514.05,"14,284,240",516.41,516.41,511.68
10/10/2025,510.96,"24,133,840",519.64,523.58,509.63
10/09/2025,522.4,"18,343,600",522.335,524.325,517.4
10/08/2025,524.85,"13,363,450",523.28,526.95,523.09
10/07/2025,523.98,"14,615,210",528.285,529.8,521.44
10/06/2025,528.57,"21,388,580",518.61,531.03,518.2
10/03/2025,517.35,"15,112,320",517.1,520.49,515.0
10/02/2025,515.74,"21,222,890",517.64,521.6,510.6791
10/01/2025,519.71,"22,632,340",514.8,520.505,511.69
09/30/2025,517.95,"19,728,230",513.24,518.16,509.66
09/29/2025,514.6,"17,617,780",511.5,516.845,508.88
09/26/2025,511.46,"16,213,130",510.06,513.94,506.62
09/25/2025,507.03,"15,786,470",508.3,510.01,505.04
09/24/2025,510.15,"13,533,710",510.38,512.48,506.92
09/23/2025,509.23,"19,799,580",513.8,514.5899,507.31
09/22/2025,514.45,"20,009,310",515.59,517.74,512.545
09/19/2025,517.93,"52,474,090",510.56,519.3,510.31
09/18/2025,508.45,"18,913,700",511.49,513.07,507.66
09/17/2025,510.02,"15,816,590",510.62,511.29,505.93
09/16/2025,509.04,"19,711,920",516.88,517.23,508.6
09/15/2025,515.36,"17,143,790",508.79,515.47,507.0
09/12/2025,509.9,"23,624,880",506.65,512.55,503.85
