date,close,volume,open,high,low
05/15/2026,393.28,"1,176,620",396.8,400.08,391.31
05/14/2026,399.33,"975,053",402.0,403.505,392.35
05/13/2026,397.89,"1,368,509",390.9,400.14,386.79
05/12/2026,391.39,"1,663,455",396.1,400.27,390.895
05/11/2026,392.17,"2,008,971",389.34,399.6,388.6
05/08/2026,383.99,"3,101,642",417.0,424.4,381.25
05/07/2026,433.2,"1,121,080",430.95,435.94,429.78
05/06/2026,433.66,"1,441,571",435.01,436.905,426.7
05/05/2026,438.0,"851,708",437.99,444.24,436.03
05/04/2026,437.59,"746,273",434.65,440.89,433.5018
05/01/2026,435.9,"618,133",440.99,441.95,435.88
04/30/2026,439.03,"1,155,558",430.22,440.815,428.32
04/29/2026,429.23,"922,843",434.57,437.13,424.0517
04/28/2026,434.74,"882,607",432.39,435.61,430.48
04/27/2026,431.6,"864,142",434.93,437.185,431.1
04/24/2026,438.26,"674,856",441.32,444.5881,436.98
04/23/2026,443.17,"704,353",442.97,444.825,440.04
04/22/2026,441.66,"764,265",444.47,448.555,439.02
04/21/2026,445.48,"824,970",449.86,449.86,442.47
04/20/2026,446.92,"841,181",444.44,450.0,444.44
04/17/2026,441.96,"1,423,940",443.69,445.86,440.53
04/16/2026,444.46,"693,593",441.0,444.74,439.13
04/15/2026,440.21,"714,208",438.78,442.45,436.79
04/14/2026,440.08,"749,936",438.09,442.91,435.65
04/13/2026,439.91,"739,793",434.25,439.91,433.01
04/10/2026,433.69,"843,824",441.28,442.23,432.935
04/09/2026,442.5,"758,719",445.81,446.45,438.25
04/08/2026,447.73,"867,994",446.23,448.54,443.3626
04/07/2026,442.45,"528,999",440.98,445.57,439.11
04/06/2026,441.39,"629,855",438.99,442.89,437.99
04/02/2026,438.96,"845,194",431.92,440.05,430.36
04/01/2026,434.13,"852,414",432.21,437.58,430.07
03/31/2026,433.97,"1,022,147",430.0,435.61,424.98
03/30/2026,426.78,"915,953",441.72,441.72,425.38
03/27/2026,438.32,"1,176,675",450.0,450.75,430.415
03/26/2026,450.01,"1,002,521",448.03,454.17,447.66
03/25/2026,451.01,"1,201,324",456.21,457.56,438.33
03/24/2026,454.75,"1,130,387",454.64,459.06,451.505
03/23/2026,456.64,"1,036,147",457.33,461.86,454.29
03/20/2026,452.35,"2,054,713",459.09,460.975,450.8
03/19/2026,459.16,"1,333,959",465.4,469.93,458.59
03/18/2026,467.28,"1,256,028",467.49,472.38,465.41
03/17/2026,469.09,"790,844",471.46,473.12,466.62
03/16/2026,470.79,"1,025,468",473.73,477.1715,470.16
03/13/2026,473.12,"1,537,233",465.76,476.72,465.76
03/12/2026,462.63,"1,039,901",462.68,468.42,458.71
03/11/2026,462.56,"1,013,820",462.6,465.17,458.88
03/10/2026,464.11,"1,111,674",457.13,466.03,455.98
03/09/2026,458.03,"1,268,918",457.5,458.91,452.89
03/06/2026,460.76,"880,513",465.31,466.745,457.71
03/05/2026,467.16,"958,336",474.41,475.3175,466.43
03/04/2026,478.21,"736,599",479.01,481.62,472.26
03/03/2026,480.22,"811,394",481.16,485.0,475.73
03/02/2026,486.11,"1,046,859",485.44,490.24,482.0
02/27/2026,482.26,"1,461,066",472.97,482.39,470.445
02/26/2026,471.95,"920,347",473.29,473.46,468.825
02/25/2026,471.33,"976,594",471.54,474.185,464.28
02/24/2026,470.85,"878,727",465.84,471.67,460.7
02/23/2026,465.03,"1,297,690",460.1,467.31,458.18
02/20/2026,462.76,"1,444,761",454.86,465.77,452.63
02/19/2026,453.68,"738,355",453.27,456.16,448.21
02/18/2026,451.6,"1,053,187",455.81,458.94,448.48
02/17/2026,457.76,"1,480,550",464.76,468.1,457.76
02/13/2026,461.76,"1,489,351",453.43,462.8,448.32
02/12/2026,453.44,"2,748,645",449.61,471.17,448.43
02/11/2026,421.13,"1,123,982",419.55,423.81,417.215
02/10/2026,419.69,"1,213,093",421.03,423.8375,417.2
02/09/2026,422.59,"1,153,656",420.75,423.41,418.12
