date,close,volume,open,high,low
05/14/2026,776.01,"42,142,710",787.62,812.0,775.63
05/13/2026,803.63,"54,875,150",813.155,814.95,779.47
05/12/2026,766.58,"73,742,950",774.7,782.76,706.601
05/11/2026,795.33,"70,972,940",792.98,818.67,768.0
05/08/2026,746.81,"65,130,910",676.45,747.21,676.21
05/07/2026,646.63,"47,527,510",649.83,683.09,635.4201
05/06/2026,666.59,"55,725,840",660.37,667.67,627.58
05/05/2026,640.2,"64,268,500",609.775,651.74,605.47
05/04/2026,576.45,"46,043,710",560.6,592.799,557.76
05/01/2026,542.21,"40,215,250",511.78,545.91,510.21
04/30/2026,517.16,"36,554,400",529.74,535.5,502.575
04/29/2026,518.46,"36,248,450",526.0,531.02,508.8001
04/28/2026,504.29,"44,816,650",503.54,518.8333,488.23
04/27/2026,524.56,"41,298,790",510.56,531.36,510.0185
04/24/2026,496.72,"35,379,590",495.915,506.99,489.36
04/23/2026,481.72,"38,178,000",482.28,493.6199,471.8
04/22/2026,487.48,"45,998,150",462.93,491.98,458.56
04/21/2026,449.38,"27,733,990",451.32,457.82,441.3
04/20/2026,448.42,"32,013,560",458.25,464.56,435.9
04/17/2026,455.07,"33,405,030",466.85,470.97,452.2
04/16/2026,457.23,"33,626,380",452.96,462.34,444.38
04/15/2026,456.23,"40,370,110",457.625,463.95,439.32
04/14/2026,465.66,"52,534,900",434.35,465.78,424.86
04/13/2026,426.56,"37,015,800",416.47,426.88,408.5
04/10/2026,420.59,"36,377,570",420.29,423.86,410.05
04/09/2026,421.51,"43,100,970",407.61,423.94,398.44
04/08/2026,406.73,"49,216,630",415.13,416.0,398.88
04/07/2026,377.58,"40,224,120",374.125,379.2499,364.1
04/06/2026,377.76,"41,414,860",373.8,385.0768,370.61
04/02/2026,366.24,"51,498,690",341.34,366.9399,340.2
04/01/2026,367.85,"74,429,800",348.905,377.8899,343.0
03/31/2026,337.84,"73,551,840",321.67,337.84,311.49
03/30/2026,321.8,"73,833,240",362.66,362.81,318.4
03/27/2026,357.22,"45,806,660",359.86,368.7,354.0601
03/26/2026,355.46,"54,515,900",370.02,374.25,350.0
03/25/2026,382.09,"55,328,680",383.0,388.92,371.381
03/24/2026,395.53,"44,975,060",401.28,404.98,388.91
03/23/2026,404.35,"54,807,330",426.145,444.27,401.52
03/20/2026,422.9,"64,224,940",443.915,449.1,415.3601
03/19/2026,444.27,"74,591,900",424.97,457.22,421.11
03/18/2026,461.73,"58,973,660",464.76,471.34,458.3
03/17/2026,461.69,"43,017,890",452.535,462.7299,445.1401
03/16/2026,441.8,"43,067,570",446.16,454.86,437.745
03/13/2026,426.13,"39,260,990",413.75,429.35,413.0
03/12/2026,405.35,"31,720,870",409.995,413.73,396.665
03/11/2026,418.69,"30,191,430",410.77,422.75,405.79
03/10/2026,403.11,"33,745,430",394.01,415.31,393.64
03/09/2026,389.32,"35,547,220",363.96,390.0,357.67
03/06/2026,370.3,"34,458,780",380.14,391.1799,367.45
03/05/2026,397.05,"29,960,060",398.6,404.53,380.3
03/04/2026,400.77,"32,644,900",393.635,407.88,387.6089
03/03/2026,379.68,"39,010,900",386.55,390.09,374.55
03/02/2026,412.67,"30,049,200",401.47,417.61,397.0
02/27/2026,412.37,"28,653,880",401.81,417.96,401.1818
02/26/2026,415.56,"35,433,460",424.84,434.0,401.96
02/25/2026,429.0,"27,296,340",426.5,436.8899,423.0
02/24/2026,418.01,"33,389,160",429.22,436.27,411.28
02/23/2026,420.97,"25,426,640",422.31,431.695,415.3001
02/20/2026,428.17,"29,894,910",415.18,430.57,415.15
02/19/2026,417.35,"21,651,260",415.81,420.315,407.74
02/18/2026,420.95,"32,306,580",399.5,427.85,394.6
02/17/2026,399.78,"28,549,510",400.95,413.66,395.3
02/13/2026,411.66,"33,807,590",405.19,420.88,392.71
02/12/2026,413.97,"45,639,120",422.25,438.77,411.1648
02/11/2026,410.34,"48,474,990",395.385,414.16,386.57
02/10/2026,373.25,"35,433,810",375.99,382.79,366.06
02/09/2026,383.5,"31,009,560",380.69,391.8099,370.68
02/06/2026,394.69,"37,196,010",377.965,396.65,372.8726
02/05/2026,382.89,"38,899,490",369.62,390.93,366.0
02/04/2026,379.4,"58,074,940",410.59,413.0,363.901
02/03/2026,419.44,"42,763,290",442.16,442.3,407.53
02/02/2026,437.8,"37,771,240",412.18,442.43,410.0
01/30/2026,414.88,"51,022,880",446.465,455.5,407.13
01/29/2026,435.79,"42,675,710",439.37,444.71,417.7
01/28/2026,435.28,"42,725,680",422.435,438.94,417.0
01/27/2026,410.24,"36,212,060",404.61,416.4499,399.6
01/26/2026,389.09,"29,193,930",395.5,398.0,384.3
01/23/2026,399.65,"35,404,200",397.16,412.4299,390.74
01/22/2026,397.58,"39,607,600",396.64,397.78,376.92
01/21/2026,389.11,"56,712,820",372.85,394.2,366.73
01/20/2026,365.0,"49,744,910",364.68,381.5599,361.35
01/16/2026,362.75,"47,901,930",353.1,365.81,352.04
01/15/2026,336.63,"25,370,230",345.325,347.77,336.27
01/14/2026,333.35,"20,277,200",334.84,339.1,328.2
01/13/2026,338.13,"23,881,340",346.27,351.23,335.22
01/12/2026,345.87,"23,152,590",340.55,348.47,339.32
01/09/2026,345.09,"33,387,510",332.745,345.8,326.19
01/08/2026,327.02,"33,897,720",342.9,343.66,321.36
01/07/2026,339.55,"32,781,100",340.71,346.3,337.1801
