date,close,volume,open,high,low
05/15/2026,15.52,"23,679,480",15.84,15.9,15.4533
05/14/2026,15.93,"22,611,970",16.67,16.85,15.885
05/13/2026,16.06,"20,995,350",15.92,16.2493,15.71
05/12/2026,16.0,"21,474,120",16.55,16.579,15.98
05/11/2026,16.58,"30,594,360",17.0,17.02,16.4
05/08/2026,17.08,"17,712,860",17.28,17.49,16.89
05/07/2026,17.22,"25,297,220",17.9,18.0,16.99
05/06/2026,17.75,"31,485,230",17.55,17.99,17.275
05/05/2026,16.94,"33,595,120",17.26,17.45,16.91
05/04/2026,17.2,"58,800,540",17.52,18.0793,16.91
05/01/2026,18.81,"31,697,780",18.15,19.12,18.035
04/30/2026,18.18,"20,771,120",18.13,18.585,17.97
04/29/2026,17.77,"20,453,800",17.55,17.88,17.28
04/28/2026,17.79,"16,620,070",17.99,18.29,17.765
04/27/2026,18.19,"12,400,090",18.17,18.455,18.07
04/24/2026,18.51,"15,010,470",18.46,18.66,18.17
04/23/2026,18.42,"17,057,660",19.0,19.225,18.25
04/22/2026,19.03,"16,390,840",19.51,19.51,18.81
04/21/2026,19.33,"19,333,190",20.03,20.48,19.19
04/20/2026,20.26,"28,853,630",20.28,20.48,19.605
04/17/2026,20.99,"31,605,190",21.4,22.22,20.895
04/16/2026,20.03,"22,168,570",21.295,21.51,20.02
04/15/2026,21.12,"9,464,803",21.1,21.36,20.775
04/14/2026,21.09,"16,544,160",20.68,21.275,20.55
04/13/2026,20.26,"17,184,810",19.31,20.28,19.2
04/10/2026,19.96,"11,672,060",20.06,20.36,19.63
04/09/2026,19.96,"15,809,280",19.75,20.26,19.495
04/08/2026,20.16,"30,201,130",20.54,21.22,19.975
04/07/2026,18.73,"24,807,010",19.0,19.05,18.24
04/06/2026,19.37,"18,431,300",19.03,19.48,18.6
04/02/2026,18.93,"24,192,340",18.585,19.11,18.12
04/01/2026,19.38,"26,508,760",19.1,19.46,18.95
03/31/2026,18.7,"28,322,110",18.21,18.92,18.01
03/30/2026,17.65,"22,927,950",18.63,18.75,17.56
03/27/2026,18.49,"24,193,840",19.47,19.79,18.355
03/26/2026,19.85,"17,203,800",19.95,20.285,19.605
03/25/2026,20.22,"16,653,810",20.58,20.65,19.905
03/24/2026,19.66,"12,875,620",19.67,20.14,19.45
03/23/2026,20.12,"24,241,900",19.95,20.815,19.65
03/20/2026,18.95,"23,681,420",19.45,19.5299,18.82
03/19/2026,19.64,"16,389,350",19.45,20.0,19.32
03/18/2026,19.8,"16,681,220",20.03,20.47,19.8
03/17/2026,20.27,"17,461,050",20.37,20.75,20.11
03/16/2026,19.84,"22,927,680",19.38,20.0178,19.36
03/13/2026,18.87,"19,604,110",19.7,19.97,18.81
03/12/2026,19.46,"30,514,910",19.9,20.14,19.4
03/11/2026,20.45,"15,927,200",20.32,20.825,20.05
03/10/2026,20.35,"25,144,150",20.28,21.02,19.895
03/09/2026,20.71,"30,044,720",19.42,20.855,18.51
03/06/2026,20.05,"24,890,440",20.16,20.395,19.61
03/05/2026,20.92,"25,681,400",20.87,21.68,20.565
03/04/2026,21.11,"29,742,390",21.4,21.905,21.08
03/03/2026,21.27,"35,127,830",21.34,21.72,20.52
03/02/2026,22.18,"46,523,920",22.61,22.88,21.6201
02/27/2026,24.79,"25,518,290",24.25,25.1,24.055
02/26/2026,25.02,"19,652,980",24.14,25.035,24.0954
02/25/2026,23.81,"13,996,560",24.18,24.34,23.545
02/24/2026,23.96,"12,937,180",23.38,24.32,23.1
02/23/2026,23.49,"16,294,360",24.35,24.85,23.09
02/20/2026,24.31,"16,233,920",23.58,24.3765,23.43
02/19/2026,23.74,"17,662,570",24.0,24.39,23.69
02/18/2026,24.35,"26,767,430",23.82,24.84,23.31
02/17/2026,24.1,"60,454,000",23.12,24.4575,22.6
02/13/2026,21.49,"41,396,850",21.98,22.325,21.07
02/12/2026,23.25,"21,931,130",23.18,23.66,22.65
02/11/2026,22.95,"16,555,310",23.01,23.348,22.54
02/10/2026,23.56,"29,854,300",22.75,24.13,22.74
02/09/2026,22.85,"13,582,140",22.9,23.22,22.62
02/06/2026,23.32,"20,033,810",21.78,23.4,21.64
02/05/2026,21.7,"16,723,720",22.265,22.77,21.44
02/04/2026,22.29,"31,619,900",22.67,22.67,21.38
02/03/2026,22.51,"24,890,660",23.28,24.01,22.16
02/02/2026,23.64,"20,809,850",22.12,23.715,21.96
