date,close,volume,open,high,low
05/15/2026,91.06,"2,259,717",91.255,91.88,90.4401
05/14/2026,90.93,"3,481,071",90.21,92.02,89.62
05/13/2026,90.21,"2,610,912",88.875,90.44,87.98
05/12/2026,89.49,"2,798,203",88.97,90.09,88.09
05/11/2026,88.48,"2,714,707",88.45,88.8,87.73
05/08/2026,88.91,"2,559,134",89.15,89.25,87.82
05/07/2026,89.0,"2,938,976",89.19,89.87,88.61
05/06/2026,89.2,"3,952,262",89.39,90.16,88.59
05/05/2026,89.0,"5,747,922",90.7,90.7,87.32
05/04/2026,91.3,"2,919,936",90.89,93.03,90.5725
05/01/2026,91.32,"2,186,334",92.43,93.045,91.305
04/30/2026,91.91,"2,477,781",90.63,92.165,89.835
04/29/2026,91.27,"2,484,713",91.0,91.44,90.29
04/28/2026,91.31,"5,002,297",90.71,91.51,89.64
04/27/2026,90.43,"3,848,005",89.24,91.485,89.24
04/24/2026,89.9,"4,173,151",87.3,90.08,87.235
04/23/2026,87.04,"5,543,046",87.53,90.44,86.085
04/22/2026,86.37,"3,850,193",87.6,88.56,84.88
04/21/2026,87.6,"2,255,124",88.33,89.4,87.28
04/20/2026,87.78,"2,358,852",88.56,89.11,87.42
04/17/2026,88.61,"2,818,825",89.43,89.73,88.05
04/16/2026,88.87,"2,654,714",88.955,89.215,87.6344
04/15/2026,88.55,"3,195,228",87.255,89.08,87.05
04/14/2026,86.71,"3,379,922",86.45,87.47,86.38
04/13/2026,86.15,"3,344,780",82.77,86.22,82.77
04/10/2026,83.16,"3,384,348",84.21,84.21,82.18
04/09/2026,84.21,"3,998,322",88.07,88.07,84.1
04/08/2026,88.09,"3,340,386",88.26,88.99,87.7475
04/07/2026,86.4,"2,699,722",87.125,87.56,86.2
04/06/2026,87.9,"2,234,745",86.65,88.045,86.41
04/02/2026,86.65,"2,511,467",84.55,86.97,84.2
04/01/2026,85.15,"2,826,857",85.6,85.88,84.18
03/31/2026,84.89,"3,217,229",84.6,85.56,83.57
03/30/2026,83.52,"2,633,796",82.42,84.1,82.25
03/27/2026,81.48,"2,937,509",82.86,83.1006,81.0
03/26/2026,83.78,"1,696,045",83.505,84.93,83.505
03/25/2026,83.74,"2,610,434",84.89,85.67,83.27
03/24/2026,84.28,"2,140,604",85.59,85.75,84.1
03/23/2026,86.4,"2,552,244",86.16,87.5099,85.62
03/20/2026,86.34,"6,282,937",85.95,86.64,85.42
03/19/2026,86.27,"2,950,428",85.07,86.35,84.55
03/18/2026,85.44,"2,143,723",85.9,86.21,85.18
03/17/2026,86.47,"2,239,228",86.665,87.45,86.26
03/16/2026,85.85,"2,302,107",85.45,86.38,85.31
03/13/2026,85.53,"3,369,831",84.94,86.32,84.705
03/12/2026,84.06,"3,878,952",84.35,85.45,83.68
03/11/2026,85.5,"3,207,290",87.66,88.01,83.632
03/10/2026,87.6,"3,865,702",88.54,88.57,86.2837
03/09/2026,88.05,"4,703,432",86.98,88.8,85.61
03/06/2026,88.43,"6,022,099",86.965,90.42,86.965
03/05/2026,88.27,"2,883,327",88.32,89.89,87.64
03/04/2026,89.13,"2,987,450",87.53,89.35,87.4
03/03/2026,87.415,"3,945,682",86.49,88.715,85.85
03/02/2026,88.09,"4,714,276",85.96,88.795,85.0223
02/27/2026,87.58,"5,031,756",87.5,88.61,86.88
02/26/2026,88.59,"8,282,986",85.54,89.0299,85.5
02/25/2026,83.99,"5,675,802",82.66,84.36,82.12
02/24/2026,81.11,"3,296,199",79.85,81.58,78.9
02/23/2026,79.92,"4,512,493",81.63,81.81,79.69
02/20/2026,81.87,"3,449,989",81.76,82.41,81.01
02/19/2026,81.41,"4,680,182",81.59,82.3199,80.925
02/18/2026,82.13,"4,812,905",80.99,82.36,80.555
02/17/2026,80.24,"5,039,677",80.11,81.115,79.57
02/13/2026,79.47,"5,122,731",79.03,80.11,78.6
02/12/2026,79.01,"8,079,777",80.94,81.09,77.09
02/11/2026,80.42,"6,681,118",82.57,82.765,79.92
02/10/2026,82.51,"8,384,144",82.315,84.51,82.0267
02/09/2026,86.3,"7,114,470",84.67,86.64,84.5
02/06/2026,84.83,"10,110,310",86.94,87.2,84.12
02/05/2026,85.51,"7,479,611",89.315,89.47,84.555
02/04/2026,88.49,"11,493,850",86.7,88.92,84.73
02/03/2026,87.71,"14,429,870",96.275,96.39,86.2
02/02/2026,96.81,"4,857,701",97.18,97.91,96.45
01/30/2026,96.89,"4,547,609",98.035,99.705,95.61
01/29/2026,98.09,"6,006,196",99.75,101.51,96.54
01/28/2026,98.71,"3,929,304",98.43,99.335,97.88
01/27/2026,98.5,"2,830,051",98.89,99.28,97.905
01/26/2026,98.89,"2,724,000",98.25,99.38,98.05
01/23/2026,98.05,"2,405,038",98.625,98.93,97.76
01/22/2026,98.78,"3,361,967",99.0,99.88,98.4
01/21/2026,98.78,"3,189,815",97.66,99.79,97.405
01/20/2026,97.41,"3,209,023",99.005,100.2,97.13
01/16/2026,100.98,"3,768,181",100.34,101.785,100.01
01/15/2026,100.33,"2,432,634",100.54,100.97,99.735
01/14/2026,100.07,"2,995,535",98.09,100.535,98.09
01/13/2026,98.89,"3,094,978",99.51,99.695,97.9
01/12/2026,99.42,"3,021,090",98.03,99.765,97.86
01/09/2026,98.24,"3,502,171",99.64,99.81,98.23
01/08/2026,99.74,"4,106,249",100.37,100.83,99.63
01/07/2026,100.4,"3,068,047",100.7,101.215,99.77
01/06/2026,100.69,"3,745,952",98.44,100.85,98.2
01/05/2026,98.45,"3,416,358",96.24,98.86,96.24
01/02/2026,96.66,"3,998,599",97.25,97.25,95.8
12/31/2025,97.13,"2,211,890",98.1,98.16,97.08
12/30/2025,98.18,"2,386,390",98.5,99.59,98.06
12/29/2025,98.87,"2,322,203",99.35,99.54,98.8
12/26/2025,99.35,"1,701,462",98.74,99.42,98.51
12/24/2025,98.64,"1,445,423",97.99,98.8,97.71
12/23/2025,98.01,"3,506,441",97.475,98.285,97.35
12/22/2025,97.46,"4,363,021",95.36,97.72,95.06
12/19/2025,95.36,"10,575,420",94.27,95.91,94.15
12/18/2025,94.71,"5,749,690",94.095,95.86,94.01
12/17/2025,93.71,"3,178,927",93.08,94.595,92.93
12/16/2025,92.93,"2,320,027",93.02,93.685,92.38
12/15/2025,92.93,"2,543,205",93.58,93.62,92.18
12/12/2025,93.57,"4,842,632",93.85,94.35,93.01
12/11/2025,93.85,"5,554,598",92.21,94.38,91.92
12/10/2025,91.92,"4,813,562",90.88,92.2,90.32
12/09/2025,90.72,"3,888,956",89.8,91.2,89.445
12/08/2025,89.8,"4,853,366",90.0,90.14,89.17
12/05/2025,90.22,"3,468,064",90.02,90.54,89.87
12/04/2025,90.29,"4,624,394",88.32,90.39,88.1141
12/03/2025,88.32,"2,220,104",88.44,88.89,87.79
12/02/2025,88.51,"3,498,826",89.64,89.9295,88.15
12/01/2025,89.36,"3,715,749",90.57,90.76,89.27
11/28/2025,90.92,"1,126,117",90.24,91.26,90.07
11/26/2025,89.98,"1,785,553",89.3,90.49,89.2
11/25/2025,89.14,"3,448,020",88.68,89.65,88.26
11/24/2025,88.44,"4,586,581",87.55,89.09,87.55
11/21/2025,87.66,"2,416,497",87.36,88.211,86.79
11/20/2025,86.99,"3,037,529",87.94,89.55,86.735
11/19/2025,86.02,"2,370,829",85.61,86.51,85.26
11/18/2025,85.54,"2,248,896",85.52,85.91,84.76
11/17/2025,85.7,"1,924,837",87.08,87.23,85.29
11/14/2025,87.08,"2,542,473",87.24,87.61,86.14
11/13/2025,87.43,"1,677,901",88.29,88.6049,87.34
11/12/2025,88.77,"1,713,542",87.83,89.19,87.73
11/11/2025,87.83,"1,493,100",87.89,88.23,87.7
11/10/2025,87.82,"2,084,797",87.2,88.299,86.825
11/07/2025,87.24,"3,431,297",86.082,87.68,86.08
11/06/2025,86.19,"2,770,279",85.3,86.59,85.02
11/05/2025,85.56,"2,563,630",85.66,86.215,85.37
11/04/2025,85.87,"1,756,912",86.28,86.5499,85.53
11/03/2025,86.39,"2,919,356",85.4,86.64,85.03
10/31/2025,85.49,"2,817,203",85.53,86.39,85.2812
10/30/2025,85.66,"2,305,958",85.58,86.33,85.42
10/29/2025,85.42,"4,356,332",87.2,87.455,85.15
10/28/2025,87.96,"2,663,194",88.78,89.31,87.87
10/27/2025,88.78,"3,349,088",88.95,89.14,88.14
10/24/2025,88.44,"2,756,716",89.35,89.685,88.17
10/23/2025,88.82,"3,079,568",87.75,89.08,87.5601
10/22/2025,87.42,"4,663,710",90.08,90.31,87.33
10/21/2025,90.33,"4,339,323",90.5,92.92,90.11
10/20/2025,88.86,"3,107,403",89.28,89.81,88.77
10/17/2025,88.59,"2,469,205",87.685,88.83,87.425
10/16/2025,87.94,"2,219,434",89.765,90.0,87.465
10/15/2025,89.62,"1,895,424",90.06,90.65,89.01
10/14/2025,89.54,"2,493,109",88.93,90.17,88.9172
10/13/2025,89.39,"1,975,637",89.36,89.87,88.75
10/10/2025,88.9,"3,339,837",91.402,91.96,88.85
10/09/2025,91.4,"3,239,384",90.43,91.47,89.77
10/08/2025,89.87,"3,688,714",89.14,90.06,87.64
10/07/2025,88.44,"2,504,751",88.61,88.74,87.54
10/06/2025,88.17,"3,519,910",87.86,88.355,87.5
10/03/2025,87.61,"3,626,092",87.105,88.1593,87.06
10/02/2025,87.34,"3,068,132",86.825,87.425,86.45
10/01/2025,86.91,"5,350,645",88.22,88.47,86.695
09/30/2025,88.45,"4,222,836",88.65,89.04,87.96
09/29/2025,88.71,"3,887,910",87.8,89.28,87.2
09/26/2025,87.51,"2,432,689",87.07,87.6,86.9
09/25/2025,86.73,"2,799,137",86.72,87.67,86.47
09/24/2025,87.15,"4,254,571",88.43,89.13,87.05
09/23/2025,88.44,"4,622,439",89.71,89.9199,87.52
09/22/2025,89.93,"4,242,762",89.53,90.425,89.25
09/19/2025,89.57,"13,438,560",89.22,89.93,88.67
09/18/2025,88.87,"9,834,748",93.25,93.89,88.63
09/17/2025,93.1,"3,168,460",92.8,94.05,92.545
09/16/2025,92.54,"5,223,955",93.0,93.17,92.43
09/15/2025,92.86,"4,971,425",94.16,94.31,92.73
09/12/2025,93.95,"2,948,467",95.74,96.14,93.89
09/11/2025,95.88,"2,878,977",94.72,96.16,94.7
09/10/2025,94.66,"2,466,008",94.91,95.86,94.23
09/09/2025,94.88,"2,653,899",95.12,95.37,94.7
09/08/2025,94.99,"3,879,272",93.825,95.05,93.5
09/05/2025,93.48,"3,771,446",94.52,94.8,92.12
09/04/2025,94.3,"3,693,440",94.06,94.4,93.66
09/03/2025,93.77,"1,831,772",93.59,93.8958,92.8701
09/02/2025,93.59,"3,109,058",93.265,94.38,92.9
08/29/2025,94.74,"1,742,393",95.38,95.75,94.405
08/28/2025,95.24,"2,018,485",94.93,95.32,94.3675
08/27/2025,94.84,"1,967,818",94.6,95.29,94.495
08/26/2025,94.9,"3,019,816",94.16,95.15,94.05
