date,close,volume,open,high,low
05/15/2026,274.88,"616,513",278.58,278.82,274.01
05/14/2026,280.28,"304,330",279.76,282.16,278.03
05/13/2026,278.93,"267,074",281.41,282.755,277.96
05/12/2026,281.16,"338,496",282.51,283.355,278.19
05/11/2026,281.85,"398,824",283.47,285.8699,279.49
05/08/2026,283.53,"442,943",285.65,286.424,282.6404
05/07/2026,284.13,"353,933",288.0,289.69,282.37
05/06/2026,286.94,"260,959",286.26,290.02,286.2
05/05/2026,282.69,"235,368",281.82,284.66,279.32
05/04/2026,280.42,"309,975",280.93,283.35,278.75
05/01/2026,283.2,"275,678",289.44,289.49,282.08
04/30/2026,288.45,"545,851",280.34,288.9,280.0
04/29/2026,280.34,"266,056",281.11,284.52,279.92
04/28/2026,281.79,"322,508",283.43,283.43,278.88
04/27/2026,283.43,"211,494",282.7,285.72,281.965
04/24/2026,282.36,"227,845",283.11,285.0,278.55
04/23/2026,283.83,"210,686",280.17,284.15,278.63
04/22/2026,279.45,"224,191",283.51,283.52,278.48
04/21/2026,282.72,"517,005",283.5,287.04,282.58
04/20/2026,283.08,"230,908",281.59,283.64,277.365
04/17/2026,281.89,"386,611",279.01,285.99,279.01
04/16/2026,276.7,"374,973",274.52,277.61,273.96
04/15/2026,275.0,"402,313",277.61,277.65,271.11
04/14/2026,279.01,"315,541",278.49,281.37,276.8
04/13/2026,278.09,"308,163",274.4,278.325,272.27
04/10/2026,275.28,"312,046",276.44,277.34,274.48
04/09/2026,276.25,"428,559",273.72,279.63,270.94
04/08/2026,274.57,"407,378",274.2,277.387,273.18
04/07/2026,265.47,"286,022",262.45,265.67,261.44
04/06/2026,263.23,"231,995",263.07,264.005,260.06
04/02/2026,263.1,"456,772",262.72,268.29,260.46
04/01/2026,267.24,"377,926",267.85,271.38,266.42
03/31/2026,266.06,"419,688",259.95,267.385,258.8
03/30/2026,256.16,"416,024",262.79,262.79,253.85
03/27/2026,260.21,"318,439",263.23,263.4,259.16
03/26/2026,264.96,"247,210",269.05,272.215,264.19
03/25/2026,270.85,"343,225",272.4,272.63,268.04
03/24/2026,269.19,"237,398",265.81,271.69,265.06
03/23/2026,268.48,"217,693",270.45,271.66,268.03
03/20/2026,262.73,"679,220",267.21,267.21,260.91
03/19/2026,267.21,"303,929",264.47,270.3,262.5
03/18/2026,267.55,"277,088",269.55,272.09,266.92
03/17/2026,271.0,"290,176",270.57,272.58,266.89
03/16/2026,268.71,"348,494",269.86,271.87,267.67
03/13/2026,267.57,"301,822",270.12,271.785,265.56
03/12/2026,267.7,"278,941",271.01,272.22,267.63
03/11/2026,273.69,"259,405",271.58,274.25,268.54
03/10/2026,272.46,"233,118",270.37,277.48,269.5
03/09/2026,271.49,"577,303",268.25,272.85,264.74
03/06/2026,272.84,"293,144",276.2,276.535,270.96
03/05/2026,281.02,"302,330",286.18,287.07,279.95
03/04/2026,288.42,"205,687",288.34,289.785,285.29
03/03/2026,287.78,"348,588",286.93,288.985,282.53
03/02/2026,292.18,"341,844",290.33,293.61,286.0728
02/27/2026,293.44,"682,731",290.05,294.2099,286.29
02/26/2026,292.62,"310,956",292.12,293.56,288.49
02/25/2026,290.83,"337,563",295.9,298.169,289.47
02/24/2026,294.82,"532,229",289.95,295.66,289.95
02/23/2026,288.82,"501,122",291.15,294.999,287.56
02/20/2026,290.17,"610,249",291.73,296.555,287.2
02/19/2026,293.93,"470,771",305.28,305.28,293.35
02/18/2026,299.29,"572,264",296.38,302.21,296.38
02/17/2026,296.93,"461,522",296.72,298.18,293.54
02/13/2026,298.19,"460,535",294.18,299.38,293.78
02/12/2026,294.67,"603,520",295.16,299.28,293.38
02/11/2026,294.47,"697,178",296.58,300.79,293.585
02/10/2026,295.8,"344,613",290.9,296.0,288.58
02/09/2026,291.26,"335,345",290.54,291.39,288.9
02/06/2026,290.18,"508,017",285.0,291.01,284.95
02/05/2026,282.57,"561,680",283.32,284.93,279.87
02/04/2026,285.95,"649,421",279.46,287.485,279.46
02/03/2026,278.17,"396,118",277.03,282.18,275.58
02/02/2026,276.91,"378,682",273.55,277.07,273.55
01/30/2026,274.53,"628,296",272.66,275.0,270.43
01/29/2026,275.0,"678,764",273.16,275.085,268.52
01/28/2026,271.94,"342,803",272.55,274.61,270.68
01/27/2026,273.28,"316,725",270.8,274.12,265.185
01/26/2026,271.31,"355,666",271.01,272.29,269.99
01/23/2026,271.275,"242,162",273.58,273.58,270.52
01/22/2026,273.94,"231,320",274.47,275.43,272.001
01/21/2026,273.1,"358,080",267.96,274.55,267.96
01/20/2026,266.08,"450,182",267.88,270.52,265.45
01/16/2026,271.92,"490,206",270.13,272.62,269.465
01/15/2026,271.91,"475,178",267.98,272.615,267.785
01/14/2026,266.54,"505,793",265.0,267.02,261.61
01/13/2026,264.8,"374,506",262.4,264.88,261.52
01/12/2026,262.4,"342,143",261.22,263.02,259.51
01/09/2026,261.22,"504,378",256.55,261.64,255.41
01/08/2026,255.26,"607,813",251.15,255.645,251.15
01/07/2026,252.86,"523,547",251.76,253.99,250.62
01/06/2026,252.0,"297,489",245.0,252.25,245.0
01/05/2026,245.89,"374,087",240.25,247.2825,240.25
01/02/2026,241.03,"305,255",241.18,241.92,239.25
12/31/2025,240.43,"241,145",243.38,245.2,240.19
12/30/2025,243.96,"227,540",243.14,244.16,242.205
12/29/2025,243.14,"335,135",243.94,245.6617,242.3801
12/26/2025,243.99,"251,453",242.81,244.14,242.44
12/24/2025,243.47,"143,495",242.41,244.24,241.44
12/23/2025,241.98,"298,341",243.36,243.36,241.67
12/22/2025,243.36,"362,689",240.46,243.74,240.1275
12/19/2025,240.38,"1,787,622",238.64,242.69,238.47
12/18/2025,238.34,"648,408",239.32,239.495,236.255
12/17/2025,238.07,"658,667",235.71,239.62,235.54
12/16/2025,236.37,"581,251",237.15,239.74,235.06
12/15/2025,237.79,"796,878",237.2,239.555,234.6
12/12/2025,235.45,"729,901",239.41,239.41,232.1
12/11/2025,234.43,"1,518,371",250.0,251.47,231.39
12/10/2025,236.32,"1,006,900",234.42,237.405,233.345
12/09/2025,233.44,"451,747",234.78,237.38,233.27
12/08/2025,234.45,"503,564",238.74,239.71,234.43
12/05/2025,238.93,"360,379",238.13,240.26,238.01
12/04/2025,238.41,"350,313",238.75,240.6725,237.46
12/03/2025,238.59,"305,020",236.54,239.68,235.42
12/02/2025,236.53,"282,751",235.69,237.555,233.1401
12/01/2025,235.03,"401,623",235.22,238.02,234.535
11/28/2025,237.66,"170,805",237.95,240.0,237.345
11/26/2025,238.0,"296,730",237.55,240.175,235.7625
11/25/2025,238.33,"308,257",234.64,239.37,234.44
11/24/2025,233.04,"483,741",233.4,234.6616,231.31
11/21/2025,233.48,"533,836",228.44,236.4,228.44
11/20/2025,228.08,"406,360",230.36,232.47,226.7
11/19/2025,227.57,"292,762",226.01,229.12,223.29
11/18/2025,226.69,"334,176",227.62,228.94,225.81
11/17/2025,227.79,"210,475",229.42,230.95,226.83
11/14/2025,230.27,"287,234",231.72,232.31,228.92
11/13/2025,233.15,"305,676",236.05,237.815,232.5
11/12/2025,236.24,"286,953",236.0,239.45,235.055
11/11/2025,236.41,"208,262",235.09,236.52,234.05
11/10/2025,234.77,"218,734",233.72,235.0,230.17
11/07/2025,232.61,"249,162",230.25,233.46,228.79
11/06/2025,230.57,"300,977",234.2,237.14,230.34
11/05/2025,233.3,"315,102",229.7,234.61,227.94
11/04/2025,230.32,"282,748",227.53,230.925,227.53
11/03/2025,229.66,"294,154",231.17,231.17,228.13
10/31/2025,231.95,"517,003",230.93,233.52,229.765
10/30/2025,231.79,"359,790",232.57,236.79,231.36
10/29/2025,233.18,"378,468",234.7,237.365,232.025
10/28/2025,235.32,"264,139",237.16,238.21,233.84
10/27/2025,238.35,"307,186",236.88,238.9357,236.07
10/24/2025,235.9,"204,284",238.24,238.24,235.76
10/23/2025,235.95,"226,186",234.34,237.07,234.34
10/22/2025,234.15,"258,573",236.84,238.03,233.73
10/21/2025,237.73,"200,621",235.03,240.46,233.3901
10/20/2025,235.66,"186,688",234.41,236.95,234.0
10/17/2025,233.34,"317,934",231.53,233.53,230.6
10/16/2025,232.0,"277,051",232.39,234.37,231.125
10/15/2025,231.85,"212,374",234.06,235.77,229.0
10/14/2025,233.37,"228,421",227.81,234.93,225.32
10/13/2025,230.52,"289,447",229.68,233.38,229.58
10/10/2025,228.16,"485,226",234.3,236.36,227.96
10/09/2025,233.76,"254,058",234.53,235.38,231.77
10/08/2025,234.32,"262,653",230.58,234.92,229.13
10/07/2025,230.85,"161,854",234.97,235.52,230.41
10/06/2025,234.12,"214,541",233.97,235.225,230.58
10/03/2025,233.45,"225,075",232.44,235.02,230.0801
10/02/2025,232.25,"294,224",228.36,232.67,228.295
10/01/2025,228.55,"237,621",225.58,228.665,225.0001
09/30/2025,226.95,"185,371",226.26,227.86,224.27
09/29/2025,227.35,"278,011",227.99,228.015,226.3625
09/26/2025,227.0,"275,162",222.13,227.5951,222.13
09/25/2025,221.52,"250,667",221.31,222.865,220.47
09/24/2025,223.12,"239,224",224.5,226.03,222.9501
09/23/2025,224.84,"203,058",224.92,228.12,224.24
09/22/2025,225.34,"226,830",225.07,226.612,223.065
09/19/2025,225.08,"603,102",228.18,228.18,224.7
09/18/2025,227.63,"281,484",223.91,228.35,223.91
09/17/2025,223.64,"341,330",226.13,230.995,223.235
09/16/2025,226.13,"306,173",225.92,227.65,225.18
09/15/2025,225.92,"406,490",223.18,226.8,223.0
09/12/2025,223.17,"195,866",227.02,227.02,222.81
09/11/2025,227.98,"393,794",222.77,228.225,221.54
09/10/2025,223.72,"244,113",221.43,224.02,221.43
09/09/2025,222.11,"211,844",225.16,225.16,221.09
09/08/2025,226.13,"401,749",225.7,227.0874,222.11
09/05/2025,225.03,"255,820",227.11,229.02,223.69
09/04/2025,226.01,"206,836",222.16,226.05,220.35
09/03/2025,221.97,"258,049",221.98,222.93,220.4068
09/02/2025,222.7,"261,203",223.43,223.43,220.06
08/29/2025,225.09,"282,203",224.96,226.58,224.12
08/28/2025,224.67,"214,716",227.22,227.22,223.24
08/27/2025,225.67,"245,922",225.35,227.66,224.0717
08/26/2025,226.35,"607,289",225.82,228.79,225.0
08/25/2025,225.79,"408,249",226.64,228.05,224.54
08/22/2025,227.17,"651,733",221.14,229.15,220.41
08/21/2025,219.93,"1,522,118",226.64,235.71,219.6
08/20/2025,213.52,"601,308",216.5,217.2318,213.23
08/19/2025,217.5,"253,127",215.3,218.19,214.405
08/18/2025,214.1,"250,690",213.16,214.9276,211.5
08/15/2025,213.44,"319,892",218.44,218.44,213.08
08/14/2025,217.22,"225,200",219.69,219.69,216.14
08/13/2025,221.58,"258,706",216.4,222.11,216.4
08/12/2025,215.79,"191,038",212.31,216.01,210.88
08/11/2025,210.61,"233,415",211.49,212.155,209.635
08/08/2025,211.04,"268,817",212.17,213.2925,210.115
08/07/2025,212.06,"304,813",213.24,214.6165,211.04
08/06/2025,211.13,"316,468",214.17,214.255,210.695
08/05/2025,213.98,"299,206",213.57,214.79,211.485
08/04/2025,212.46,"376,517",208.74,212.69,208.365
08/01/2025,209.25,"422,073",210.37,210.64,207.08
07/31/2025,214.21,"656,012",215.53,218.2,213.57
07/30/2025,215.76,"398,852",219.9,219.96,214.825
07/29/2025,220.21,"278,273",219.47,220.91,217.56
07/28/2025,219.38,"164,717",220.87,221.1,218.54
07/25/2025,220.84,"241,621",220.35,220.91,217.48
07/24/2025,219.15,"224,058",219.45,220.33,217.78
07/23/2025,220.03,"488,981",219.56,220.7,218.64
07/22/2025,218.3,"282,735",215.16,218.67,214.38
07/21/2025,214.3,"281,342",217.11,218.89,213.99
07/18/2025,217.07,"457,181",218.2,218.7,215.23
07/17/2025,217.47,"426,829",213.35,217.955,213.2494
07/16/2025,213.01,"385,228",215.13,216.03,210.43
07/15/2025,214.9,"313,797",219.64,220.035,214.495
07/14/2025,218.43,"247,067",219.72,220.55,217.86
07/11/2025,220.82,"272,748",221.2,221.915,218.84
07/10/2025,223.17,"246,039",222.54,226.14,222.42
07/09/2025,222.04,"165,584",221.98,223.62,219.74
07/08/2025,221.5,"227,956",218.74,223.6,218.695
07/07/2025,218.79,"228,154",221.28,223.36,217.81
07/03/2025,222.78,"169,670",223.18,224.65,222.71
07/02/2025,222.75,"342,362",220.29,222.83,219.57
07/01/2025,220.48,"396,147",213.24,223.86,213.24
06/30/2025,214.37,"354,437",214.66,214.95,213.11
06/27/2025,215.12,"510,824",215.47,216.28,213.49
06/26/2025,214.91,"337,061",213.77,216.0401,213.1634
06/25/2025,212.72,"488,089",213.0,213.9,210.3
06/24/2025,213.36,"415,804",214.12,215.36,212.48
06/23/2025,213.02,"429,796",209.39,213.26,207.51
06/20/2025,209.55,"1,803,951",215.0,215.47,209.47
06/18/2025,213.53,"483,031",212.92,215.5499,211.66
06/17/2025,214.12,"530,936",215.96,219.04,213.37
06/16/2025,218.39,"464,940",216.3,219.56,215.49
06/13/2025,214.36,"378,304",216.3,217.69,214.02
06/12/2025,218.03,"413,014",218.66,219.95,217.11
06/11/2025,219.28,"498,090",223.08,223.95,218.945
06/10/2025,223.5,"410,657",219.8,223.91,218.81
06/09/2025,219.28,"464,092",215.72,220.95,214.47
