date,close,volume,open,high,low
05/15/2026,93.36,"11,418,360",94.66,95.075,92.7
05/14/2026,95.68,"5,438,167",94.78,95.72,94.21
05/13/2026,94.85,"6,775,662",94.1,95.395,93.32
05/12/2026,94.59,"6,922,362",94.7,95.08,93.595
05/11/2026,94.84,"7,233,830",94.0,95.8,94.0
05/08/2026,93.1,"6,230,102",93.88,94.37,92.58
05/07/2026,93.32,"9,681,769",94.32,94.85,92.72
05/06/2026,95.39,"8,242,924",96.13,96.71,95.015
05/05/2026,96.28,"7,187,410",95.93,97.06,95.3
05/04/2026,95.51,"6,806,639",96.07,96.83,94.98
05/01/2026,96.95,"7,106,181",98.0,98.75,96.675
04/30/2026,97.88,"17,551,230",94.585,98.025,94.44
04/29/2026,94.17,"9,091,705",96.58,97.0,93.66
04/28/2026,96.51,"7,245,137",95.87,96.615,95.15
04/27/2026,94.83,"7,773,758",95.855,96.9,94.77
04/24/2026,95.28,"9,761,924",97.24,97.63,95.14
04/23/2026,96.25,"17,524,920",92.6,96.7,92.32
04/22/2026,90.0,"9,477,067",91.36,92.18,89.9
04/21/2026,90.6,"8,625,831",92.5,92.59,90.56
04/20/2026,92.01,"7,734,786",92.08,93.08,91.57
04/17/2026,91.98,"8,148,844",91.06,92.015,90.46
04/16/2026,91.83,"7,734,270",90.8,91.86,90.57
04/15/2026,91.24,"9,144,766",90.17,91.29,89.98
04/14/2026,91.31,"9,370,599",91.69,91.865,90.58
04/13/2026,92.3,"6,111,535",93.85,94.04,91.93
04/10/2026,94.08,"5,323,075",94.35,94.82,93.92
04/09/2026,94.48,"7,349,008",94.0,96.205,93.9675
04/08/2026,94.17,"6,935,422",93.08,94.335,92.02
04/07/2026,93.67,"6,125,410",92.87,93.67,92.1605
04/06/2026,92.73,"4,790,083",92.925,93.655,92.53
04/02/2026,93.15,"10,419,040",93.04,94.275,92.74
04/01/2026,92.85,"7,759,367",92.73,93.865,92.24
03/31/2026,92.88,"13,914,180",92.26,92.985,91.355
03/30/2026,92.05,"9,362,133",92.71,92.975,91.5
03/27/2026,91.4,"7,749,634",91.22,92.215,90.7
03/26/2026,91.16,"6,537,755",91.7,92.0,90.565
03/25/2026,91.16,"8,639,930",92.41,92.57,91.07
03/24/2026,91.62,"8,807,996",90.29,92.4999,90.05
03/23/2026,90.23,"10,284,310",91.04,91.405,90.15
03/20/2026,89.5,"21,860,770",92.74,94.21,89.17
03/19/2026,92.41,"10,538,410",90.65,92.455,90.301
03/18/2026,90.96,"7,053,722",92.26,92.53,90.61
03/17/2026,92.53,"5,496,623",93.58,93.71,92.27
03/16/2026,92.82,"8,466,066",93.9,94.44,92.24
03/13/2026,92.78,"7,504,416",92.73,93.9,92.31
03/12/2026,91.73,"8,730,027",91.2,92.73,90.81
03/11/2026,91.66,"9,735,768",91.54,92.46,91.1
03/10/2026,91.54,"7,485,901",91.71,92.14,91.06
03/09/2026,92.01,"9,563,640",90.27,92.19,89.65
03/06/2026,91.02,"9,745,149",90.55,91.63,90.01
03/05/2026,91.13,"12,093,630",92.3,92.38,89.9015
03/04/2026,92.6,"9,384,334",92.56,93.1,91.63
03/03/2026,92.59,"11,307,700",91.35,93.1,90.33
03/02/2026,92.71,"10,147,780",93.4,93.65,91.75
02/27/2026,93.77,"25,138,540",90.9,94.14,90.65
02/26/2026,91.99,"20,015,710",94.62,95.0,91.85
02/25/2026,95.11,"9,025,534",95.695,95.91,93.81
02/24/2026,95.68,"11,597,580",94.4,95.835,93.92
02/23/2026,94.06,"8,433,555",92.935,94.19,92.59
02/20/2026,92.18,"7,175,568",92.19,92.45,91.31
02/19/2026,91.64,"8,483,548",91.06,92.175,91.03
02/18/2026,91.22,"9,064,757",93.0,93.0053,90.59
02/17/2026,92.71,"9,455,448",94.91,95.56,92.28
02/13/2026,93.8,"10,402,770",91.52,94.94,91.0801
02/12/2026,91.93,"9,181,583",91.38,93.585,91.23
02/11/2026,91.36,"7,304,978",91.36,91.59,90.46
02/10/2026,90.83,"7,213,672",89.73,91.96,89.2704
02/09/2026,89.48,"6,529,158",89.34,89.78,88.75
02/06/2026,89.47,"8,225,154",90.53,90.99,88.39
02/05/2026,89.21,"9,799,393",90.0,90.49,88.09
02/04/2026,89.97,"12,182,750",89.73,90.69,88.96
02/03/2026,88.82,"9,600,167",86.68,88.89,86.68
02/02/2026,86.33,"9,423,138",88.14,88.75,86.32
01/30/2026,87.9,"10,205,300",87.9,88.29,86.16
01/29/2026,88.18,"11,202,430",88.58,89.19,87.64
01/28/2026,87.57,"8,200,027",87.72,88.62,87.06
01/27/2026,87.15,"15,472,300",84.5,88.96,83.795
01/26/2026,85.47,"10,990,610",85.27,86.28,84.84
01/23/2026,84.81,"13,302,140",85.25,85.25,84.2
01/22/2026,85.07,"9,802,319",84.58,85.51,83.67
01/21/2026,83.85,"8,296,598",84.04,84.39,83.2012
01/20/2026,83.51,"10,054,790",83.01,83.93,82.52
01/16/2026,83.63,"12,874,870",83.0,84.05,82.14
01/15/2026,82.19,"7,419,269",81.98,82.67,81.54
01/14/2026,81.98,"10,282,420",80.94,82.63,80.94
01/13/2026,81.64,"8,542,992",81.16,81.93,80.415
01/12/2026,81.12,"11,088,090",79.845,81.15,79.52
01/09/2026,79.89,"5,842,230",80.2,80.92,79.87
01/08/2026,79.49,"8,696,735",78.45,79.96,78.38
01/07/2026,78.37,"9,859,907",80.67,80.79,78.36
01/06/2026,81.05,"7,254,482",81.25,81.59,80.5046
01/05/2026,81.32,"8,301,902",81.16,81.34,79.25
01/02/2026,80.93,"8,852,857",80.45,81.02,79.585
12/31/2025,80.28,"5,036,195",80.685,80.685,80.205
12/30/2025,80.53,"4,075,907",80.2,80.669,80.15
12/29/2025,80.27,"5,854,642",80.42,81.25,80.22
12/26/2025,80.41,"3,636,427",80.48,80.64,80.0501
12/24/2025,80.45,"3,011,338",80.14,80.47,79.6901
12/23/2025,79.79,"7,874,966",80.03,80.7,79.75
12/22/2025,80.04,"7,136,210",79.02,80.1751,78.72
12/19/2025,79.54,"30,492,280",80.57,81.14,79.53
12/18/2025,80.85,"9,201,309",80.4,81.175,80.0
12/17/2025,80.29,"10,212,040",80.97,81.31,79.65
12/16/2025,81.32,"6,616,573",81.64,81.8462,80.19
12/15/2025,81.65,"9,489,842",82.01,82.24,80.53
12/12/2025,81.65,"7,783,135",81.84,82.27,81.325
12/11/2025,81.21,"9,494,052",81.25,82.41,81.065
12/10/2025,81.27,"13,341,140",80.05,81.92,79.64
12/09/2025,79.64,"13,760,420",80.8,81.135,79.5
12/08/2025,80.55,"18,136,590",83.14,83.16,80.41
12/05/2025,83.13,"8,194,564",83.51,84.195,83.06
12/04/2025,83.39,"12,489,640",84.52,84.81,82.74
12/03/2025,84.95,"9,615,114",84.66,85.97,84.5
12/02/2025,84.58,"7,086,954",84.91,85.28,84.2535
12/01/2025,84.65,"7,987,007",85.59,85.67,84.39
11/28/2025,86.29,"4,123,323",85.435,86.47,85.15
11/26/2025,85.54,"6,550,698",85.25,85.69,84.69
11/25/2025,84.83,"7,916,846",84.69,85.34,84.18
11/24/2025,84.23,"13,291,480",83.77,84.79,83.01
11/21/2025,83.48,"13,930,130",84.18,84.67,81.6405
11/20/2025,84.3,"10,966,990",84.79,86.49,84.2
11/19/2025,84.27,"11,138,730",85.12,85.34,83.92
11/18/2025,84.64,"11,061,210",86.12,86.69,84.62
11/17/2025,85.75,"11,607,950",83.69,85.77,83.69
11/14/2025,83.88,"8,352,489",83.51,84.49,82.5301
11/13/2025,83.99,"11,859,270",85.78,85.93,83.93
11/12/2025,85.89,"7,604,779",85.43,86.255,85.01
11/11/2025,85.76,"11,733,860",84.69,85.83,84.55
11/10/2025,84.77,"11,701,680",84.18,85.465,83.69
11/07/2025,83.93,"9,167,105",81.91,84.0,81.62
11/06/2025,82.0,"6,212,724",82.12,82.965,81.99
11/05/2025,82.14,"7,290,988",81.42,82.63,81.11
11/04/2025,81.69,"6,474,545",81.78,82.205,80.8
11/03/2025,81.78,"8,508,152",81.3,82.095,80.6
10/31/2025,81.4,"9,407,303",81.34,82.025,80.8617
10/30/2025,81.64,"7,620,145",81.815,82.5808,81.44
10/29/2025,81.76,"11,681,470",83.3,83.7912,81.045
10/28/2025,83.57,"13,998,070",87.52,87.53,82.91
10/27/2025,86.03,"18,741,040",83.985,87.29,83.79
10/24/2025,84.41,"6,249,998",83.58,84.7758,83.36
10/23/2025,83.25,"5,630,797",83.89,83.89,82.57
10/22/2025,82.84,"9,208,885",84.07,84.22,82.47
10/21/2025,83.99,"7,282,198",85.0,85.11,83.03
10/20/2025,84.77,"5,225,666",85.19,85.34,84.31
10/17/2025,84.53,"9,142,163",85.45,85.82,84.17
10/16/2025,85.05,"8,333,744",86.22,86.74,84.975
10/15/2025,85.79,"9,268,628",85.07,86.49,84.83
10/14/2025,84.64,"8,912,866",84.17,84.84,83.43
10/13/2025,84.3,"8,424,314",83.125,85.03,83.0095
10/10/2025,83.35,"10,285,600",83.9,84.83,83.195
10/09/2025,83.71,"7,486,115",84.46,84.82,83.45
10/08/2025,84.04,"13,775,570",83.7,84.39,82.8707
10/07/2025,83.21,"16,109,690",83.13,84.61,82.41
10/06/2025,82.11,"15,767,640",80.145,82.365,80.145
10/03/2025,80.06,"12,116,580",78.45,81.365,77.65
10/02/2025,78.18,"9,266,552",78.64,78.89,77.535
10/01/2025,78.67,"15,044,770",76.325,78.7,76.22
09/30/2025,75.49,"9,392,710",76.46,76.7,75.12
09/29/2025,76.21,"10,365,970",75.68,76.29,75.27
09/26/2025,75.85,"8,271,468",74.73,75.86,74.63
09/25/2025,74.65,"12,916,530",74.06,74.91,73.59
09/24/2025,73.83,"11,281,750",72.19,73.88,72.0508
09/23/2025,72.32,"7,795,855",72.1,72.62,71.725
09/22/2025,72.35,"9,856,721",71.4,72.54,71.27
09/19/2025,71.08,"14,819,310",70.98,71.4,70.37
09/18/2025,70.79,"8,488,453",70.0,71.0851,69.3652
09/17/2025,70.31,"10,799,590",70.28,71.01,70.1
09/16/2025,69.83,"7,930,212",71.29,71.54,69.765
09/15/2025,71.5,"10,399,060",71.58,72.2,71.3
09/12/2025,71.64,"9,345,589",71.15,72.49,70.81
09/11/2025,71.32,"7,418,268",70.975,71.44,70.51
09/10/2025,71.04,"9,254,413",70.0,71.33,69.62
09/09/2025,70.07,"7,294,486",69.66,70.315,69.54
09/08/2025,69.77,"12,596,530",70.83,70.84,69.24
09/05/2025,70.9,"10,067,580",71.25,71.73,70.255
09/04/2025,70.87,"14,596,840",72.05,72.5,70.16
09/03/2025,71.63,"7,722,299",72.12,72.6277,71.3557
09/02/2025,72.65,"8,661,508",72.27,72.66,71.49
08/29/2025,72.05,"11,280,520",72.4,72.83,71.82
08/28/2025,72.09,"10,917,220",73.26,73.48,71.9
08/27/2025,73.89,"10,119,020",74.91,75.01,73.4
08/26/2025,74.84,"7,162,661",75.44,75.75,74.43
08/25/2025,75.32,"6,338,079",75.81,76.2,75.11
08/22/2025,76.32,"13,129,290",76.65,77.09,75.425
08/21/2025,76.08,"8,637,112",76.47,77.42,75.585
08/20/2025,76.18,"11,012,040",76.72,77.26,75.83
08/19/2025,76.51,"8,047,317",75.8,76.575,75.45
08/18/2025,75.72,"12,568,360",76.11,77.31,75.31
08/15/2025,75.41,"23,398,400",72.24,76.695,71.78
08/14/2025,72.24,"6,780,960",71.8,72.51,71.3501
08/13/2025,72.3,"8,122,597",71.9,72.31,71.2
08/12/2025,71.86,"8,671,482",72.69,72.78,71.14
08/11/2025,72.45,"8,420,031",72.8,73.015,71.12
08/08/2025,72.41,"5,575,995",72.66,73.0,72.2302
08/07/2025,72.58,"7,418,564",70.67,72.66,70.67
08/06/2025,70.54,"7,720,218",71.44,71.51,70.49
08/05/2025,71.18,"7,178,889",70.86,71.935,70.655
08/04/2025,70.53,"6,543,554",70.5,71.205,70.18
08/01/2025,70.4,"6,628,715",71.43,71.79,70.34
07/31/2025,71.06,"8,845,220",70.41,71.2162,69.685
07/30/2025,70.99,"6,940,339",71.9,72.01,70.93
07/29/2025,71.95,"7,588,460",71.64,72.28,71.05
07/28/2025,71.34,"8,157,246",71.9,72.3,70.97
07/25/2025,71.85,"8,074,767",72.1,72.72,71.08
07/24/2025,71.97,"11,166,120",72.93,72.975,71.345
07/23/2025,72.82,"21,219,490",77.5,78.46,72.07
07/22/2025,77.54,"9,032,595",76.35,77.595,76.35
07/21/2025,76.17,"8,349,922",76.34,77.095,75.96
07/18/2025,75.95,"7,986,274",75.25,76.35,74.975
07/17/2025,75.18,"7,174,822",74.51,75.47,74.37
07/16/2025,74.77,"8,906,275",75.06,75.31,74.26
07/15/2025,74.7,"8,880,120",75.34,75.54,74.185
07/14/2025,75.04,"10,420,520",74.4,75.825,74.165
07/11/2025,74.4,"8,094,493",73.85,74.44,73.48
07/10/2025,74.64,"6,956,315",73.3,74.84,73.0
07/09/2025,73.65,"8,818,666",72.87,73.89,72.675
07/08/2025,72.46,"19,550,840",72.86,73.4,71.257
07/07/2025,74.75,"11,368,300",73.7,74.855,73.5
07/03/2025,73.88,"8,560,920",73.0,75.05,72.47
07/02/2025,73.02,"11,240,500",72.785,73.75,72.58
07/01/2025,73.06,"23,841,120",69.57,73.15,67.54
06/30/2025,69.42,"20,894,540",67.825,69.68,67.2
06/27/2025,70.89,"14,275,020",71.505,71.815,70.35
06/26/2025,70.99,"8,011,224",70.4,71.2,70.29
06/25/2025,70.34,"12,839,260",70.64,71.13,70.14
06/24/2025,71.4,"9,001,465",71.015,71.605,70.68
06/23/2025,70.73,"8,671,288",71.79,72.32,70.13
06/20/2025,71.53,"15,182,940",71.87,72.56,71.5
06/18/2025,71.57,"7,203,391",71.97,72.44,71.3799
06/17/2025,71.86,"12,971,300",73.33,73.62,70.45
06/16/2025,73.78,"14,545,960",75.2,75.3,72.555
06/13/2025,74.78,"13,213,700",73.79,75.25,73.39
06/12/2025,73.84,"11,022,450",73.42,74.4323,73.26
06/11/2025,73.0,"12,000,200",72.835,73.485,72.555
06/10/2025,72.81,"9,887,954",72.3,73.06,71.93
06/09/2025,71.9,"7,062,809",72.23,72.455,71.32
06/06/2025,72.16,"9,286,003",71.62,72.285,71.47
06/05/2025,71.5,"10,968,310",70.3,72.0,69.75
06/04/2025,69.88,"10,894,930",71.15,71.15,69.79
06/03/2025,70.95,"11,014,330",70.3,71.08,69.86
06/02/2025,70.15,"9,366,900",69.745,70.2,69.0377
05/30/2025,70.64,"18,802,730",68.8,70.695,68.5
05/29/2025,68.99,"11,571,350",66.77,69.1,66.77
05/28/2025,67.21,"7,835,739",67.89,68.15,66.835
05/27/2025,68.04,"10,910,710",67.75,68.3664,67.465
05/23/2025,67.76,"17,161,110",67.01,67.95,65.97
05/22/2025,66.94,"40,207,600",68.9,69.0,63.88
05/21/2025,71.54,"16,133,070",74.07,74.34,71.36
05/20/2025,74.41,"8,046,695",74.0,75.21,73.83
05/19/2025,73.86,"14,438,390",74.225,74.25,73.16
05/16/2025,75.0,"12,829,840",74.55,75.0,73.71
05/15/2025,74.55,"17,789,930",73.0,74.83,72.45
05/14/2025,72.19,"15,238,940",71.795,72.435,70.75
05/13/2025,72.11,"22,962,510",70.07,72.48,69.96
05/12/2025,69.69,"18,943,810",70.905,70.99,68.7
05/09/2025,70.31,"17,326,220",68.68,70.49,68.45
05/08/2025,68.32,"13,030,110",67.27,69.375,66.91
05/07/2025,67.36,"9,961,743",66.26,67.98,65.97
05/06/2025,66.54,"7,943,024",65.81,66.8904,65.35
05/05/2025,66.1,"7,118,165",67.0,67.03,65.88
05/02/2025,67.09,"13,333,450",66.1,67.37,65.99
05/01/2025,66.05,"11,487,950",67.49,67.63,65.94
04/30/2025,66.88,"13,763,460",67.01,67.21,65.46
04/29/2025,67.25,"8,891,809",66.05,67.395,65.72
04/28/2025,66.19,"7,123,541",66.16,66.34,65.28
04/25/2025,66.09,"9,640,220",66.655,66.87,65.36
04/24/2025,66.35,"13,724,660",67.04,67.2,65.24
04/23/2025,67.27,"19,476,240",67.55,69.1,66.99
04/22/2025,66.64,"14,352,020",65.455,66.8,65.35
04/21/2025,64.68,"11,568,660",65.82,66.06,63.64
04/17/2025,66.31,"11,212,550",66.04,67.3415,65.97
04/16/2025,65.64,"11,356,130",67.95,68.045,65.3
04/15/2025,67.66,"7,851,961",67.86,68.435,67.525
04/14/2025,67.69,"11,588,860",66.48,68.12,65.96
04/11/2025,65.81,"14,856,880",66.45,66.99,64.6
04/10/2025,66.72,"12,801,860",66.8,67.495,65.24
04/09/2025,67.58,"23,207,760",63.385,67.79,61.72
04/08/2025,64.11,"14,232,560",66.43,66.585,63.2
04/07/2025,65.06,"19,494,900",65.5,67.265,63.93
04/04/2025,66.91,"20,993,500",72.79,73.42,66.86
04/03/2025,72.14,"13,652,660",71.67,72.96,71.37
04/02/2025,70.48,"8,480,094",71.09,71.29,70.13
04/01/2025,70.92,"8,715,835",71.0,71.57,70.52
03/31/2025,70.89,"13,347,210",70.71,71.75,70.62
03/28/2025,70.45,"7,846,856",70.435,70.975,70.1664
03/27/2025,70.03,"8,748,755",69.76,71.02,69.6118
03/26/2025,69.73,"9,156,026",68.77,69.84,68.68
03/25/2025,68.59,"12,618,830",70.48,70.48,68.42
03/24/2025,70.07,"12,385,400",70.95,71.79,69.91
03/21/2025,70.88,"15,782,000",71.02,71.96,70.17
03/20/2025,71.15,"11,816,010",71.04,72.09,70.59
03/19/2025,70.5,"9,457,390",71.02,71.18,70.0
03/18/2025,70.7,"15,212,060",72.205,72.205,70.27
03/17/2025,72.11,"14,953,960",73.43,73.43,71.07
03/14/2025,73.55,"8,699,712",72.78,73.68,72.33
03/13/2025,72.73,"11,253,000",73.2,73.55,72.05
03/12/2025,72.92,"12,110,930",73.0,73.38,71.7822
03/11/2025,74.03,"14,836,830",75.9,76.26,73.2
03/10/2025,76.16,"25,263,690",73.0,76.29,72.48
03/07/2025,72.83,"13,469,720",70.18,73.12,70.06
03/06/2025,70.01,"7,482,322",70.02,70.11,69.02
03/05/2025,70.48,"7,722,573",70.53,70.89,69.39
03/04/2025,70.85,"17,869,690",71.96,73.08,70.76
03/03/2025,71.62,"9,492,200",70.05,71.7,70.0
02/28/2025,70.17,"11,247,970",69.59,70.22,69.28
02/27/2025,69.38,"9,379,812",70.57,70.91,69.31
02/26/2025,71.01,"8,010,527",71.19,71.64,70.51
02/25/2025,71.28,"14,063,440",71.2,71.705,70.68
02/24/2025,70.8,"11,971,110",71.3,71.46,69.92
02/21/2025,71.58,"16,742,520",70.14,71.97,70.01
02/20/2025,70.14,"9,340,542",69.08,70.4399,68.82
02/19/2025,69.06,"8,843,351",68.54,69.51,68.41
02/18/2025,68.5,"12,090,910",68.0,68.55,67.53
02/14/2025,68.06,"14,184,620",68.6,69.02,67.88
02/13/2025,68.6,"15,172,980",69.42,69.66,68.56
02/12/2025,69.28,"8,574,359",69.31,70.19,68.98
02/11/2025,70.33,"7,020,144",69.41,70.38,68.71
02/10/2025,69.7,"9,121,312",68.34,69.74,68.09
02/07/2025,68.27,"9,320,375",69.14,69.391,68.2
02/06/2025,69.27,"9,145,309",69.4,69.62,68.26
02/05/2025,69.2,"9,026,138",70.75,70.79,69.14
02/04/2025,69.9,"10,574,730",70.25,70.85,69.62
02/03/2025,71.05,"9,128,746",70.5,71.79,70.19
01/31/2025,71.56,"10,709,600",71.51,71.7338,70.93
01/30/2025,71.3,"8,639,210",71.99,72.0,70.79
01/29/2025,70.89,"9,496,652",70.75,71.52,70.61
01/28/2025,70.54,"16,630,490",72.33,72.88,69.92
01/27/2025,73.83,"19,128,900",73.3,73.925,70.64
01/24/2025,72.83,"24,588,510",68.1,74.05,68.0
01/23/2025,69.23,"10,780,080",68.85,69.35,68.2667
01/22/2025,68.49,"14,415,160",70.56,70.565,68.34
01/21/2025,70.85,"12,153,830",71.36,71.88,70.7817
01/17/2025,70.76,"12,664,620",71.09,71.84,70.74
01/16/2025,71.37,"11,469,450",68.96,71.42,68.89
01/15/2025,69.29,"12,416,460",69.27,70.04,69.01
01/14/2025,67.98,"10,699,320",66.98,68.01,66.88
01/13/2025,66.96,"17,056,590",67.22,67.36,65.89
01/10/2025,67.38,"16,261,770",69.99,70.07,67.0701
01/08/2025,70.66,"7,930,615",70.02,70.7,69.46
01/07/2025,70.43,"8,975,403",71.46,71.9,70.06
01/06/2025,71.24,"7,025,967",71.8,71.94,70.84
01/03/2025,71.99,"5,089,044",71.92,72.68,71.59
01/02/2025,71.61,"5,344,988",72.47,72.62,71.29
12/31/2024,71.69,"6,216,657",71.855,72.41,71.4001
12/30/2024,71.76,"8,398,953",71.68,71.91,70.98
12/27/2024,72.11,"5,458,151",71.9,72.43,71.68
12/26/2024,72.37,"4,505,047",72.48,72.9,72.27
12/24/2024,72.91,"3,001,825",72.42,72.91,72.03
12/23/2024,72.49,"7,509,001",71.34,72.53,71.25
