date,close,volume,open,high,low
05/15/2026,87.02,"32,335,660",87.69,89.49,86.685
05/14/2026,86.94,"29,408,300",87.62,88.5,86.65
05/13/2026,87.56,"30,823,500",86.565,88.62,86.28
05/12/2026,87.66,"43,556,600",85.905,89.17,85.81
05/11/2026,85.45,"40,556,460",86.525,87.34,85.1
05/08/2026,87.49,"36,215,110",87.71,88.04,87.21
05/07/2026,88.25,"30,627,600",88.2,89.3991,88.13
05/06/2026,88.27,"41,932,440",87.15,88.55,86.715
05/05/2026,87.89,"51,961,340",91.18,91.28,87.565
05/04/2026,91.02,"25,928,820",92.1,92.33,90.89
05/01/2026,92.06,"30,406,880",94.42,94.7,91.9
04/30/2026,93.61,"40,923,010",91.35,94.22,90.77
04/29/2026,92.12,"26,122,090",91.23,92.855,90.86
04/28/2026,92.27,"33,418,130",91.5,92.34,90.02
04/27/2026,91.37,"29,707,440",92.05,92.84,91.3
04/24/2026,92.44,"32,553,180",92.57,93.28,91.8
04/23/2026,92.82,"36,851,670",94.06,94.64,92.073
04/22/2026,93.24,"33,694,350",93.06,93.85,92.77
04/21/2026,92.58,"61,962,280",94.0,94.65,92.37
04/20/2026,94.83,"63,298,260",97.14,97.6,93.54
04/17/2026,97.31,"125,958,700",96.37,98.74,95.1
04/16/2026,107.79,"64,928,250",107.47,108.945,106.6201
04/15/2026,107.71,"38,023,680",105.98,107.85,105.04
04/14/2026,106.28,"40,534,870",103.12,106.57,103.04
04/13/2026,103.16,"26,042,800",103.032,103.665,102.06
04/10/2026,103.01,"25,769,910",102.47,103.08,101.46
04/09/2026,102.05,"35,087,760",99.63,102.34,99.08
04/08/2026,99.39,"30,957,620",100.32,100.4,97.44
04/07/2026,98.82,"25,016,720",98.55,99.875,98.25
04/06/2026,98.93,"37,029,330",100.96,102.685,97.97
04/02/2026,98.66,"37,068,020",95.27,98.71,95.17
04/01/2026,95.55,"30,439,310",96.47,97.2,94.264
03/31/2026,96.15,"54,269,960",93.03,96.26,93.03
03/30/2026,92.97,"32,375,140",92.75,94.49,92.22
03/27/2026,93.43,"44,590,670",94.57,95.5799,92.74
03/26/2026,93.32,"59,522,030",91.52,95.86,91.01
03/25/2026,92.28,"29,545,630",91.71,92.52,91.235
03/24/2026,90.92,"28,938,030",92.79,93.7398,90.815
03/23/2026,93.38,"34,315,870",92.04,93.98,91.86
03/20/2026,91.82,"61,678,010",91.31,91.88,90.69
03/19/2026,91.74,"40,169,250",94.31,95.75,90.775
03/18/2026,94.7,"27,878,320",94.445,95.335,93.61
03/17/2026,94.36,"26,434,500",95.3,96.34,94.01
03/16/2026,95.2,"34,931,830",95.58,96.1,94.36
03/13/2026,95.31,"29,876,660",94.64,95.68,94.24
03/12/2026,94.31,"34,206,860",94.86,95.4,93.87
03/11/2026,94.89,"33,962,860",97.41,98.0,94.685
03/10/2026,96.94,"41,027,160",97.805,98.49,96.29
03/09/2026,98.32,"48,589,010",97.7,98.94,96.58
03/06/2026,99.02,"41,196,290",99.33,99.88,97.4
03/05/2026,99.17,"53,403,050",98.5,100.19,98.1
03/04/2026,98.66,"52,604,270",97.105,99.75,96.99
03/03/2026,97.7,"59,149,000",96.01,98.46,95.33
03/02/2026,97.09,"79,915,360",95.26,98.07,95.2
02/27/2026,96.24,"200,767,000",94.295,96.75,90.58
02/26/2026,84.59,"85,642,490",83.2,86.5,82.8
02/25/2026,82.7,"69,319,330",79.43,83.117,79.25
02/24/2026,78.04,"33,079,060",75.73,78.12,75.21
02/23/2026,76.02,"38,363,020",77.79,77.83,75.01
02/20/2026,78.67,"32,411,320",76.61,78.85,76.4
02/19/2026,77.0,"30,139,200",77.75,78.7,76.59
02/18/2026,77.99,"29,883,110",77.32,78.32,76.28
02/17/2026,77.0,"35,961,510",76.92,77.87,75.3
02/13/2026,76.87,"42,292,080",76.14,77.18,75.53
02/12/2026,75.86,"73,516,070",79.11,79.15,75.23
02/11/2026,79.62,"40,840,270",81.96,82.48,79.45
02/10/2026,82.21,"43,595,790",82.715,84.66,82.09
02/09/2026,81.47,"42,200,210",82.18,82.205,79.87
02/06/2026,82.2,"46,154,060",81.02,82.485,80.65
02/05/2026,80.87,"54,805,690",81.49,83.3,80.535
