date,close,volume,open,high,low
05/15/2026,46.3,"3,908,572",47.16,47.16,46.155
05/14/2026,47.42,"2,885,053",46.92,47.435,46.89
05/13/2026,47.05,"2,684,804",47.03,47.305,46.625
05/12/2026,47.19,"4,193,310",46.97,47.485,46.81
05/11/2026,47.03,"5,078,497",47.07,47.465,46.875
05/08/2026,46.72,"3,853,305",47.24,47.3,46.655
05/07/2026,47.02,"6,155,398",47.38,47.56,46.58
05/06/2026,47.51,"12,195,040",48.305,48.64,46.95
05/05/2026,48.19,"5,278,232",48.17,48.705,47.985
05/04/2026,48.08,"5,654,086",47.91,48.38,47.68
05/01/2026,48.08,"4,686,801",48.3,48.98,48.0
04/30/2026,48.28,"10,098,580",48.15,48.915,47.29
04/29/2026,48.18,"5,855,878",48.37,48.73,48.09
04/28/2026,48.5,"8,554,484",48.54,48.67,48.16
04/27/2026,48.22,"6,147,978",48.1,48.595,48.09
04/24/2026,47.99,"3,402,992",48.28,48.345,47.915
04/23/2026,48.29,"3,982,509",47.16,48.435,47.16
04/22/2026,46.85,"4,417,324",47.31,47.58,46.49
04/21/2026,46.93,"5,130,564",48.09,48.17,46.91
04/20/2026,47.78,"4,389,157",48.17,48.455,47.64
04/17/2026,48.31,"9,707,681",48.565,48.83,47.82
04/16/2026,47.72,"4,100,709",47.29,47.785,46.99
04/15/2026,47.37,"5,035,804",47.04,47.625,46.75
04/14/2026,47.22,"4,517,388",47.11,47.365,46.7
04/13/2026,47.19,"2,964,996",47.95,48.015,46.9
04/10/2026,48.05,"3,146,885",48.37,48.63,47.885
04/09/2026,48.47,"3,704,117",48.07,48.76,48.05
04/08/2026,48.1,"3,240,855",47.57,48.14,47.31
04/07/2026,47.65,"3,546,355",47.1,47.785,46.96
04/06/2026,47.14,"2,016,455",47.25,47.52,47.08
04/02/2026,47.49,"1,982,594",46.91,47.515,46.72
04/01/2026,46.9,"2,322,569",46.58,47.245,46.43
03/31/2026,46.66,"4,802,690",46.64,46.97,46.16
03/30/2026,46.5,"2,925,431",46.84,46.89,46.24
03/27/2026,45.97,"4,288,710",45.37,46.41,45.14
03/26/2026,45.44,"2,711,270",45.46,45.85,45.36
03/25/2026,45.68,"2,171,142",46.06,46.205,45.51
03/24/2026,45.68,"3,603,524",45.16,46.09,45.12
03/23/2026,45.47,"2,447,992",46.15,46.15,45.35
03/20/2026,45.02,"5,940,773",46.67,46.83,44.67
03/19/2026,46.69,"2,445,031",46.42,46.93,46.23
03/18/2026,46.62,"2,691,693",47.1,47.1,46.47
03/17/2026,47.26,"2,228,798",47.74,47.755,47.25
03/16/2026,47.47,"2,197,717",47.88,47.9581,47.4
03/13/2026,47.39,"3,458,870",47.26,47.7,47.18
03/12/2026,46.69,"3,606,419",46.22,47.16,45.97
03/11/2026,46.26,"2,820,588",46.4,46.705,46.175
03/10/2026,46.57,"3,800,366",46.9,47.18,46.47
03/09/2026,47.03,"5,037,100",46.22,47.195,45.875
03/06/2026,46.46,"4,086,293",46.66,46.86,46.02
03/05/2026,47.04,"3,356,750",47.21,47.47,46.53
03/04/2026,47.56,"4,458,943",46.69,47.67,46.555
03/03/2026,46.74,"3,910,902",46.47,47.04,45.63
03/02/2026,47.05,"4,586,628",47.0,47.615,46.61
02/27/2026,47.3,"4,282,121",46.71,47.35,46.59
02/26/2026,46.7,"4,999,164",46.57,46.91,46.49
02/25/2026,46.53,"5,730,801",46.46,46.77,45.68
02/24/2026,46.42,"5,336,804",46.1,46.7,45.7
02/23/2026,46.2,"2,794,123",46.58,46.94,46.055
02/20/2026,46.37,"2,862,999",46.03,46.38,45.54
02/19/2026,45.82,"2,873,082",45.3,45.855,45.3
02/18/2026,45.3,"3,847,767",46.63,46.68,45.23
02/17/2026,46.71,"4,248,746",46.78,47.0487,46.55
02/13/2026,46.36,"6,190,696",45.09,46.4,44.905
02/12/2026,45.18,"6,322,884",45.12,45.76,44.61
02/11/2026,44.66,"6,876,766",45.22,45.62,44.625
02/10/2026,44.73,"6,151,148",44.6,44.995,44.285
02/09/2026,44.45,"4,887,799",44.04,44.5,43.675
02/06/2026,44.1,"3,742,837",44.35,44.53,43.405
02/05/2026,43.93,"3,327,993",44.06,44.34,43.655
02/04/2026,44.03,"7,895,843",44.22,44.5,43.855
02/03/2026,43.96,"6,061,250",43.77,44.39,43.75
02/02/2026,44.03,"4,695,805",44.42,44.785,43.93
01/30/2026,44.29,"4,945,136",44.57,44.68,43.81
01/29/2026,44.65,"4,388,665",44.67,44.95,44.16
01/28/2026,44.33,"4,950,076",44.43,44.67,44.215
01/27/2026,44.39,"3,481,508",43.94,44.5935,43.75
01/26/2026,43.91,"2,934,306",43.64,44.08,43.58
01/23/2026,43.41,"2,633,020",43.53,43.6,42.91
01/22/2026,43.52,"3,740,834",43.91,44.029,43.27
01/21/2026,43.79,"6,957,595",43.78,43.9,43.09
01/20/2026,43.4,"6,221,552",43.93,44.095,43.32
01/16/2026,43.93,"4,455,925",43.27,44.115,43.25
01/15/2026,43.53,"4,084,794",43.49,43.735,43.27
01/14/2026,43.31,"3,098,173",42.56,43.35,42.35
01/13/2026,42.45,"4,210,607",42.3,43.04,42.1
01/12/2026,42.39,"3,789,984",41.84,42.45,41.79
01/09/2026,42.03,"2,500,052",41.92,42.435,41.685
01/08/2026,41.55,"2,398,807",41.59,42.04,41.44
01/07/2026,41.54,"2,433,447",42.16,42.28,41.305
01/06/2026,41.88,"2,863,711",41.69,41.9,41.4932
01/05/2026,41.57,"3,635,890",42.05,42.05,40.8275
01/02/2026,42.16,"2,983,610",41.76,42.355,41.48
12/31/2025,41.76,"2,204,320",42.05,42.075,41.62
12/30/2025,42.05,"2,577,603",41.97,42.2,41.77
12/29/2025,41.93,"2,260,911",41.75,42.12,41.75
12/26/2025,41.72,"1,269,451",41.87,41.905,41.61
12/24/2025,41.88,"1,251,286",41.62,41.92,41.48
12/23/2025,41.6,"3,271,418",41.54,41.7978,41.345
12/22/2025,41.45,"2,872,586",40.89,41.495,40.745
12/19/2025,40.97,"6,079,044",41.51,41.585,40.96
12/18/2025,41.51,"4,575,585",41.41,41.86,41.41
12/17/2025,41.25,"4,029,808",41.61,41.8,41.14
12/16/2025,41.43,"3,230,372",41.88,41.93,41.37
12/15/2025,41.83,"2,175,083",41.56,41.875,41.33
12/12/2025,41.41,"2,384,754",41.78,42.025,41.31
12/11/2025,41.69,"2,494,675",41.33,41.89,41.33
12/10/2025,41.33,"4,002,567",41.47,41.5,41.21
12/09/2025,41.44,"2,382,095",41.58,41.815,41.4
12/08/2025,41.32,"2,675,142",41.96,41.985,41.29
12/05/2025,42.0,"2,841,118",41.75,42.26,41.75
12/04/2025,41.89,"5,859,869",42.14,42.42,41.35
12/03/2025,41.88,"4,332,842",42.41,42.51,41.705
12/02/2025,42.26,"2,209,572",43.21,43.54,42.25
12/01/2025,43.0,"3,468,577",43.88,44.022,42.965
11/28/2025,44.13,"1,128,690",43.79,44.2,43.67
11/26/2025,43.76,"2,770,726",43.28,43.81,43.19
11/25/2025,43.14,"3,004,434",43.41,43.6,42.835
11/24/2025,43.41,"7,441,651",42.8,43.91,42.61
11/21/2025,42.78,"4,750,050",42.57,42.89,42.265
11/20/2025,42.4,"2,585,598",43.05,43.62,42.375
11/19/2025,42.7,"2,659,272",43.02,43.2,42.6
11/18/2025,43.06,"2,502,694",43.2,43.43,42.945
11/17/2025,43.18,"2,268,080",43.12,43.25,42.79
11/14/2025,42.88,"3,304,355",42.65,43.03,42.46
11/13/2025,42.96,"5,633,572",43.49,43.565,42.23
11/12/2025,43.64,"3,646,460",43.85,44.08,43.559
11/11/2025,43.94,"3,062,921",43.67,43.98,43.33
11/10/2025,43.72,"3,113,898",43.42,43.87,43.26
11/07/2025,43.55,"3,340,999",42.8,43.56,42.6
11/06/2025,42.78,"4,379,022",42.79,43.045,42.41
11/05/2025,42.87,"3,773,501",42.83,42.91,42.06
11/04/2025,42.87,"4,381,008",42.48,42.915,42.08
11/03/2025,42.58,"5,934,796",41.97,42.6,41.505
10/31/2025,42.11,"7,328,015",42.21,42.275,41.61
10/30/2025,42.13,"8,511,027",42.43,42.7,41.655
10/29/2025,42.46,"10,825,750",44.5,44.88,42.07
10/28/2025,43.39,"5,155,650",44.0,44.03,43.14
10/27/2025,43.73,"2,931,467",43.62,43.76,43.17
10/24/2025,43.63,"2,718,061",44.06,44.16,43.485
10/23/2025,43.87,"5,265,388",44.37,44.45,43.35
10/22/2025,44.13,"5,448,206",43.97,44.27,43.65
10/21/2025,43.71,"4,002,868",43.95,44.115,43.435
10/20/2025,43.85,"3,402,628",43.99,44.05,43.57
10/17/2025,43.25,"2,113,143",43.27,43.45,42.945
10/16/2025,43.22,"4,101,886",43.66,44.048,43.05
10/15/2025,43.55,"3,402,257",43.01,43.61,42.75
10/14/2025,42.93,"3,922,973",42.67,43.225,42.62
10/13/2025,42.73,"3,552,743",43.0,43.43,42.675
