date,close,volume,open,high,low
05/15/2026,95.07,"34,569,750",92.09,96.67,91.97
05/14/2026,90.5,"25,571,510",87.32,92.0,85.44
05/13/2026,87.05,"22,107,020",88.58,88.58,86.0104
05/12/2026,89.0,"22,354,590",92.465,92.77,88.685
05/11/2026,91.49,"21,402,860",91.04,94.75,90.47
05/08/2026,91.18,"24,699,020",91.13,91.85,88.99
05/07/2026,93.59,"27,960,740",92.17,95.56,91.89
05/06/2026,89.05,"23,117,900",91.6,91.68,88.21
05/05/2026,92.01,"22,756,770",92.25,92.8877,89.14
05/04/2026,91.97,"21,863,490",91.27,95.62,91.1
05/01/2026,91.16,"22,911,830",90.93,92.6049,87.87
04/30/2026,88.31,"22,152,200",87.95,88.71,85.88
04/29/2026,88.89,"18,646,580",89.06,89.3,87.1
04/28/2026,90.49,"20,990,420",91.1,93.0,90.1335
04/27/2026,90.45,"32,789,130",89.06,94.03,87.81
04/24/2026,90.17,"39,011,790",85.78,90.39,84.93
04/23/2026,84.78,"84,103,050",87.25,90.02,83.58
04/22/2026,103.07,"35,714,830",101.5,104.31,101.03
04/21/2026,100.14,"24,147,880",100.35,104.5,99.06
04/20/2026,99.72,"20,306,570",97.44,100.6697,96.81
04/17/2026,96.66,"17,754,620",97.95,98.8248,96.13
04/16/2026,96.44,"21,971,840",97.61,99.3889,95.372
04/15/2026,94.19,"25,835,930",90.195,94.83,89.2
04/14/2026,87.79,"25,132,670",90.74,92.4,87.115
04/13/2026,89.06,"31,675,450",84.77,89.24,84.1806
04/10/2026,83.0,"58,715,600",88.91,88.91,81.24
04/09/2026,89.81,"42,131,520",96.5,97.16,88.6611
04/08/2026,97.47,"19,796,900",104.76,105.58,96.96
04/07/2026,100.55,"12,008,230",102.77,103.96,99.5
04/06/2026,102.42,"9,141,302",102.965,103.33,100.4
04/02/2026,102.0,"16,629,940",101.79,103.41,98.455
04/01/2026,104.04,"12,439,650",105.23,105.9,102.01
03/31/2026,104.55,"16,821,310",105.54,106.58,104.06
03/30/2026,104.97,"18,685,640",100.06,105.99,99.5
03/27/2026,99.41,"18,109,920",102.64,102.67,98.34
03/26/2026,103.64,"11,595,350",102.42,105.84,100.88
03/25/2026,103.06,"14,728,640",106.5,106.88,101.14
03/24/2026,104.65,"17,835,240",109.14,109.25,104.32
03/23/2026,110.95,"12,219,080",110.76,113.25,109.89
03/20/2026,110.38,"18,863,010",111.3,112.15,109.12
03/19/2026,113.27,"11,361,580",114.18,117.09,111.945
03/18/2026,113.71,"10,080,120",115.0,117.44,113.53
03/17/2026,116.72,"13,368,490",115.4,118.99,114.2
03/16/2026,114.88,"12,289,430",116.9,117.2,113.8
03/13/2026,113.62,"14,846,420",112.81,115.9099,111.71
03/12/2026,112.97,"18,372,090",115.28,117.21,112.42
03/11/2026,115.63,"14,594,930",117.4,118.83,113.6
03/10/2026,116.61,"21,872,620",120.99,121.43,114.66
03/09/2026,121.93,"20,324,660",123.06,126.67,121.2853
03/06/2026,124.34,"25,972,280",120.5,124.66,120.175
03/05/2026,120.38,"26,567,950",114.77,122.08,114.13
