date,close,volume,open,high,low
05/15/2026,127.81,"2,722,175",132.0,132.25,127.64
05/14/2026,134.72,"2,783,759",130.95,134.9,130.7
05/13/2026,131.08,"5,065,237",137.15,137.99,129.2379
05/12/2026,137.34,"3,273,778",136.0,138.405,134.04
05/11/2026,137.3,"2,886,346",138.04,139.1075,136.97
05/08/2026,138.11,"2,475,003",143.55,144.96,137.76
05/07/2026,141.86,"4,355,253",150.86,151.3425,141.55
05/06/2026,150.64,"3,887,112",153.18,157.83,149.0
05/05/2026,157.43,"2,432,230",156.44,159.25,156.09
05/04/2026,154.82,"1,883,583",153.0,156.36,152.34
05/01/2026,153.37,"2,380,555",154.82,156.99,152.15
04/30/2026,155.58,"2,075,281",151.03,155.86,150.83
04/29/2026,149.01,"1,820,563",154.82,156.16,148.65
04/28/2026,154.81,"2,171,765",156.56,159.25,154.72
04/27/2026,160.15,"1,825,382",160.89,161.36,157.39
04/24/2026,159.81,"1,985,691",154.86,160.67,153.985
04/23/2026,154.53,"3,670,493",150.17,154.53,148.79
04/22/2026,149.6,"3,165,825",151.79,153.08,148.97
04/21/2026,149.86,"3,240,970",156.75,158.5,149.66
04/20/2026,157.18,"3,831,016",169.14,169.78,156.25
04/17/2026,167.73,"3,433,241",169.0,171.35,166.29
04/16/2026,168.5,"2,754,774",168.71,171.035,166.32
04/15/2026,168.45,"3,048,763",170.08,170.465,165.82
04/14/2026,170.96,"2,487,021",172.04,175.515,169.34
04/13/2026,170.24,"2,682,739",161.98,170.43,160.885
04/10/2026,164.07,"2,052,845",162.18,166.89,162.0
04/09/2026,161.78,"2,133,077",160.68,167.06,160.68
04/08/2026,160.3,"2,312,781",160.46,161.09,157.36
04/07/2026,153.06,"1,856,380",149.19,153.27,149.19
04/06/2026,149.8,"2,126,689",152.45,153.81,149.76
04/02/2026,152.69,"3,183,391",145.85,152.8,145.85
04/01/2026,149.9,"1,829,229",147.93,150.88,146.38
03/31/2026,146.14,"3,052,526",142.09,146.89,141.5
03/30/2026,141.23,"2,471,161",150.49,151.2561,139.89
03/27/2026,147.74,"1,801,482",146.29,150.56,146.01
03/26/2026,146.14,"2,419,580",148.91,150.55,144.38
03/25/2026,151.04,"1,961,079",152.64,154.82,150.36
03/24/2026,151.13,"1,776,968",150.95,155.055,150.42
03/23/2026,151.77,"1,845,064",148.0,154.7,146.98
03/20/2026,145.8,"4,161,661",161.51,162.5,144.6
03/19/2026,161.4,"1,917,357",156.63,162.98,154.795
03/18/2026,159.11,"3,329,970",158.06,162.415,157.0
03/17/2026,154.75,"1,829,606",153.82,155.81,152.62
03/16/2026,152.48,"2,224,310",156.0,157.56,151.68
03/13/2026,152.87,"1,775,178",154.53,154.755,151.255
03/12/2026,152.1,"2,596,747",146.6,152.5,146.25
03/11/2026,148.63,"3,372,553",154.21,154.5,147.53
03/10/2026,155.15,"2,847,350",156.0,159.37,155.0
03/09/2026,155.42,"3,177,580",150.68,155.6,149.0
03/06/2026,154.32,"4,553,665",158.79,159.43,154.22
03/05/2026,160.46,"4,079,234",162.0,165.16,158.03
03/04/2026,163.54,"9,060,083",162.07,166.4299,161.9
03/03/2026,162.06,"11,470,690",162.85,164.06,158.0
03/02/2026,175.58,"1,770,884",175.69,181.5799,174.04
02/27/2026,178.96,"2,614,116",179.98,181.09,174.21
02/26/2026,181.34,"2,365,356",183.0,183.68,173.58
02/25/2026,183.59,"2,648,931",186.56,189.96,180.89
02/24/2026,184.03,"3,754,133",173.27,184.835,163.7618
02/23/2026,176.52,"2,195,528",177.54,182.04,175.11
02/20/2026,179.18,"2,185,147",175.14,180.11,174.0
02/19/2026,175.01,"1,623,377",170.48,175.28,169.66
02/18/2026,171.06,"1,518,180",174.5,176.44,170.55
02/17/2026,173.45,"2,414,565",173.12,177.71,170.86
02/13/2026,172.35,"3,348,867",161.69,172.68,161.535
02/12/2026,161.8,"2,535,157",162.21,166.25,158.46
02/11/2026,160.63,"1,665,581",158.45,160.96,156.62
02/10/2026,156.43,"1,749,763",157.02,158.69,154.01
02/09/2026,155.72,"1,744,272",154.17,158.35,152.785
02/06/2026,153.32,"2,064,218",148.96,153.57,148.01
02/05/2026,144.44,"2,441,234",142.38,147.46,141.81
02/04/2026,143.99,"3,453,334",151.91,153.47,140.49
02/03/2026,152.18,"2,038,882",151.61,154.56,147.72
02/02/2026,149.11,"1,886,530",152.11,153.32,148.58
01/30/2026,152.63,"1,720,209",153.11,156.975,150.87
01/29/2026,153.72,"1,625,098",155.39,157.2,151.18
01/28/2026,155.11,"1,607,987",157.0,157.5,153.0
01/27/2026,156.04,"1,539,088",149.32,156.415,149.32
01/26/2026,149.93,"1,834,211",150.21,151.33,148.9901
01/23/2026,149.3,"2,296,446",150.98,152.24,146.91
01/22/2026,151.09,"1,713,384",152.82,153.56,149.56
01/21/2026,150.68,"1,702,903",151.26,151.9199,147.24
01/20/2026,148.91,"1,908,452",146.59,152.59,145.52
01/16/2026,152.05,"3,462,598",153.75,156.7799,148.865
01/15/2026,158.5,"2,336,892",152.03,159.25,151.395
01/14/2026,149.83,"1,775,528",149.26,150.62,147.51
01/13/2026,150.59,"1,715,146",149.27,152.35,148.39
01/12/2026,148.89,"2,024,678",146.56,149.74,146.0
01/09/2026,149.27,"2,505,701",150.64,151.79,147.62
01/08/2026,143.53,"2,549,911",148.06,148.99,141.97
01/07/2026,148.91,"2,619,872",157.51,157.88,148.2
01/06/2026,159.63,"2,038,754",161.21,161.21,155.825
01/05/2026,161.59,"1,700,778",168.49,170.24,159.0
01/02/2026,166.16,"1,328,729",161.58,166.66,160.96
12/31/2025,159.24,"776,650",160.84,161.195,159.19
12/30/2025,160.43,"719,778",161.45,162.0,159.56
12/29/2025,160.96,"1,377,633",160.61,164.06,160.35
12/26/2025,160.88,"1,099,575",160.1,161.52,158.39
12/24/2025,160.56,"553,362",157.87,161.139,156.94
12/23/2025,158.11,"1,297,854",156.93,159.7099,156.65
12/22/2025,156.96,"1,267,502",158.1,158.1,154.355
12/19/2025,156.2,"3,893,964",154.86,157.58,154.7
12/18/2025,154.64,"2,218,340",154.29,158.21,152.09
12/17/2025,149.48,"4,748,365",160.54,161.0775,147.98
12/16/2025,160.15,"1,535,226",159.62,162.265,157.45
12/15/2025,159.99,"1,674,699",161.89,163.06,159.27
12/12/2025,161.44,"2,018,205",172.0,172.4,160.579
12/11/2025,170.64,"1,558,983",165.02,170.84,164.265
12/10/2025,168.16,"1,636,165",167.43,170.06,163.25
12/09/2025,166.75,"1,822,468",165.41,171.565,164.31
12/08/2025,164.11,"1,639,388",164.19,167.18,162.21
12/05/2025,163.0,"1,864,827",168.87,170.249,162.79
12/04/2025,169.36,"1,366,059",166.14,170.1899,165.9975
12/03/2025,166.77,"1,291,292",163.76,167.0,160.22
12/02/2025,164.08,"1,444,666",166.94,168.08,162.76
12/01/2025,165.66,"1,276,045",167.55,167.565,163.76
11/28/2025,169.49,"944,859",170.0,171.77,168.405
11/26/2025,168.54,"1,340,474",165.88,169.91,165.605
11/25/2025,163.81,"1,628,772",167.19,168.325,161.0
11/24/2025,166.85,"2,531,810",160.34,167.97,158.945
11/21/2025,159.2,"2,119,421",160.53,161.395,155.39
11/20/2025,160.46,"2,071,467",173.95,174.73,160.35
11/19/2025,168.8,"2,295,859",166.29,173.52,166.26
11/18/2025,166.45,"2,451,805",161.36,168.7,161.14
11/17/2025,163.21,"1,492,254",165.19,169.25,162.23
11/14/2025,165.19,"2,085,932",161.25,171.2,160.06
11/13/2025,166.15,"2,725,495",167.74,169.23,164.935
11/12/2025,168.84,"2,048,582",164.05,169.46,162.9
11/11/2025,162.84,"2,015,765",164.47,167.15,160.76
11/10/2025,166.72,"2,225,486",175.65,176.7299,164.1
11/07/2025,172.5,"2,530,944",164.98,172.5,162.0
11/06/2025,170.1,"3,293,253",169.27,177.085,164.945
11/05/2025,173.19,"3,047,213",167.7,175.27,167.455
11/04/2025,167.99,"1,835,826",171.66,172.02,166.9
11/03/2025,174.48,"1,593,331",173.58,176.76,171.17
10/31/2025,171.86,"1,567,808",175.29,176.98,170.36
10/30/2025,173.14,"1,769,207",176.43,180.08,172.87
10/29/2025,178.5,"2,483,095",173.68,180.54,170.5
10/28/2025,172.76,"2,472,194",173.5,173.9,165.84
10/27/2025,172.59,"1,602,458",172.28,173.35,169.8101
10/24/2025,170.36,"1,596,170",167.45,170.57,167.08
10/23/2025,163.81,"2,226,112",161.66,163.98,160.31
10/22/2025,160.42,"2,916,195",164.02,165.37,158.31
10/21/2025,163.59,"2,071,021",166.52,167.91,160.19
10/20/2025,167.01,"1,768,846",171.81,172.9,166.31
10/17/2025,168.74,"2,091,700",168.66,172.4,165.88
10/16/2025,169.93,"2,181,634",173.09,173.995,165.74
10/15/2025,171.33,"2,111,137",168.19,173.36,167.86
10/14/2025,165.61,"1,680,882",165.57,168.98,163.09
10/13/2025,168.77,"1,965,430",164.19,168.78,164.16
10/10/2025,160.43,"1,846,217",167.72,168.83,160.38
10/09/2025,168.25,"1,973,685",168.21,169.99,166.92
10/08/2025,167.52,"2,587,632",164.59,169.33,163.5
10/07/2025,162.61,"2,648,515",164.32,165.8,162.07
10/06/2025,163.95,"2,408,362",168.97,169.9699,163.1
10/03/2025,166.28,"2,270,164",168.23,172.205,165.83
10/02/2025,167.3,"2,642,376",162.97,168.575,162.48
10/01/2025,161.91,"3,233,027",161.68,165.45,160.57
09/30/2025,161.95,"2,449,033",165.4,165.83,161.05
09/29/2025,165.34,"2,686,479",169.31,170.095,164.66
09/26/2025,168.57,"2,443,292",163.78,169.445,162.9
09/25/2025,162.96,"2,226,438",160.96,164.96,157.9
09/24/2025,165.58,"2,133,866",167.71,169.15,165.5
09/23/2025,167.43,"2,527,267",171.16,171.57,165.18
09/22/2025,170.97,"2,580,123",164.95,172.04,163.5001
09/19/2025,164.36,"4,195,856",165.04,165.78,161.89
