date,close,volume,open,high,low
05/15/2026,315.95,"1,599,881",316.15,317.91,314.0
05/14/2026,317.64,"607,119",311.91,317.71,309.825
05/13/2026,310.58,"675,414",312.27,315.219,310.29
05/12/2026,312.35,"865,209",311.88,313.935,308.83
05/11/2026,311.11,"2,011,393",313.39,316.0,310.77
05/08/2026,312.01,"1,705,869",311.65,315.02,311.65
05/07/2026,313.39,"862,270",317.79,318.0,313.27
05/06/2026,317.25,"1,025,991",315.0,319.98,314.835
05/05/2026,313.57,"594,996",312.35,314.53,310.44
05/04/2026,311.66,"715,370",313.0,315.459,310.2001
05/01/2026,315.9,"922,205",318.06,318.06,315.07
04/30/2026,315.83,"1,893,365",311.46,315.94,311.46
04/29/2026,312.12,"948,934",316.04,316.949,311.57
04/28/2026,316.71,"933,201",321.0,321.18,315.66
04/27/2026,318.89,"1,080,675",318.74,321.0,316.27
04/24/2026,319.71,"896,018",323.36,323.37,318.24
04/23/2026,321.44,"1,413,472",306.14,322.2,304.3849
04/22/2026,298.33,"896,138",303.94,305.605,298.01
04/21/2026,302.22,"901,698",305.02,305.98,300.76
04/20/2026,304.13,"1,127,981",302.31,305.65,300.06
04/17/2026,302.38,"1,454,605",302.51,306.74,301.89
04/16/2026,302.63,"1,515,900",298.08,302.66,296.37
04/15/2026,297.71,"1,474,987",299.63,299.68,295.55
04/14/2026,299.7,"1,055,874",296.42,300.12,294.75
04/13/2026,297.56,"818,266",295.44,297.64,294.04
04/10/2026,296.29,"1,436,625",295.06,297.19,294.0
04/09/2026,295.3,"1,704,082",293.45,296.53,292.94
04/08/2026,294.1,"1,899,416",292.4,295.595,291.85
04/07/2026,288.5,"1,328,987",288.05,289.85,286.59
04/06/2026,288.05,"1,286,883",287.87,290.33,286.94
04/02/2026,288.0,"2,064,529",286.0,290.0,284.77
04/01/2026,287.0,"1,770,964",288.58,291.02,287.0
03/31/2026,287.0,"2,141,085",285.13,289.11,281.73
03/30/2026,282.33,"936,408",286.2,287.2,282.07
03/27/2026,283.25,"1,214,731",281.11,285.16,280.94
03/26/2026,283.28,"2,167,964",281.66,283.53,279.74
03/25/2026,282.61,"1,166,675",286.01,286.215,282.23
03/24/2026,283.64,"876,907",282.71,287.96,282.05
03/23/2026,284.95,"1,001,482",285.74,288.14,284.31
03/20/2026,281.09,"1,643,386",279.34,282.49,277.9
03/19/2026,278.19,"2,011,345",284.35,284.675,278.05
03/18/2026,284.36,"1,113,812",290.43,291.14,283.8775
03/17/2026,291.32,"601,750",293.49,293.85,289.335
03/16/2026,290.7,"734,410",292.98,294.29,290.49
03/13/2026,289.37,"745,256",292.82,292.82,288.1
03/12/2026,291.26,"1,015,106",295.33,295.33,290.22
03/11/2026,297.56,"1,613,832",295.77,298.98,294.51
03/10/2026,298.49,"1,289,268",301.51,303.6,298.41
03/09/2026,302.43,"1,980,780",299.68,303.25,295.4101
03/06/2026,302.84,"1,832,657",308.0,309.52,300.26
03/05/2026,310.92,"852,396",315.92,317.92,310.62
03/04/2026,317.83,"2,111,678",317.32,318.79,314.54
03/03/2026,317.26,"1,393,259",313.04,317.5,309.72
03/02/2026,317.47,"1,016,315",315.68,318.46,312.01
02/27/2026,314.74,"2,128,665",311.87,315.12,311.03
