date,close,volume,open,high,low
05/15/2026,227.02,"1,346,274",229.29,229.645,226.11
05/14/2026,232.85,"1,012,678",233.42,234.21,230.795
05/13/2026,232.34,"1,351,694",231.38,235.45,230.0
05/12/2026,229.83,"1,626,621",231.03,231.99,228.8175
05/11/2026,232.0,"1,612,010",229.02,232.96,226.6743
05/08/2026,227.5,"965,201",228.01,229.8799,225.89
05/07/2026,226.7,"1,766,982",233.92,233.92,225.3
05/06/2026,234.22,"1,220,558",234.72,235.44,230.315
05/05/2026,232.07,"1,398,198",227.97,233.735,227.59
05/04/2026,225.81,"979,807",226.0,226.89,222.7901
05/01/2026,226.04,"1,227,810",226.0,227.96,224.2138
04/30/2026,225.29,"2,314,291",222.0,227.155,220.08
04/29/2026,222.39,"1,633,230",226.0,226.89,220.71
04/28/2026,225.11,"3,584,680",220.15,227.48,214.1301
04/27/2026,215.0,"1,414,388",214.08,217.38,213.14
04/24/2026,214.29,"1,260,620",213.96,214.82,210.83
04/23/2026,212.95,"1,990,832",215.0,215.78,210.32
04/22/2026,214.26,"2,319,445",211.1,216.26,210.121
04/21/2026,208.06,"1,941,376",202.66,210.165,202.66
04/20/2026,202.26,"1,370,817",195.05,203.045,195.01
04/17/2026,195.87,"1,546,250",192.4,197.13,191.28
04/16/2026,191.85,"1,311,672",190.5,193.34,189.715
04/15/2026,189.6,"1,044,272",190.04,190.525,187.67
04/14/2026,190.04,"982,860",190.55,191.62,188.76
04/13/2026,189.67,"1,137,747",186.12,189.87,186.12
04/10/2026,186.12,"1,644,305",185.5,188.22,185.41
04/09/2026,184.0,"1,538,338",181.75,184.53,181.265
04/08/2026,182.16,"1,674,056",178.53,182.34,177.73
04/07/2026,173.26,"1,685,925",170.39,173.66,170.295
04/06/2026,169.59,"932,155",170.99,172.86,167.35
04/02/2026,172.46,"1,209,889",171.61,174.615,170.0
04/01/2026,173.72,"1,413,141",171.25,175.28,170.96
03/31/2026,169.1,"1,515,660",165.95,169.64,165.1301
03/30/2026,164.75,"853,488",165.0,167.35,163.62
03/27/2026,163.37,"1,080,903",165.47,166.24,162.6
03/26/2026,166.01,"1,444,863",165.55,167.975,165.3
03/25/2026,165.17,"1,402,275",164.67,166.35,163.945
03/24/2026,162.74,"1,874,908",160.17,163.12,160.09
03/23/2026,160.62,"2,185,906",162.82,163.45,160.285
03/20/2026,158.58,"2,711,069",164.24,164.24,157.84
03/19/2026,161.95,"1,476,160",157.88,163.14,155.14
03/18/2026,161.16,"1,149,933",161.96,164.595,160.78
03/17/2026,162.08,"918,528",162.91,164.43,161.85
