date,close,volume,open,high,low
05/15/2026,25.92,"3,342,466",26.25,26.45,25.79
05/14/2026,26.25,"4,241,284",26.73,26.88,26.04
05/13/2026,26.66,"3,960,325",26.42,26.875,26.42
05/12/2026,26.54,"5,325,040",27.01,27.21,26.305
05/11/2026,27.01,"6,803,633",27.36,27.73,26.37
05/08/2026,27.02,"8,656,943",26.81,27.03,25.97
05/07/2026,27.04,"7,251,258",26.2,27.06,26.04
05/06/2026,26.2,"5,924,588",25.7,26.555,25.7
05/05/2026,25.44,"5,009,375",26.2,26.24,25.275
05/04/2026,25.8,"4,263,226",26.2,26.39,25.78
05/01/2026,26.24,"4,174,369",26.09,26.7,26.09
04/30/2026,26.32,"4,311,120",26.01,26.58,25.94
04/29/2026,26.24,"3,458,148",26.09,26.265,25.8401
04/28/2026,26.16,"4,298,372",26.56,26.645,26.135
04/27/2026,26.41,"2,867,984",26.12,26.605,26.12
04/24/2026,26.2,"3,561,266",26.49,26.535,26.08
04/23/2026,26.31,"3,151,977",26.54,26.67,25.94
04/22/2026,26.65,"3,005,334",26.23,26.875,25.87
04/21/2026,26.42,"3,740,333",25.95,26.515,25.81
04/20/2026,25.97,"2,490,283",25.97,26.115,25.84
04/17/2026,26.01,"2,646,200",25.82,26.215,25.59
04/16/2026,25.79,"3,079,059",25.47,25.87,25.36
04/15/2026,25.33,"3,202,090",25.28,25.56,25.13
04/14/2026,25.03,"2,835,525",24.96,25.4,24.915
04/13/2026,24.94,"3,761,427",24.41,24.96,24.4
04/10/2026,24.48,"2,598,211",24.5,24.725,24.42
04/09/2026,24.59,"3,110,643",24.77,24.89,24.48
04/08/2026,24.89,"3,687,820",24.6,24.965,24.6
04/07/2026,24.43,"2,754,589",24.35,24.65,24.35
04/06/2026,24.47,"2,669,686",24.39,24.69,24.2186
04/02/2026,24.4,"4,775,653",24.53,24.69,24.075
04/01/2026,24.71,"5,604,637",25.03,25.425,24.5
03/31/2026,24.93,"30,508,070",25.07,25.51,24.62
03/30/2026,24.78,"5,405,724",24.38,24.83,24.32
03/27/2026,24.24,"4,715,705",24.18,24.47,23.895
03/26/2026,24.26,"2,223,317",24.1,24.465,24.1
03/25/2026,24.27,"2,832,557",24.17,24.355,23.785
03/24/2026,23.97,"4,504,914",24.02,24.225,23.78
03/23/2026,24.26,"4,769,518",24.45,24.64,24.15
03/20/2026,24.05,"5,990,080",23.84,24.23,23.78
03/19/2026,23.93,"4,228,558",24.0,24.396,23.51
03/18/2026,24.1,"5,458,046",24.23,24.515,24.01
03/17/2026,24.34,"3,057,299",24.38,24.6172,24.25
03/16/2026,24.2,"3,786,183",23.8,24.36,23.8
03/13/2026,23.7,"3,298,223",23.93,24.005,23.55
03/12/2026,23.58,"3,658,690",23.92,24.285,23.525
03/11/2026,24.24,"3,758,577",23.9,24.385,23.9
03/10/2026,24.03,"3,850,598",24.5,24.52,23.92
03/09/2026,24.54,"3,224,028",24.35,24.595,23.97
03/06/2026,24.62,"3,647,031",24.04,24.62,23.87
03/05/2026,24.28,"2,614,751",24.1,24.57,24.045
03/04/2026,24.03,"2,523,118",23.81,24.34,23.785
03/03/2026,23.81,"4,172,389",23.54,24.08,23.54
03/02/2026,23.97,"4,251,995",24.0,24.19,23.76
02/27/2026,24.29,"4,757,254",24.21,24.435,23.97
02/26/2026,24.32,"3,435,159",23.59,24.405,23.59
02/25/2026,23.58,"2,905,603",23.25,23.585,23.05
02/24/2026,23.18,"4,071,676",22.91,23.4,22.83
02/23/2026,23.0,"4,045,928",23.48,23.61,22.915
02/20/2026,23.65,"6,508,904",23.27,23.8,23.2
02/19/2026,23.36,"2,943,561",23.38,23.455,23.175
02/18/2026,23.35,"3,299,003",23.22,23.455,22.95
02/17/2026,23.19,"4,235,055",22.76,23.289,22.745
02/13/2026,22.72,"3,415,463",22.43,22.765,22.31
02/12/2026,22.4,"5,443,474",23.32,23.445,22.235
02/11/2026,23.22,"4,458,761",23.49,23.645,22.99
02/10/2026,23.58,"5,487,308",22.87,23.77,22.83
02/09/2026,22.74,"7,581,470",22.45,22.91,22.2
02/06/2026,22.5,"9,160,402",24.01,24.16,22.405
02/05/2026,24.21,"8,195,621",24.77,24.895,23.615
02/04/2026,24.69,"7,794,571",24.75,24.99,24.42
02/03/2026,25.01,"5,450,684",26.49,26.61,24.85
02/02/2026,26.77,"3,253,965",27.12,27.21,26.57
01/30/2026,27.03,"3,436,280",26.77,27.09,26.58
01/29/2026,26.77,"3,061,769",26.67,26.81,26.3
01/28/2026,26.59,"3,943,933",26.66,26.99,26.52
01/27/2026,26.65,"2,787,183",26.82,26.905,26.56
01/26/2026,26.9,"2,424,102",26.92,26.97,26.69
01/23/2026,26.83,"2,873,709",26.63,26.88,26.565
01/22/2026,26.73,"3,806,205",26.21,26.85,26.17
01/21/2026,26.13,"2,521,135",26.02,26.32,26.01
01/20/2026,25.87,"2,972,977",26.12,26.4,25.805
01/16/2026,26.25,"3,452,607",26.74,26.83,26.135
01/15/2026,26.7,"2,434,996",26.85,26.915,26.605
01/14/2026,26.79,"2,424,346",26.55,26.79,26.545
01/13/2026,26.63,"2,319,701",26.47,26.66,26.24
01/12/2026,26.54,"2,369,813",26.38,26.66,26.365
01/09/2026,26.47,"2,226,768",26.46,26.595,26.33
01/08/2026,26.45,"3,099,653",26.3,26.695,26.205
01/07/2026,26.41,"3,193,097",26.47,26.68,26.26
01/06/2026,26.46,"3,755,123",26.11,26.51,26.03
01/05/2026,26.19,"3,563,003",26.08,26.62,26.03
01/02/2026,26.19,"4,017,238",26.14,26.35,25.89
12/31/2025,26.12,"2,164,490",26.32,26.41,26.045
12/30/2025,26.39,"2,377,820",26.15,26.495,26.15
12/29/2025,26.25,"2,953,581",26.22,26.4875,26.125
12/26/2025,26.22,"2,055,908",26.37,26.53,26.17
12/24/2025,26.44,"1,606,034",26.36,26.55,26.285
12/23/2025,26.4,"2,810,909",26.3,26.42,26.22
12/22/2025,26.27,"3,350,629",26.16,26.45,26.105
12/19/2025,26.08,"14,248,290",25.87,26.36,25.8
12/18/2025,26.23,"4,114,367",26.12,26.55,26.06
12/17/2025,26.03,"5,781,689",25.9,26.24,25.75
12/16/2025,25.89,"5,639,097",26.06,26.23,25.74
12/15/2025,26.05,"3,627,451",26.29,26.33,25.995
12/12/2025,26.22,"2,535,617",26.33,26.46,26.165
12/11/2025,26.1,"2,104,076",26.18,26.45,26.03
12/10/2025,26.12,"2,834,711",25.91,26.205,25.82
12/09/2025,25.95,"2,712,934",25.77,26.0,25.575
12/08/2025,25.73,"3,639,254",26.12,26.23,25.55
12/05/2025,26.04,"3,754,997",25.62,26.135,25.43
12/04/2025,25.63,"2,466,998",25.61,25.75,25.39
12/03/2025,25.56,"2,185,239",25.51,25.645,25.405
12/02/2025,25.4,"3,032,901",25.54,25.55,25.15
12/01/2025,25.52,"2,699,411",25.6,25.855,25.39
11/28/2025,25.68,"1,748,067",25.64,25.88,25.585
11/26/2025,25.58,"3,115,070",25.37,25.61,25.29
11/25/2025,25.41,"3,336,184",25.48,25.63,25.13
11/24/2025,25.23,"6,971,800",25.38,25.67,25.15
11/21/2025,25.69,"4,076,495",24.97,25.815,24.94
11/20/2025,24.8,"4,204,403",25.2,25.46,24.78
11/19/2025,24.97,"4,420,187",25.26,25.33,24.935
11/18/2025,25.31,"4,772,230",25.37,25.59,25.14
11/17/2025,25.48,"3,711,553",26.09,26.16,25.335
11/14/2025,26.15,"4,198,978",26.23,26.34,25.72
11/13/2025,26.27,"4,795,505",26.57,26.85,26.15
11/12/2025,26.82,"3,557,117",26.71,26.87,26.575
11/11/2025,26.83,"4,201,094",26.75,27.045,26.635
11/10/2025,26.8,"5,059,005",26.85,27.005,26.5
11/07/2025,26.72,"6,327,521",25.36,26.74,24.79
11/06/2025,25.08,"6,104,165",25.57,25.888,25.01
11/05/2025,25.64,"4,583,630",25.77,25.925,25.61
11/04/2025,25.8,"4,190,897",26.04,26.26,25.765
11/03/2025,25.99,"4,605,536",26.42,26.42,25.775
10/31/2025,26.5,"3,706,764",26.4,26.57,26.23
10/30/2025,26.48,"2,738,981",26.07,26.53,25.765
10/29/2025,26.05,"3,189,068",26.62,26.62,25.99
10/28/2025,26.68,"2,679,305",26.81,27.005,26.62
10/27/2025,26.75,"3,951,446",26.5,26.85,26.48
10/24/2025,26.32,"2,101,693",26.5,26.6,26.31
10/23/2025,26.4,"2,716,092",26.25,26.51,26.135
10/22/2025,26.25,"2,356,614",26.42,26.61,26.19
10/21/2025,26.38,"2,226,731",26.39,26.625,26.3
10/20/2025,26.44,"2,997,530",26.15,26.625,26.05
10/17/2025,26.02,"2,205,724",25.96,26.17,25.7
10/16/2025,25.91,"2,564,884",26.6,26.7,25.875
10/15/2025,26.57,"3,572,151",26.76,27.12,26.475
10/14/2025,26.64,"4,928,538",25.92,26.66,25.905
10/13/2025,26.09,"3,407,046",25.88,26.15,25.74
10/10/2025,25.78,"3,196,008",26.5,26.7291,25.75
10/09/2025,26.46,"3,383,170",26.99,26.99,26.43
10/08/2025,27.02,"3,489,317",27.37,27.39,26.815
10/07/2025,27.38,"3,651,847",28.05,28.12,27.345
10/06/2025,28.06,"3,880,058",28.545,28.545,27.795
10/03/2025,28.38,"4,145,935",28.6,28.855,28.24
10/02/2025,28.55,"3,911,313",28.86,29.12,28.54
10/01/2025,28.95,"6,912,804",30.56,30.56,28.94
09/30/2025,30.71,"15,257,690",31.05,31.61,30.645
09/29/2025,31.03,"4,021,009",30.54,31.11,30.28
09/26/2025,30.45,"2,594,702",30.25,30.545,30.14
09/25/2025,30.175,"2,755,935",30.3,30.44,30.07
09/24/2025,30.23,"3,791,511",30.58,30.7475,30.22
09/23/2025,30.58,"2,708,295",30.84,30.945,30.505
09/22/2025,30.81,"3,333,613",30.67,30.88,30.51
09/19/2025,30.62,"6,983,396",30.52,30.86,30.385
09/18/2025,30.45,"2,591,482",30.32,30.735,30.095
09/17/2025,30.23,"5,312,040",29.81,30.505,29.765
09/16/2025,29.73,"5,085,192",29.87,29.895,29.46
09/15/2025,29.89,"4,263,314",29.5,29.92,29.28
09/12/2025,29.23,"4,752,389",29.61,29.61,29.18
09/11/2025,29.52,"5,649,302",28.8,29.56,28.66
09/10/2025,28.77,"4,806,200",29.21,29.385,28.715
09/09/2025,29.42,"11,041,590",29.35,29.635,28.83
09/08/2025,29.94,"3,796,384",29.43,30.04,29.15
09/05/2025,29.44,"3,321,313",29.33,29.755,29.19
09/04/2025,29.3,"3,666,090",29.02,29.315,28.695
09/03/2025,28.94,"4,479,858",28.72,28.975,28.005
09/02/2025,28.85,"4,671,096",29.09,29.285,28.755
08/29/2025,29.41,"2,068,690",29.46,29.54,29.235
08/28/2025,29.48,"1,708,522",29.69,30.015,29.375
08/27/2025,29.66,"1,739,124",29.64,29.885,29.575
08/26/2025,29.73,"3,022,070",30.2,30.2,29.31
08/25/2025,30.14,"1,959,286",30.38,30.56,30.13
08/22/2025,30.5,"2,448,427",29.93,30.645,29.52
08/21/2025,29.74,"2,336,971",29.48,29.835,29.435
08/20/2025,29.61,"2,421,921",29.88,30.07,29.5
08/19/2025,29.85,"2,484,013",29.68,29.85,29.4701
08/18/2025,29.53,"2,718,398",29.43,29.615,29.3
08/15/2025,29.47,"7,741,770",29.94,29.94,29.4
08/14/2025,29.8,"2,855,134",29.52,29.98,29.36
08/13/2025,29.62,"3,931,120",28.92,29.64,28.82
08/12/2025,28.82,"3,853,898",28.38,28.89,28.38
08/11/2025,28.38,"4,021,633",28.59,28.86,28.21
08/08/2025,28.52,"3,740,108",28.97,29.09,28.49
08/07/2025,28.97,"4,479,810",29.63,30.115,28.9
08/06/2025,29.43,"6,538,799",29.8,30.08,28.695
08/05/2025,29.29,"4,537,570",29.44,29.515,29.15
08/04/2025,29.51,"3,014,421",29.13,29.525,29.01
08/01/2025,29.09,"2,872,116",29.21,29.245,28.66
07/31/2025,29.32,"2,557,583",29.24,29.465,29.175
07/30/2025,29.3,"2,664,870",29.27,29.505,29.15
07/29/2025,29.22,"2,366,539",29.48,29.48,29.155
07/28/2025,29.37,"2,330,209",29.48,29.535,29.33
07/25/2025,29.53,"2,332,366",29.35,29.595,29.26
07/24/2025,29.35,"2,143,596",29.32,29.605,29.18
07/23/2025,29.42,"2,371,598",29.43,29.52,29.305
07/22/2025,29.43,"2,456,324",29.24,29.595,29.205
07/21/2025,29.16,"3,004,723",29.82,29.97,29.13
