date,close,volume,open,high,low
05/15/2026,203.12,"2,013,943",197.74,204.41,195.44
05/14/2026,198.81,"2,481,822",189.63,202.98,189.62
05/13/2026,189.18,"1,156,490",191.14,193.425,187.91
05/12/2026,191.12,"1,900,000",195.94,196.0,186.89
05/11/2026,195.12,"1,207,793",197.71,198.06,193.8
05/08/2026,198.33,"1,411,176",197.76,202.41,196.32
05/07/2026,198.06,"1,644,313",200.23,203.095,197.7201
05/06/2026,200.62,"1,870,667",196.57,203.33,196.57
05/05/2026,196.08,"1,978,813",193.7,197.95,193.4
05/04/2026,192.18,"3,460,483",200.025,200.46,189.99
05/01/2026,205.81,"2,186,851",213.475,215.215,205.37
04/30/2026,212.43,"3,043,040",209.755,214.635,207.69
04/29/2026,209.35,"5,034,581",224.77,233.79,206.97
04/28/2026,221.77,"2,493,588",224.03,224.0425,216.89
04/27/2026,220.53,"2,639,637",220.2,224.17,219.31
04/24/2026,219.98,"1,530,440",222.89,223.3,218.64
04/23/2026,222.78,"1,590,777",223.82,226.86,222.235
04/22/2026,219.98,"1,223,703",226.55,227.08,219.34
04/21/2026,224.42,"1,615,828",223.93,227.0,222.1
04/20/2026,223.38,"1,589,885",216.21,223.92,215.685
04/17/2026,217.76,"1,561,359",216.275,220.175,213.42
04/16/2026,213.57,"2,130,343",206.89,217.1,206.555
04/15/2026,205.19,"1,245,638",210.09,210.275,203.89
04/14/2026,210.41,"1,195,694",207.5,210.79,205.61
04/13/2026,207.63,"1,348,125",208.01,208.12,203.505
04/10/2026,208.35,"1,073,350",209.5,212.22,207.55
04/09/2026,209.5,"1,300,221",206.37,211.59,206.27
04/08/2026,207.53,"2,381,795",205.225,210.18,203.3
04/07/2026,198.93,"2,941,131",203.11,204.045,196.64
04/06/2026,202.18,"2,763,134",198.0,202.44,196.47
04/02/2026,198.0,"2,060,773",197.98,203.48,195.33
04/01/2026,199.63,"2,053,611",194.67,201.63,194.67
03/31/2026,195.4,"2,653,738",189.75,195.85,189.28
03/30/2026,189.75,"2,648,631",189.46,194.85,189.34
03/27/2026,188.34,"1,798,275",185.94,188.93,184.46
03/26/2026,187.93,"1,743,606",188.7,191.5599,186.835
03/25/2026,189.05,"1,786,137",186.105,190.52,184.2207
03/24/2026,185.03,"3,188,789",184.71,191.36,182.89
03/23/2026,187.7,"2,156,255",189.81,193.22,187.6
03/20/2026,183.92,"3,750,362",182.4,184.36,179.99
03/19/2026,182.36,"2,103,202",181.14,183.7899,177.91
03/18/2026,182.57,"1,768,386",182.82,184.05,179.64
03/17/2026,184.43,"1,870,339",185.98,188.35,181.71
03/16/2026,182.44,"1,696,401",183.335,184.07,179.93
03/13/2026,180.75,"3,081,257",179.33,180.99,176.08
03/12/2026,176.24,"2,473,459",185.0,185.945,176.05
03/11/2026,188.78,"1,586,735",194.38,195.7974,185.06
03/10/2026,195.02,"1,521,722",195.69,198.92,192.88
03/09/2026,197.22,"2,558,607",190.77,197.69,184.69
03/06/2026,193.97,"3,395,242",203.57,204.285,191.14
03/05/2026,210.68,"2,194,744",213.39,214.45,208.01
03/04/2026,216.19,"3,092,448",213.67,221.625,212.58
03/03/2026,207.94,"1,638,357",204.31,209.065,201.74
03/02/2026,207.75,"2,843,908",202.67,209.15,199.415
02/27/2026,203.05,"3,549,181",196.335,203.86,195.21
02/26/2026,198.37,"2,220,822",193.46,199.56,193.235
02/25/2026,191.7,"1,581,739",197.36,197.555,188.68
02/24/2026,196.7,"1,013,923",194.27,198.42,192.01
02/23/2026,193.88,"1,280,332",201.38,201.44,193.27
02/20/2026,201.39,"2,002,680",194.18,202.87,193.805
02/19/2026,195.17,"1,840,620",192.64,195.95,191.885
02/18/2026,193.81,"1,792,637",192.09,195.175,192.09
02/17/2026,193.32,"2,237,234",192.98,196.88,190.73
02/13/2026,193.21,"2,096,805",187.99,195.4172,187.235
02/12/2026,185.51,"6,282,425",198.785,199.75,183.87
02/11/2026,194.46,"2,393,254",194.7,200.0,194.2
02/10/2026,194.49,"2,613,490",195.32,196.91,192.94
02/09/2026,196.11,"2,303,169",201.43,202.815,194.88
02/06/2026,202.47,"2,906,477",198.315,204.84,198.315
02/05/2026,202.14,"4,258,825",200.02,206.43,198.0
02/04/2026,208.54,"6,487,943",191.45,208.74,189.93
02/03/2026,189.77,"3,144,913",185.0,190.2499,184.38
02/02/2026,186.13,"3,685,117",173.33,186.33,173.33
01/30/2026,173.2,"2,216,681",170.7,173.3,169.99
01/29/2026,172.59,"1,492,535",173.36,175.23,170.61
01/28/2026,172.72,"1,953,473",175.06,175.75,172.56
01/27/2026,174.44,"1,207,251",173.53,175.785,173.07
01/26/2026,173.99,"1,416,210",173.93,174.485,171.09
01/23/2026,174.3,"1,656,145",177.45,178.445,173.48
01/22/2026,178.25,"1,650,753",179.19,181.25,177.08
01/21/2026,178.4,"2,266,571",172.01,180.27,171.37
01/20/2026,170.0,"3,022,094",171.86,173.55,168.001
01/16/2026,175.65,"2,495,001",176.83,178.594,174.06
01/15/2026,178.21,"2,101,557",174.15,178.56,173.92
01/14/2026,173.52,"1,708,236",170.74,174.92,169.375
01/13/2026,171.65,"1,394,084",173.12,173.63,170.73
01/12/2026,173.57,"1,897,020",171.24,173.93,170.13
01/09/2026,173.13,"1,787,703",171.6,173.675,169.59
01/08/2026,171.07,"2,283,419",164.03,172.8,163.75
01/07/2026,165.72,"1,857,055",169.08,170.4,165.23
01/06/2026,168.88,"2,038,483",164.0,170.0,163.615
01/05/2026,163.73,"1,824,749",159.02,165.95,158.155
01/02/2026,159.19,"1,891,209",157.75,160.15,156.0001
12/31/2025,156.8,"1,232,805",158.66,159.0945,156.66
12/30/2025,159.31,"1,427,669",159.04,160.78,158.3501
12/29/2025,159.56,"1,523,536",159.68,161.5,158.55
12/26/2025,159.49,"702,486",158.66,159.62,158.035
12/24/2025,159.36,"795,143",158.69,159.88,158.315
12/23/2025,158.62,"1,175,422",158.62,159.445,158.17
12/22/2025,159.3,"1,564,305",158.4,160.46,157.0
12/19/2025,157.39,"5,048,983",158.15,158.15,153.8901
12/18/2025,158.55,"2,631,423",156.91,160.1,156.31
12/17/2025,155.73,"2,272,485",156.13,159.0399,154.82
12/16/2025,156.94,"2,208,496",158.78,159.2984,154.8625
12/15/2025,157.46,"2,593,374",160.14,160.895,154.88
12/12/2025,159.49,"2,263,989",159.12,161.235,158.02
12/11/2025,158.92,"3,657,504",157.13,163.19,157.13
12/10/2025,157.32,"2,991,509",149.32,158.79,148.485
12/09/2025,148.89,"1,674,535",151.79,151.865,147.86
12/08/2025,151.68,"3,444,679",157.03,157.03,151.2
12/05/2025,155.15,"2,833,579",153.03,156.73,153.03
12/04/2025,153.51,"4,582,750",151.69,154.03,150.895
12/03/2025,150.945,"4,491,272",142.3,151.05,141.5
12/02/2025,141.46,"2,293,968",139.5,142.45,137.9628
12/01/2025,139.67,"2,628,356",136.39,143.27,136.0
11/28/2025,135.29,"587,556",135.75,136.375,134.4
11/26/2025,134.91,"1,460,164",133.45,136.135,133.44
11/25/2025,134.33,"2,066,295",132.33,135.075,132.32
11/24/2025,132.33,"2,663,200",133.95,134.045,131.75
11/21/2025,134.28,"3,335,907",127.33,136.66,126.84
11/20/2025,126.29,"2,257,713",128.24,130.5199,126.01
11/19/2025,127.51,"1,963,633",130.8,130.95,126.57
11/18/2025,130.66,"2,030,703",129.2,132.49,128.51
11/17/2025,129.89,"1,990,979",132.145,132.77,129.37
11/14/2025,132.29,"1,936,186",135.32,135.68,131.46
11/13/2025,135.45,"1,870,067",138.01,139.63,134.67
11/12/2025,138.85,"1,487,811",139.44,141.52,138.69
11/11/2025,139.51,"1,560,318",137.86,140.01,136.2575
11/10/2025,137.76,"1,639,363",139.91,140.245,135.59
11/07/2025,139.9,"2,065,646",137.19,140.19,135.91
11/06/2025,137.69,"3,031,616",139.89,140.42,137.46
11/05/2025,140.78,"2,351,423",140.47,143.37,138.255
11/04/2025,141.36,"2,588,178",136.75,141.96,135.21
11/03/2025,137.51,"2,462,655",140.22,140.4953,135.12
10/31/2025,140.42,"2,377,315",136.4,141.27,134.58
10/30/2025,137.25,"2,762,772",136.315,140.2,134.84
10/29/2025,136.13,"4,290,789",142.03,146.99,134.03
10/28/2025,136.09,"2,065,723",138.0,138.24,135.765
10/27/2025,136.73,"2,082,611",136.26,137.7399,134.34
10/24/2025,136.12,"1,145,638",137.85,138.14,135.86
10/23/2025,135.86,"2,090,731",140.55,141.25,134.425
